foreign_direct_investment_net_outflows_percent_of_gdp,geo,time
0.1822,alb,2004
0.04849,alb,2005
0.1163,alb,2006
0.1393,alb,2007
0.6495,alb,2008
0.3257,alb,2009
0.001586,alb,2010
0.02645,dza,1977
0.0009564,dza,1978
0.04684,dza,1979
0.07939,dza,1980
0.03292,dza,1981
0.02505,dza,1982
0.02995,dza,1983
0.02728,dza,1984
0.004119,dza,1985
-0.008347,dza,1986
0.02255,dza,1987
0.008298,dza,1988
0.01465,dza,1989
0.007557,dza,1990
0.11,dza,1991
-0.01954,dza,2005
0.02902,dza,2006
0.2172,dza,2007
0.186,dza,2008
0.1557,dza,2009
0.008772,ago,1990
0.2511,ago,2002
0.1693,ago,2003
0.1782,ago,2004
0.7161,ago,2005
0.422,ago,2006
1.508,ago,2007
3.053,ago,2008
0.008945,ago,2009
1.578,ago,2010
-0.001761,arg,1977
-0.0396,arg,1978
-0.0852,arg,1979
-0.1429,arg,1980
-0.136,arg,1981
-0.03558,arg,1982
0.001923,arg,1983
0.5096,arg,1992
0.2978,arg,1993
0.3934,arg,1994
0.5802,arg,1995
0.5882,arg,1996
1.247,arg,1997
0.7779,arg,1998
0.6103,arg,1999
0.317,arg,2000
0.05987,arg,2001
-0.6146,arg,2002
0.5971,arg,2003
0.4414,arg,2004
0.7157,arg,2005
1.139,arg,2006
0.5768,arg,2007
0.4258,arg,2008
0.2317,arg,2009
0.2616,arg,2010
0.01282,arm,2003
0.06291,arm,2004
0.1372,arm,2005
0.04824,arm,2006
-0.02325,arm,2007
0.08755,arm,2008
0.6096,arm,2009
0.08804,arm,2010
0.02429,abw,1996
-0.1094,abw,1997
0.08386,abw,1998
-0.2464,abw,1999
-0.01803,abw,2000
-0.2707,abw,2001
-0.3215,abw,2002
0.09538,aus,1960
0.1184,aus,1961
0.0836,aus,1962
0.08246,aus,1963
0.09331,aus,1964
0.1752,aus,1965
0.122,aus,1966
0.1751,aus,1967
0.1798,aus,1968
0.2905,aus,1969
0.2686,aus,1970
0.2285,aus,1971
0.2452,aus,1972
0.4018,aus,1973
0.2725,aus,1974
0.1628,aus,1975
0.2507,aus,1976
0.2395,aus,1977
0.1975,aus,1978
0.2522,aus,1979
0.3047,aus,1980
0.4106,aus,1981
0.3561,aus,1982
0.2917,aus,1983
