alcohol_consumption_per_adult_15plus_litres,geo,time
0.34,sau,2008
0.6,sen,2005
0.51,sen,2008
11.09,srb,2005
12.21,srb,2008
10.59,syc,2005
12.11,syc,2008
9.72,sle,2005
9.48,sle,2008
1.55,sgp,2005
1.54,sgp,2008
13.33,svk,2005
13.31,svk,2008
24.19,svn,1993
15.19,svn,2005
14.94,svn,2008
1.66,slb,2005
1.37,slb,2008
0.5,som,2005
0.5,som,2008
10.0,zaf,1995
9.46,zaf,2005
10.16,zaf,2008
19.15,kor,2008
11.62,esp,2005
11.83,esp,2008
0.79,lka,2005
0.81,lka,2008
2.56,sdn,2005
2.56,sdn,2008
6.09,sur,2005
6.56,sur,2008
5.7,swz,2005
5.05,swz,2008
8.0,swe,1996
8.2,swe,1998
8.4,swe,2000
9.1,swe,2001
9.9,swe,2002
10.2,swe,2003
10.5,swe,2004
10.1,swe,2005
9.8,swe,2006
9.8,swe,2007
9.5,swe,2008
11.06,che,2005
11.41,che,2008
1.43,syr,2005
1.49,syr,2008
3.39,tjk,2005
3.39,tjk,2008
6.75,tza,2005
7.86,tza,2008
7.08,tha,2005
7.08,tha,2008
0.86,tls,2005
0.74,tls,2008
1.99,tgo,2005
1.92,tgo,2008
3.78,ton,2005
3.92,ton,2008
6.28,tto,2005
6.16,tto,2008
1.29,tun,2005
1.05,tun,2008
2.87,tur,2005
3.02,tur,2008
4.63,tkm,2005
5.0,tkm,2008
2.44,tuv,2005
2.14,tuv,2008
11.93,uga,2005
16.4,uga,2008
13.0,ukr,1993
15.6,ukr,2005
17.47,ukr,2008
0.54,are,2005
0.52,are,2008
13.37,gbr,2005
13.24,gbr,2008
9.44,usa,2005
9.7,usa,2008
8.14,ury,2005
8.99,ury,2008
3.54,uzb,2005
3.61,uzb,2008
0.93,vut,2005
0.96,vut,2008
8.23,ven,2005
7.6,ven,2008
3.77,vnm,2005
3.91,vnm,2008
0.2,yem,2005
0.2,yem,2008
3.85,zmb,2005
3.56,zmb,2008
5.08,zwe,2005
4.96,zwe,2008
