geo,aged_15_24_unemployment_rate_percent,time
aus,15.0,1986
aus,14.7,1987
aus,13.2,1988
aus,11.0,1989
aus,12.9,1990
aus,17.3,1991
aus,18.6,1992
aus,18.0,1993
aus,16.4,1994
aus,14.7,1995
aus,14.9,1996
aus,15.5,1997
aus,14.5,1998
aus,13.2,1999
aus,12.0,2000
aus,13.5,2001
aus,12.8,2002
aus,12.1,2003
aus,11.5,2004
aus,10.7,2005
can,12.7,1981
can,18.1,1982
can,19.1,1983
can,17.2,1984
can,15.9,1985
can,14.7,1986
can,13.1,1987
can,11.4,1988
can,10.9,1989
can,12.3,1990
can,15.7,1991
can,17.1,1992
can,17.1,1993
can,15.8,1994
can,14.8,1995
can,15.4,1996
can,16.2,1997
can,15.1,1998
can,14.0,1999
can,12.6,2000
can,12.9,2001
can,13.6,2002
can,13.6,2003
can,13.3,2004
can,12.4,2005
cze,8.5,1993
cze,8.6,1994
cze,7.7,1995
cze,7.2,1996
cze,8.6,1997
cze,12.4,1998
cze,17.0,1999
cze,16.9,2000
cze,16.6,2001
cze,16.0,2002
cze,17.6,2003
cze,20.3,2004
cze,20.7,2005
est,23.5,2000
est,21.7,2001
est,16.9,2002
est,19.5,2003
est,20.7,2004
est,15.1,2005
fin,9.2,1981
fin,9.8,1982
fin,10.5,1983
fin,9.8,1984
fin,9.1,1985
fin,9.7,1986
fin,8.9,1987
fin,7.8,1988
fin,8.1,1989
fin,8.7,1990
fin,15.0,1991
fin,24.5,1992
fin,30.6,1993
fin,31.2,1994
fin,26.9,1995
fin,25.0,1996
fin,23.3,1997
fin,21.7,1998
fin,20.2,1999
fin,20.3,2000
fin,18.8,2001
fin,19.9,2002
fin,20.6,2003
fin,19.5,2004
fin,18.8,2005
fra,17.5,1981
fra,18.8,1982
fra,19.6,1983
fra,23.2,1984
fra,23.2,1985
fra,22.3,1986
fra,21.0,1987
fra,19.4,1988
fra,17.5,1989
fra,16.6,1990
fra,18.4,1991
fra,20.6,1992
fra,24.0,1993
fra,25.0,1994
fra,23.5,1995
fra,24.8,1996
fra,24.9,1997
fra,23.3,1998
fra,21.9,1999
fra,18.6,2000
fra,18.1,2001
fra,19.2,2002
fra,21.1,2003
fra,22.5,2004
fra,22.5,2005
deu,5.4,1991
deu,6.2,1992
