geo,market_value_of_listed_companies_percent_of_gdp,time
arg,1.601,1988
arg,5.506,1989
arg,2.313,1990
arg,9.751,1991
arg,8.13,1992
arg,18.58,1993
arg,14.33,1994
arg,14.64,1995
arg,16.42,1996
arg,20.23,1997
arg,15.16,1998
arg,29.59,1999
arg,58.43,2000
arg,71.64,2001
arg,101.4,2002
arg,30.04,2003
arg,30.32,2004
arg,33.56,2005
arg,37.25,2006
arg,33.03,2007
arg,15.93,2008
arm,0.1014,2001
arm,0.4292,2002
arm,0.9659,2003
arm,0.5062,2004
arm,0.8734,2005
arm,0.9425,2006
arm,1.141,2007
arm,1.477,2008
aus,59.47,1988
aus,47.83,1989
aus,35.68,1990
aus,46.47,1991
aus,45.25,1992
aus,66.61,1993
aus,68.82,1994
aus,67.87,1995
aus,79.36,1996
aus,69.26,1997
aus,84.0,1998
aus,112.3,1999
aus,92.02,2000
aus,101.4,2001
aus,98.41,2002
aus,128.6,2003
aus,129.7,2004
aus,119.2,2005
aus,151.3,2006
aus,158.2,2007
aus,66.55,2008
aut,6.704,1988
aut,16.9,1989
aut,6.976,1990
aut,4.467,1991
aut,11.29,1992
aut,15.1,1993
aut,15.05,1994
aut,13.64,1995
aut,14.5,1996
aut,17.27,1997
aut,16.08,1998
aut,15.66,1999
aut,15.66,2000
aut,12.89,2001
aut,15.49,2002
aut,21.86,2003
aut,29.87,2004
aut,40.92,2005
aut,59.26,2006
aut,61.7,2007
aut,17.48,2008
aze,0.06747,1998
bhr,109.5,1998
bhr,108.1,1999
bhr,83.11,2000
bhr,83.23,2001
bhr,80.73,2002
bhr,99.53,2003
bhr,120.3,2004
bhr,129.0,2005
bhr,133.2,2006
bhr,152.3,2007
bhr,96.68,2008
bgd,1.677,1988
bgd,1.774,1989
bgd,1.065,1990
bgd,0.8689,1991
bgd,0.9903,1992
bgd,1.366,1993
bgd,3.109,1994
bgd,3.527,1995
bgd,11.19,1996
bgd,3.632,1997
bgd,2.345,1998
bgd,1.894,1999
bgd,2.518,2000
bgd,2.436,2001
bgd,2.508,2002
bgd,3.123,2003
bgd,5.864,2004
bgd,5.036,2005
bgd,5.832,2006
bgd,9.929,2007
bgd,8.385,2008
brb,16.49,1990
brb,18.26,1991
brb,16.3,1992
brb,19.99,1993
brb,30.0,1994
brb,26.57,1995
brb,38.83,1996
brb,52.04,1997
brb,102.0,1998
brb,81.33,1999
brb,66.03,2000
brb,71.74,2001
brb,139.0,2002
brb,129.6,2003
brb,185.2,2004
brb,183.5,2005
brb,155.3,2006
brb,164.2,2007
brb,134.8,2008
bel,36.76,1988
bel,46.02,1989
bel,32.27,1990
bel,34.31,1991
bel,27.7,1992
bel,35.19,1993
bel,34.79,1994
bel,36.92,1995
bel,43.51,1996
bel,54.91,1997
bel,96.28,1998
bel,72.86,1999
bel,78.68,2000
bel,71.59,2001
bel,50.64,2002
bel,55.97,2003
bel,75.98,2004
bel,76.79,2005
bel,99.25,2006
bel,84.29,2007
bel,33.21,2008
bmu,48.11,1997
bmu,47.91,1998
bmu,39.1,1999
bmu,61.17,2000
bmu,67.44,2001
bmu,55.49,2002
bmu,69.59,2003
bmu,41.48,2004
bmu,43.8,2005
bmu,50.53,2006
bmu,46.64,2007
btn,10.96,1996
btn,10.5,1997
btn,10.96,1998
bol,0.4013,1994
bol,1.444,1995
bol,1.541,1996
bol,4.138,1997
bol,6.708,1998
bol,8.324,1999
bol,20.74,2000
bol,19.1,2001
bol,18.58,2002
bol,15.86,2003
bol,22.66,2004
bol,23.04,2005
bol,19.41,2006
bol,17.25,2007
bol,16.03,2008
bwa,6.621,1991
bwa,7.115,1992
bwa,6.274,1993
bwa,8.688,1994
bwa,8.337,1995
bwa,6.791,1996
bwa,11.85,1997
bwa,13.95,1998
bwa,18.71,1999
bwa,15.83,2000
bwa,21.03,2001
bwa,29.04,2002
bwa,25.74,2003
bwa,25.93,2004
bwa,23.18,2005
bwa,35.86,2006
bwa,47.7,2007
bwa,26.51,2008
bra,9.716,1988
bra,10.43,1989
bra,3.55,1990
bra,10.51,1991
bra,11.6,1992
bra,22.68,1993
bra,34.6,1994
bra,19.2,1995
bra,25.84,1996
bra,29.32,1997
bra,19.07,1998
bra,38.84,1999
bra,35.08,2000
bra,33.64,2001
bra,24.55,2002
bra,42.46,2003
bra,49.77,2004
bra,53.8,2005
bra,65.29,2006
bra,102.8,2007
bra,37.42,2008
bgr,0.4654,1995
bgr,0.0707,1996
bgr,0.0193,1997
bgr,7.789,1998
bgr,5.456,1999
bgr,4.899,2000
bgr,3.712,2001
bgr,4.701,2002
bgr,8.782,2003
bgr,11.38,2004
bgr,18.71,2005
bgr,32.62,2006
bgr,55.1,2007
bgr,17.75,2008
can,48.58,1988
can,52.38,1989
can,41.53,1990
can,44.63,1991
can,41.93,1992
can,57.93,1993
can,55.8,1994
can,62.04,1995
can,79.23,1996
can,89.04,1997
can,88.1,1998
can,121.1,1999
can,116.1,2000
can,97.95,2001
can,78.31,2002
can,103.2,2003
can,118.7,2004
can,130.7,2005
can,133.0,2006
can,152.9,2007
can,66.76,2008
chl,27.8,1988
chl,33.79,1989
chl,43.09,1990
chl,76.87,1991
chl,66.56,1992
chl,93.51,1993
chl,123.7,1994
chl,103.5,1995
chl,87.03,1996
chl,87.0,1997
chl,65.34,1998
chl,93.47,1999
chl,80.31,2000
chl,82.12,2001
chl,70.74,2002
chl,116.6,2003
chl,122.4,2004
chl,115.4,2005
chl,118.9,2006
chl,129.9,2007
chl,78.15,2008
chn,0.535,1991
chn,4.33,1992
chn,9.217,1993
chn,7.779,1994
chn,5.777,1995
chn,13.29,1996
chn,21.66,1997
chn,22.69,1998
chn,30.53,1999
chn,48.48,2000
chn,39.55,2001
chn,31.85,2002
chn,41.51,2003
chn,33.12,2004
chn,34.92,2005
chn,91.29,2006
chn,184.1,2007
chn,64.56,2008
col,2.907,1988
col,2.883,1989
col,3.526,1990
col,9.796,1991
col,11.54,1992
col,16.56,1993
col,17.13,1994
col,19.34,1995
col,17.64,1996
col,18.31,1997
col,13.56,1998
col,13.43,1999
col,10.16,2000
col,14.23,2001
col,10.39,2002
col,15.55,2003
col,22.17,2004
col,31.83,2005
col,34.62,2006
col,49.07,2007
col,35.7,2008
cri,5.54,1992
cri,4.503,1993
cri,6.594,1996
cri,6.392,1997
cri,9.279,1998
cri,14.58,1999
cri,18.33,2000
cri,18.55,2001
cri,15.35,2002
cri,12.66,2003
cri,7.577,2004
cri,7.404,2005
cri,8.631,2006
cri,7.748,2007
cri,6.361,2008
civ,4.261,1988
civ,5.442,1989
civ,5.085,1990
civ,5.156,1991
civ,4.331,1992
civ,3.748,1993
civ,5.148,1994
civ,7.873,1995
civ,7.529,1996
civ,10.89,1997
civ,14.22,1998
civ,12.06,1999
civ,11.38,2000
civ,11.04,2001
civ,11.56,2002
civ,12.01,2003
civ,13.45,2004
civ,14.22,2005
civ,23.93,2006
civ,42.2,2007
civ,30.2,2008
hrv,3.524,1994
hrv,2.626,1995
hrv,12.72,1996
hrv,17.98,1997
hrv,12.64,1998
hrv,11.2,1999
hrv,12.85,2000
hrv,14.5,2001
hrv,15.01,2002
hrv,18.08,2003
hrv,26.92,2004
hrv,29.07,2005
hrv,59.15,2006
hrv,112.7,2007
hrv,38.64,2008
cyp,22.36,1991
cyp,17.07,1992
cyp,14.89,1993
cyp,17.96,1994
cyp,27.19,1995
cyp,25.19,1996
cyp,22.59,1997
cyp,27.4,1998
cyp,71.06,1999
cyp,46.71,2000
cyp,63.92,2001
cyp,47.27,2002
cyp,36.06,2003
cyp,30.84,2004
cyp,38.73,2005
cyp,86.3,2006
cyp,137.4,2007
cyp,31.93,2008
cze,14.46,1994
cze,28.35,1995
cze,29.15,1996
cze,22.38,1997
cze,19.48,1998
cze,19.6,1999
cze,19.4,2000
cze,15.09,2001
cze,21.11,2002
cze,19.33,2003
cze,28.18,2004
cze,30.79,2005
cze,34.08,2006
cze,42.14,2007
cze,22.67,2008
dnk,26.67,1988
dnk,36.53,1989
dnk,28.78,1990
dnk,32.77,1991
dnk,21.71,1992
dnk,29.71,1993
dnk,35.42,1994
dnk,30.89,1995
dnk,38.87,1996
dnk,55.02,1997
dnk,56.94,1998
dnk,60.53,1999
dnk,67.26,2000
dnk,55.07,2001
dnk,44.16,2002
dnk,57.2,2003
dnk,61.84,2004
dnk,69.1,2005
dnk,84.36,2006
dnk,89.58,2007
dnk,38.54,2008
dom,0.7145,1997
ecu,0.5752,1992
ecu,7.303,1993
ecu,13.45,1994
ecu,13.02,1995
ecu,9.146,1996
ecu,8.999,1997
ecu,6.563,1998
ecu,2.487,1999
ecu,4.417,2000
ecu,6.666,2001
ecu,7.027,2002
ecu,7.519,2003
ecu,7.906,2004
ecu,8.644,2005
ecu,9.674,2006
ecu,9.318,2007
ecu,8.342,2008
egy,5.022,1988
egy,4.313,1989
egy,4.081,1990
egy,7.168,1991
egy,7.789,1992
egy,8.18,1993
egy,8.208,1994
egy,13.44,1995
egy,20.96,1996
egy,26.56,1997
egy,28.74,1998
egy,36.2,1999
egy,28.79,2000
egy,24.93,2001
egy,29.7,2002
egy,32.65,2003
egy,48.85,2004
egy,88.83,2005
egy,86.97,2006
egy,106.8,2007
egy,52.92,2008
slv,4.382,1996
slv,4.481,1997
slv,11.95,1998
slv,17.18,1999
slv,15.54,2000
slv,9.71,2001
slv,10.55,2002
slv,14.02,2003
slv,16.73,2004
slv,21.22,2005
slv,29.3,2006
slv,33.1,2007
slv,21.05,2008
est,21.79,1997
est,9.271,1998
est,31.36,1999
est,32.52,2000
est,23.76,2001
est,33.18,2002
est,38.5,2003
