geo,working_hours_per_week,time
irl,38.44,1989
irl,38.23,1990
irl,37.58,1991
irl,36.69,1992
irl,36.21,1993
irl,36.21,1994
irl,36.06,1995
irl,36.19,1996
irl,35.23,1997
irl,33.71,1998
irl,33.17,1999
irl,33.06,2000
irl,32.87,2001
irl,32.6,2002
irl,32.13,2003
irl,32.08,2004
irl,31.81,2005
irl,31.54,2006
irl,31.35,2007
ita,35.75,1980
ita,35.87,1981
ita,36.09,1982
ita,36.07,1983
ita,35.87,1984
ita,35.81,1985
ita,35.97,1986
ita,36.34,1987
ita,36.41,1988
ita,36.1,1989
ita,35.9,1990
ita,35.76,1991
ita,35.82,1992
ita,35.82,1993
ita,35.7,1994
ita,35.75,1995
ita,36.02,1996
ita,35.83,1997
ita,36.15,1998
ita,36.07,1999
ita,35.79,2000
ita,35.44,2001
ita,35.21,2002
ita,35.11,2003
ita,35.12,2004
ita,34.98,2005
ita,34.89,2006
ita,35.07,2007
jpn,40.79,1980
jpn,40.5,1981
jpn,40.46,1982
jpn,40.29,1983
jpn,40.54,1984
jpn,40.25,1985
jpn,40.33,1986
jpn,40.31,1987
jpn,40.23,1988
jpn,39.81,1989
jpn,39.06,1990
jpn,38.42,1991
jpn,37.79,1992
jpn,36.63,1993
jpn,36.5,1994
jpn,36.23,1995
jpn,36.38,1996
jpn,35.87,1997
jpn,35.42,1998
jpn,34.82,1999
jpn,35.03,2000
jpn,34.79,2001
jpn,34.58,2002
jpn,34.59,2003
jpn,34.37,2004
jpn,34.13,2005
jpn,34.31,2006
jpn,34.33,2007
kor,55.31,1980
kor,55.62,1981
kor,55.87,1982
kor,56.21,1983
kor,56.13,1984
kor,55.65,1985
kor,56.21,1986
kor,55.62,1987
kor,54.73,1988
kor,52.73,1989
kor,51.69,1990
kor,51.38,1991
kor,50.96,1992
kor,51.29,1993
kor,50.98,1994
kor,51.12,1995
kor,50.92,1996
kor,49.85,1997
kor,48.0,1998
kor,48.12,1999
kor,48.46,2000
kor,48.19,2001
kor,47.4,2002
kor,46.81,2003
kor,46.04,2004
kor,45.27,2005
kor,44.33,2006
lux,34.21,1983
lux,33.92,1984
lux,34.0,1985
lux,33.83,1986
lux,33.79,1987
lux,34.21,1988
lux,33.98,1989
lux,33.96,1990
lux,33.6,1991
lux,33.15,1992
lux,33.31,1993
lux,32.87,1994
lux,33.06,1995
lux,32.52,1996
lux,32.27,1997
lux,32.15,1998
lux,32.1,1999
lux,31.96,2000
lux,31.65,2001
lux,31.42,2002
lux,31.35,2003
lux,30.5,2004
lux,30.19,2005
lux,30.85,2006
lux,29.65,2007
mys,43.15,1994
mex,33.98,1990
mex,35.04,1991
mex,35.03,1993
mex,35.72,1995
mex,36.58,1996
mex,37.05,1997
mex,36.12,1998
mex,36.96,1999
mex,36.31,2000
mex,35.85,2001
mex,36.31,2002
mex,35.72,2003
mex,35.55,2004
mex,36.71,2005
mex,36.22,2006
mex,35.99,2007
npl,37.6,1994
nld,29.62,1987
nld,29.02,1988
nld,28.79,1989
nld,28.92,1990
nld,28.29,1991
nld,27.83,1992
nld,27.29,1993
nld,27.13,1994
nld,26.75,1995
nld,27.33,1996
nld,27.19,1997
nld,26.92,1998
nld,26.56,1999
nld,26.38,2000
nld,26.38,2001
nld,25.92,2002
nld,26.21,2003
nld,26.19,2004
nld,26.44,2005
nld,26.75,2006
nld,26.77,2007
nzl,35.27,1986
nzl,35.36,1987
nzl,35.2,1988
nzl,35.01,1989
nzl,34.81,1990
nzl,34.48,1991
nzl,34.62,1992
nzl,35.66,1993
