geo,central_bank_discount_rate_annual_percent,time
alb,40,1992
alb,34,1993
alb,25,1994
alb,21,1995
alb,24,1996
alb,32,1997
alb,23,1998
alb,18,1999
alb,11,2000
alb,7,2001
alb,9,2002
alb,7,2003
alb,5,2004
alb,5,2005
alb,6,2006
dza,3,1974
dza,3,1975
dza,3,1976
dza,3,1977
dza,3,1978
dza,3,1979
dza,3,1980
dza,3,1981
dza,3,1982
dza,3,1983
dza,3,1984
dza,3,1985
dza,5,1986
dza,5,1987
dza,5,1988
dza,7,1989
dza,11,1990
dza,12,1991
dza,12,1992
dza,12,1993
dza,21,1994
dza,14,1995
dza,13,1996
dza,11,1997
dza,10,1998
dza,9,1999
dza,6,2000
dza,6,2001
dza,6,2002
dza,5,2003
dza,4,2004
dza,4,2005
dza,4,2006
ago,160,1995
ago,2,1996
ago,48,1997
ago,58,1998
ago,120,1999
ago,150,2000
ago,150,2001
ago,150,2002
ago,150,2003
ago,95,2004
ago,95,2005
ago,14,2006
aia,9,1994
aia,9,1995
aia,9,1996
aia,8,1997
aia,8,1998
aia,8,1999
aia,8,2000
aia,7,2001
aia,7,2002
aia,7,2003
aia,7,2004
aia,7,2005
aia,7,2006
atg,9,1994
atg,9,1995
atg,9,1996
atg,8,1997
atg,8,1998
atg,8,1999
atg,8,2000
atg,7,2001
atg,7,2002
atg,7,2003
atg,7,2004
atg,7,2005
atg,7,2006
arm,30,1992
arm,210,1993
arm,210,1994
arm,78,1995
arm,26,1996
arm,65,1997
abw,10,1986
abw,10,1987
abw,10,1988
abw,10,1989
abw,10,1990
abw,10,1991
abw,10,1992
abw,10,1993
abw,10,1994
abw,10,1995
abw,10,1996
abw,10,1997
abw,10,1998
abw,7,1999
abw,7,2000
abw,7,2001
abw,7,2002
abw,5,2003
abw,5,2004
abw,5,2005
abw,5,2006
aus,6,1970
aus,6,1971
aus,5,1972
aus,6,1973
aus,10,1974
aus,9,1975
aus,9,1976
aus,10,1977
aus,9,1978
aus,10,1979
aus,11,1980
aus,14,1981
aus,16,1982
aus,12,1983
aus,12,1984
aus,16,1985
aus,17,1986
aus,15,1987
aus,13,1988
aus,17,1989
aus,15,1990
aus,11,1991
aus,7,1992
aus,6,1993
aus,6,1994
aus,6,1995
aut,4,1948
aut,4,1949
aut,4,1950
aut,5,1951
aut,6,1952
aut,4,1953
aut,4,1954
aut,5,1955
aut,5,1956
aut,5,1957
aut,5,1958
aut,5,1959
aut,5,1960
aut,5,1961
aut,5,1962
aut,5,1963
aut,5,1964
aut,5,1965
aut,5,1966
aut,4,1967
aut,4,1968
aut,5,1969
aut,5,1970
aut,5,1971
aut,6,1972
aut,6,1973
aut,7,1974
aut,6,1975
aut,4,1976
aut,6,1977
aut,5,1978
aut,4,1979
aut,7,1980
aut,7,1981
aut,5,1982
aut,4,1983
aut,5,1984
aut,4,1985
aut,4,1986
aut,3,1987
aut,4,1988
aut,7,1989
aut,7,1990
aut,8,1991
aut,8,1992
aut,5,1993
aut,5,1994
aut,3,1995
aut,3,1996
aut,3,1997
aut,3,1998
aze,12,1992
aze,100,1993
aze,200,1994
aze,80,1995
aze,20,1996
aze,12,1997
aze,14,1998
aze,10,1999
aze,10,2000
aze,10,2001
aze,7,2002
aze,7,2003
aze,7,2004
aze,9,2005
aze,10,2006
bhs,10,1970
bhs,10,1971
bhs,10,1972
bhs,10,1973
bhs,10,1974
bhs,10,1975
bhs,10,1976
bhs,10,1977
bhs,10,1978
bhs,9,1979
bhs,11,1980
bhs,9,1981
bhs,10,1982
bhs,9,1983
bhs,10,1984
bhs,9,1985
bhs,8,1986
bhs,8,1987
bhs,9,1988
bhs,9,1989
bhs,9,1990
bhs,9,1991
bhs,8,1992
bhs,7,1993
bhs,7,1994
bhs,7,1995
bhs,7,1996
bhs,7,1997
bhs,7,1998
bhs,6,1999
bhs,6,2000
bhs,6,2001
bhs,6,2002
bhs,6,2003
bhs,6,2004
bhs,5,2005
bhs,5,2006
bgd,5,1971
bgd,5,1972
bgd,5,1973
bgd,8,1974
bgd,8,1975
bgd,8,1976
bgd,8,1977
bgd,8,1978
bgd,8,1979
bgd,11,1980
bgd,11,1981
bgd,11,1982
bgd,11,1983
bgd,11,1984
bgd,11,1985
bgd,11,1986
bgd,11,1987
bgd,11,1988
bgd,11,1989
bgd,10,1990
bgd,9,1991
bgd,9,1992
bgd,6,1993
bgd,6,1994
bgd,6,1995
bgd,7,1996
bgd,8,1997
bgd,8,1998
bgd,7,1999
bgd,7,2000
bgd,6,2001
bgd,6,2002
bgd,5,2003
bgd,5,2004
bgd,5,2005
bgd,5,2006
brb,6,1977
brb,6,1978
brb,6,1979
brb,7,1980
brb,22,1981
brb,20,1982
brb,16,1983
brb,16,1984
brb,13,1985
brb,8,1986
brb,8,1987
brb,8,1988
brb,14,1989
brb,14,1990
brb,18,1991
brb,12,1992
brb,8,1993
brb,10,1994
brb,13,1995
brb,13,1996
brb,9,1997
brb,9,1998
brb,10,1999
brb,10,2000
brb,8,2001
brb,8,2002
brb,8,2003
brb,8,2004
brb,10,2005
brb,12,2006
blr,30,1992
blr,210,1993
blr,480,1994
blr,66,1995
blr,8,1996
blr,9,1997
blr,10,1998
blr,23,1999
blr,80,2000
blr,48,2001
blr,38,2002
blr,28,2003
