geo,central_bank_discount_rate_annual_percent,time
blr,17,2004
blr,11,2005
blr,10,2006
bel,4,1948
bel,3,1949
bel,4,1950
bel,3,1951
bel,3,1952
bel,3,1953
bel,3,1954
bel,3,1955
bel,4,1956
bel,5,1957
bel,4,1958
bel,4,1959
bel,5,1960
bel,5,1961
bel,4,1962
bel,4,1963
bel,5,1964
bel,5,1965
bel,5,1966
bel,4,1967
bel,5,1968
bel,8,1969
bel,7,1970
bel,6,1971
bel,5,1972
bel,8,1973
bel,9,1974
bel,6,1975
bel,9,1976
bel,9,1977
bel,6,1978
bel,11,1979
bel,12,1980
bel,15,1981
bel,12,1982
bel,10,1983
bel,11,1984
bel,10,1985
bel,8,1986
bel,7,1987
bel,8,1988
bel,10,1989
bel,11,1990
bel,9,1991
bel,8,1992
bel,5,1993
bel,5,1994
bel,3,1995
bel,3,1996
bel,3,1997
bel,3,1998
blz,7,1977
blz,8,1978
blz,10,1979
blz,14,1980
blz,15,1981
blz,14,1982
blz,12,1983
blz,12,1984
blz,20,1985
blz,12,1986
blz,12,1987
blz,10,1988
blz,12,1989
blz,12,1990
blz,12,1991
blz,12,1992
blz,12,1993
blz,12,1994
blz,12,1995
blz,12,1996
blz,12,1997
blz,12,1998
blz,12,1999
blz,12,2000
blz,12,2001
blz,12,2002
blz,12,2003
blz,12,2004
blz,12,2005
blz,12,2006
ben,4,1958
ben,4,1959
ben,4,1960
ben,4,1961
ben,4,1962
ben,4,1963
ben,4,1964
ben,4,1965
ben,4,1966
ben,4,1967
ben,4,1968
ben,4,1969
ben,4,1970
ben,4,1971
ben,4,1972
ben,6,1973
ben,6,1974
ben,8,1975
ben,8,1976
ben,8,1977
ben,8,1978
ben,8,1979
ben,11,1980
ben,11,1981
ben,13,1982
ben,11,1983
ben,11,1984
ben,11,1985
ben,9,1986
ben,9,1987
ben,10,1988
ben,11,1989
ben,11,1990
ben,11,1991
ben,13,1992
ben,6,1993
ben,6,1994
ben,6,1995
ben,6,1996
ben,6,1997
ben,6,1998
ben,6,1999
ben,6,2000
ben,6,2001
ben,6,2002
ben,5,2003
ben,4,2004
ben,4,2005
ben,4,2006
bol,19,1957
bol,19,1958
bol,19,1959
bol,19,1960
bol,19,1961
bol,19,1962
bol,15,1963
bol,16,1964
bol,16,1965
bol,16,1966
bol,16,1967
bol,16,1968
bol,16,1969
bol,12,1970
bol,13,1971
bol,11,1972
bol,11,1973
bol,13,1974
bol,13,1975
bol,13,1976
bol,13,1977
bol,13,1978
bol,18,1979
bol,20,1980
bol,26,1981
bol,37,1982
bol,61,1983
bol,149,1984
bol,17,1996
bol,13,1997
bol,14,1998
bol,13,1999
bol,10,2000
bol,9,2001
bol,13,2002
bol,8,2003
bol,6,2004
bol,5,2005
bol,5,2006
bwa,8,1976
bwa,8,1977
bwa,7,1978
bwa,6,1979
bwa,6,1980
bwa,9,1981
bwa,12,1982
bwa,11,1983
bwa,9,1984
bwa,9,1985
bwa,9,1986
bwa,9,1987
bwa,7,1988
bwa,7,1989
bwa,9,1990
bwa,12,1991
bwa,14,1992
bwa,14,1993
bwa,14,1994
bwa,13,1995
bwa,13,1996
bwa,12,1997
bwa,13,1998
bwa,14,1999
bwa,14,2000
bwa,14,2001
bwa,15,2002
bwa,14,2003
bwa,14,2004
bwa,15,2005
bwa,15,2006
bra,25,1996
bra,45,1997
bra,39,1998
bra,21,1999
bra,19,2000
bra,21,2001
bra,30,2002
bra,24,2003
bra,25,2004
bra,25,2005
bra,20,2006
bgr,54,1991
bgr,41,1992
bgr,52,1993
bgr,72,1994
bgr,34,1995
bgr,180,1996
bgr,7,1997
bgr,5,1998
bgr,4,1999
bgr,5,2000
bgr,5,2001
bgr,3,2002
bgr,3,2003
bgr,2,2004
bgr,2,2005
bgr,3,2006
bfa,4,1958
bfa,4,1959
bfa,4,1960
bfa,4,1961
bfa,4,1962
bfa,4,1963
bfa,4,1964
bfa,4,1965
bfa,4,1966
bfa,4,1967
bfa,4,1968
bfa,4,1969
bfa,4,1970
bfa,4,1971
bfa,4,1972
bfa,6,1973
bfa,6,1974
bfa,8,1975
bfa,8,1976
bfa,8,1977
bfa,8,1978
bfa,8,1979
bfa,11,1980
bfa,11,1981
bfa,13,1982
bfa,11,1983
bfa,11,1984
bfa,11,1985
bfa,9,1986
bfa,9,1987
bfa,10,1988
bfa,11,1989
bfa,11,1990
bfa,11,1991
bfa,13,1992
bfa,6,1993
bfa,6,1994
bfa,6,1995
bfa,6,1996
bfa,6,1997
bfa,6,1998
bfa,6,1999
bfa,6,2000
bfa,6,2001
bfa,6,2002
bfa,5,2003
bfa,4,2004
bfa,4,2005
bfa,4,2006
bdi,6,1974
bdi,6,1975
bdi,6,1976
bdi,6,1977
bdi,6,1978
bdi,7,1979
bdi,7,1980
bdi,7,1981
bdi,7,1982
bdi,7,1983
bdi,7,1984
bdi,7,1985
bdi,5,1986
bdi,7,1987
bdi,7,1988
bdi,7,1989
bdi,9,1990
bdi,10,1991
bdi,11,1992
bdi,10,1993
bdi,10,1994
bdi,10,1995
bdi,10,1996
bdi,12,1997
bdi,12,1998
bdi,12,1999
bdi,14,2000
bdi,14,2001
bdi,16,2002
bdi,15,2003
bdi,15,2004
bdi,15,2005
bdi,11,2006
cmr,5,1968
cmr,5,1969
cmr,5,1970
cmr,5,1971
cmr,5,1972
cmr,5,1973
cmr,6,1974
cmr,6,1975
cmr,7,1976
cmr,7,1977
cmr,7,1978
cmr,9,1979
cmr,9,1980
cmr,9,1981
cmr,9,1982
cmr,9,1983
cmr,9,1984
cmr,9,1985
cmr,8,1986
cmr,8,1987
cmr,10,1988
cmr,10,1989
cmr,11,1990
cmr,11,1991
cmr,12,1992
cmr,12,1993
cmr,8,1994
cmr,9,1995
cmr,8,1996
cmr,8,1997
cmr,7,1998
cmr,7,1999
cmr,7,2000
cmr,7,2001
cmr,6,2002
cmr,6,2003
cmr,6,2004
cmr,6,2005
cmr,5,2006
can,2,1948
can,2,1949
can,2,1950
can,2,1951
can,2,1952
can,2,1953
can,2,1954
can,3,1955
can,4,1956
can,4,1957
can,4,1958
can,5,1959
can,4,1960
can,3,1961
can,4,1962
can,4,1963
can,4,1964
can,5,1965
can,5,1966
can,6,1967
can,7,1968
can,8,1969
can,6,1970
can,5,1971
can,5,1972
can,7,1973
can,9,1974
can,9,1975
can,9,1976
can,8,1977
can,11,1978
can,14,1979
can,17,1980
can,15,1981
can,10,1982
can,10,1983
can,10,1984
can,9,1985
can,8,1986
can,9,1987
can,11,1988
can,12,1989
can,12,1990
can,8,1991
can,7,1992
can,4,1993
can,7,1994
can,6,1995
can,3,1996
can,5,1997
can,5,1998
can,5,1999
can,6,2000
can,3,2001
can,3,2002
can,3,2003
can,3,2004
can,4,2005
can,5,2006
cpv,12,2001
cpv,10,2002
cpv,9,2003
cpv,9,2004
cpv,9,2005
cpv,9,2006
caf,5,1968
caf,5,1969
caf,5,1970
caf,5,1971
caf,5,1972
caf,5,1973
caf,6,1974
caf,6,1975
caf,7,1976
caf,7,1977
caf,7,1978
caf,9,1979
caf,9,1980
caf,9,1981
caf,9,1982
caf,9,1983
caf,9,1984
caf,9,1985
caf,8,1986
caf,8,1987
caf,10,1988
caf,10,1989
caf,11,1990
caf,11,1991
caf,12,1992
caf,12,1993
caf,8,1994
caf,9,1995
caf,8,1996
caf,8,1997
caf,7,1998
caf,8,1999
caf,7,2000
caf,7,2001
caf,6,2002
caf,6,2003
caf,6,2004
caf,6,2005
caf,5,2006
tcd,5,1968
tcd,5,1969
tcd,5,1970
tcd,5,1971
tcd,5,1972
tcd,5,1973
tcd,6,1974
tcd,6,1975
tcd,7,1976
tcd,7,1977
tcd,7,1978
tcd,9,1979
tcd,9,1980
tcd,9,1981
tcd,9,1982
tcd,9,1983
tcd,9,1984
tcd,9,1985
tcd,8,1986
tcd,8,1987
tcd,10,1988
tcd,10,1989
tcd,11,1990
tcd,11,1991
tcd,12,1992
tcd,12,1993
tcd,8,1994
tcd,9,1995
tcd,8,1996
tcd,8,1997
tcd,7,1998
tcd,8,1999
tcd,7,2000
tcd,7,2001
tcd,6,2002
tcd,6,2003
tcd,6,2004
tcd,6,2005
tcd,5,2006
chl,8,1993
chl,14,1994
chl,8,1995
chl,12,1996
chl,8,1997
chl,9,1998
chl,7,1999
chl,9,2000
chl,7,2001
chl,3,2002
chl,2,2003
chl,2,2004
chl,5,2005
chl,5,2006
chn,8,1990
chn,7,1991
chn,7,1992
chn,10,1993
chn,10,1994
chn,10,1995
chn,9,1996
chn,9,1997
chn,5,1998
chn,3,1999
chn,3,2000
chn,3,2001
chn,3,2002
chn,3,2003
chn,3,2004
chn,3,2005
chn,3,2006
hkg,4,1992
hkg,4,1993
hkg,6,1994
hkg,6,1995
hkg,6,1996
hkg,7,1997
hkg,6,1998
hkg,7,1999
hkg,8,2000
hkg,3,2001
hkg,3,2002
hkg,3,2003
hkg,4,2004
hkg,6,2005
hkg,7,2006
col,4,1948
col,4,1949
col,4,1950
col,4,1951
col,4,1952
col,4,1953
col,4,1954
col,4,1955
col,4,1956
col,4,1957
col,5,1958
col,5,1959
col,5,1960
col,5,1961
col,5,1962
col,8,1963
col,8,1964
col,8,1965
col,8,1966
col,8,1967
col,8,1968
col,8,1969
col,14,1970
col,14,1971
col,14,1972
col,14,1973
col,16,1974
col,16,1975
col,20,1976
col,20,1977
col,22,1978
col,30,1979
col,30,1980
col,30,1981
col,27,1982
col,27,1983
col,27,1984
col,27,1985
col,34,1986
col,35,1987
col,34,1988
col,37,1989
col,46,1990
col,45,1991
col,34,1992
col,33,1993
col,45,1994
col,40,1995
col,35,1996
col,31,1997
col,42,1998
col,23,1999
col,18,2000
col,13,2001
col,10,2002
col,12,2003
col,11,2004
col,11,2005
col,11,2006
com,10,1983
com,10,1984
com,10,1985
com,10,1986
com,9,1987
com,9,1988
com,6,1999
com,6,2000
com,6,2001
com,5,2002
com,4,2003
com,4,2004
com,4,2005
com,4,2006
cog,5,1968
cog,5,1969
cog,5,1970
cog,5,1971
cog,5,1972
cog,5,1973
cog,6,1974
cog,6,1975
cog,7,1976
cog,7,1977
cog,7,1978
cog,9,1979
cog,9,1980
cog,9,1981
cog,9,1982
cog,9,1983
cog,9,1984
cog,9,1985
cog,8,1986
cog,8,1987
cog,10,1988
cog,10,1989
cog,11,1990
cog,11,1991
cog,12,1992
cog,12,1993
cog,8,1994
cog,9,1995
cog,8,1996
cog,8,1997
cog,7,1998
cog,8,1999
cog,7,2000
cog,7,2001
cog,6,2002
cog,6,2003
cog,6,2004
cog,6,2005
cog,5,2006
cri,4,1950
cri,4,1951
cri,4,1952
cri,4,1953
cri,5,1954
cri,5,1955
cri,5,1956
cri,5,1957
cri,5,1958
cri,5,1959
cri,5,1960
cri,5,1961
cri,5,1962
cri,5,1963
cri,5,1964
cri,4,1965
cri,5,1966
cri,5,1967
cri,5,1968
cri,5,1969
cri,5,1970
cri,5,1971
cri,5,1972
cri,5,1973
cri,7,1974
cri,7,1975
cri,8,1976
cri,8,1977
cri,15,1978
cri,15,1979
cri,24,1980
cri,24,1981
cri,30,1982
cri,30,1983
cri,28,1984
cri,28,1985
cri,28,1986
cri,31,1987
cri,32,1988
cri,32,1989
cri,38,1990
cri,43,1991
cri,29,1992
cri,35,1993
cri,38,1994
cri,39,1995
cri,35,1996
cri,31,1997
cri,37,1998
cri,34,1999
cri,32,2000
cri,29,2001
cri,31,2002
cri,26,2003
cri,26,2004
cri,27,2005
cri,25,2006
civ,4,1960
civ,4,1961
civ,4,1962
civ,4,1963
civ,4,1964
civ,4,1965
civ,4,1966
civ,4,1967
civ,4,1968
civ,4,1969
civ,4,1970
civ,4,1971
civ,4,1972
civ,6,1973
civ,6,1974
civ,8,1975
civ,8,1976
civ,8,1977
civ,8,1978
civ,8,1979
civ,11,1980
civ,11,1981
civ,13,1982
civ,11,1983
civ,11,1984
civ,11,1985
civ,9,1986
civ,9,1987
civ,10,1988
civ,11,1989
civ,11,1990
civ,11,1991
civ,13,1992
civ,6,1993
civ,6,1994
civ,6,1995
civ,6,1996
civ,6,1997
civ,6,1998
civ,6,1999
civ,6,2000
civ,6,2001
civ,6,2002
civ,5,2003
civ,4,2004
civ,4,2005
civ,4,2006
hrv,1889,1992
hrv,34,1993
hrv,9,1994
hrv,9,1995
hrv,7,1996
hrv,6,1997
hrv,6,1998
hrv,8,1999
hrv,6,2000
hrv,6,2001
hrv,5,2002
hrv,5,2003
hrv,5,2004
hrv,5,2005
hrv,5,2006
cyp,6,1969
cyp,6,1970
cyp,6,1971
cyp,6,1972
cyp,6,1973
cyp,6,1974
cyp,6,1975
cyp,6,1976
cyp,6,1977
cyp,6,1978
cyp,6,1979
cyp,6,1980
cyp,6,1981
cyp,6,1982
cyp,6,1983
cyp,6,1984
cyp,6,1985
cyp,6,1986
cyp,6,1987
cyp,6,1988
cyp,7,1989
cyp,7,1990
cyp,7,1991
cyp,7,1992
cyp,7,1993
cyp,7,1994
cyp,7,1995
cyp,8,1996
cyp,7,1997
cyp,7,1998
cyp,7,1999
cyp,7,2000
cyp,6,2001
cyp,5,2002
cyp,5,2003
cyp,6,2004
cyp,4,2005
cyp,5,2006
cze,8,1993
cze,9,1994
cze,11,1995
cze,12,1996
cze,15,1997
cze,10,1998
cze,5,1999
cze,5,2000
cze,5,2001
cze,3,2002
cze,2,2003
cze,3,2004
cze,2,2005
cze,3,2006
cod,12,1978
cod,12,1979
cod,12,1980
cod,12,1981
cod,15,1982
cod,20,1983
cod,20,1984
cod,26,1985
cod,26,1986
cod,29,1987
cod,37,1988
cod,50,1989
cod,45,1990
cod,55,1991
cod,55,1992
cod,95,1993
cod,145,1994
cod,125,1995
cod,238,1996
cod,13,1997
cod,22,1998
cod,120,1999
cod,120,2000
cod,140,2001
cod,24,2002
cod,8,2003
dnk,3,1948
dnk,3,1949
dnk,5,1950
dnk,5,1951
dnk,5,1952
dnk,4,1953
dnk,5,1954
dnk,6,1955
dnk,6,1956
dnk,6,1957
dnk,5,1958
dnk,5,1959
dnk,6,1960
dnk,7,1961
dnk,7,1962
dnk,6,1963
dnk,7,1964
dnk,7,1965
dnk,7,1966
dnk,8,1967
dnk,6,1968
dnk,9,1969
dnk,9,1970
dnk,8,1971
dnk,7,1972
dnk,9,1973
dnk,10,1974
dnk,8,1975
dnk,10,1976
dnk,9,1977
dnk,8,1978
dnk,11,1979
dnk,11,1980
dnk,11,1981
dnk,10,1982
dnk,7,1983
dnk,7,1984
dnk,7,1985
dnk,7,1986
dnk,7,1987
dnk,7,1988
dnk,7,1989
dnk,9,1990
dnk,10,1991
dnk,10,1992
dnk,6,1993
dnk,5,1994
dnk,4,1995
dnk,3,1996
dnk,4,1997
dnk,4,1998
dnk,3,1999
dnk,5,2000
dnk,3,2001
dnk,3,2002
dnk,2,2003
dnk,2,2004
dnk,2,2005
dnk,4,2006
dma,9,1994
dma,9,1995
dma,9,1996
dma,8,1997
dma,8,1998
dma,8,1999
dma,8,2000
dma,7,2001
dma,7,2002
dma,7,2003
dma,7,2004
dma,7,2005
dma,7,2006
ecu,8,1970
ecu,8,1971
ecu,8,1972
ecu,8,1973
ecu,8,1974
ecu,8,1975
ecu,8,1976
ecu,8,1977
ecu,8,1978
ecu,8,1979
ecu,8,1980
ecu,15,1981
ecu,15,1982
ecu,19,1983
ecu,23,1984
ecu,23,1985
ecu,23,1986
ecu,23,1987
ecu,23,1988
ecu,32,1989
ecu,35,1990
ecu,49,1991
ecu,49,1992
ecu,34,1993
ecu,45,1994
ecu,59,1995
ecu,46,1996
ecu,37,1997
ecu,62,1998
ecu,64,1999
ecu,13,2000
ecu,16,2001
ecu,15,2002
ecu,11,2003
ecu,10,2004
ecu,10,2005
ecu,9,2006
egy,3,1951
egy,3,1952
egy,3,1953
egy,3,1954
egy,3,1955
egy,3,1956
egy,3,1957
egy,3,1958
egy,3,1959
egy,3,1960
egy,3,1961
egy,5,1962
egy,5,1963
egy,5,1964
egy,5,1965
egy,5,1966
egy,5,1967
egy,5,1968
egy,5,1969
egy,5,1970
egy,5,1971
egy,5,1972
egy,5,1973
egy,5,1974
egy,5,1975
egy,6,1976
egy,7,1977
egy,8,1978
egy,9,1979
egy,11,1980
egy,12,1981
egy,13,1982
egy,13,1983
egy,13,1984
egy,13,1985
egy,13,1986
egy,13,1987
egy,13,1988
egy,14,1989
egy,14,1990
egy,20,1991
egy,18,1992
egy,17,1993
egy,14,1994
egy,14,1995
egy,13,1996
egy,12,1997
egy,12,1998
egy,12,1999
egy,12,2000
egy,11,2001
egy,10,2002
egy,10,2003
egy,10,2004
egy,10,2005
egy,9,2006
gnq,9,1985
gnq,8,1986
gnq,8,1987
gnq,10,1988
gnq,10,1989
gnq,11,1990
gnq,11,1991
gnq,12,1992
gnq,12,1993
gnq,8,1994
gnq,9,1995
gnq,8,1996
gnq,8,1997
gnq,7,1998
gnq,8,1999
gnq,7,2000
gnq,7,2001
gnq,6,2002
gnq,6,2003
gnq,6,2004
gnq,6,2005
gnq,5,2006
eth,6,1985
eth,6,1986
eth,3,1987
eth,3,1988
eth,3,1989
eth,3,1990
eth,3,1991
eth,5,1992
eth,12,1993
eth,12,1994
eth,12,1995
fji,6,1974
fji,6,1975
fji,6,1976
fji,6,1977
fji,6,1978
fji,7,1979
fji,8,1980
fji,9,1981
fji,10,1982
fji,10,1983
fji,11,1984
fji,11,1985
fji,8,1986
fji,11,1987
fji,11,1988
fji,8,1989
fji,8,1990
fji,8,1991
fji,6,1992
fji,6,1993
fji,6,1994
fji,6,1995
fji,6,1996
fji,2,1997
fji,3,1998
fji,3,1999
fji,8,2000
fji,2,2001
fji,2,2002
fji,2,2003
fji,2,2004
fji,3,2005
fji,5,2006
fin,7,1948
fin,6,1949
fin,8,1950
fin,6,1951
fin,6,1952
fin,6,1953
fin,6,1954
fin,6,1955
fin,8,1956
fin,8,1957
fin,7,1958
fin,7,1959
fin,7,1960
fin,7,1961
fin,7,1962
fin,7,1963
fin,7,1964
fin,7,1965
fin,7,1966
fin,7,1967
fin,7,1968
fin,7,1969
fin,7,1970
fin,9,1971
fin,8,1972
fin,9,1973
fin,9,1974
fin,9,1975
fin,9,1976
fin,8,1977
fin,7,1978
fin,9,1979
fin,9,1980
fin,9,1981
fin,9,1982
fin,10,1983
fin,10,1984
fin,9,1985
fin,7,1986
fin,7,1987
fin,8,1988
fin,9,1989
fin,9,1990
fin,9,1991
fin,10,1992
fin,6,1993
fin,5,1994
fin,5,1995
fin,4,1996
fin,4,1997
fin,4,1998
gab,5,1968
gab,5,1969
gab,5,1970
gab,5,1971
gab,5,1972
gab,5,1973
gab,6,1974
gab,6,1975
gab,7,1976
gab,7,1977
gab,7,1978
gab,9,1979
gab,9,1980
gab,9,1981
gab,9,1982
gab,9,1983
gab,9,1984
gab,9,1985
gab,8,1986
gab,8,1987
gab,10,1988
gab,10,1989
gab,11,1990
gab,11,1991
gab,12,1992
gab,12,1993
gab,8,1994
gab,9,1995
gab,8,1996
gab,8,1997
gab,7,1998
gab,8,1999
gab,7,2000
gab,7,2001
gab,6,2002
gab,6,2003
gab,6,2004
gab,6,2005
gab,5,2006
gmb,6,1974
gmb,6,1975
gmb,6,1976
gmb,6,1977
gmb,6,1978
gmb,6,1979
gmb,8,1980
gmb,10,1981
gmb,10,1982
gmb,10,1983
gmb,10,1984
gmb,15,1985
gmb,20,1986
gmb,21,1987
gmb,19,1988
gmb,15,1989
gmb,17,1990
gmb,16,1991
gmb,18,1992
gmb,14,1993
gmb,14,1994
gmb,14,1995
gmb,14,1996
gmb,14,1997
gmb,12,1998
gmb,11,1999
gmb,10,2000
gmb,13,2001
gmb,18,2002
gmb,29,2003
gmb,28,2004
gmb,14,2005
gmb,9,2006
deu,5,1948
deu,4,1949
deu,6,1950
deu,6,1951
deu,5,1952
deu,4,1953
deu,3,1954
deu,4,1955
deu,5,1956
deu,4,1957
deu,3,1958
deu,4,1959
deu,4,1960
deu,3,1961
deu,3,1962
deu,3,1963
deu,3,1964
deu,4,1965
deu,5,1966
deu,3,1967
deu,3,1968
deu,6,1969
deu,6,1970
deu,4,1971
deu,5,1972
deu,7,1973
deu,6,1974
deu,4,1975
deu,4,1976
deu,3,1977
deu,3,1978
deu,6,1979
deu,8,1980
deu,8,1981
deu,5,1982
deu,4,1983
deu,5,1984
deu,4,1985
deu,4,1986
deu,3,1987
deu,4,1988
deu,6,1989
deu,6,1990
deu,8,1991
deu,8,1992
deu,6,1993
deu,5,1994
deu,3,1995
deu,3,1996
deu,3,1997
deu,3,1998
gha,4,1960
gha,5,1961
gha,5,1962
gha,5,1963
gha,5,1964
gha,5,1965
gha,7,1966
gha,6,1967
gha,6,1968
gha,6,1969
gha,6,1970
gha,8,1971
gha,8,1972
gha,6,1973
gha,6,1974
gha,8,1975
gha,8,1976
gha,8,1977
gha,14,1978
gha,14,1979
gha,14,1980
gha,20,1981
gha,11,1982
gha,15,1983
gha,18,1984
gha,19,1985
gha,21,1986
gha,24,1987
gha,26,1988
gha,26,1989
gha,33,1990
gha,20,1991
gha,30,1992
gha,35,1993
gha,33,1994
gha,45,1995
gha,45,1996
gha,45,1997
gha,37,1998
gha,27,1999
gha,27,2000
gha,27,2001
gha,25,2002
gha,22,2003
gha,19,2004
gha,16,2005
gha,13,2006
grc,12,1948
grc,12,1949
grc,12,1950
grc,12,1951
grc,12,1952
grc,12,1953
grc,10,1954
grc,9,1955
grc,11,1956
grc,11,1957
grc,11,1958
grc,9,1959
grc,6,1960
grc,6,1961
grc,6,1962
grc,6,1963
grc,6,1964
grc,6,1965
grc,6,1966
grc,5,1967
grc,5,1968
grc,7,1969
grc,7,1970
grc,7,1971
grc,7,1972
grc,9,1973
grc,8,1974
grc,10,1975
grc,10,1976
grc,11,1977
grc,14,1978
grc,19,1979
grc,21,1980
grc,21,1981
grc,21,1982
grc,21,1983
grc,21,1984
grc,21,1985
grc,21,1986
grc,21,1987
grc,19,1988
grc,19,1989
grc,19,1990
grc,19,1991
grc,19,1992
grc,22,1993
grc,21,1994
grc,18,1995
grc,17,1996
grc,15,1997
grc,12,1999
grc,8,2000
grd,9,1994
grd,9,1995
grd,9,1996
grd,8,1997
grd,8,1998
grd,8,1999
grd,8,2000
grd,7,2001
grd,7,2002
grd,7,2003
grd,7,2004
grd,7,2005
grd,7,2006
gtm,4,1957
gtm,4,1958
gtm,4,1959
gtm,4,1960
gtm,4,1961
gtm,4,1962
gtm,4,1963
gtm,4,1964
gtm,4,1965
gtm,4,1966
