mean_years_in_school_women_25_to_34_years,geo,time
10.6,jam,1996
10.7,jam,1997
10.8,jam,1998
10.9,jam,1999
11.0,jam,2000
11.1,jam,2001
11.2,jam,2002
11.3,jam,2003
11.3,jam,2004
11.4,jam,2005
11.5,jam,2006
11.6,jam,2007
11.6,jam,2008
11.7,jam,2009
9.8,jpn,1970
9.9,jpn,1971
10.0,jpn,1972
10.2,jpn,1973
10.3,jpn,1974
10.5,jpn,1975
10.6,jpn,1976
10.7,jpn,1977
10.9,jpn,1978
11.0,jpn,1979
11.1,jpn,1980
11.2,jpn,1981
11.3,jpn,1982
11.4,jpn,1983
11.6,jpn,1984
11.7,jpn,1985
11.8,jpn,1986
11.9,jpn,1987
12.0,jpn,1988
12.1,jpn,1989
12.3,jpn,1990
12.4,jpn,1991
12.5,jpn,1992
12.6,jpn,1993
12.7,jpn,1994
12.8,jpn,1995
12.9,jpn,1996
13.0,jpn,1997
13.0,jpn,1998
13.1,jpn,1999
13.2,jpn,2000
13.3,jpn,2001
13.4,jpn,2002
13.4,jpn,2003
13.5,jpn,2004
13.6,jpn,2005
13.7,jpn,2006
13.7,jpn,2007
13.8,jpn,2008
13.9,jpn,2009
2.8,jor,1970
3.0,jor,1971
3.2,jor,1972
3.5,jor,1973
3.7,jor,1974
3.9,jor,1975
4.2,jor,1976
4.4,jor,1977
4.7,jor,1978
4.9,jor,1979
5.2,jor,1980
5.5,jor,1981
5.8,jor,1982
6.1,jor,1983
6.4,jor,1984
6.7,jor,1985
7.0,jor,1986
7.2,jor,1987
7.5,jor,1988
7.7,jor,1989
8.0,jor,1990
8.2,jor,1991
8.5,jor,1992
8.7,jor,1993
8.9,jor,1994
9.2,jor,1995
9.4,jor,1996
9.6,jor,1997
9.8,jor,1998
10.0,jor,1999
10.2,jor,2000
10.4,jor,2001
10.6,jor,2002
10.8,jor,2003
11.0,jor,2004
11.1,jor,2005
11.3,jor,2006
11.5,jor,2007
11.6,jor,2008
11.8,jor,2009
7.5,kaz,1970
7.6,kaz,1971
7.8,kaz,1972
8.0,kaz,1973
8.1,kaz,1974
8.3,kaz,1975
8.4,kaz,1976
8.6,kaz,1977
8.8,kaz,1978
9.0,kaz,1979
9.1,kaz,1980
9.3,kaz,1981
9.5,kaz,1982
9.7,kaz,1983
9.9,kaz,1984
10.0,kaz,1985
10.2,kaz,1986
10.3,kaz,1987
10.5,kaz,1988
10.6,kaz,1989
10.7,kaz,1990
10.9,kaz,1991
11.0,kaz,1992
11.1,kaz,1993
11.2,kaz,1994
11.3,kaz,1995
11.4,kaz,1996
11.5,kaz,1997
11.6,kaz,1998
11.6,kaz,1999
11.7,kaz,2000
11.8,kaz,2001
11.9,kaz,2002
11.9,kaz,2003
12.0,kaz,2004
12.0,kaz,2005
12.1,kaz,2006
12.1,kaz,2007
12.2,kaz,2008
12.2,kaz,2009
1.7,ken,1970
1.8,ken,1971
1.9,ken,1972
2.1,ken,1973
2.2,ken,1974
2.4,ken,1975
2.5,ken,1976
2.7,ken,1977
2.8,ken,1978
3.0,ken,1979
3.2,ken,1980
3.4,ken,1981
3.6,ken,1982
3.8,ken,1983
4.0,ken,1984
4.2,ken,1985
4.4,ken,1986
4.6,ken,1987
4.8,ken,1988
5.0,ken,1989
5.2,ken,1990
5.5,ken,1991
5.7,ken,1992
5.9,ken,1993
6.1,ken,1994
6.3,ken,1995
6.5,ken,1996
6.7,ken,1997
7.0,ken,1998
7.2,ken,1999
7.4,ken,2000
7.6,ken,2001
7.8,ken,2002
8.0,ken,2003
8.2,ken,2004
8.4,ken,2005
8.6,ken,2006
8.8,ken,2007
9.0,ken,2008
9.2,ken,2009
4.0,kir,1970
4.2,kir,1971
4.4,kir,1972
4.5,kir,1973
4.7,kir,1974
4.9,kir,1975
5.1,kir,1976
5.3,kir,1977
5.5,kir,1978
5.7,kir,1979
5.9,kir,1980
6.0,kir,1981
6.2,kir,1982
6.4,kir,1983
6.6,kir,1984
6.8,kir,1985
7.0,kir,1986
7.2,kir,1987
7.4,kir,1988
7.6,kir,1989
7.8,kir,1990
8.0,kir,1991
8.2,kir,1992
8.4,kir,1993
8.6,kir,1994
8.7,kir,1995
8.9,kir,1996
9.1,kir,1997
9.3,kir,1998
9.5,kir,1999
9.6,kir,2000
9.8,kir,2001
10.0,kir,2002
10.2,kir,2003
10.3,kir,2004
10.5,kir,2005
10.6,kir,2006
10.8,kir,2007
10.9,kir,2008
11.1,kir,2009
7.0,kor,1970
7.3,kor,1971
7.6,kor,1972
7.8,kor,1973
8.1,kor,1974
8.4,kor,1975
8.7,kor,1976
8.9,kor,1977
9.2,kor,1978
9.4,kor,1979
9.7,kor,1980
10.0,kor,1981
10.2,kor,1982
10.4,kor,1983
10.7,kor,1984
10.9,kor,1985
11.2,kor,1986
11.4,kor,1987
11.6,kor,1988
11.8,kor,1989
12.0,kor,1990
12.2,kor,1991
12.4,kor,1992
12.6,kor,1993
12.8,kor,1994
12.9,kor,1995
13.1,kor,1996
13.2,kor,1997
13.4,kor,1998
13.5,kor,1999
13.6,kor,2000
13.8,kor,2001
13.9,kor,2002
14.0,kor,2003
14.1,kor,2004
14.2,kor,2005
14.3,kor,2006
14.4,kor,2007
14.5,kor,2008
14.6,kor,2009
3.0,kwt,1970
3.2,kwt,1971
3.3,kwt,1972
3.5,kwt,1973
3.7,kwt,1974
3.9,kwt,1975
4.0,kwt,1976
4.2,kwt,1977
4.4,kwt,1978
4.6,kwt,1979
4.8,kwt,1980
4.9,kwt,1981
5.1,kwt,1982
5.3,kwt,1983
5.5,kwt,1984
5.6,kwt,1985
5.8,kwt,1986
6.0,kwt,1987
6.1,kwt,1988
6.3,kwt,1989
6.5,kwt,1990
6.6,kwt,1991
6.8,kwt,1992
7.0,kwt,1993
7.1,kwt,1994
7.3,kwt,1995
7.4,kwt,1996
7.6,kwt,1997
7.7,kwt,1998
7.9,kwt,1999
8.0,kwt,2000
8.2,kwt,2001
8.3,kwt,2002
8.5,kwt,2003
8.6,kwt,2004
8.7,kwt,2005
8.9,kwt,2006
9.0,kwt,2007
9.1,kwt,2008
9.2,kwt,2009
7.0,kgz,1970
7.2,kgz,1971
7.5,kgz,1972
7.7,kgz,1973
7.8,kgz,1974
8.0,kgz,1975
8.2,kgz,1976
8.4,kgz,1977
8.6,kgz,1978
8.8,kgz,1979
9.0,kgz,1980
9.2,kgz,1981
9.4,kgz,1982
9.5,kgz,1983
9.7,kgz,1984
9.9,kgz,1985
10.0,kgz,1986
10.2,kgz,1987
10.3,kgz,1988
10.4,kgz,1989
10.5,kgz,1990
10.6,kgz,1991
10.8,kgz,1992
10.9,kgz,1993
11.0,kgz,1994
11.1,kgz,1995
11.2,kgz,1996
11.3,kgz,1997
11.4,kgz,1998
11.5,kgz,1999
11.6,kgz,2000
11.7,kgz,2001
11.8,kgz,2002
11.9,kgz,2003
11.9,kgz,2004
12.0,kgz,2005
12.1,kgz,2006
12.2,kgz,2007
12.2,kgz,2008
12.3,kgz,2009
0.9,lao,1970
1.0,lao,1971
1.0,lao,1972
1.1,lao,1973
1.1,lao,1974
1.2,lao,1975
1.2,lao,1976
1.3,lao,1977
1.4,lao,1978
1.4,lao,1979
1.5,lao,1980
1.6,lao,1981
1.7,lao,1982
1.8,lao,1983
1.9,lao,1984
2.0,lao,1985
2.1,lao,1986
2.2,lao,1987
2.3,lao,1988
2.3,lao,1989
2.4,lao,1990
2.5,lao,1991
2.6,lao,1992
2.7,lao,1993
2.8,lao,1994
2.9,lao,1995
3.1,lao,1996
3.2,lao,1997
3.3,lao,1998
3.4,lao,1999
3.5,lao,2000
3.6,lao,2001
3.7,lao,2002
3.8,lao,2003
3.9,lao,2004
4.0,lao,2005
4.1,lao,2006
4.1,lao,2007
4.2,lao,2008
4.3,lao,2009
9.2,lva,1970
9.3,lva,1971
9.5,lva,1972
9.7,lva,1973
9.9,lva,1974
10.1,lva,1975
10.2,lva,1976
10.4,lva,1977
10.5,lva,1978
10.7,lva,1979
10.8,lva,1980
11.0,lva,1981
11.1,lva,1982
11.2,lva,1983
11.3,lva,1984
11.4,lva,1985
11.5,lva,1986
11.6,lva,1987
11.7,lva,1988
11.7,lva,1989
11.8,lva,1990
11.9,lva,1991
11.9,lva,1992
12.0,lva,1993
12.1,lva,1994
12.1,lva,1995
12.2,lva,1996
12.3,lva,1997
12.3,lva,1998
12.4,lva,1999
12.5,lva,2000
12.5,lva,2001
12.6,lva,2002
12.6,lva,2003
12.7,lva,2004
12.8,lva,2005
12.8,lva,2006
12.9,lva,2007
12.9,lva,2008
13.0,lva,2009
3.4,lbn,1970
3.6,lbn,1971
3.8,lbn,1972
4.0,lbn,1973
4.2,lbn,1974
4.5,lbn,1975
4.7,lbn,1976
4.9,lbn,1977
5.1,lbn,1978
5.4,lbn,1979
5.6,lbn,1980
5.8,lbn,1981
6.0,lbn,1982
6.3,lbn,1983
6.5,lbn,1984
6.7,lbn,1985
6.9,lbn,1986
7.2,lbn,1987
7.4,lbn,1988
7.6,lbn,1989
7.7,lbn,1990
7.9,lbn,1991
8.1,lbn,1992
8.3,lbn,1993
8.5,lbn,1994
8.7,lbn,1995
8.9,lbn,1996
9.1,lbn,1997
9.2,lbn,1998
9.4,lbn,1999
9.6,lbn,2000
9.7,lbn,2001
9.9,lbn,2002
10.1,lbn,2003
10.2,lbn,2004
10.4,lbn,2005
10.5,lbn,2006
10.6,lbn,2007
10.8,lbn,2008
10.9,lbn,2009
3.9,lso,1970
4.0,lso,1971
4.2,lso,1972
4.4,lso,1973
4.5,lso,1974
4.7,lso,1975
4.9,lso,1976
5.0,lso,1977
5.2,lso,1978
5.4,lso,1979
5.5,lso,1980
5.7,lso,1981
5.8,lso,1982
6.0,lso,1983
6.1,lso,1984
6.3,lso,1985
6.4,lso,1986
6.6,lso,1987
6.7,lso,1988
6.9,lso,1989
7.0,lso,1990
7.2,lso,1991
7.3,lso,1992
7.5,lso,1993
7.6,lso,1994
7.8,lso,1995
7.9,lso,1996
8.1,lso,1997
8.2,lso,1998
8.4,lso,1999
8.5,lso,2000
8.7,lso,2001
8.8,lso,2002
9.0,lso,2003
9.1,lso,2004
9.3,lso,2005
9.4,lso,2006
9.5,lso,2007
9.7,lso,2008
9.8,lso,2009
0.6,lbr,1970
0.6,lbr,1971
0.7,lbr,1972
0.7,lbr,1973
0.8,lbr,1974
0.8,lbr,1975
0.8,lbr,1976
0.9,lbr,1977
0.9,lbr,1978
1.0,lbr,1979
1.0,lbr,1980
1.1,lbr,1981
1.1,lbr,1982
1.2,lbr,1983
1.3,lbr,1984
1.3,lbr,1985
1.4,lbr,1986
1.5,lbr,1987
1.5,lbr,1988
1.6,lbr,1989
1.7,lbr,1990
1.8,lbr,1991
1.8,lbr,1992
1.9,lbr,1993
2.0,lbr,1994
2.1,lbr,1995
2.1,lbr,1996
2.2,lbr,1997
2.3,lbr,1998
2.4,lbr,1999
2.4,lbr,2000
2.5,lbr,2001
2.6,lbr,2002
2.7,lbr,2003
2.8,lbr,2004
2.8,lbr,2005
2.9,lbr,2006
3.0,lbr,2007
3.1,lbr,2008
3.1,lbr,2009
8.5,ltu,1970
8.8,ltu,1971
9.0,ltu,1972
9.2,ltu,1973
9.4,ltu,1974
9.6,ltu,1975
9.8,ltu,1976
10.0,ltu,1977
10.2,ltu,1978
10.4,ltu,1979
10.6,ltu,1980
10.8,ltu,1981
10.9,ltu,1982
11.1,ltu,1983
11.3,ltu,1984
11.4,ltu,1985
11.6,ltu,1986
11.7,ltu,1987
11.8,ltu,1988
11.8,ltu,1989
11.9,ltu,1990
12.0,ltu,1991
12.1,ltu,1992
12.2,ltu,1993
12.3,ltu,1994
12.3,ltu,1995
12.4,ltu,1996
12.5,ltu,1997
12.6,ltu,1998
12.6,ltu,1999
12.7,ltu,2000
12.8,ltu,2001
12.8,ltu,2002
12.9,ltu,2003
13.0,ltu,2004
13.0,ltu,2005
13.1,ltu,2006
13.1,ltu,2007
13.2,ltu,2008
13.2,ltu,2009
6.8,lux,1970
7.1,lux,1971
7.3,lux,1972
7.5,lux,1973
7.7,lux,1974
7.9,lux,1975
8.1,lux,1976
8.3,lux,1977
8.5,lux,1978
8.7,lux,1979
8.9,lux,1980
9.1,lux,1981
9.3,lux,1982
9.5,lux,1983
9.6,lux,1984
9.8,lux,1985
10.0,lux,1986
10.1,lux,1987
10.3,lux,1988
10.4,lux,1989
10.5,lux,1990
10.6,lux,1991
10.7,lux,1992
10.8,lux,1993
11.0,lux,1994
11.1,lux,1995
11.2,lux,1996
11.3,lux,1997
11.4,lux,1998
11.5,lux,1999
11.6,lux,2000
11.7,lux,2001
11.8,lux,2002
11.9,lux,2003
11.9,lux,2004
12.0,lux,2005
12.1,lux,2006
12.2,lux,2007
12.3,lux,2008
12.4,lux,2009
5.4,mkd,1970
5.6,mkd,1971
5.8,mkd,1972
5.9,mkd,1973
6.1,mkd,1974
6.3,mkd,1975
6.5,mkd,1976
6.7,mkd,1977
6.8,mkd,1978
7.0,mkd,1979
7.2,mkd,1980
7.4,mkd,1981
7.6,mkd,1982
7.8,mkd,1983
7.9,mkd,1984
8.1,mkd,1985
8.3,mkd,1986
8.5,mkd,1987
8.6,mkd,1988
8.8,mkd,1989
9.0,mkd,1990
9.1,mkd,1991
9.3,mkd,1992
9.4,mkd,1993
9.6,mkd,1994
9.7,mkd,1995
9.9,mkd,1996
10.0,mkd,1997
10.2,mkd,1998
10.3,mkd,1999
10.5,mkd,2000
10.6,mkd,2001
10.7,mkd,2002
10.9,mkd,2003
11.0,mkd,2004
11.1,mkd,2005
11.2,mkd,2006
11.3,mkd,2007
11.5,mkd,2008
11.6,mkd,2009
1.6,mdg,1970
1.7,mdg,1971
1.8,mdg,1972
1.9,mdg,1973
2.0,mdg,1974
2.1,mdg,1975
2.2,mdg,1976
2.3,mdg,1977
2.4,mdg,1978
2.5,mdg,1979
2.6,mdg,1980
2.7,mdg,1981
2.9,mdg,1982
3.0,mdg,1983
3.1,mdg,1984
3.2,mdg,1985
3.3,mdg,1986
3.4,mdg,1987
3.5,mdg,1988
3.6,mdg,1989
3.7,mdg,1990
3.8,mdg,1991
3.9,mdg,1992
4.0,mdg,1993
4.1,mdg,1994
4.2,mdg,1995
4.3,mdg,1996
4.5,mdg,1997
4.6,mdg,1998
4.7,mdg,1999
4.8,mdg,2000
4.9,mdg,2001
5.0,mdg,2002
5.1,mdg,2003
5.2,mdg,2004
5.3,mdg,2005
5.4,mdg,2006
5.5,mdg,2007
5.6,mdg,2008
5.7,mdg,2009
1.0,mwi,1970
1.1,mwi,1971
1.2,mwi,1972
1.2,mwi,1973
1.3,mwi,1974
1.4,mwi,1975
1.5,mwi,1976
1.6,mwi,1977
1.7,mwi,1978
1.7,mwi,1979
1.8,mwi,1980
1.9,mwi,1981
2.0,mwi,1982
2.1,mwi,1983
2.2,mwi,1984
2.3,mwi,1985
2.4,mwi,1986
2.5,mwi,1987
2.5,mwi,1988
2.6,mwi,1989
2.7,mwi,1990
2.8,mwi,1991
2.9,mwi,1992
3.0,mwi,1993
3.2,mwi,1994
3.3,mwi,1995
3.4,mwi,1996
3.5,mwi,1997
3.6,mwi,1998
3.8,mwi,1999
3.9,mwi,2000
4.0,mwi,2001
4.1,mwi,2002
4.3,mwi,2003
4.4,mwi,2004
4.5,mwi,2005
4.7,mwi,2006
4.8,mwi,2007
5.0,mwi,2008
5.1,mwi,2009
3.2,mys,1970
3.3,mys,1971
3.5,mys,1972
3.7,mys,1973
3.9,mys,1974
4.2,mys,1975
4.4,mys,1976
4.6,mys,1977
4.8,mys,1978
5.1,mys,1979
5.3,mys,1980
5.5,mys,1981
5.8,mys,1982
6.0,mys,1983
6.3,mys,1984
6.5,mys,1985
6.8,mys,1986
7.0,mys,1987
7.2,mys,1988
7.5,mys,1989
7.7,mys,1990
7.9,mys,1991
8.1,mys,1992
8.4,mys,1993
8.6,mys,1994
8.8,mys,1995
9.1,mys,1996
9.3,mys,1997
9.5,mys,1998
9.7,mys,1999
9.9,mys,2000
10.1,mys,2001
10.3,mys,2002
10.5,mys,2003
10.7,mys,2004
10.9,mys,2005
11.1,mys,2006
11.3,mys,2007
11.5,mys,2008
11.6,mys,2009
3.1,mdv,1970
3.2,mdv,1971
3.3,mdv,1972
3.4,mdv,1973
3.5,mdv,1974
3.6,mdv,1975
3.6,mdv,1976
3.7,mdv,1977
3.8,mdv,1978
3.8,mdv,1979
3.9,mdv,1980
3.9,mdv,1981
4.0,mdv,1982
4.0,mdv,1983
4.0,mdv,1984
4.0,mdv,1985
4.1,mdv,1986
4.1,mdv,1987
4.1,mdv,1988
4.2,mdv,1989
4.2,mdv,1990
4.3,mdv,1991
4.3,mdv,1992
4.4,mdv,1993
4.4,mdv,1994
4.5,mdv,1995
4.6,mdv,1996
4.6,mdv,1997
4.7,mdv,1998
4.8,mdv,1999
4.8,mdv,2000
4.9,mdv,2001
5.0,mdv,2002
5.1,mdv,2003
5.2,mdv,2004
5.3,mdv,2005
5.3,mdv,2006
5.4,mdv,2007
5.5,mdv,2008
5.6,mdv,2009
0.3,mli,1970
0.3,mli,1971
0.3,mli,1972
0.3,mli,1973
0.4,mli,1974
0.4,mli,1975
0.4,mli,1976
0.4,mli,1977
0.4,mli,1978
0.5,mli,1979
0.5,mli,1980
0.5,mli,1981
0.6,mli,1982
0.6,mli,1983
0.6,mli,1984
0.6,mli,1985
0.7,mli,1986
0.7,mli,1987
0.7,mli,1988
0.8,mli,1989
0.8,mli,1990
0.8,mli,1991
0.8,mli,1992
0.9,mli,1993
0.9,mli,1994
0.9,mli,1995
1.0,mli,1996
1.0,mli,1997
1.0,mli,1998
1.1,mli,1999
1.1,mli,2000
1.1,mli,2001
1.1,mli,2002
1.2,mli,2003
1.2,mli,2004
1.2,mli,2005
1.2,mli,2006
1.3,mli,2007
1.3,mli,2008
1.3,mli,2009
4.0,mhl,1970
4.2,mhl,1971
4.4,mhl,1972
4.6,mhl,1973
4.9,mhl,1974
5.1,mhl,1975
5.3,mhl,1976
5.5,mhl,1977
5.7,mhl,1978
6.0,mhl,1979
6.2,mhl,1980
6.4,mhl,1981
6.6,mhl,1982
6.8,mhl,1983
7.1,mhl,1984
7.2,mhl,1985
7.4,mhl,1986
7.6,mhl,1987
7.7,mhl,1988
7.8,mhl,1989
8.0,mhl,1990
8.1,mhl,1991
8.2,mhl,1992
8.4,mhl,1993
8.5,mhl,1994
8.6,mhl,1995
8.7,mhl,1996
8.8,mhl,1997
8.9,mhl,1998
9.1,mhl,1999
9.2,mhl,2000
9.3,mhl,2001
9.3,mhl,2002
9.4,mhl,2003
9.5,mhl,2004
9.6,mhl,2005
9.7,mhl,2006
9.8,mhl,2007
9.8,mhl,2008
9.9,mhl,2009
0.4,mrt,1970
0.5,mrt,1971
0.5,mrt,1972
0.5,mrt,1973
0.5,mrt,1974
0.5,mrt,1975
0.6,mrt,1976
0.6,mrt,1977
0.6,mrt,1978
0.6,mrt,1979
0.7,mrt,1980
0.7,mrt,1981
0.7,mrt,1982
0.8,mrt,1983
0.8,mrt,1984
0.9,mrt,1985
1.0,mrt,1986
1.0,mrt,1987
1.1,mrt,1988
1.2,mrt,1989
1.3,mrt,1990
1.4,mrt,1991
1.5,mrt,1992
1.5,mrt,1993
1.6,mrt,1994
1.7,mrt,1995
1.8,mrt,1996
1.9,mrt,1997
2.0,mrt,1998
2.2,mrt,1999
2.3,mrt,2000
2.4,mrt,2001
2.5,mrt,2002
2.6,mrt,2003
2.7,mrt,2004
2.9,mrt,2005
3.0,mrt,2006
3.1,mrt,2007
3.2,mrt,2008
3.4,mrt,2009
2.6,mus,1970
2.8,mus,1971
2.9,mus,1972
3.1,mus,1973
3.3,mus,1974
3.4,mus,1975
3.6,mus,1976
3.8,mus,1977
4.0,mus,1978
4.2,mus,1979
4.4,mus,1980
4.6,mus,1981
4.8,mus,1982
5.1,mus,1983
5.3,mus,1984
5.5,mus,1985
5.8,mus,1986
6.0,mus,1987
6.2,mus,1988
6.5,mus,1989
6.7,mus,1990
6.9,mus,1991
7.1,mus,1992
7.4,mus,1993
7.6,mus,1994
7.8,mus,1995
8.0,mus,1996
8.2,mus,1997
8.4,mus,1998
8.6,mus,1999
8.8,mus,2000
9.0,mus,2001
9.2,mus,2002
9.3,mus,2003
9.5,mus,2004
9.7,mus,2005
9.8,mus,2006
10.0,mus,2007
10.1,mus,2008
10.2,mus,2009
3.5,mex,1970
3.7,mex,1971
3.9,mex,1972
4.0,mex,1973
4.2,mex,1974
4.4,mex,1975
4.5,mex,1976
4.7,mex,1977
4.9,mex,1978
5.1,mex,1979
5.2,mex,1980
5.4,mex,1981
5.6,mex,1982
5.8,mex,1983
6.0,mex,1984
6.2,mex,1985
6.3,mex,1986
6.5,mex,1987
6.7,mex,1988
6.9,mex,1989
7.0,mex,1990
7.2,mex,1991
7.4,mex,1992
7.5,mex,1993
7.7,mex,1994
7.9,mex,1995
8.1,mex,1996
8.2,mex,1997
8.4,mex,1998
8.6,mex,1999
8.7,mex,2000
8.9,mex,2001
9.1,mex,2002
9.2,mex,2003
9.4,mex,2004
9.5,mex,2005
9.7,mex,2006
9.8,mex,2007
10.0,mex,2008
10.1,mex,2009
7.7,mda,1970
7.9,mda,1971
8.1,mda,1972
8.3,mda,1973
8.5,mda,1974
8.7,mda,1975
8.9,mda,1976
9.1,mda,1977
9.3,mda,1978
9.5,mda,1979
9.6,mda,1980
9.8,mda,1981
10.0,mda,1982
10.2,mda,1983
10.4,mda,1984
10.5,mda,1985
10.7,mda,1986
10.8,mda,1987
10.9,mda,1988
11.0,mda,1989
11.1,mda,1990
11.3,mda,1991
11.4,mda,1992
11.5,mda,1993
11.6,mda,1994
11.7,mda,1995
11.8,mda,1996
11.9,mda,1997
12.0,mda,1998
12.1,mda,1999
12.1,mda,2000
12.2,mda,2001
12.3,mda,2002
12.4,mda,2003
12.5,mda,2004
12.5,mda,2005
12.6,mda,2006
12.7,mda,2007
12.7,mda,2008
12.8,mda,2009
5.9,mng,1970
6.1,mng,1971
6.3,mng,1972
6.5,mng,1973
6.7,mng,1974
6.9,mng,1975
7.0,mng,1976
7.2,mng,1977
7.4,mng,1978
7.6,mng,1979
7.7,mng,1980
7.9,mng,1981
8.1,mng,1982
8.2,mng,1983
8.4,mng,1984
8.5,mng,1985
8.6,mng,1986
8.7,mng,1987
8.8,mng,1988
8.9,mng,1989
9.0,mng,1990
9.1,mng,1991
9.1,mng,1992
9.2,mng,1993
9.3,mng,1994
9.4,mng,1995
9.5,mng,1996
9.5,mng,1997
9.6,mng,1998
9.7,mng,1999
9.8,mng,2000
9.8,mng,2001
9.9,mng,2002
10.0,mng,2003
10.0,mng,2004
10.1,mng,2005
10.1,mng,2006
10.2,mng,2007
10.3,mng,2008
10.3,mng,2009
6.3,mne,1970
6.5,mne,1971
6.7,mne,1972
6.9,mne,1973
7.1,mne,1974
7.2,mne,1975
7.4,mne,1976
7.6,mne,1977
7.8,mne,1978
7.9,mne,1979
8.1,mne,1980
8.3,mne,1981
8.5,mne,1982
8.6,mne,1983
8.8,mne,1984
9.0,mne,1985
9.1,mne,1986
9.3,mne,1987
9.5,mne,1988
9.6,mne,1989
9.8,mne,1990
9.9,mne,1991
10.1,mne,1992
10.2,mne,1993
10.3,mne,1994
10.5,mne,1995
10.6,mne,1996
10.7,mne,1997
10.8,mne,1998
11.0,mne,1999
11.1,mne,2000
11.2,mne,2001
11.3,mne,2002
11.4,mne,2003
11.5,mne,2004
11.6,mne,2005
11.7,mne,2006
11.8,mne,2007
11.9,mne,2008
11.9,mne,2009
0.6,mar,1970
0.7,mar,1971
0.7,mar,1972
0.8,mar,1973
0.8,mar,1974
0.9,mar,1975
0.9,mar,1976
1.0,mar,1977
1.1,mar,1978
1.2,mar,1979
1.2,mar,1980
1.3,mar,1981
1.4,mar,1982
1.5,mar,1983
1.6,mar,1984
1.8,mar,1985
1.9,mar,1986
2.0,mar,1987
2.1,mar,1988
2.2,mar,1989
2.3,mar,1990
2.4,mar,1991
2.5,mar,1992
2.6,mar,1993
2.7,mar,1994
2.8,mar,1995
3.0,mar,1996
3.1,mar,1997
3.2,mar,1998
3.3,mar,1999
3.5,mar,2000
3.6,mar,2001
3.7,mar,2002
3.8,mar,2003
3.9,mar,2004
4.1,mar,2005
4.2,mar,2006
4.3,mar,2007
4.4,mar,2008
4.5,mar,2009
0.6,moz,1970
0.6,moz,1971
0.6,moz,1972
0.7,moz,1973
0.7,moz,1974
0.7,moz,1975
0.8,moz,1976
0.8,moz,1977
0.9,moz,1978
0.9,moz,1979
0.9,moz,1980
1.0,moz,1981
1.0,moz,1982
1.1,moz,1983
1.1,moz,1984
1.2,moz,1985
1.3,moz,1986
1.3,moz,1987
1.4,moz,1988
1.5,moz,1989
1.5,moz,1990
1.6,moz,1991
1.7,moz,1992
1.7,moz,1993
1.8,moz,1994
1.9,moz,1995
1.9,moz,1996
2.0,moz,1997
2.1,moz,1998
2.1,moz,1999
2.2,moz,2000
2.3,moz,2001
2.3,moz,2002
2.4,moz,2003
2.5,moz,2004
2.6,moz,2005
2.6,moz,2006
2.7,moz,2007
2.7,moz,2008
2.8,moz,2009
1.9,mmr,1970
2.0,mmr,1971
2.1,mmr,1972
2.2,mmr,1973
2.4,mmr,1974
2.5,mmr,1975
2.6,mmr,1976
2.7,mmr,1977
2.9,mmr,1978
3.0,mmr,1979
3.2,mmr,1980
3.3,mmr,1981
3.4,mmr,1982
3.6,mmr,1983
3.7,mmr,1984
3.8,mmr,1985
4.0,mmr,1986
4.1,mmr,1987
4.2,mmr,1988
4.3,mmr,1989
4.4,mmr,1990
4.5,mmr,1991
4.7,mmr,1992
4.8,mmr,1993
4.9,mmr,1994
5.0,mmr,1995
5.1,mmr,1996
5.3,mmr,1997
5.4,mmr,1998
5.5,mmr,1999
5.6,mmr,2000
5.8,mmr,2001
5.9,mmr,2002
6.0,mmr,2003
6.1,mmr,2004
6.2,mmr,2005
6.4,mmr,2006
6.5,mmr,2007
6.6,mmr,2008
6.7,mmr,2009
2.8,nam,1970
3.0,nam,1971
3.1,nam,1972
3.3,nam,1973
3.5,nam,1974
3.6,nam,1975
3.8,nam,1976
4.0,nam,1977
4.2,nam,1978
4.4,nam,1979
4.6,nam,1980
4.7,nam,1981
4.9,nam,1982
5.1,nam,1983
5.3,nam,1984
5.4,nam,1985
5.6,nam,1986
5.8,nam,1987
5.9,nam,1988
6.1,nam,1989
6.3,nam,1990
6.4,nam,1991
6.6,nam,1992
6.8,nam,1993
6.9,nam,1994
7.1,nam,1995
7.2,nam,1996
7.4,nam,1997
7.6,nam,1998
7.7,nam,1999
7.9,nam,2000
8.0,nam,2001
8.2,nam,2002
8.3,nam,2003
8.5,nam,2004
8.6,nam,2005
8.8,nam,2006
8.9,nam,2007
9.0,nam,2008
9.2,nam,2009
0.2,npl,1970
0.2,npl,1971
0.3,npl,1972
0.3,npl,1973
0.3,npl,1974
0.3,npl,1975
0.4,npl,1976
0.4,npl,1977
0.4,npl,1978
0.4,npl,1979
0.5,npl,1980
0.5,npl,1981
0.6,npl,1982
0.6,npl,1983
0.6,npl,1984
0.7,npl,1985
0.7,npl,1986
0.8,npl,1987
0.9,npl,1988
0.9,npl,1989
1.0,npl,1990
1.1,npl,1991
1.1,npl,1992
1.2,npl,1993
1.3,npl,1994
1.4,npl,1995
1.5,npl,1996
1.6,npl,1997
1.7,npl,1998
1.8,npl,1999
1.9,npl,2000
2.0,npl,2001
2.1,npl,2002
2.3,npl,2003
2.4,npl,2004
2.5,npl,2005
2.7,npl,2006
2.8,npl,2007
2.9,npl,2008
3.1,npl,2009
7.3,nld,1970
7.5,nld,1971
7.7,nld,1972
7.9,nld,1973
8.1,nld,1974
8.3,nld,1975
8.4,nld,1976
