cholesterol_fat_in_blood_women_mmolperl,geo,time
4.669,cub,2006
4.666,cub,2007
4.665,cub,2008
5.506,cyp,1980
5.495,cyp,1981
5.485,cyp,1982
5.476,cyp,1983
5.471,cyp,1984
5.467,cyp,1985
5.457,cyp,1986
5.45,cyp,1987
5.444,cyp,1988
5.437,cyp,1989
5.431,cyp,1990
5.418,cyp,1991
5.406,cyp,1992
5.394,cyp,1993
5.385,cyp,1994
5.372,cyp,1995
5.358,cyp,1996
5.34,cyp,1997
5.323,cyp,1998
5.304,cyp,1999
5.289,cyp,2000
5.275,cyp,2001
5.263,cyp,2002
5.251,cyp,2003
5.239,cyp,2004
5.227,cyp,2005
5.214,cyp,2006
5.203,cyp,2007
5.194,cyp,2008
5.863,cze,1980
5.87,cze,1981
5.878,cze,1982
5.882,cze,1983
5.885,cze,1984
5.884,cze,1985
5.879,cze,1986
5.871,cze,1987
5.863,cze,1988
5.853,cze,1989
5.84,cze,1990
5.82,cze,1991
5.798,cze,1992
5.773,cze,1993
5.739,cze,1994
5.705,cze,1995
5.667,cze,1996
5.626,cze,1997
5.585,cze,1998
5.542,cze,1999
5.497,cze,2000
5.451,cze,2001
5.401,cze,2002
5.349,cze,2003
5.3,cze,2004
5.251,cze,2005
5.21,cze,2006
5.165,cze,2007
5.125,cze,2008
5.954,dnk,1980
5.929,dnk,1981
5.901,dnk,1982
5.873,dnk,1983
5.845,dnk,1984
5.821,dnk,1985
5.798,dnk,1986
5.774,dnk,1987
5.754,dnk,1988
5.731,dnk,1989
5.707,dnk,1990
5.681,dnk,1991
5.66,dnk,1992
5.638,dnk,1993
5.618,dnk,1994
5.602,dnk,1995
5.583,dnk,1996
5.563,dnk,1997
5.545,dnk,1998
5.526,dnk,1999
5.509,dnk,2000
5.494,dnk,2001
5.479,dnk,2002
5.464,dnk,2003
5.452,dnk,2004
5.443,dnk,2005
5.435,dnk,2006
5.432,dnk,2007
5.425,dnk,2008
5.082,dji,1980
5.067,dji,1981
5.05,dji,1982
5.033,dji,1983
5.017,dji,1984
5.001,dji,1985
4.986,dji,1986
4.969,dji,1987
4.951,dji,1988
4.93,dji,1989
4.908,dji,1990
4.885,dji,1991
4.865,dji,1992
4.846,dji,1993
4.826,dji,1994
4.809,dji,1995
4.792,dji,1996
4.774,dji,1997
4.757,dji,1998
4.741,dji,1999
4.731,dji,2000
4.719,dji,2001
4.707,dji,2002
4.696,dji,2003
4.684,dji,2004
4.675,dji,2005
4.668,dji,2006
4.662,dji,2007
4.658,dji,2008
4.949,dma,1980
4.938,dma,1981
4.931,dma,1982
4.92,dma,1983
4.909,dma,1984
4.897,dma,1985
4.885,dma,1986
4.877,dma,1987
4.868,dma,1988
4.86,dma,1989
4.859,dma,1990
4.859,dma,1991
4.859,dma,1992
4.859,dma,1993
4.86,dma,1994
4.86,dma,1995
4.861,dma,1996
4.863,dma,1997
4.863,dma,1998
4.864,dma,1999
4.865,dma,2000
4.866,dma,2001
4.865,dma,2002
4.863,dma,2003
4.866,dma,2004
4.866,dma,2005
4.869,dma,2006
4.872,dma,2007
4.876,dma,2008
4.847,dom,1980
4.827,dom,1981
4.807,dom,1982
4.786,dom,1983
4.763,dom,1984
4.736,dom,1985
4.708,dom,1986
4.683,dom,1987
4.658,dom,1988
4.635,dom,1989
4.61,dom,1990
4.589,dom,1991
4.574,dom,1992
4.561,dom,1993
4.552,dom,1994
4.546,dom,1995
4.545,dom,1996
4.547,dom,1997
4.554,dom,1998
4.562,dom,1999
4.575,dom,2000
4.587,dom,2001
4.599,dom,2002
4.607,dom,2003
4.616,dom,2004
4.629,dom,2005
4.645,dom,2006
4.662,dom,2007
4.679,dom,2008
4.991,ecu,1980
4.989,ecu,1981
4.983,ecu,1982
4.975,ecu,1983
4.966,ecu,1984
4.957,ecu,1985
4.948,ecu,1986
4.934,ecu,1987
4.921,ecu,1988
4.906,ecu,1989
4.896,ecu,1990
4.89,ecu,1991
4.885,ecu,1992
4.879,ecu,1993
4.873,ecu,1994
4.871,ecu,1995
4.87,ecu,1996
4.87,ecu,1997
4.868,ecu,1998
4.86,ecu,1999
4.852,ecu,2000
4.844,ecu,2001
4.838,ecu,2002
4.833,ecu,2003
4.829,ecu,2004
4.823,ecu,2005
4.82,ecu,2006
4.818,ecu,2007
4.817,ecu,2008
4.784,egy,1980
4.783,egy,1981
4.782,egy,1982
4.782,egy,1983
4.782,egy,1984
4.782,egy,1985
4.781,egy,1986
4.778,egy,1987
4.776,egy,1988
4.775,egy,1989
4.775,egy,1990
4.774,egy,1991
4.774,egy,1992
4.774,egy,1993
4.777,egy,1994
4.78,egy,1995
4.784,egy,1996
4.791,egy,1997
4.799,egy,1998
4.809,egy,1999
4.82,egy,2000
4.83,egy,2001
4.839,egy,2002
4.851,egy,2003
4.862,egy,2004
4.873,egy,2005
4.886,egy,2006
4.901,egy,2007
4.916,egy,2008
4.862,slv,1980
4.845,slv,1981
4.826,slv,1982
4.806,slv,1983
4.788,slv,1984
4.771,slv,1985
4.755,slv,1986
4.741,slv,1987
4.729,slv,1988
4.716,slv,1989
4.705,slv,1990
4.695,slv,1991
4.689,slv,1992
4.686,slv,1993
4.685,slv,1994
4.687,slv,1995
4.69,slv,1996
4.694,slv,1997
4.699,slv,1998
4.705,slv,1999
4.707,slv,2000
4.709,slv,2001
4.709,slv,2002
4.709,slv,2003
4.708,slv,2004
4.708,slv,2005
4.708,slv,2006
4.708,slv,2007
4.709,slv,2008
4.752,gnq,1980
4.739,gnq,1981
4.724,gnq,1982
4.708,gnq,1983
4.693,gnq,1984
4.675,gnq,1985
4.656,gnq,1986
4.637,gnq,1987
4.621,gnq,1988
4.605,gnq,1989
4.591,gnq,1990
4.576,gnq,1991
4.565,gnq,1992
4.554,gnq,1993
4.542,gnq,1994
4.535,gnq,1995
4.535,gnq,1996
4.553,gnq,1997
4.574,gnq,1998
4.601,gnq,1999
4.628,gnq,2000
4.662,gnq,2001
4.695,gnq,2002
4.725,gnq,2003
4.755,gnq,2004
4.778,gnq,2005
4.793,gnq,2006
4.807,gnq,2007
4.817,gnq,2008
4.368,eri,1980
4.354,eri,1981
4.34,eri,1982
4.324,eri,1983
4.313,eri,1984
4.304,eri,1985
4.296,eri,1986
4.286,eri,1987
4.276,eri,1988
4.267,eri,1989
4.257,eri,1990
4.249,eri,1991
4.245,eri,1992
4.246,eri,1993
4.251,eri,1994
4.254,eri,1995
4.26,eri,1996
4.265,eri,1997
4.27,eri,1998
4.272,eri,1999
4.267,eri,2000
4.261,eri,2001
4.253,eri,2002
4.241,eri,2003
4.228,eri,2004
4.215,eri,2005
4.201,eri,2006
4.187,eri,2007
4.173,eri,2008
5.705,est,1980
5.693,est,1981
5.681,est,1982
5.668,est,1983
5.656,est,1984
5.64,est,1985
5.625,est,1986
5.614,est,1987
5.602,est,1988
5.593,est,1989
5.583,est,1990
5.572,est,1991
5.554,est,1992
5.526,est,1993
5.493,est,1994
5.457,est,1995
5.423,est,1996
5.389,est,1997
5.364,est,1998
5.349,est,1999
5.326,est,2000
5.307,est,2001
5.297,est,2002
5.287,est,2003
5.282,est,2004
5.272,est,2005
5.261,est,2006
5.248,est,2007
5.232,est,2008
4.438,eth,1980
4.421,eth,1981
4.403,eth,1982
4.386,eth,1983
4.372,eth,1984
4.357,eth,1985
4.344,eth,1986
4.33,eth,1987
4.318,eth,1988
4.306,eth,1989
4.295,eth,1990
4.281,eth,1991
4.269,eth,1992
4.261,eth,1993
4.253,eth,1994
4.244,eth,1995
4.238,eth,1996
4.233,eth,1997
4.226,eth,1998
4.221,eth,1999
4.215,eth,2000
4.209,eth,2001
4.203,eth,2002
4.194,eth,2003
4.187,eth,2004
4.182,eth,2005
4.18,eth,2006
4.179,eth,2007
4.181,eth,2008
4.863,fji,1980
4.866,fji,1981
4.864,fji,1982
4.856,fji,1983
4.851,fji,1984
4.846,fji,1985
4.844,fji,1986
4.842,fji,1987
4.839,fji,1988
4.84,fji,1989
4.85,fji,1990
4.86,fji,1991
4.872,fji,1992
4.884,fji,1993
4.895,fji,1994
4.909,fji,1995
4.923,fji,1996
4.935,fji,1997
4.946,fji,1998
4.96,fji,1999
4.971,fji,2000
4.983,fji,2001
4.992,fji,2002
5.002,fji,2003
5.009,fji,2004
5.015,fji,2005
5.022,fji,2006
5.024,fji,2007
5.026,fji,2008
6.169,fin,1980
6.133,fin,1981
6.1,fin,1982
6.064,fin,1983
6.029,fin,1984
5.992,fin,1985
5.958,fin,1986
5.923,fin,1987
5.887,fin,1988
5.852,fin,1989
5.815,fin,1990
5.774,fin,1991
5.734,fin,1992
5.694,fin,1993
5.657,fin,1994
5.624,fin,1995
5.592,fin,1996
5.561,fin,1997
5.535,fin,1998
5.508,fin,1999
5.482,fin,2000
5.459,fin,2001
5.437,fin,2002
5.416,fin,2003
5.396,fin,2004
5.379,fin,2005
5.365,fin,2006
5.354,fin,2007
5.343,fin,2008
5.965,fra,1980
5.946,fra,1981
5.922,fra,1982
5.897,fra,1983
5.873,fra,1984
5.848,fra,1985
5.823,fra,1986
5.799,fra,1987
5.775,fra,1988
5.75,fra,1989
5.722,fra,1990
5.696,fra,1991
5.671,fra,1992
5.644,fra,1993
5.618,fra,1994
5.592,fra,1995
5.567,fra,1996
5.543,fra,1997
5.52,fra,1998
5.499,fra,1999
5.478,fra,2000
5.457,fra,2001
5.437,fra,2002
5.418,fra,2003
5.399,fra,2004
5.379,fra,2005
5.359,fra,2006
5.344,fra,2007
5.328,fra,2008
5.348,pyf,1980
5.341,pyf,1981
5.336,pyf,1982
5.332,pyf,1983
5.328,pyf,1984
5.323,pyf,1985
5.322,pyf,1986
5.32,pyf,1987
5.327,pyf,1988
5.328,pyf,1989
5.329,pyf,1990
5.338,pyf,1991
5.348,pyf,1992
5.355,pyf,1993
5.357,pyf,1994
5.364,pyf,1995
5.362,pyf,1996
5.361,pyf,1997
5.363,pyf,1998
5.37,pyf,1999
5.375,pyf,2000
5.383,pyf,2001
5.392,pyf,2002
5.401,pyf,2003
5.411,pyf,2004
5.417,pyf,2005
5.423,pyf,2006
5.428,pyf,2007
5.434,pyf,2008
5.243,gab,1980
5.239,gab,1981
5.231,gab,1982
5.22,gab,1983
5.21,gab,1984
5.203,gab,1985
5.189,gab,1986
5.172,gab,1987
5.155,gab,1988
5.137,gab,1989
5.114,gab,1990
5.093,gab,1991
5.076,gab,1992
5.063,gab,1993
5.047,gab,1994
5.033,gab,1995
5.019,gab,1996
5.008,gab,1997
5.0,gab,1998
4.988,gab,1999
4.974,gab,2000
4.961,gab,2001
4.942,gab,2002
4.928,gab,2003
4.919,gab,2004
4.91,gab,2005
4.904,gab,2006
4.9,gab,2007
4.896,gab,2008
4.64,gmb,1980
4.625,gmb,1981
4.609,gmb,1982
4.593,gmb,1983
4.576,gmb,1984
4.554,gmb,1985
4.533,gmb,1986
4.514,gmb,1987
4.497,gmb,1988
4.482,gmb,1989
4.466,gmb,1990
4.451,gmb,1991
4.434,gmb,1992
4.421,gmb,1993
4.407,gmb,1994
4.392,gmb,1995
4.379,gmb,1996
4.365,gmb,1997
4.353,gmb,1998
4.342,gmb,1999
4.33,gmb,2000
4.318,gmb,2001
4.303,gmb,2002
4.29,gmb,2003
4.279,gmb,2004
4.266,gmb,2005
4.255,gmb,2006
4.243,gmb,2007
4.231,gmb,2008
5.379,geo,1980
5.364,geo,1981
5.347,geo,1982
5.333,geo,1983
5.318,geo,1984
5.302,geo,1985
5.284,geo,1986
5.264,geo,1987
5.243,geo,1988
5.218,geo,1989
5.19,geo,1990
5.149,geo,1991
5.092,geo,1992
5.029,geo,1993
4.967,geo,1994
4.911,geo,1995
4.861,geo,1996
4.822,geo,1997
4.788,geo,1998
4.762,geo,1999
4.741,geo,2000
4.725,geo,2001
4.715,geo,2002
4.711,geo,2003
4.711,geo,2004
4.713,geo,2005
4.711,geo,2006
4.709,geo,2007
4.707,geo,2008
5.756,deu,1980
5.767,deu,1981
5.775,deu,1982
5.783,deu,1983
5.792,deu,1984
5.802,deu,1985
5.811,deu,1986
5.82,deu,1987
5.826,deu,1988
5.829,deu,1989
5.83,deu,1990
5.831,deu,1991
5.83,deu,1992
5.822,deu,1993
5.811,deu,1994
5.797,deu,1995
5.778,deu,1996
5.757,deu,1997
5.733,deu,1998
5.704,deu,1999
5.67,deu,2000
5.633,deu,2001
5.594,deu,2002
5.556,deu,2003
5.515,deu,2004
5.475,deu,2005
5.437,deu,2006
5.402,deu,2007
5.368,deu,2008
4.62,gha,1980
4.6,gha,1981
4.579,gha,1982
4.556,gha,1983
4.531,gha,1984
4.506,gha,1985
4.485,gha,1986
4.464,gha,1987
4.444,gha,1988
4.427,gha,1989
4.412,gha,1990
4.394,gha,1991
4.378,gha,1992
4.36,gha,1993
4.343,gha,1994
4.326,gha,1995
4.311,gha,1996
4.296,gha,1997
4.284,gha,1998
4.271,gha,1999
4.261,gha,2000
4.25,gha,2001
4.239,gha,2002
4.227,gha,2003
4.216,gha,2004
4.205,gha,2005
4.193,gha,2006
4.182,gha,2007
4.171,gha,2008
5.559,grc,1980
5.532,grc,1981
5.506,grc,1982
5.48,grc,1983
5.454,grc,1984
5.429,grc,1985
5.404,grc,1986
5.376,grc,1987
5.345,grc,1988
5.316,grc,1989
5.286,grc,1990
5.253,grc,1991
5.222,grc,1992
5.191,grc,1993
5.161,grc,1994
5.132,grc,1995
5.102,grc,1996
5.075,grc,1997
5.053,grc,1998
5.03,grc,1999
5.009,grc,2000
4.989,grc,2001
4.97,grc,2002
4.957,grc,2003
4.945,grc,2004
4.937,grc,2005
4.933,grc,2006
4.93,grc,2007
4.928,grc,2008
6.033,grl,1980
6.01,grl,1981
5.984,grl,1982
5.957,grl,1983
5.929,grl,1984
5.899,grl,1985
5.873,grl,1986
5.844,grl,1987
5.819,grl,1988
5.796,grl,1989
5.769,grl,1990
5.745,grl,1991
5.717,grl,1992
5.694,grl,1993
5.672,grl,1994
5.655,grl,1995
5.64,grl,1996
5.629,grl,1997
5.621,grl,1998
5.615,grl,1999
5.614,grl,2000
5.616,grl,2001
5.618,grl,2002
5.622,grl,2003
5.628,grl,2004
5.64,grl,2005
5.65,grl,2006
5.662,grl,2007
5.674,grl,2008
4.859,grd,1980
4.848,grd,1981
4.84,grd,1982
4.831,grd,1983
4.822,grd,1984
4.819,grd,1985
4.817,grd,1986
4.811,grd,1987
4.805,grd,1988
4.795,grd,1989
4.787,grd,1990
4.781,grd,1991
4.771,grd,1992
4.761,grd,1993
4.753,grd,1994
4.746,grd,1995
4.741,grd,1996
4.737,grd,1997
4.737,grd,1998
4.736,grd,1999
4.736,grd,2000
4.735,grd,2001
4.733,grd,2002
4.732,grd,2003
4.727,grd,2004
4.728,grd,2005
4.723,grd,2006
4.717,grd,2007
4.713,grd,2008
4.837,gtm,1980
4.819,gtm,1981
4.801,gtm,1982
4.782,gtm,1983
4.764,gtm,1984
4.742,gtm,1985
4.718,gtm,1986
4.695,gtm,1987
4.674,gtm,1988
4.656,gtm,1989
4.638,gtm,1990
4.622,gtm,1991
4.608,gtm,1992
4.595,gtm,1993
4.586,gtm,1994
4.58,gtm,1995
4.576,gtm,1996
4.574,gtm,1997
4.572,gtm,1998
4.57,gtm,1999
4.568,gtm,2000
4.565,gtm,2001
4.56,gtm,2002
4.556,gtm,2003
4.552,gtm,2004
4.548,gtm,2005
4.544,gtm,2006
4.541,gtm,2007
4.539,gtm,2008
4.562,gin,1980
4.545,gin,1981
4.528,gin,1982
4.51,gin,1983
4.489,gin,1984
4.468,gin,1985
4.447,gin,1986
4.427,gin,1987
4.408,gin,1988
4.389,gin,1989
4.371,gin,1990
4.353,gin,1991
4.335,gin,1992
4.319,gin,1993
4.302,gin,1994
4.288,gin,1995
4.275,gin,1996
4.264,gin,1997
4.256,gin,1998
4.247,gin,1999
4.238,gin,2000
4.231,gin,2001
4.222,gin,2002
4.214,gin,2003
4.203,gin,2004
4.192,gin,2005
4.181,gin,2006
4.168,gin,2007
4.157,gin,2008
4.545,gnb,1980
4.525,gnb,1981
4.506,gnb,1982
4.486,gnb,1983
4.466,gnb,1984
4.444,gnb,1985
4.424,gnb,1986
4.404,gnb,1987
4.385,gnb,1988
4.368,gnb,1989
4.352,gnb,1990
4.335,gnb,1991
4.316,gnb,1992
4.302,gnb,1993
4.287,gnb,1994
4.273,gnb,1995
4.262,gnb,1996
4.253,gnb,1997
4.233,gnb,1998
4.216,gnb,1999
4.204,gnb,2000
4.189,gnb,2001
4.17,gnb,2002
4.151,gnb,2003
4.133,gnb,2004
4.115,gnb,2005
4.097,gnb,2006
4.08,gnb,2007
4.063,gnb,2008
4.734,guy,1980
4.718,guy,1981
4.694,guy,1982
4.667,guy,1983
4.638,guy,1984
4.609,guy,1985
4.582,guy,1986
4.561,guy,1987
4.541,guy,1988
4.518,guy,1989
4.497,guy,1990
4.48,guy,1991
4.47,guy,1992
4.465,guy,1993
4.463,guy,1994
4.463,guy,1995
4.465,guy,1996
4.466,guy,1997
4.465,guy,1998
4.467,guy,1999
4.461,guy,2000
4.452,guy,2001
4.443,guy,2002
4.434,guy,2003
4.429,guy,2004
4.415,guy,2005
4.403,guy,2006
4.394,guy,2007
4.386,guy,2008
4.647,hti,1980
4.634,hti,1981
4.619,hti,1982
4.602,hti,1983
4.586,hti,1984
4.57,hti,1985
4.553,hti,1986
4.535,hti,1987
4.519,hti,1988
4.502,hti,1989
4.486,hti,1990
4.471,hti,1991
4.454,hti,1992
4.439,hti,1993
4.423,hti,1994
4.412,hti,1995
4.402,hti,1996
4.393,hti,1997
4.386,hti,1998
4.381,hti,1999
4.378,hti,2000
4.376,hti,2001
4.374,hti,2002
4.372,hti,2003
4.368,hti,2004
4.365,hti,2005
4.362,hti,2006
4.359,hti,2007
4.356,hti,2008
4.754,hnd,1980
4.746,hnd,1981
4.735,hnd,1982
4.72,hnd,1983
4.705,hnd,1984
4.691,hnd,1985
4.675,hnd,1986
4.662,hnd,1987
4.65,hnd,1988
4.639,hnd,1989
4.628,hnd,1990
4.619,hnd,1991
4.613,hnd,1992
4.608,hnd,1993
4.604,hnd,1994
4.601,hnd,1995
4.6,hnd,1996
4.601,hnd,1997
4.602,hnd,1998
4.6,hnd,1999
4.598,hnd,2000
4.597,hnd,2001
4.593,hnd,2002
4.589,hnd,2003
4.585,hnd,2004
4.582,hnd,2005
4.579,hnd,2006
4.576,hnd,2007
4.574,hnd,2008
5.064,hkg,1980
5.051,hkg,1981
5.037,hkg,1982
5.022,hkg,1983
5.009,hkg,1984
4.994,hkg,1985
4.983,hkg,1986
4.976,hkg,1987
4.972,hkg,1988
4.969,hkg,1989
4.97,hkg,1990
4.974,hkg,1991
4.982,hkg,1992
4.993,hkg,1993
5.006,hkg,1994
5.02,hkg,1995
5.033,hkg,1996
5.046,hkg,1997
5.054,hkg,1998
5.064,hkg,1999
5.075,hkg,2000
5.087,hkg,2001
5.099,hkg,2002
5.112,hkg,2003
5.126,hkg,2004
5.142,hkg,2005
5.158,hkg,2006
5.175,hkg,2007
5.192,hkg,2008
5.288,hun,1980
5.286,hun,1981
5.284,hun,1982
5.282,hun,1983
5.28,hun,1984
5.277,hun,1985
5.276,hun,1986
5.278,hun,1987
5.28,hun,1988
5.284,hun,1989
5.285,hun,1990
5.277,hun,1991
5.268,hun,1992
5.258,hun,1993
5.249,hun,1994
5.235,hun,1995
5.223,hun,1996
5.212,hun,1997
5.204,hun,1998
5.2,hun,1999
5.195,hun,2000
5.191,hun,2001
5.19,hun,2002
5.185,hun,2003
5.183,hun,2004
5.181,hun,2005
5.179,hun,2006
5.177,hun,2007
5.175,hun,2008
6.192,isl,1980
6.186,isl,1981
6.174,isl,1982
6.159,isl,1983
6.139,isl,1984
6.121,isl,1985
6.104,isl,1986
6.08,isl,1987
6.05,isl,1988
6.019,isl,1989
5.986,isl,1990
5.951,isl,1991
5.915,isl,1992
5.88,isl,1993
5.849,isl,1994
5.816,isl,1995
5.783,isl,1996
5.756,isl,1997
5.733,isl,1998
5.712,isl,1999
5.693,isl,2000
5.673,isl,2001
5.658,isl,2002
5.644,isl,2003
5.631,isl,2004
5.619,isl,2005
5.608,isl,2006
5.595,isl,2007
5.581,isl,2008
4.561,ind,1980
4.558,ind,1981
4.557,ind,1982
4.554,ind,1983
4.551,ind,1984
4.549,ind,1985
4.547,ind,1986
4.544,ind,1987
4.541,ind,1988
4.538,ind,1989
4.538,ind,1990
4.534,ind,1991
4.531,ind,1992
4.53,ind,1993
4.528,ind,1994
4.527,ind,1995
4.526,ind,1996
4.527,ind,1997
4.532,ind,1998
4.539,ind,1999
4.545,ind,2000
4.548,ind,2001
4.548,ind,2002
4.542,ind,2003
4.534,ind,2004
4.523,ind,2005
4.509,ind,2006
4.496,ind,2007
4.482,ind,2008
4.611,idn,1980
4.603,idn,1981
4.593,idn,1982
4.582,idn,1983
4.573,idn,1984
4.564,idn,1985
4.555,idn,1986
4.548,idn,1987
4.541,idn,1988
4.537,idn,1989
4.537,idn,1990
4.54,idn,1991
4.544,idn,1992
4.55,idn,1993
4.557,idn,1994
4.564,idn,1995
4.573,idn,1996
4.584,idn,1997
4.589,idn,1998
4.594,idn,1999
4.601,idn,2000
4.611,idn,2001
4.623,idn,2002
4.636,idn,2003
4.649,idn,2004
4.663,idn,2005
4.676,idn,2006
4.692,idn,2007
4.709,idn,2008
5.017,irn,1980
5.008,irn,1981
5.001,irn,1982
4.998,irn,1983
4.998,irn,1984
4.997,irn,1985
4.992,irn,1986
4.989,irn,1987
4.987,irn,1988
4.989,irn,1989
4.996,irn,1990
5.009,irn,1991
5.025,irn,1992
5.042,irn,1993
5.062,irn,1994
5.085,irn,1995
5.11,irn,1996
5.132,irn,1997
5.155,irn,1998
5.175,irn,1999
5.193,irn,2000
5.206,irn,2001
5.217,irn,2002
5.224,irn,2003
5.235,irn,2004
5.242,irn,2005
5.25,irn,2006
5.256,irn,2007
5.261,irn,2008
5.075,irq,1980
5.071,irq,1981
5.066,irq,1982
5.059,irq,1983
5.05,irq,1984
5.039,irq,1985
5.029,irq,1986
5.024,irq,1987
5.014,irq,1988
5.002,irq,1989
4.992,irq,1990
4.953,irq,1991
4.926,irq,1992
4.909,irq,1993
4.896,irq,1994
4.88,irq,1995
4.876,irq,1996
4.867,irq,1997
4.871,irq,1998
4.883,irq,1999
4.893,irq,2000
4.906,irq,2001
4.916,irq,2002
4.91,irq,2003
4.906,irq,2004
4.901,irq,2005
4.897,irq,2006
4.895,irq,2007
4.892,irq,2008
5.883,irl,1980
5.862,irl,1981
5.834,irl,1982
5.804,irl,1983
5.775,irl,1984
5.745,irl,1985
5.714,irl,1986
5.686,irl,1987
5.659,irl,1988
5.628,irl,1989
5.598,irl,1990
5.577,irl,1991
5.558,irl,1992
5.536,irl,1993
5.512,irl,1994
5.495,irl,1995
5.48,irl,1996
5.472,irl,1997
5.466,irl,1998
5.459,irl,1999
5.449,irl,2000
5.441,irl,2001
5.427,irl,2002
5.41,irl,2003
5.394,irl,2004
5.377,irl,2005
5.354,irl,2006
5.337,irl,2007
5.32,irl,2008
5.855,isr,1980
5.835,isr,1981
5.815,isr,1982
5.795,isr,1983
5.778,isr,1984
5.759,isr,1985
5.736,isr,1986
5.712,isr,1987
5.69,isr,1988
5.662,isr,1989
5.634,isr,1990
5.607,isr,1991
5.579,isr,1992
5.551,isr,1993
5.526,isr,1994
5.499,isr,1995
5.47,isr,1996
5.441,isr,1997
5.414,isr,1998
5.384,isr,1999
5.359,isr,2000
5.332,isr,2001
5.304,isr,2002
5.277,isr,2003
5.25,isr,2004
5.224,isr,2005
5.203,isr,2006
5.183,isr,2007
5.165,isr,2008
5.58,ita,1980
5.553,ita,1981
5.526,ita,1982
5.5,ita,1983
5.477,ita,1984
5.456,ita,1985
5.436,ita,1986
5.419,ita,1987
5.404,ita,1988
5.392,ita,1989
5.383,ita,1990
5.373,ita,1991
5.365,ita,1992
5.357,ita,1993
5.348,ita,1994
5.337,ita,1995
5.324,ita,1996
5.311,ita,1997
5.298,ita,1998
5.287,ita,1999
5.278,ita,2000
5.273,ita,2001
5.272,ita,2002
5.276,ita,2003
5.283,ita,2004
5.294,ita,2005
5.311,ita,2006
5.333,ita,2007
5.355,ita,2008
4.988,jam,1980
4.964,jam,1981
4.942,jam,1982
4.922,jam,1983
4.899,jam,1984
4.875,jam,1985
4.857,jam,1986
4.844,jam,1987
4.833,jam,1988
4.823,jam,1989
4.815,jam,1990
4.809,jam,1991
4.803,jam,1992
4.798,jam,1993
4.791,jam,1994
4.783,jam,1995
4.777,jam,1996
4.772,jam,1997
4.767,jam,1998
4.76,jam,1999
4.754,jam,2000
4.747,jam,2001
4.742,jam,2002
4.735,jam,2003
4.727,jam,2004
4.719,jam,2005
4.709,jam,2006
4.703,jam,2007
4.696,jam,2008
4.825,jpn,1980
4.85,jpn,1981
4.876,jpn,1982
4.902,jpn,1983
4.928,jpn,1984
4.956,jpn,1985
4.986,jpn,1986
5.019,jpn,1987
5.053,jpn,1988
5.086,jpn,1989
5.116,jpn,1990
5.142,jpn,1991
5.165,jpn,1992
5.184,jpn,1993
5.199,jpn,1994
5.209,jpn,1995
5.215,jpn,1996
5.216,jpn,1997
5.212,jpn,1998
5.208,jpn,1999
5.204,jpn,2000
5.2,jpn,2001
5.197,jpn,2002
5.196,jpn,2003
5.195,jpn,2004
5.193,jpn,2005
5.192,jpn,2006
5.193,jpn,2007
5.192,jpn,2008
4.99,jor,1980
5.025,jor,1981
5.06,jor,1982
5.092,jor,1983
5.126,jor,1984
5.158,jor,1985
5.19,jor,1986
5.216,jor,1987
5.238,jor,1988
5.25,jor,1989
5.258,jor,1990
5.267,jor,1991
5.276,jor,1992
5.29,jor,1993
5.298,jor,1994
5.301,jor,1995
5.299,jor,1996
5.294,jor,1997
5.287,jor,1998
5.276,jor,1999
5.261,jor,2000
5.241,jor,2001
5.214,jor,2002
5.185,jor,2003
5.156,jor,2004
5.124,jor,2005
5.092,jor,2006
5.061,jor,2007
5.029,jor,2008
5.389,kaz,1980
5.373,kaz,1981
5.359,kaz,1982
5.343,kaz,1983
5.328,kaz,1984
5.313,kaz,1985
5.298,kaz,1986
5.28,kaz,1987
5.264,kaz,1988
5.246,kaz,1989
5.227,kaz,1990
5.206,kaz,1991
5.182,kaz,1992
5.149,kaz,1993
5.112,kaz,1994
5.071,kaz,1995
5.033,kaz,1996
5.001,kaz,1997
4.978,kaz,1998
4.962,kaz,1999
4.949,kaz,2000
4.938,kaz,2001
4.93,kaz,2002
4.925,kaz,2003
4.924,kaz,2004
4.925,kaz,2005
4.925,kaz,2006
4.928,kaz,2007
4.928,kaz,2008
4.619,ken,1980
4.609,ken,1981
4.599,ken,1982
4.589,ken,1983
4.58,ken,1984
4.569,ken,1985
4.559,ken,1986
4.551,ken,1987
4.546,ken,1988
4.539,ken,1989
4.534,ken,1990
4.527,ken,1991
4.517,ken,1992
4.507,ken,1993
4.494,ken,1994
4.481,ken,1995
4.469,ken,1996
4.457,ken,1997
4.445,ken,1998
4.435,ken,1999
4.424,ken,2000
4.415,ken,2001
4.406,ken,2002
4.399,ken,2003
4.392,ken,2004
4.385,ken,2005
4.38,ken,2006
4.377,ken,2007
4.373,ken,2008
4.755,kir,1980
4.723,kir,1981
4.694,kir,1982
4.666,kir,1983
4.642,kir,1984
4.621,kir,1985
4.603,kir,1986
4.588,kir,1987
4.581,kir,1988
4.574,kir,1989
4.57,kir,1990
4.567,kir,1991
4.565,kir,1992
4.565,kir,1993
4.57,kir,1994
4.575,kir,1995
4.582,kir,1996
4.592,kir,1997
4.608,kir,1998
4.628,kir,1999
4.646,kir,2000
4.663,kir,2001
4.679,kir,2002
4.693,kir,2003
4.703,kir,2004
4.711,kir,2005
4.718,kir,2006
4.724,kir,2007
