cholesterol_fat_in_blood_women_mmolperl,geo,time
5.456,aut,1999
5.429,aut,2000
5.405,aut,2001
5.382,aut,2002
5.358,aut,2003
5.334,aut,2004
5.315,aut,2005
5.298,aut,2006
5.285,aut,2007
5.273,aut,2008
5.299,aze,1980
5.28,aze,1981
5.264,aze,1982
5.249,aze,1983
5.234,aze,1984
5.217,aze,1985
5.202,aze,1986
5.183,aze,1987
5.162,aze,1988
5.139,aze,1989
5.109,aze,1990
5.077,aze,1991
5.035,aze,1992
4.983,aze,1993
4.93,aze,1994
4.875,aze,1995
4.823,aze,1996
4.78,aze,1997
4.745,aze,1998
4.716,aze,1999
4.693,aze,2000
4.674,aze,2001
4.661,aze,2002
4.652,aze,2003
4.647,aze,2004
4.646,aze,2005
4.649,aze,2006
4.654,aze,2007
4.659,aze,2008
5.426,bhs,1980
5.419,bhs,1981
5.414,bhs,1982
5.41,bhs,1983
5.406,bhs,1984
5.402,bhs,1985
5.396,bhs,1986
5.391,bhs,1987
5.382,bhs,1988
5.372,bhs,1989
5.359,bhs,1990
5.346,bhs,1991
5.326,bhs,1992
5.307,bhs,1993
5.291,bhs,1994
5.271,bhs,1995
5.255,bhs,1996
5.243,bhs,1997
5.232,bhs,1998
5.226,bhs,1999
5.221,bhs,2000
5.217,bhs,2001
5.216,bhs,2002
5.215,bhs,2003
5.212,bhs,2004
5.202,bhs,2005
5.193,bhs,2006
5.184,bhs,2007
5.175,bhs,2008
5.318,bhr,1980
5.313,bhr,1981
5.306,bhr,1982
5.299,bhr,1983
5.289,bhr,1984
5.279,bhr,1985
5.268,bhr,1986
5.261,bhr,1987
5.254,bhr,1988
5.249,bhr,1989
5.245,bhr,1990
5.242,bhr,1991
5.241,bhr,1992
5.244,bhr,1993
5.243,bhr,1994
5.241,bhr,1995
5.238,bhr,1996
5.235,bhr,1997
5.23,bhr,1998
5.225,bhr,1999
5.22,bhr,2000
5.212,bhr,2001
5.205,bhr,2002
5.196,bhr,2003
5.187,bhr,2004
5.179,bhr,2005
5.171,bhr,2006
5.164,bhr,2007
5.157,bhr,2008
4.551,bgd,1980
4.543,bgd,1981
4.534,bgd,1982
4.526,bgd,1983
4.518,bgd,1984
4.51,bgd,1985
4.502,bgd,1986
4.495,bgd,1987
4.487,bgd,1988
4.481,bgd,1989
4.474,bgd,1990
4.466,bgd,1991
4.46,bgd,1992
4.455,bgd,1993
4.449,bgd,1994
4.443,bgd,1995
4.437,bgd,1996
4.433,bgd,1997
4.428,bgd,1998
4.421,bgd,1999
4.415,bgd,2000
4.408,bgd,2001
4.401,bgd,2002
4.394,bgd,2003
4.386,bgd,2004
4.38,bgd,2005
4.374,bgd,2006
4.368,bgd,2007
4.363,bgd,2008
5.285,brb,1980
5.27,brb,1981
5.253,brb,1982
5.232,brb,1983
5.214,brb,1984
5.194,brb,1985
5.175,brb,1986
5.159,brb,1987
5.142,brb,1988
5.128,brb,1989
5.112,brb,1990
5.094,brb,1991
5.075,brb,1992
5.056,brb,1993
5.04,brb,1994
5.025,brb,1995
5.011,brb,1996
5.0,brb,1997
4.987,brb,1998
4.982,brb,1999
4.973,brb,2000
4.963,brb,2001
4.954,brb,2002
4.945,brb,2003
4.94,brb,2004
4.935,brb,2005
4.932,brb,2006
4.931,brb,2007
4.93,brb,2008
5.518,blr,1980
5.507,blr,1981
5.498,blr,1982
5.487,blr,1983
5.475,blr,1984
5.463,blr,1985
5.45,blr,1986
5.437,blr,1987
5.428,blr,1988
5.417,blr,1989
5.407,blr,1990
5.397,blr,1991
5.382,blr,1992
5.364,blr,1993
5.34,blr,1994
5.31,blr,1995
5.285,blr,1996
5.26,blr,1997
5.239,blr,1998
5.215,blr,1999
5.191,blr,2000
5.169,blr,2001
5.148,blr,2002
5.129,blr,2003
5.111,blr,2004
5.1,blr,2005
5.09,blr,2006
5.081,blr,2007
5.073,blr,2008
6.045,bel,1980
6.02,bel,1981
5.995,bel,1982
5.972,bel,1983
5.948,bel,1984
5.927,bel,1985
5.904,bel,1986
5.882,bel,1987
5.855,bel,1988
5.828,bel,1989
5.8,bel,1990
5.773,bel,1991
5.744,bel,1992
5.714,bel,1993
5.683,bel,1994
5.653,bel,1995
5.62,bel,1996
5.588,bel,1997
5.562,bel,1998
5.536,bel,1999
5.508,bel,2000
5.481,bel,2001
5.455,bel,2002
5.428,bel,2003
5.405,bel,2004
5.383,bel,2005
5.364,bel,2006
5.347,bel,2007
5.331,bel,2008
5.024,blz,1980
5.013,blz,1981
5.001,blz,1982
4.989,blz,1983
4.972,blz,1984
4.952,blz,1985
4.931,blz,1986
4.911,blz,1987
4.893,blz,1988
4.873,blz,1989
4.858,blz,1990
4.843,blz,1991
4.832,blz,1992
4.822,blz,1993
4.816,blz,1994
4.809,blz,1995
4.8,blz,1996
4.793,blz,1997
4.784,blz,1998
4.774,blz,1999
4.767,blz,2000
4.761,blz,2001
4.756,blz,2002
4.75,blz,2003
4.743,blz,2004
4.737,blz,2005
4.731,blz,2006
4.726,blz,2007
4.721,blz,2008
4.649,ben,1980
4.634,ben,1981
4.62,ben,1982
4.605,ben,1983
4.588,ben,1984
4.573,ben,1985
4.556,ben,1986
4.538,ben,1987
4.52,ben,1988
4.496,ben,1989
4.472,ben,1990
4.449,ben,1991
4.426,ben,1992
4.406,ben,1993
4.388,ben,1994
4.37,ben,1995
4.354,ben,1996
4.341,ben,1997
4.331,ben,1998
4.321,ben,1999
4.312,ben,2000
4.305,ben,2001
4.297,ben,2002
4.29,ben,2003
4.281,ben,2004
4.271,ben,2005
4.26,ben,2006
4.249,ben,2007
4.238,ben,2008
5.772,bmu,1980
5.759,bmu,1981
5.744,bmu,1982
5.731,bmu,1983
5.712,bmu,1984
5.697,bmu,1985
5.678,bmu,1986
5.658,bmu,1987
5.643,bmu,1988
5.626,bmu,1989
5.605,bmu,1990
5.583,bmu,1991
5.563,bmu,1992
5.546,bmu,1993
5.527,bmu,1994
5.505,bmu,1995
5.488,bmu,1996
5.476,bmu,1997
5.465,bmu,1998
5.452,bmu,1999
5.442,bmu,2000
5.434,bmu,2001
5.427,bmu,2002
5.418,bmu,2003
5.409,bmu,2004
5.405,bmu,2005
5.405,bmu,2006
5.408,bmu,2007
5.41,bmu,2008
4.47,btn,1980
4.467,btn,1981
4.465,btn,1982
4.463,btn,1983
4.463,btn,1984
4.461,btn,1985
4.461,btn,1986
4.464,btn,1987
4.466,btn,1988
4.469,btn,1989
4.471,btn,1990
4.473,btn,1991
4.475,btn,1992
4.477,btn,1993
4.478,btn,1994
4.48,btn,1995
4.483,btn,1996
4.486,btn,1997
4.49,btn,1998
4.494,btn,1999
4.498,btn,2000
4.501,btn,2001
4.503,btn,2002
4.504,btn,2003
4.504,btn,2004
4.505,btn,2005
4.504,btn,2006
4.506,btn,2007
4.508,btn,2008
4.935,bol,1980
4.93,bol,1981
4.92,bol,1982
4.909,bol,1983
4.894,bol,1984
4.876,bol,1985
4.856,bol,1986
4.838,bol,1987
4.823,bol,1988
4.809,bol,1989
4.798,bol,1990
4.787,bol,1991
4.777,bol,1992
4.771,bol,1993
4.768,bol,1994
4.766,bol,1995
4.765,bol,1996
4.763,bol,1997
4.762,bol,1998
4.759,bol,1999
4.755,bol,2000
4.751,bol,2001
4.746,bol,2002
4.741,bol,2003
4.736,bol,2004
4.732,bol,2005
4.727,bol,2006
4.719,bol,2007
4.712,bol,2008
5.031,bih,1980
5.027,bih,1981
5.024,bih,1982
5.02,bih,1983
5.017,bih,1984
5.015,bih,1985
5.009,bih,1986
4.997,bih,1987
4.983,bih,1988
4.962,bih,1989
4.939,bih,1990
4.905,bih,1991
4.861,bih,1992
4.809,bih,1993
4.763,bih,1994
4.731,bih,1995
4.718,bih,1996
4.717,bih,1997
4.722,bih,1998
4.729,bih,1999
4.741,bih,2000
4.752,bih,2001
4.76,bih,2002
4.761,bih,2003
4.761,bih,2004
4.759,bih,2005
4.755,bih,2006
4.754,bih,2007
4.752,bih,2008
4.814,bwa,1980
4.801,bwa,1981
4.79,bwa,1982
4.781,bwa,1983
4.778,bwa,1984
4.771,bwa,1985
4.763,bwa,1986
4.757,bwa,1987
4.753,bwa,1988
4.753,bwa,1989
4.759,bwa,1990
4.763,bwa,1991
4.769,bwa,1992
4.769,bwa,1993
4.76,bwa,1994
4.755,bwa,1995
4.747,bwa,1996
4.741,bwa,1997
4.736,bwa,1998
4.729,bwa,1999
4.726,bwa,2000
4.724,bwa,2001
4.723,bwa,2002
4.721,bwa,2003
4.723,bwa,2004
4.727,bwa,2005
4.731,bwa,2006
4.734,bwa,2007
4.735,bwa,2008
4.912,bra,1980
4.907,bra,1981
4.898,bra,1982
4.886,bra,1983
4.875,bra,1984
4.866,bra,1985
4.863,bra,1986
4.86,bra,1987
4.855,bra,1988
4.853,bra,1989
4.85,bra,1990
4.849,bra,1991
4.851,bra,1992
4.854,bra,1993
4.861,bra,1994
4.872,bra,1995
4.88,bra,1996
4.887,bra,1997
4.893,bra,1998
4.897,bra,1999
4.9,bra,2000
4.9,bra,2001
4.899,bra,2002
4.895,bra,2003
4.892,bra,2004
4.887,bra,2005
4.881,bra,2006
4.878,bra,2007
4.874,bra,2008
4.999,vgb,1980
