cell_phones_total,geo,time
1260000,arm,2006
1876000,arm,2007
1442000,arm,2008
2192000,arm,2009
3865000,arm,2010
3211000,arm,2011
0,abw,1965
0,abw,1970
0,abw,1975
0,abw,1976
0,abw,1977
0,abw,1978
0,abw,1979
0,abw,1980
0,abw,1981
0,abw,1982
0,abw,1983
0,abw,1984
0,abw,1985
0,abw,1986
0,abw,1987
0,abw,1988
0,abw,1989
0,abw,1990
0,abw,1991
20,abw,1992
1718,abw,1995
3000,abw,1996
3402,abw,1997
5380,abw,1998
12000,abw,1999
15000,abw,2000
53000,abw,2001
61800,abw,2002
69950,abw,2003
98390,abw,2004
103400,abw,2005
109000,abw,2006
113600,abw,2007
120800,abw,2008
128000,abw,2009
131800,abw,2010
0,aus,1965
0,aus,1970
0,aus,1975
0,aus,1976
0,aus,1977
0,aus,1978
0,aus,1979
0,aus,1980
0,aus,1981
0,aus,1982
0,aus,1983
0,aus,1984
0,aus,1985
0,aus,1986
4423,aus,1987
31620,aus,1988
94530,aus,1989
184900,aus,1990
291500,aus,1991
497000,aus,1992
690000,aus,1993
1220000,aus,1994
2242000,aus,1995
3990000,aus,1996
4578000,aus,1997
4918000,aus,1998
6315000,aus,1999
8562000,aus,2000
11130000,aus,2001
12670000,aus,2002
14350000,aus,2003
16480000,aus,2004
18420000,aus,2005
19760000,aus,2006
21260000,aus,2007
22120000,aus,2008
22200000,aus,2009
22500000,aus,2010
24490000,aus,2011
0,aut,1965
0,aut,1970
0,aut,1975
0,aut,1976
0,aut,1977
0,aut,1978
0,aut,1979
0,aut,1980
0,aut,1981
0,aut,1982
0,aut,1983
0,aut,1984
9762,aut,1985
19100,aut,1986
26220,aut,1987
36900,aut,1988
50720,aut,1989
73700,aut,1990
115400,aut,1991
172500,aut,1992
220900,aut,1993
278200,aut,1994
383500,aut,1995
598700,aut,1996
1160000,aut,1997
2293000,aut,1998
4250000,aut,1999
6117000,aut,2000
6541000,aut,2001
6736000,aut,2002
7274000,aut,2003
7992000,aut,2004
8665000,aut,2005
9281000,aut,2006
9912000,aut,2007
10820000,aut,2008
11430000,aut,2009
12240000,aut,2010
