geo,diarrhoeal_deaths_in_children_1_59_months_total_deaths,time
afg,88230,2008
alb,12,2008
dza,3688,2008
ago,40540,2008
arg,83,2008
arm,18,2008
aus,5,2008
aut,1,2008
aze,691,2008
bhs,1,2008
bhr,1,2008
bgd,18360,2008
brb,0,2008
blr,5,2008
bel,8,2008
blz,10,2008
ben,4966,2008
btn,161,2008
bol,2070,2008
bih,6,2008
bwa,98,2008
bra,3474,2008
brn,1,2008
bgr,14,2008
bfa,21720,2008
bdi,10310,2008
khm,2123,2008
cmr,14140,2008
can,1,2008
cpv,27,2008
caf,4312,2008
tcd,21030,2008
chl,6,2008
chn,10390,2008
col,739,2008
com,437,2008
cog,2150,2008
cri,10,2008
civ,9908,2008
hrv,1,2008
cub,10,2008
cyp,0,2008
cze,5,2008
prk,2074,2008
cod,98110,2008
dnk,1,2008
dji,404,2008
dom,657,2008
ecu,388,2008
egy,2146,2008
slv,82,2008
gnq,304,2008
eri,2173,2008
est,0,2008
eth,70940,2008
fji,17,2008
fin,0,2008
fra,22,2008
gab,166,2008
gmb,837,2008
geo,85,2008
deu,7,2008
gha,4868,2008
grc,0,2008
grd,0,2008
gtm,2937,2008
gin,7200,2008
gnb,2257,2008
guy,118,2008
hti,3796,2008
hnd,590,2008
hun,2,2008
isl,0,2008
ind,203200,2008
idn,25660,2008
irn,4362,2008
irq,4610,2008
irl,0,2008
isr,0,2008
ita,1,2008
jam,231,2008
jpn,45,2008
jor,119,2008
kaz,208,2008
ken,37930,2008
kwt,2,2008
kgz,642,2008
lao,712,2008
lva,2,2008
lbn,21,2008
lso,408,2008
lbr,3353,2008
lby,89,2008
ltu,0,2008
lux,0,2008
mdg,15560,2008
mwi,5927,2008
mys,35,2008
mdv,13,2008
mli,18550,2008
mlt,0,2008
mrt,1836,2008
mus,5,2008
mex,1950,2008
fsm,5,2008
mng,92,2008
mne,0,2008
mar,2762,2008
moz,12370,2008
mmr,14500,2008
nam,148,2008
npl,5072,2008
nld,0,2008
nzl,1,2008
nic,343,2008
ner,24160,2008
nga,192200,2008
nor,6,2008
omn,13,2008
pak,66820,2008
pan,91,2008
png,650,2008
pry,365,2008
per,658,2008
phl,4852,2008
pol,6,2008
prt,0,2008
qat,2,2008
kor,5,2008
mda,17,2008
rou,32,2008
rus,183,2008
rwa,9044,2008
lca,0,2008
vct,1,2008
wsm,8,2008
stp,70,2008
sau,597,2008
sen,7017,2008
srb,3,2008
sle,8699,2008
sgp,0,2008
svk,1,2008
svn,0,2008
slb,21,2008
som,15640,2008
zaf,6187,2008
esp,0,2008
lka,202,2008
sdn,13870,2008
sur,14,2008
swz,237,2008
swe,3,2008
che,0,2008
syr,449,2008
tjk,2249,2008
tha,266,2008
mkd,9,2008
tgo,2223,2008
ton,4,2008
tto,0,2008
tun,167,2008
tur,389,2008
tkm,665,2008
uga,29680,2008
ukr,45,2008
are,4,2008
gbr,4,2008
tza,19180,2008
usa,32,2008
ury,16,2008
uzb,2493,2008
vut,15,2008
ven,761,2008
vnm,471,2008
yem,11060,2008
zmb,10870,2008
zwe,3158,2008
