geo,alternative_gdppercapita_ppp_inflation_adjusted_from_pwt,time
afg,1731.0,1970
afg,1748.0,1971
afg,2120.0,1972
afg,2119.0,1973
afg,2148.0,1974
afg,2263.0,1975
afg,2270.0,1976
afg,2121.0,1977
afg,2205.0,1978
afg,2121.0,1979
afg,2121.0,1980
afg,2298.0,1981
afg,2423.0,1982
afg,2529.0,1983
afg,2556.0,1984
afg,2549.0,1985
afg,2617.0,1986
afg,2326.0,1987
afg,2096.0,1988
afg,1907.0,1989
afg,1751.0,1990
afg,1837.0,1991
afg,1447.0,1992
afg,1137.0,1993
afg,1022.0,1994
afg,920.7,1995
afg,939.7,1996
afg,1029.0,1997
afg,1047.0,1998
afg,880.6,1999
afg,478.1,2000
afg,418.2,2001
afg,525.9,2002
afg,588.1,2003
afg,580.8,2004
alb,3902.0,1990
alb,2120.0,1991
alb,1436.0,1992
alb,1871.0,1993
alb,2347.0,1994
alb,2738.0,1995
alb,2658.0,1996
alb,2403.0,1997
alb,2669.0,1998
alb,3256.0,1999
alb,3797.0,2000
alb,4058.0,2001
alb,4134.0,2002
alb,4160.0,2003
alb,4499.0,2004
dza,3898.0,1960
dza,3530.0,1961
dza,2626.0,1962
dza,3284.0,1963
dza,3778.0,1964
dza,4086.0,1965
dza,3685.0,1966
dza,3836.0,1967
dza,4017.0,1968
dza,4100.0,1969
dza,4280.0,1970
dza,3830.0,1971
dza,4621.0,1972
dza,4426.0,1973
dza,4044.0,1974
dza,3988.0,1975
dza,4343.0,1976
dza,4277.0,1977
dza,4437.0,1978
dza,5281.0,1979
dza,5056.0,1980
dza,4912.0,1981
dza,5163.0,1982
dza,5278.0,1983
dza,5461.0,1984
dza,5457.0,1985
dza,5743.0,1986
dza,5934.0,1987
dza,5573.0,1988
dza,5578.0,1989
dza,5570.0,1990
dza,5537.0,1991
dza,5617.0,1992
dza,5432.0,1993
dza,5228.0,1994
dza,5324.0,1995
dza,5513.0,1996
dza,5457.0,1997
dza,5508.0,1998
dza,5611.0,1999
dza,5753.0,2000
dza,5726.0,2001
dza,5723.0,2002
dza,5993.0,2003
ago,1975.0,2000
atg,5168.0,1970
atg,4979.0,1971
atg,5249.0,1972
atg,5022.0,1973
atg,5170.0,1974
atg,4871.0,1975
atg,4414.0,1976
atg,4717.0,1977
atg,4738.0,1978
atg,5263.0,1979
atg,5383.0,1980
atg,5281.0,1981
atg,5618.0,1982
atg,7076.0,1983
atg,7171.0,1984
atg,7499.0,1985
atg,7878.0,1986
atg,7852.0,1987
atg,9697.0,1988
atg,9985.0,1989
atg,10790.0,1990
atg,10710.0,1991
atg,11150.0,1992
atg,12000.0,1993
atg,12620.0,1994
atg,12020.0,1995
atg,12440.0,1996
atg,12950.0,1997
atg,13670.0,1998
atg,14060.0,1999
atg,14060.0,2000
atg,14320.0,2001
atg,15270.0,2002
atg,15820.0,2003
arg,7091.0,1950
arg,7313.0,1951
arg,6736.0,1952
arg,6754.0,1953
arg,6950.0,1954
arg,7396.0,1955
arg,7353.0,1956
arg,7562.0,1957
arg,7949.0,1958
arg,7354.0,1959
arg,7859.0,1960
arg,8068.0,1961
arg,7968.0,1962
arg,7545.0,1963
arg,8031.0,1964
arg,8739.0,1965
arg,8569.0,1966
arg,8701.0,1967
arg,9005.0,1968
arg,9647.0,1969
arg,9740.0,1970
arg,9948.0,1971
arg,9946.0,1972
arg,10180.0,1973
arg,10590.0,1974
arg,10360.0,1975
arg,10110.0,1976
arg,10500.0,1977
arg,10090.0,1978
arg,10720.0,1979
arg,10810.0,1980
arg,10080.0,1981
arg,9493.0,1982
arg,9723.0,1983
arg,9829.0,1984
arg,8974.0,1985
arg,9533.0,1986
arg,9623.0,1987
arg,9228.0,1988
arg,8465.0,1989
arg,8231.0,1990
arg,9099.0,1991
arg,10050.0,1992
arg,10530.0,1993
arg,10970.0,1994
arg,10570.0,1995
arg,10910.0,1996
arg,11600.0,1997
arg,11930.0,1998
arg,11590.0,1999
arg,11330.0,2000
arg,10690.0,2001
arg,9561.0,2002
arg,10170.0,2003
arg,10940.0,2004
arm,2674.0,1995
arm,2833.0,1996
arm,2805.0,1997
arm,3026.0,1998
arm,3172.0,1999
arm,3471.0,2000
arm,3913.0,2001
arm,4338.0,2002
arm,4765.0,2003
aus,9261.0,1950
aus,9215.0,1951
aus,8613.0,1952
aus,9390.0,1953
aus,9924.0,1954
aus,10130.0,1955
aus,9936.0,1956
aus,9932.0,1957
aus,10390.0,1958
aus,10780.0,1959
aus,10780.0,1960
aus,10690.0,1961
aus,11130.0,1962
aus,11650.0,1963
aus,12210.0,1964
aus,12290.0,1965
aus,12730.0,1966
aus,12980.0,1967
aus,13810.0,1968
aus,14310.0,1969
aus,14670.0,1970
aus,15080.0,1971
aus,15360.0,1972
aus,15900.0,1973
aus,15620.0,1974
aus,15830.0,1975
aus,16250.0,1976
aus,16370.0,1977
aus,16880.0,1978
aus,17090.0,1979
aus,17460.0,1980
aus,17940.0,1981
aus,17500.0,1982
aus,17980.0,1983
aus,18480.0,1984
aus,19140.0,1985
aus,19290.0,1986
aus,19920.0,1987
aus,20270.0,1988
aus,20770.0,1989
aus,20420.0,1990
aus,20380.0,1991
aus,20800.0,1992
aus,21300.0,1993
aus,22010.0,1994
aus,22650.0,1995
aus,23270.0,1996
aus,24010.0,1997
aus,24950.0,1998
aus,25660.0,1999
aus,25830.0,2000
aus,26530.0,2001
aus,27120.0,2002
aus,27870.0,2003
aus,27990.0,2004
aut,5011.0,1950
aut,5335.0,1951
aut,5304.0,1952
aut,5470.0,1953
aut,5930.0,1954
aut,6519.0,1955
aut,6736.0,1956
aut,7154.0,1957
aut,7421.0,1958
aut,7631.0,1959
aut,8495.0,1960
aut,8906.0,1961
aut,9071.0,1962
aut,9374.0,1963
aut,9869.0,1964
aut,10110.0,1965
aut,10610.0,1966
aut,10880.0,1967
aut,11300.0,1968
aut,11910.0,1969
aut,12690.0,1970
aut,13290.0,1971
aut,14060.0,1972
aut,14720.0,1973
aut,15220.0,1974
aut,15180.0,1975
aut,15890.0,1976
aut,16720.0,1977
aut,16450.0,1978
aut,17740.0,1979
aut,17830.0,1980
aut,17910.0,1981
aut,18240.0,1982
aut,18710.0,1983
aut,18790.0,1984
aut,19360.0,1985
aut,19650.0,1986
aut,19930.0,1987
aut,20620.0,1988
aut,21410.0,1989
aut,22220.0,1990
aut,22760.0,1991
aut,23090.0,1992
aut,22980.0,1993
aut,23270.0,1994
aut,23590.0,1995
aut,24020.0,1996
aut,24490.0,1997
aut,25340.0,1998
aut,26110.0,1999
aut,27000.0,2000
aut,27190.0,2001
aut,27350.0,2002
aut,27570.0,2003
aut,28160.0,2004
aze,3319.0,1994
aze,2295.0,1995
aze,2129.0,1996
aze,2256.0,1997
aze,2561.0,1998
aze,3149.0,1999
aze,3591.0,2000
aze,3783.0,2001
aze,3852.0,2002
aze,3671.0,2003
bhs,16860.0,1970
bhs,16750.0,1971
bhs,15790.0,1972
bhs,16640.0,1973
bhs,13590.0,1974
bhs,11360.0,1975
bhs,11700.0,1976
bhs,12480.0,1977
bhs,13970.0,1978
bhs,17210.0,1979
bhs,18050.0,1980
bhs,17190.0,1981
bhs,17660.0,1982
bhs,18510.0,1983
bhs,18530.0,1984
bhs,18950.0,1985
bhs,19020.0,1986
bhs,19930.0,1987
bhs,20060.0,1988
bhs,22220.0,1989
bhs,20640.0,1990
bhs,19720.0,1991
bhs,17950.0,1992
bhs,17390.0,1993
bhs,17740.0,1994
bhs,17110.0,1995
bhs,16740.0,1996
bhs,16620.0,1997
bhs,16710.0,1998
bhs,18430.0,1999
bhs,19090.0,2000
bhs,18530.0,2001
bhs,18380.0,2002
bhs,18380.0,2003
bhs,18710.0,2004
bhr,11830.0,1970
bhr,11680.0,1971
bhr,11540.0,1972
bhr,10780.0,1973
bhr,17750.0,1974
bhr,18690.0,1975
bhr,19710.0,1976
bhr,21460.0,1977
bhr,19650.0,1978
bhr,19000.0,1979
bhr,18490.0,1980
bhr,17410.0,1981
bhr,17760.0,1982
bhr,17620.0,1983
bhr,17160.0,1984
bhr,15660.0,1985
bhr,15590.0,1986
bhr,15570.0,1987
bhr,16440.0,1988
bhr,16660.0,1989
bhr,17190.0,1990
bhr,16360.0,1991
bhr,17100.0,1992
bhr,19600.0,1993
bhr,15800.0,1994
bhr,16910.0,1995
bhr,16870.0,1996
bhr,16890.0,1997
