total_gni_ppp_current_international,geo,time
21070000000,aze,2002
23950000000,aze,2003
26560000000,aze,2004
33040000000,aze,2005
45690000000,aze,2006
57050000000,aze,2007
68110000000,aze,2008
77620000000,aze,2009
83690000000,aze,2010
82660000000,aze,2011
2396000000,bhs,1980
2347000000,bhs,1981
2729000000,bhs,1982
2944000000,bhs,1983
3482000000,bhs,1984
3772000000,bhs,1985
3943000000,bhs,1986
4208000000,bhs,1987
4455000000,bhs,1988
5053000000,bhs,1989
5119000000,bhs,1990
5078000000,bhs,1991
5111000000,bhs,1992
5160000000,bhs,1993
5422000000,bhs,1994
6802000000,bhs,1995
7807000000,bhs,1996
6402000000,bhs,1997
7010000000,bhs,1998
7540000000,bhs,1999
8001000000,bhs,2000
8378000000,bhs,2001
8747000000,bhs,2002
8868000000,bhs,2003
9224000000,bhs,2004
9796000000,bhs,2005
10380000000,bhs,2006
10750000000,bhs,2007
10900000000,bhs,2008
10480000000,bhs,2009
10230000000,bhs,2010
3467000000,bhr,1980
3698000000,bhr,1981
3568000000,bhr,1982
3882000000,bhr,1983
4248000000,bhr,1984
3992000000,bhr,1985
4027000000,bhr,1986
4579000000,bhr,1987
4845000000,bhr,1988
5085000000,bhr,1989
5339000000,bhr,1990
7636000000,bhr,1991
8041000000,bhr,1992
8870000000,bhr,1993
8970000000,bhr,1994
9872000000,bhr,1995
10520000000,bhr,1996
10690000000,bhr,1997
11490000000,bhr,1998
11980000000,bhr,1999
13060000000,bhr,2000
13790000000,bhr,2001
14420000000,bhr,2002
15970000000,bhr,2003
17330000000,bhr,2004
19720000000,bhr,2005
21860000000,bhr,2006
24580000000,bhr,2007
26000000000,bhr,2008
24770000000,bhr,2009
26800000000,bhr,2010
25330000000,bgd,1980
30090000000,bgd,1981
32700000000,bgd,1982
35780000000,bgd,1983
38940000000,bgd,1984
41030000000,bgd,1985
43850000000,bgd,1986
47000000000,bgd,1987
49690000000,bgd,1988
52920000000,bgd,1989
57980000000,bgd,1990
61990000000,bgd,1991
66670000000,bgd,1992
71460000000,bgd,1993
76190000000,bgd,1994
81740000000,bgd,1995
86970000000,bgd,1996
93660000000,bgd,1997
99950000000,bgd,1998
106500000000,bgd,1999
115600000000,bgd,2000
124200000000,bgd,2001
133200000000,bgd,2002
144400000000,bgd,2003
157400000000,bgd,2004
172100000000,bgd,2005
192000000000,bgd,2006
212100000000,bgd,2007
233200000000,bgd,2008
249700000000,bgd,2009
268500000000,bgd,2010
291500000000,bgd,2011
2174000000,brb,1985
2370000000,brb,1986
2470000000,brb,1987
2718000000,brb,1988
2990000000,brb,1989
2998000000,brb,1990
2927000000,brb,1991
2877000000,brb,1992
2946000000,brb,1993
3142000000,brb,1994
3251000000,brb,1995
3372000000,brb,1996
3674000000,brb,1997
3871000000,brb,1998
4008000000,brb,1999
4175000000,brb,2000
4036000000,brb,2001
3936000000,brb,2002
4106000000,brb,2003
4379000000,brb,2004
4621000000,brb,2005
4658000000,brb,2006
4811000000,brb,2007
4886000000,brb,2008
5142000000,brb,2009
47320000000,blr,1990
48370000000,blr,1991
44650000000,blr,1992
42180000000,blr,1993
37910000000,blr,1994
34700000000,blr,1995
36360000000,blr,1996
41120000000,blr,1997
45200000000,blr,1998
47540000000,blr,1999
51380000000,blr,2000
55000000000,blr,2001
58840000000,blr,2002
64530000000,blr,2003
73920000000,blr,2004
83520000000,blr,2005
94490000000,blr,2006
105000000000,blr,2007
117900000000,blr,2008
118200000000,blr,2009
128900000000,blr,2010
137900000000,blr,2011
100500000000,bel,1980
109700000000,bel,1981
116600000000,bel,1982
121500000000,bel,1983
129400000000,bel,1984
136000000000,bel,1985
141700000000,bel,1986
149700000000,bel,1987
162100000000,bel,1988
173600000000,bel,1989
186200000000,bel,1990
197000000000,bel,1991
204800000000,bel,1992
209300000000,bel,1993
222300000000,bel,1994
231700000000,bel,1995
236300000000,bel,1996
247800000000,bel,1997
253200000000,bel,1998
264300000000,bel,1999
290000000000,bel,2000
298000000000,bel,2001
314700000000,bel,2002
319000000000,bel,2003
328500000000,bel,2004
339500000000,bel,2005
364200000000,bel,2006
382700000000,bel,2007
402200000000,bel,2008
394000000000,bel,2009
417900000000,bel,2010
432300000000,bel,2011
230600000,blz,1980
255500000,blz,1981
265600000,blz,1982
269800000,blz,1983
281000000,blz,1984
291700000,blz,1985
321100000,blz,1986
365100000,blz,1987
411600000,blz,1988
479900000,blz,1989
561300000,blz,1990
636200000,blz,1991
721600000,blz,1992
781500000,blz,1993
796800000,blz,1994
823200000,blz,1995
847500000,blz,1996
895800000,blz,1997
935900000,blz,1998
1017000000,blz,1999
1161000000,blz,2000
1222000000,blz,2001
1312000000,blz,2002
1457000000,blz,2003
1530000000,blz,2004
1638000000,blz,2005
1768000000,blz,2006
1800000000,blz,2007
1911000000,blz,2008
2021000000,blz,2009
2029000000,blz,2010
2165000000,blz,2011
1951000000,ben,1980
2345000000,ben,1981
2538000000,ben,1982
2505000000,ben,1983
2760000000,ben,1984
3083000000,ben,1985
3223000000,ben,1986
3271000000,ben,1987
3511000000,ben,1988
3503000000,ben,1989
3769000000,ben,1990
4101000000,ben,1991
4304000000,ben,1992
4596000000,ben,1993
4872000000,ben,1994
5222000000,ben,1995
5616000000,ben,1996
6120000000,ben,1997
6541000000,ben,1998
6943000000,ben,1999
7513000000,ben,2000
8039000000,ben,2001
8534000000,ben,2002
9030000000,ben,2003
9587000000,ben,2004
10230000000,ben,2005
10810000000,ben,2006
11660000000,ben,2007
12780000000,ben,2008
13490000000,ben,2009
14020000000,ben,2010
14850000000,ben,2011
183800000,btn,1981
208700000,btn,1982
229900000,btn,1983
263300000,btn,1984
281500000,btn,1985
335100000,btn,1986
435800000,btn,1987
510500000,btn,1988
664500000,btn,1989
716800000,btn,1990
754200000,btn,1991
768000000,btn,1992
840100000,btn,1993
929300000,btn,1994
941800000,btn,1995
1051000000,btn,1996
1168000000,btn,1997
1157000000,btn,1998
1179000000,btn,1999
1341000000,btn,2000
1498000000,btn,2001
1646000000,btn,2002
1776000000,btn,2003
1993000000,btn,2004
1997000000,btn,2005
2567000000,btn,2006
2807000000,btn,2007
2804000000,btn,2008
3206000000,btn,2009
3606000000,btn,2010
4048000000,btn,2011
9667000000,bol,1980
11320000000,bol,1981
10060000000,bol,1982
10420000000,bol,1983
10370000000,bol,1984
10400000000,bol,1985
10380000000,bol,1986
11160000000,bol,1987
11920000000,bol,1988
12890000000,bol,1989
14050000000,bol,1990
15360000000,bol,1991
16140000000,bol,1992
17160000000,bol,1993
18410000000,bol,1994
19690000000,bol,1995
21140000000,bol,1996
22560000000,bol,1997
24160000000,bol,1998
24510000000,bol,1999
25580000000,bol,2000
26630000000,bol,2001
27730000000,bol,2002
28740000000,bol,2003
30580000000,bol,2004
33140000000,bol,2005
36030000000,bol,2006
38660000000,bol,2007
42170000000,bol,2008
43740000000,bol,2009
45840000000,bol,2010
49660000000,bol,2011
3170000000,bih,1994
3927000000,bih,1995
7985000000,bih,1996
11150000000,bih,1997
16670000000,bih,1998
17900000000,bih,1999
18490000000,bih,2000
19500000000,bih,2001
20540000000,bih,2002
21550000000,bih,2003
23220000000,bih,2004
25000000000,bih,2005
27990000000,bih,2006
30800000000,bih,2007
33970000000,bih,2008
33520000000,bih,2009
33370000000,bih,2010
34530000000,bih,2011
1561000000,bwa,1980
2016000000,bwa,1981
2383000000,bwa,1982
2634000000,bwa,1983
2788000000,bwa,1984
3096000000,bwa,1985
3451000000,bwa,1986
3798000000,bwa,1987
4979000000,bwa,1988
5718000000,bwa,1989
6743000000,bwa,1990
7831000000,bwa,1991
8319000000,bwa,1992
9031000000,bwa,1993
8459000000,bwa,1994
9465000000,bwa,1995
9697000000,bwa,1996
11170000000,bwa,1997
13190000000,bwa,1998
13130000000,bwa,1999
13940000000,bwa,2000
15380000000,bwa,2001
15440000000,bwa,2002
17250000000,bwa,2003
18650000000,bwa,2004
19890000000,bwa,2005
21880000000,bwa,2006
23830000000,bwa,2007
25410000000,bwa,2008
25550000000,bwa,2009
27380000000,bwa,2010
29570000000,bwa,2011
405300000000,bra,1980
435300000000,bra,1981
470800000000,bra,1982
466300000000,bra,1983
508500000000,bra,1984
566600000000,bra,1985
631300000000,bra,1986
678000000000,bra,1987
699300000000,bra,1988
822700000000,bra,1989
754800000000,bra,1990
795700000000,bra,1991
811600000000,bra,1992
863200000000,bra,1993
935100000000,bra,1994
1001000000000,bra,1995
1041000000000,bra,1996
1092000000000,bra,1997
1105000000000,bra,1998
1112000000000,bra,1999
1190000000000,bra,2000
1224000000000,bra,2001
1276000000000,bra,2002
1322000000000,bra,2003
1440000000000,bra,2004
1537000000000,bra,2005
1656000000000,bra,2006
1816000000000,bra,2007
1946000000000,bra,2008
1968000000000,bra,2009
2144000000000,bra,2010
2261000000000,bra,2011
8746000000,brn,1989
9176000000,brn,1990
9786000000,brn,1991
10470000000,brn,1992
10730000000,brn,1993
11290000000,brn,1994
12070000000,brn,1995
12640000000,brn,1996
12690000000,brn,1997
12800000000,brn,1998
13390000000,brn,1999
14060000000,brn,2000
14780000000,brn,2001
15600000000,brn,2002
16390000000,brn,2003
16940000000,brn,2004
17570000000,brn,2005
18930000000,brn,2006
19610000000,brn,2007
19630000000,brn,2008
19510000000,brn,2009
24190000000,bgr,1980
27920000000,bgr,1981
30370000000,bgr,1982
32760000000,bgr,1983
35230000000,bgr,1984
37230000000,bgr,1985
39550000000,bgr,1986
42970000000,bgr,1987
48960000000,bgr,1988
48620000000,bgr,1989
43480000000,bgr,1990
40170000000,bgr,1991
41640000000,bgr,1992
41860000000,bgr,1993
43400000000,bgr,1994
45060000000,bgr,1995
37120000000,bgr,1996
38990000000,bgr,1997
44190000000,bgr,1998
45860000000,bgr,1999
49590000000,bgr,2000
54300000000,bgr,2001
60920000000,bgr,2002
65290000000,bgr,2003
69850000000,bgr,2004
76140000000,bgr,2005
83130000000,bgr,2006
87440000000,bgr,2007
100800000000,bgr,2008
100500000000,bgr,2009
101800000000,bgr,2010
104500000000,bgr,2011
2107000000,bfa,1980
2395000000,bfa,1981
2783000000,bfa,1982
2901000000,bfa,1983
2965000000,bfa,1984
3315000000,bfa,1985
3663000000,bfa,1986
3757000000,bfa,1987
4108000000,bfa,1988
4356000000,bfa,1989
4504000000,bfa,1990
5077000000,bfa,1991
5193000000,bfa,1992
5478000000,bfa,1993
5653000000,bfa,1994
6135000000,bfa,1995
6980000000,bfa,1996
7537000000,bfa,1997
8200000000,bfa,1998
8930000000,bfa,1999
9290000000,bfa,2000
10130000000,bfa,2001
10800000000,bfa,2002
11910000000,bfa,2003
12800000000,bfa,2004
14280000000,bfa,2005
15850000000,bfa,2006
16900000000,bfa,2007
18280000000,bfa,2008
19010000000,bfa,2009
20750000000,bfa,2010
22220000000,bfa,2011
1194000000,bdi,1980
1457000000,bdi,1981
1523000000,bdi,1982
1640000000,bdi,1983
1697000000,bdi,1984
1949000000,bdi,1985
2055000000,bdi,1986
2213000000,bdi,1987
2415000000,bdi,1988
2554000000,bdi,1989
2751000000,bdi,1990
2997000000,bdi,1991
3082000000,bdi,1992
2960000000,bdi,1993
2899000000,bdi,1994
2731000000,bdi,1995
2548000000,bdi,1996
2564000000,bdi,1997
2733000000,bdi,1998
2732000000,bdi,1999
2847000000,bdi,2000
2973000000,bdi,2001
3164000000,bdi,2002
3210000000,bdi,2003
3455000000,bdi,2004
3579000000,bdi,2005
3860000000,bdi,2006
4151000000,bdi,2007
4449000000,bdi,2008
4656000000,bdi,2009
4885000000,bdi,2010
5229000000,bdi,2011
7238000000,khm,1995
7713000000,khm,1996
8412000000,khm,1997
8904000000,khm,1998
10010000000,khm,1999
11060000000,khm,2000
12200000000,khm,2001
13100000000,khm,2002
14600000000,khm,2003
16520000000,khm,2004
19220000000,khm,2005
22070000000,khm,2006
24980000000,khm,2007
27090000000,khm,2008
27470000000,khm,2009
29290000000,khm,2010
32400000000,khm,2011
7274000000,cmr,1980
10060000000,cmr,1981
11970000000,cmr,1982
13340000000,cmr,1983
15240000000,cmr,1984
17040000000,cmr,1985
18950000000,cmr,1986
19090000000,cmr,1987
18380000000,cmr,1988
18420000000,cmr,1989
17530000000,cmr,1990
17080000000,cmr,1991
17000000000,cmr,1992
16870000000,cmr,1993
16680000000,cmr,1994
17610000000,cmr,1995
18820000000,cmr,1996
20130000000,cmr,1997
21750000000,cmr,1998
23130000000,cmr,1999
24210000000,cmr,2000
26340000000,cmr,2001
27320000000,cmr,2002
29740000000,cmr,2003
32140000000,cmr,2004
33890000000,cmr,2005
36620000000,cmr,2006
39410000000,cmr,2007
41030000000,cmr,2008
42630000000,cmr,2009
44310000000,cmr,2010
47170000000,cmr,2011
263900000000,can,1980
296800000000,can,1981
305500000000,can,1982
327900000000,can,1983
359300000000,can,1984
388200000000,can,1985
405200000000,can,1986
436300000000,can,1987
473100000000,can,1988
502900000000,can,1989
522400000000,can,1990
531100000000,can,1991
546800000000,can,1992
572800000000,can,1993
611800000000,can,1994
642800000000,can,1995
666600000000,can,1996
708900000000,can,1997
744900000000,can,1998
797100000000,can,1999
851300000000,can,2000
884100000000,can,2001
914300000000,can,2002
966000000000,can,2003
1027000000000,can,2004
1111000000000,can,2005
1189000000000,can,2006
1247000000000,can,2007
1283000000000,can,2008
1257000000000,can,2009
1309000000000,can,2010
1370000000000,can,2011
138900000,cpv,1980
169400000,cpv,1981
178200000,cpv,1982
199200000,cpv,1983
218000000,cpv,1984
245200000,cpv,1985
262000000,cpv,1986
285000000,cpv,1987
313800000,cpv,1988
347300000,cpv,1989
361400000,cpv,1990
377500000,cpv,1991
397100000,cpv,1992
434800000,cpv,1993
473100000,cpv,1994
518000000,cpv,1995
560500000,cpv,1996
615900000,cpv,1997
674800000,cpv,1998
762500000,cpv,1999
826200000,cpv,2000
910900000,cpv,2001
961900000,cpv,2002
1034000000,cpv,2003
1107000000,cpv,2004
1200000000,cpv,2005
1355000000,cpv,2006
1542000000,cpv,2007
1663000000,cpv,2008
1748000000,cpv,2009
1828000000,cpv,2010
2004000000,cpv,2011
1041000000,caf,1980
1122000000,caf,1981
1264000000,caf,1982
1199000000,caf,1983
1364000000,caf,1984
1471000000,caf,1985
1553000000,caf,1986
1506000000,caf,1987
1583000000,caf,1988
1677000000,caf,1989
1712000000,caf,1990
1767000000,caf,1991
1689000000,caf,1992
1726000000,caf,1993
1829000000,caf,1994
2017000000,caf,1995
1969000000,caf,1996
2122000000,caf,1997
2248000000,caf,1998
2387000000,caf,1999
2482000000,caf,2000
2559000000,caf,2001
2583000000,caf,2002
2453000000,caf,2003
2549000000,caf,2004
2696000000,caf,2005
2885000000,caf,2006
3068000000,caf,2007
3182000000,caf,2008
3298000000,caf,2009
3451000000,caf,2010
3655000000,caf,2011
1421000000,tcd,1980
1576000000,tcd,1981
1767000000,tcd,1982
2126000000,tcd,1983
2229000000,tcd,1984
2798000000,tcd,1985
2733000000,tcd,1986
2742000000,tcd,1987
3277000000,tcd,1988
3554000000,tcd,1989
3521000000,tcd,1990
3987000000,tcd,1991
4410000000,tcd,1992
3762000000,tcd,1993
4161000000,tcd,1994
4400000000,tcd,1995
4564000000,tcd,1996
4893000000,tcd,1997
5362000000,tcd,1998
5400000000,tcd,1999
5405000000,tcd,2000
6168000000,tcd,2001
6685000000,tcd,2002
6724000000,tcd,2003
9346000000,tcd,2004
10850000000,tcd,2005
11150000000,tcd,2006
11890000000,tcd,2007
11680000000,tcd,2008
13740000000,tcd,2009
15310000000,tcd,2010
15800000000,tcd,2011
25160000000,chl,1980
28480000000,chl,1981
26100000000,chl,1982
25910000000,chl,1983
28480000000,chl,1984
30780000000,chl,1985
33880000000,chl,1986
38620000000,chl,1987
43480000000,chl,1988
50940000000,chl,1989
56280000000,chl,1990
63680000000,chl,1991
74760000000,chl,1992
83200000000,chl,1993
89700000000,chl,1994
103200000000,chl,1995
113700000000,chl,1996
123400000000,chl,1997
129900000000,chl,1998
129800000000,chl,1999
137400000000,chl,2000
145500000000,chl,2001
150000000000,chl,2002
156800000000,chl,2003
167000000000,chl,2004
189200000000,chl,2005
198900000000,chl,2006
216300000000,chl,2007
238500000000,chl,2008
240700000000,chl,2009
257400000000,chl,2010
282100000000,chl,2011
245300000000,chn,1980
282300000000,chn,1981
327500000000,chn,1982
378800000000,chn,1983
453200000000,chn,1984
528300000000,chn,1985
586000000000,chn,1986
672700000000,chn,1987
775000000000,chn,1988
838100000000,chn,1989
905100000000,chn,1990
1021000000000,chn,1991
1189000000000,chn,1992
1380000000000,chn,1993
1594000000000,chn,1994
1783000000000,chn,1995
2000000000000,chn,1996
2235000000000,chn,1997
2431000000000,chn,1998
2653000000000,chn,1999
2951000000000,chn,2000
3261000000000,chn,2001
3631000000000,chn,2002
4101000000000,chn,2003
4656000000000,chn,2004
5326000000000,chn,2005
6228000000000,chn,2006
7350000000000,chn,2007
8247000000000,chn,2008
9079000000000,chn,2009
10080000000000,chn,2010
11360000000000,chn,2011
67530000000,col,1980
75110000000,col,1981
78930000000,col,1982
82900000000,col,1983
88500000000,col,1984
93140000000,col,1985
101800000000,col,1986
109600000000,col,1987
118800000000,col,1988
126000000000,col,1989
138600000000,col,1990
147700000000,col,1991
158900000000,col,1992
167700000000,col,1993
184000000000,col,1994
198200000000,col,1995
205000000000,col,1996
215900000000,col,1997
221100000000,col,1998
215000000000,col,1999
228100000000,col,2000
236400000000,col,2001
245700000000,col,2002
258700000000,col,2003
279900000000,col,2004
302700000000,col,2005
333600000000,col,2006
366300000000,col,2007
386300000000,col,2008
397700000000,col,2009
417700000000,col,2010
452400000000,col,2011
190300000,com,1980
215500000,com,1981
244000000,com,1982
263300000,com,1983
284000000,com,1984
298100000,com,1985
310700000,com,1986
326500000,com,1987
344900000,com,1988
352500000,com,1989
381000000,com,1990
373000000,com,1991
420200000,com,1992
439000000,com,1993
422400000,com,1994
448700000,com,1995
449500000,com,1996
476400000,com,1997
487900000,com,1998
505900000,com,1999
524600000,com,2000
555200000,com,2001
584000000,com,2002
607300000,com,2003
624800000,com,2004
675000000,com,2005
708100000,com,2006
734500000,com,2007
755300000,com,2008
775800000,com,2009
798900000,com,2010
841900000,com,2011
6102000000,cod,1982
11500000000,cod,1983
11950000000,cod,1984
15170000000,cod,1985
14480000000,cod,1986
14800000000,cod,1987
14740000000,cod,1988
16090000000,cod,1989
15350000000,cod,1990
14410000000,cod,1991
13120000000,cod,1992
11940000000,cod,1993
10970000000,cod,1994
11090000000,cod,1995
12080000000,cod,1996
11600000000,cod,1997
11620000000,cod,1998
11040000000,cod,1999
10420000000,cod,2000
10460000000,cod,2001
11410000000,cod,2002
12590000000,cod,2003
13640000000,cod,2004
14780000000,cod,2005
16410000000,cod,2006
17750000000,cod,2007
18220000000,cod,2008
19870000000,cod,2009
21560000000,cod,2010
23380000000,cod,2011
2293000000,cog,1980
3076000000,cog,1981
4000000000,cog,1982
4313000000,cog,1983
4918000000,cog,1984
4979000000,cog,1985
5148000000,cog,1986
5307000000,cog,1987
4737000000,cog,1988
4964000000,cog,1989
5094000000,cog,1990
5432000000,cog,1991
5928000000,cog,1992
5927000000,cog,1993
5682000000,cog,1994
4101000000,cog,1995
4295000000,cog,1996
5433000000,cog,1997
6064000000,cog,1998
5517000000,cog,1999
6133000000,cog,2000
6463000000,cog,2001
7138000000,cog,2002
7439000000,cog,2003
7288000000,cog,2004
7914000000,cog,2005
8643000000,cog,2006
9117000000,cog,2007
10570000000,cog,2008
11300000000,cog,2009
12840000000,cog,2010
13580000000,cog,2011
