geo,time,pneumonia_deaths_in_newborn_total_deaths
afg,2008,7978
alb,2008,11
dza,2008,2159
ago,2008,3168
arg,2008,107
arm,2008,66
aus,2008,2
aut,2008,0
aze,2008,276
bhs,2008,2
bhr,2008,0
bgd,2008,6076
brb,2008,0
blr,2008,46
bel,2008,3
blz,2008,2
ben,2008,2009
btn,2008,64
bol,2008,314
bih,2008,18
bwa,2008,75
bra,2008,663
brn,2008,0
bgr,2008,23
bfa,2008,4942
bdi,2008,745
khm,2008,560
cmr,2008,1757
can,2008,22
cpv,2008,17
caf,2008,971
tcd,2008,2633
chl,2008,20
chn,2008,5870
col,2008,458
com,2008,72
cog,2008,315
cri,2008,14
civ,2008,4191
hrv,2008,5
cub,2008,40
cyp,2008,1
cze,2008,3
prk,2008,633
cod,2008,24540
dnk,2008,1
dji,2008,70
dom,2008,437
ecu,2008,347
egy,2008,1790
slv,2008,79
gnq,2008,58
eri,2008,247
est,2008,1
eth,2008,9399
fji,2008,13
fin,2008,3
fra,2008,1
gab,2008,89
gmb,2008,295
geo,2008,91
deu,2008,4
gha,2008,1603
grc,2008,2
grd,2008,3
gtm,2008,435
gin,2008,2568
gnb,2008,223
guy,2008,20
hti,2008,356
hnd,2008,256
hun,2008,12
isl,2008,0
ind,2008,168000
idn,2008,7666
irn,2008,2183
irq,2008,2895
irl,2008,0
isr,2008,0
ita,2008,5
jam,2008,45
jpn,2008,10
jor,2008,144
kaz,2008,373
ken,2008,2240
kwt,2008,3
kgz,2008,197
lao,2008,99
lva,2008,8
lbn,2008,28
lso,2008,77
lbr,2008,601
lby,2008,82
ltu,2008,4
lux,2008,0
mdg,2008,1819
mwi,2008,1133
mys,2008,116
mdv,2008,8
mli,2008,5169
mlt,2008,0
mrt,2008,621
mus,2008,2
mex,2008,655
fsm,2008,4
mng,2008,89
mne,2008,3
mar,2008,1855
moz,2008,5374
mmr,2008,1982
nam,2008,104
npl,2008,1472
nld,2008,2
nzl,2008,7
nic,2008,185
ner,2008,3808
nga,2008,15840
nor,2008,1
omn,2008,23
pak,2008,31990
pan,2008,25
png,2008,354
pry,2008,194
per,2008,818
phl,2008,3807
pol,2008,20
prt,2008,14
qat,2008,3
kor,2008,8
mda,2008,63
rou,2008,197
rus,2008,317
rwa,2008,703
lca,2008,0
vct,2008,0
wsm,2008,6
stp,2008,12
sau,2008,484
sen,2008,2432
srb,2008,12
sle,2008,1465
sgp,2008,2
svk,2008,3
svn,2008,1
slb,2008,27
som,2008,1369
zaf,2008,2125
esp,2008,4
lka,2008,277
sdn,2008,8412
sur,2008,2
swz,2008,72
swe,2008,0
che,2008,0
syr,2008,269
tjk,2008,157
tha,2008,990
mkd,2008,0
tgo,2008,1022
ton,2008,3
tto,2008,22
tun,2008,128
tur,2008,1656
tkm,2008,127
uga,2008,2210
ukr,2008,259
are,2008,15
gbr,2008,34
tza,2008,2986
usa,2008,104
ury,2008,8
uzb,2008,1061
vut,2008,9
ven,2008,328
vnm,2008,1099
yem,2008,2861
zmb,2008,1125
zwe,2008,442
