geo,females_aged_25_54_labour_force_participation_rate_percent,time
afg,32.3,1980
afg,32.1,1981
afg,31.8,1982
afg,31.5,1983
afg,31.2,1984
afg,30.9,1985
afg,30.7,1986
afg,30.5,1987
afg,30.2,1988
afg,30.0,1989
afg,29.6,1990
afg,29.3,1991
afg,29.0,1992
afg,28.7,1993
afg,28.4,1994
afg,28.2,1995
afg,28.0,1996
afg,27.8,1997
afg,27.7,1998
afg,27.6,1999
afg,27.6,2000
afg,27.6,2001
afg,27.8,2002
afg,28.0,2003
afg,28.3,2004
afg,28.6,2005
afg,28.9,2006
afg,28.6,2007
alb,81.0,1980
alb,80.9,1981
alb,80.8,1982
alb,80.6,1983
alb,80.5,1984
alb,80.5,1985
alb,80.4,1986
alb,80.7,1987
alb,81.0,1988
alb,80.5,1989
alb,81.3,1990
alb,61.9,1991
alb,61.5,1992
alb,62.2,1993
alb,63.0,1994
alb,63.6,1995
alb,64.3,1996
alb,63.7,1997
alb,64.6,1998
alb,65.3,1999
alb,65.7,2000
alb,66.0,2001
alb,66.1,2002
alb,66.3,2003
alb,66.5,2004
alb,66.7,2005
alb,66.7,2006
alb,67.4,2007
dza,20.3,1980
dza,20.5,1981
dza,20.6,1982
dza,20.8,1983
dza,20.9,1984
dza,21.1,1985
dza,22.0,1986
dza,22.9,1987
dza,23.9,1988
dza,24.9,1989
dza,25.9,1990
dza,27.0,1991
dza,28.1,1992
dza,29.2,1993
dza,30.3,1994
dza,31.5,1995
dza,32.7,1996
dza,33.6,1997
dza,34.9,1998
dza,36.1,1999
dza,37.2,2000
dza,38.2,2001
dza,39.2,2002
dza,40.3,2003
dza,41.2,2004
dza,42.1,2005
dza,42.9,2006
dza,44.6,2007
ago,77.5,1980
ago,77.6,1981
ago,77.8,1982
ago,77.9,1983
ago,78.1,1984
ago,78.2,1985
ago,78.2,1986
ago,78.4,1987
ago,79.6,1988
ago,79.3,1989
ago,79.4,1990
ago,78.9,1991
ago,80.3,1992
ago,77.7,1993
ago,79.7,1994
ago,76.8,1995
ago,77.0,1996
ago,76.9,1997
ago,77.6,1998
ago,78.3,1999
ago,77.9,2000
ago,77.9,2001
