geo,electricity_generation_per_person,time
cze,7153.0,2000
cze,7274.0,2001
cze,7444.0,2002
cze,8119.0,2003
cze,8231.0,2004
cze,8063.0,2005
cze,8235.0,2006
cze,8611.0,2007
cze,8364.0,2008
dnk,5010.0,1990
dnk,7048.0,1991
dnk,5965.0,1992
dnk,6503.0,1993
dnk,7790.0,1994
dnk,6995.0,1995
dnk,10180.0,1996
dnk,8276.0,1997
dnk,7729.0,1998
dnk,7306.0,1999
dnk,6714.0,2000
dnk,7021.0,2001
dnk,7265.0,2002
dnk,8526.0,2003
dnk,7437.0,2004
dnk,6632.0,2005
dnk,8364.0,2006
dnk,7174.0,2007
dnk,6639.0,2008
ecu,615.3,1990
ecu,640.7,1991
ecu,669.5,1992
ecu,675.0,1993
ecu,726.6,1994
ecu,736.9,1995
ecu,828.5,1996
ecu,869.9,1997
ecu,897.1,1998
ecu,836.8,1999
ecu,848.6,2000
ecu,871.7,2001
ecu,924.4,2002
ecu,968.8,2003
ecu,1077.0,2004
ecu,1132.0,2005
ecu,1187.0,2006
ecu,1323.0,2007
ecu,1402.0,2008
egy,756.0,1990
egy,771.9,1991
egy,786.8,1992
egy,796.4,1993
egy,813.9,1994
egy,843.3,1995
egy,874.1,1996
egy,922.4,1997
egy,963.9,1998
egy,1024.0,1999
egy,1035.0,2000
egy,1116.0,2001
egy,1169.0,2002
egy,1225.0,2003
egy,1278.0,2004
egy,1342.0,2005
egy,1403.0,2006
egy,1482.0,2007
egy,1566.0,2008
fin,10830.0,1990
fin,11470.0,1991
fin,11360.0,1992
fin,11960.0,1993
fin,12790.0,1994
fin,12380.0,1995
fin,13550.0,1996
fin,13400.0,1997
fin,13610.0,1998
fin,13470.0,1999
fin,13530.0,2000
fin,14350.0,2001
fin,14490.0,2002
fin,16120.0,2003
fin,16430.0,2004
fin,13450.0,2005
fin,15700.0,2006
fin,15510.0,2007
fin,14710.0,2008
fra,7406.0,1990
fra,7970.0,1991
fra,8072.0,1992
fra,8196.0,1993
fra,8236.0,1994
fra,8494.0,1995
fra,8788.0,1996
fra,8600.0,1997
fra,8679.0,1998
fra,8856.0,1999
fra,9107.0,2000
fra,9216.0,2001
fra,9332.0,2002
fra,9420.0,2003
fra,9504.0,2004
fra,9499.0,2005
fra,9439.0,2006
fra,9328.0,2007
fra,9373.0,2008
deu,6927.0,1990
deu,6744.0,1991
deu,6664.0,1992
deu,6480.0,1993
deu,6488.0,1994
deu,6549.0,1995
deu,6720.0,1996
deu,6703.0,1997
deu,6747.0,1998
deu,6761.0,1999
deu,6868.0,2000
deu,7123.0,2001
deu,7124.0,2002
deu,7373.0,2003
deu,7473.0,2004
deu,7525.0,2005
deu,7726.0,2006
deu,7738.0,2007
deu,7759.0,2008
grc,3456.0,1990
grc,3494.0,1991
grc,3623.0,1992
grc,3698.0,1993
grc,3895.0,1994
grc,3973.0,1995
grc,4061.0,1996
grc,4142.0,1997
grc,4404.0,1998
grc,4709.0,1999
grc,5099.0,2000
grc,5075.0,2001
grc,5150.0,2002
grc,5503.0,2003
grc,5574.0,2004
grc,5626.0,2005
grc,5688.0,2006
grc,5907.0,2007
grc,5795.0,2008
hkg,5091.0,1990
hkg,5544.0,1991
hkg,6017.0,1992
hkg,6057.0,1993
hkg,4407.0,1994
hkg,4484.0,1995
hkg,4450.0,1996
hkg,4456.0,1997
hkg,4757.0,1998
hkg,4470.0,1999
hkg,4705.0,2000
hkg,4831.0,2001
hkg,5074.0,2002
hkg,5214.0,2003
hkg,5416.0,2004
hkg,5573.0,2005
hkg,5563.0,2006
hkg,5580.0,2007
hkg,5413.0,2008
hun,2739.0,1990
hun,2892.0,1991
hun,3055.0,1992
hun,3174.0,1993
hun,3250.0,1994
hun,3304.0,1995
hun,3417.0,1996
