geo,maternal_deaths_lifetime_risk_per_1000,time
afg,125.0,2005
afg,90.91,2008
afg,31.25,2010
alb,2.041,2005
alb,0.5882,2008
alb,0.4545,2010
dza,4.545,2005
dza,2.941,2008
dza,2.326,2010
ago,83.33,2005
ago,34.48,2008
ago,25.64,2010
arg,1.887,2005
arg,1.667,2008
arg,1.786,2010
arm,1.02,2005
arm,0.5263,2008
arm,0.5882,2010
aus,0.07519,2005
aus,0.1351,2008
aus,0.1235,2010
aut,0.04651,2005
aut,0.06993,2008
aut,0.05495,2010
aze,1.493,2005
aze,0.8333,2008
aze,1.0,2010
bhs,0.3704,2005
bhs,1.0,2008
bhs,0.9091,2010
bhr,0.7692,2005
bhr,0.4545,2008
bhr,0.5556,2010
bgd,19.61,2005
bgd,9.091,2008
bgd,5.882,2010
brb,0.2273,2005
brb,0.9091,2008
brb,0.7692,2010
blr,0.2083,2005
blr,0.1961,2008
blr,0.06135,2010
bel,0.1282,2005
bel,0.09174,2008
bel,0.1333,2010
blz,1.786,2005
blz,3.03,2008
blz,1.639,2010
ben,50.0,2005
ben,23.26,2008
ben,18.87,2010
btn,18.18,2005
btn,5.882,2008
btn,4.762,2010
bol,11.24,2005
bol,6.667,2008
bol,7.143,2010
bih,0.03448,2005
bih,0.1075,2008
bih,0.08772,2010
bwa,7.692,2005
bwa,5.556,2008
bwa,4.545,2010
bra,2.703,2005
bra,1.163,2008
bra,1.099,2010
brn,0.3448,2005
brn,0.5,2008
brn,0.5263,2010
bgr,0.1351,2005
bgr,0.1724,2008
bgr,0.1695,2010
bfa,45.45,2005
bfa,35.71,2008
bfa,18.18,2010
bdi,62.5,2005
bdi,40.0,2008
bdi,32.26,2010
khm,20.83,2005
khm,9.091,2008
khm,6.667,2010
cmr,41.67,2005
cmr,28.57,2008
cmr,32.26,2010
can,0.09091,2005
can,0.1786,2008
can,0.1923,2010
cpv,8.333,2005
cpv,2.857,2008
cpv,2.083,2010
caf,40.0,2005
caf,37.04,2008
caf,38.46,2010
tcd,90.91,2005
tcd,71.43,2008
tcd,66.67,2010
chl,0.3125,2005
chl,0.5,2008
chl,0.4545,2010
chn,0.7692,2005
chn,0.6667,2008
chn,0.5882,2010
col,3.448,2005
col,2.174,2008
col,2.326,2010
com,19.23,2005
com,14.08,2008
com,14.93,2010
cod,76.92,2005
cod,41.67,2008
