drownings_per_100000_people,geo,time
2.473,pol,2004
0.3327,prt,2002
1.514,prt,2004
2.096,qat,2002
2.193,qat,2004
3.23,kor,2002
2.282,kor,2004
8.755,mda,2002
7.375,mda,2004
5.309,rou,2002
4.618,rou,2004
11.87,rus,2002
10.03,rus,2004
17.66,rwa,2002
20.57,rwa,2004
9.223,kna,2002
9.045,kna,2004
7.631,lca,2002
5.636,lca,2004
10.6,vct,2002
12.07,vct,2004
5.221,wsm,2002
5.587,wsm,2004
1.093,smr,2002
0.7284,smr,2004
2.304,stp,2002
3.115,stp,2004
6.63,sau,2002
6.772,sau,2004
6.626,sen,2002
4.138,sen,2004
1.381,scg,2002
1.383,scg,2004
17.84,syc,2002
15.96,syc,2004
16.07,sle,2002
8.964,sle,2004
0.4238,sgp,2002
0.5943,sgp,2004
2.998,svk,2002
2.742,svk,2004
1.216,svn,2002
0.8921,svn,2004
6.155,slb,2002
6.257,slb,2004
5.915,som,2002
26.64,som,2004
2.832,zaf,2002
2.593,zaf,2004
1.194,esp,2002
1.188,esp,2004
4.779,lka,2002
4.164,lka,2004
4.925,sdn,2002
7.256,sdn,2004
10.07,sur,2002
5.413,sur,2004
7.555,swz,2002
9.924,swz,2004
1.045,swe,2002
1.199,swe,2004
0.8518,che,2002
0.58,che,2004
1.725,syr,2002
1.607,syr,2004
4.361,tjk,2002
4.685,tjk,2004
4.967,tha,2002
6.488,tha,2004
1.204,mkd,2002
1.357,mkd,2004
8.0,tls,2002
5.658,tls,2004
7.914,tgo,2002
4.171,tgo,2004
3.929,ton,2002
3.737,ton,2004
4.684,tto,2002
4.43,tto,2004
3.024,tun,2002
2.667,tun,2004
0.9598,tur,2002
0.7046,tur,2004
7.036,tkm,2002
10.09,tkm,2004
8.555,tuv,2002
8.763,tuv,2004
7.548,uga,2002
8.381,uga,2004
10.14,ukr,2002
8.892,ukr,2004
6.082,are,2002
2.96,are,2004
0.4009,gbr,2002
0.3479,gbr,2004
11.31,tza,2002
11.59,tza,2004
1.348,usa,2002
1.152,usa,2004
3.781,ury,2002
2.164,ury,2004
4.301,uzb,2002
5.271,uzb,2004
5.577,vut,2002
5.495,vut,2004
2.482,ven,2002
2.727,ven,2004
5.389,vnm,2002
4.524,vnm,2004
6.973,yem,2002
7.664,yem,2004
6.452,zmb,2002
14.16,zmb,2004
6.349,zwe,2002
16.05,zwe,2004
