primary_completion_rate_total_percent_of_relevant_age_group,geo,time
92.11,lva,2010
83.66,lbn,1997
88.07,lbn,1998
102.1,lbn,1999
84.97,lbn,2006
85.56,lbn,2007
87.08,lbn,2008
84.99,lbn,2009
87.26,lbn,2010
86.99,lbn,2011
32.82,lso,1971
36.5,lso,1972
40.44,lso,1973
49.65,lso,1974
52.18,lso,1975
48.75,lso,1976
44.88,lso,1977
45.38,lso,1978
46.14,lso,1979
46.22,lso,1980
47.52,lso,1981
48.03,lso,1982
49.23,lso,1983
49.76,lso,1984
49.85,lso,1985
50.05,lso,1986
52.72,lso,1987
55.41,lso,1988
55.94,lso,1989
58.38,lso,1990
58.9,lso,1991
61.31,lso,1992
61.07,lso,1993
63.23,lso,1994
64.01,lso,1996
62.73,lso,1998
61.23,lso,1999
59.78,lso,2000
61.4,lso,2001
62.12,lso,2002
63.55,lso,2003
65.27,lso,2004
60.16,lso,2005
75.69,lso,2006
70.79,lso,2007
67.97,lso,2008
67.78,lso,2009
69.56,lso,2010
27.57,lbr,1978
69.05,lbr,2007
62.34,lbr,2008
61.51,lbr,2009
66.0,lbr,2011
44.32,lby,1971
81.12,lby,1972
73.0,lby,1973
91.14,lby,1974
113.3,lby,1975
107.4,lby,1976
110.7,lby,1977
108.1,lby,1978
101.5,lby,1979
93.27,lby,1980
95.3,lby,1981
99.85,lby,1983
90.39,lie,2003
109.0,lie,2004
101.8,lie,2006
102.9,lie,2007
103.6,lie,2008
94.59,lie,2009
111.1,lie,2010
93.01,ltu,1995
97.08,ltu,1996
98.75,ltu,1997
96.65,ltu,1999
97.19,ltu,2000
103.6,ltu,2001
104.7,ltu,2002
106.5,ltu,2003
99.73,ltu,2004
91.66,ltu,2005
93.16,ltu,2006
95.67,ltu,2007
91.92,ltu,2008
95.87,ltu,2009
99.37,ltu,2010
83.9,lux,1975
84.21,lux,1976
86.65,lux,1977
84.9,lux,1978
84.48,lux,1979
82.73,lux,1983
83.48,lux,2010
96.71,mac,1990
92.54,mac,1992
95.31,mac,1993
100.3,mac,1999
99.46,mac,2000
100.2,mac,2001
100.8,mac,2002
98.32,mac,2003
102.9,mac,2004
95.74,mac,2005
101.5,mac,2006
97.99,mac,2007
97.09,mac,2008
95.21,mac,2009
97.3,mac,2010
97.0,mac,2011
98.14,mkd,1993
98.15,mkd,1994
96.52,mkd,1995
99.07,mkd,1996
99.95,mkd,1997
104.1,mkd,1998
103.9,mkd,1999
100.4,mkd,2000
98.69,mkd,2001
99.7,mkd,2002
95.68,mkd,2003
94.37,mkd,2004
95.37,mkd,2005
93.41,mkd,2006
92.83,mkd,2007
92.57,mkd,2008
92.29,mkd,2009
27.15,mdg,1971
29.9,mdg,1972
29.52,mdg,1973
32.06,mdg,1975
37.83,mdg,1988
35.87,mdg,1989
36.12,mdg,1990
35.8,mdg,1991
33.7,mdg,1992
35.38,mdg,1993
32.68,mdg,1994
32.13,mdg,1995
31.87,mdg,1996
31.3,mdg,1998
34.14,mdg,1999
37.11,mdg,2000
36.67,mdg,2001
36.75,mdg,2002
40.64,mdg,2003
46.65,mdg,2004
59.25,mdg,2005
58.16,mdg,2006
62.56,mdg,2007
69.1,mdg,2008
75.97,mdg,2009
72.46,mdg,2010
72.9,mdg,2011
19.83,mwi,1974
21.03,mwi,1975
23.09,mwi,1976
27.4,mwi,1977
28.51,mwi,1978
30.61,mwi,1979
31.35,mwi,1980
33.92,mwi,1981
33.6,mwi,1982
33.49,mwi,1983
31.96,mwi,1984
32.87,mwi,1985
31.75,mwi,1986
31.36,mwi,1987
25.17,mwi,1988
25.98,mwi,1989
28.39,mwi,1990
31.86,mwi,1991
35.9,mwi,1992
38.88,mwi,1993
42.3,mwi,1994
56.06,mwi,1995
65.51,mwi,1996
67.25,mwi,1999
65.48,mwi,2000
65.76,mwi,2001
68.22,mwi,2002
58.65,mwi,2004
58.41,mwi,2005
58.27,mwi,2006
59.3,mwi,2007
64.12,mwi,2008
65.89,mwi,2009
68.29,mwi,2010
71.16,mwi,2011
80.54,mys,1974
92.21,mys,1980
89.76,mys,1981
90.48,mys,1982
94.99,mys,1983
95.01,mys,1984
93.88,mys,1985
92.49,mys,1987
92.54,mys,1988
89.94,mys,1989
87.86,mys,1990
89.16,mys,1991
92.14,mys,1993
97.12,mys,1998
94.97,mys,1999
92.44,mys,2002
92.61,mys,2003
96.46,mys,2004
98.96,mys,2005
140.2,mdv,2005
131.8,mdv,2006
114.7,mdv,2008
120.3,mdv,2009
114.0,mdv,2010
9.907,mli,1971
9.061,mli,1972
9.393,mli,1973
10.08,mli,1974
11.09,mli,1976
13.28,mli,1977
12.41,mli,1978
13.06,mli,1979
11.54,mli,1980
11.1,mli,1981
11.36,mli,1983
10.88,mli,1984
10.3,mli,1985
9.472,mli,1986
9.402,mli,1987
9.073,mli,1988
29.36,mli,2000
33.2,mli,2001
34.19,mli,2002
37.25,mli,2003
39.11,mli,2004
40.63,mli,2005
45.61,mli,2006
48.43,mli,2007
50.78,mli,2008
52.1,mli,2009
54.83,mli,2010
55.39,mli,2011
107.9,mlt,1971
113.1,mlt,1972
110.1,mlt,1973
113.5,mlt,1974
101.2,mlt,1975
78.56,mlt,1976
102.7,mlt,1977
97.95,mlt,1978
108.2,mlt,1979
113.4,mlt,1980
129.2,mlt,1981
112.9,mlt,1982
108.3,mlt,1983
103.3,mlt,1984
108.5,mlt,1985
107.1,mlt,1986
110.1,mlt,1987
99.46,mlt,1988
99.58,mlt,1989
97.78,mlt,1990
95.91,mlt,1991
98.46,mlt,1992
101.1,mlt,1993
100.2,mlt,1994
95.36,mlt,1995
95.01,mlt,1996
93.22,mlt,1997
94.55,mlt,1998
96.81,mlt,1999
100.1,mlt,2000
99.13,mlt,2001
100.2,mlt,2002
99.15,mlt,2003
97.35,mlt,2004
94.65,mlt,2005
95.86,mlt,2007
98.47,mlt,2008
92.03,mlt,2009
96.71,mlt,2010
92.53,mhl,1999
114.5,mhl,2002
103.8,mhl,2003
110.4,mhl,2005
114.6,mhl,2006
116.2,mhl,2007
112.9,mhl,2008
107.6,mhl,2009
97.28,mhl,2011
10.33,mrt,1976
10.5,mrt,1977
12.09,mrt,1978
16.03,mrt,1979
19.17,mrt,1980
25.55,mrt,1981
29.14,mrt,1983
29.92,mrt,1985
32.2,mrt,1986
32.94,mrt,1987
38.37,mrt,1988
34.15,mrt,1989
28.76,mrt,1990
32.42,mrt,1991
31.39,mrt,1992
32.94,mrt,1993
32.6,mrt,1994
33.61,mrt,1995
34.46,mrt,1996
38.83,mrt,1997
44.35,mrt,1998
45.95,mrt,2001
43.54,mrt,2002
43.6,mrt,2005
44.82,mrt,2006
56.7,mrt,2007
70.06,mrt,2009
74.8,mrt,2010
96.98,mus,1983
89.36,mus,1984
97.55,mus,1985
124.1,mus,1986
94.47,mus,1987
93.8,mus,1988
62.59,mus,1989
110.6,mus,1990
116.5,mus,1991
117.1,mus,1992
112.4,mus,1993
106.0,mus,1994
97.66,mus,1995
90.85,mus,1996
86.98,mus,1997
87.55,mus,1998
92.37,mus,1999
95.55,mus,2000
97.0,mus,2001
95.59,mus,2002
98.03,mus,2003
95.29,mus,2004
95.67,mus,2005
92.19,mus,2006
94.0,mus,2007
93.46,mus,2008
91.38,mus,2009
96.02,mus,2010
94.93,mus,2011
67.97,mex,1975
69.82,mex,1976
75.33,mex,1977
75.6,mex,1978
79.69,mex,1979
82.74,mex,1980
84.93,mex,1981
86.25,mex,1982
88.17,mex,1983
92.27,mex,1984
91.14,mex,1985
92.82,mex,1986
93.03,mex,1987
92.26,mex,1988
91.37,mex,1989
89.0,mex,1990
88.44,mex,1991
90.03,mex,1992
91.17,mex,1993
92.93,mex,1994
95.98,mex,1995
97.75,mex,1996
98.09,mex,1997
98.17,mex,1999
98.61,mex,2000
98.72,mex,2001
99.35,mex,2002
98.59,mex,2003
99.42,mex,2004
99.58,mex,2005
100.7,mex,2006
103.6,mex,2007
104.3,mex,2008
103.9,mex,2009
105.0,mex,2010
94.89,mda,1995
94.36,mda,1999
97.79,mda,2000
97.26,mda,2001
97.14,mda,2002
95.38,mda,2003
96.22,mda,2004
99.49,mda,2005
98.03,mda,2006
92.91,mda,2007
91.38,mda,2008
92.82,mda,2009
91.98,mda,2010
91.1,mda,2011
95.73,mng,1978
99.92,mng,1979
99.34,mng,1980
98.04,mng,1983
74.64,mng,1995
79.26,mng,1996
76.71,mng,1997
87.94,mng,1998
85.81,mng,1999
85.8,mng,2000
90.78,mng,2001
98.51,mng,2002
100.4,mng,2003
97.44,mng,2004
95.88,mng,2005
109.7,mng,2006
108.1,mng,2007
108.6,mng,2010
115.3,mng,2011
115.3,mne,2011
28.4,mar,1971
27.74,mar,1972
28.46,mar,1973
29.01,mar,1974
30.46,mar,1975
33.17,mar,1976
36.55,mar,1977
40.6,mar,1978
43.93,mar,1979
46.31,mar,1980
47.53,mar,1981
49.34,mar,1982
49.81,mar,1983
50.35,mar,1984
58.2,mar,1985
56.41,mar,1986
56.21,mar,1987
52.47,mar,1988
45.17,mar,1989
51.75,mar,1990
48.08,mar,1991
46.46,mar,1992
46.55,mar,1993
46.5,mar,1994
48.03,mar,1995
48.7,mar,1996
50.17,mar,1997
52.92,mar,1998
54.61,mar,1999
57.38,mar,2000
59.13,mar,2001
61.96,mar,2002
66.79,mar,2003
74.99,mar,2004
80.21,mar,2005
83.95,mar,2006
83.63,mar,2007
81.76,mar,2008
80.94,mar,2009
84.69,mar,2010
89.27,mar,2011
8.182,moz,1973
35.11,moz,1982
27.47,moz,1983
32.5,moz,1984
32.7,moz,1985
43.64,moz,1986
32.8,moz,1987
25.83,moz,1988
25.46,moz,1989
26.62,moz,1990
26.78,moz,1991
25.0,moz,1992
24.94,moz,1993
25.44,moz,1994
25.95,moz,1995
14.03,moz,1999
16.18,moz,2000
18.92,moz,2001
22.34,moz,2002
29.56,moz,2004
41.63,moz,2005
41.33,moz,2006
45.78,moz,2007
58.89,moz,2008
56.4,moz,2009
60.56,moz,2010
56.24,moz,2011
37.38,mmr,1971
35.57,mmr,1972
43.9,mmr,1973
41.57,mmr,1974
74.14,mmr,1999
80.84,mmr,2000
80.74,mmr,2001
82.21,mmr,2002
85.31,mmr,2003
88.28,mmr,2004
95.15,mmr,2006
96.5,mmr,2007
98.96,mmr,2008
99.99,mmr,2009
103.6,mmr,2010
74.04,nam,1992
71.9,nam,1994
69.27,nam,1995
77.49,nam,1996
96.15,nam,1998
94.84,nam,1999
91.41,nam,2000
94.03,nam,2001
92.63,nam,2002
92.93,nam,2003
85.35,nam,2004
85.32,nam,2005
82.19,nam,2006
81.57,nam,2007
78.37,nam,2008
83.92,nam,2009
81.12,nam,2010
45.64,npl,1988
51.56,npl,1991
56.75,npl,1992
63.24,npl,1999
65.79,npl,2000
65.41,npl,2001
70.01,npl,2002
97.99,nld,1971
96.33,nld,1972
96.45,nld,1973
95.57,nld,1974
95.48,nld,1975
95.68,nld,1976
94.51,nld,1977
93.1,nld,1978
92.38,nld,1979
92.86,nld,1980
97.13,nld,1981
98.29,nld,1982
96.99,nld,1983
94.51,nld,1984
89.74,nld,1985
99.63,nld,1999
98.45,nld,2000
98.86,nld,2001
101.2,nld,2002
102.0,nzl,1970
103.8,nzl,1971
105.6,nzl,1972
104.5,nzl,1973
101.6,nzl,1974
99.56,nzl,1975
99.02,nzl,1976
100.6,nzl,1977
101.7,nzl,1978
103.6,nzl,1979
25.45,nic,1970
29.05,nic,1971
29.53,nic,1972
32.14,nic,1973
30.33,nic,1974
35.19,nic,1977
34.78,nic,1978
30.76,nic,1979
34.5,nic,1980
31.34,nic,1982
30.93,nic,1983
29.39,nic,1984
31.56,nic,1985
38.67,nic,1986
47.79,nic,1987
48.43,nic,1988
42.06,nic,1989
39.52,nic,1990
42.54,nic,1991
44.76,nic,1992
49.01,nic,1993
54.1,nic,1994
49.55,nic,1995
67.38,nic,1999
66.23,nic,2000
66.67,nic,2001
73.32,nic,2002
72.08,nic,2003
71.94,nic,2004
74.55,nic,2005
75.23,nic,2006
76.25,nic,2007
75.9,nic,2008
80.94,nic,2010
5.618,ner,1971
6.813,ner,1972
6.891,ner,1973
6.79,ner,1974
7.162,ner,1975
7.802,ner,1976
8.68,ner,1977
10.52,ner,1978
10.89,ner,1979
13.95,ner,1980
14.82,ner,1981
17.02,ner,1982
18.32,ner,1983
19.88,ner,1984
19.48,ner,1985
21.51,ner,1986
22.72,ner,1987
15.11,ner,1989
16.66,ner,1990
17.78,ner,1991
18.72,ner,1992
16.69,ner,1993
14.11,ner,1995
14.56,ner,1996
18.66,ner,1997
19.91,ner,1999
18.71,ner,2000
19.59,ner,2001
21.22,ner,2002
20.55,ner,2003
26.71,ner,2004
29.49,ner,2005
32.36,ner,2006
39.5,ner,2007
38.4,ner,2008
40.99,ner,2009
41.19,ner,2010
46.22,ner,2011
77.23,nga,2003
79.56,nga,2004
82.9,nga,2005
91.11,nga,2006
81.1,nga,2007
69.99,nga,2008
71.32,nga,2009
74.36,nga,2010
99.03,nor,1971
99.37,nor,1972
97.61,nor,1973
97.99,nor,1974
99.52,nor,1975
99.94,nor,1976
101.6,nor,1977
101.8,nor,1978
100.9,nor,1979
98.87,nor,1980
99.73,nor,1981
100.6,nor,1982
100.3,nor,1984
99.86,nor,1985
97.41,nor,1986
98.17,nor,1987
96.35,nor,1988
95.09,nor,1989
95.21,nor,1990
99.99,nor,1991
101.3,nor,1992
100.0,nor,1993
97.72,nor,1998
97.68,nor,1999
97.99,nor,2000
101.6,nor,2001
102.8,nor,2002
103.6,nor,2003
102.7,nor,2004
100.2,nor,2005
97.65,nor,2006
97.36,nor,2007
98.41,nor,2008
100.5,nor,2009
98.97,nor,2010
1.505,omn,1974
4.186,omn,1975
7.52,omn,1976
16.57,omn,1977
17.97,omn,1978
23.36,omn,1979
35.17,omn,1983
41.07,omn,1984
40.17,omn,1985
43.61,omn,1986
46.07,omn,1987
52.52,omn,1988
59.38,omn,1989
62.45,omn,1990
71.02,omn,1992
69.15,omn,1994
71.64,omn,1995
73.99,omn,1996
76.14,omn,1997
77.95,omn,1998
79.51,omn,1999
78.27,omn,2000
80.46,omn,2001
86.13,omn,2002
90.64,omn,2003
100.9,omn,2009
101.3,omn,2010
107.0,omn,2011
61.31,pak,2005
60.48,pak,2006
60.66,pak,2007
60.82,pak,2008
62.25,pak,2009
67.06,pak,2010
66.81,pak,2011
98.84,plw,2000
104.5,plw,2004
66.01,pan,1970
70.25,pan,1971
74.28,pan,1972
80.13,pan,1973
82.7,pan,1974
85.96,pan,1975
98.55,pan,1976
94.37,pan,1977
91.14,pan,1978
89.63,pan,1979
85.24,pan,1980
83.5,pan,1981
82.07,pan,1982
83.59,pan,1983
80.15,pan,1984
82.43,pan,1985
83.64,pan,1986
84.98,pan,1987
84.18,pan,1988
86.26,pan,1989
91.54,pan,1999
93.92,pan,2000
94.68,pan,2001
95.53,pan,2002
96.93,pan,2004
96.48,pan,2005
93.73,pan,2006
97.98,pan,2007
101.2,pan,2008
101.0,pan,2009
96.85,pan,2010
101.2,pan,2011
42.45,png,1987
45.48,png,1988
45.9,png,1989
45.14,png,1990
43.34,png,1991
44.06,png,1992
50.07,png,1994
50.03,png,1995
51.26,png,1998
55.11,png,2000
43.72,pry,1970
45.6,pry,1971
45.67,pry,1972
47.44,pry,1973
48.52,pry,1974
48.74,pry,1975
49.87,pry,1976
51.36,pry,1977
52.04,pry,1978
54.28,pry,1980
57.28,pry,1981
59.76,pry,1982
62.39,pry,1983
64.14,pry,1984
65.99,pry,1985
64.57,pry,1986
64.85,pry,1987
64.31,pry,1988
64.19,pry,1989
65.36,pry,1990
68.63,pry,1991
72.04,pry,1992
75.23,pry,1993
74.84,pry,1994
76.82,pry,1995
81.31,pry,1996
91.96,pry,1998
89.12,pry,1999
92.07,pry,2000
92.7,pry,2001
93.61,pry,2002
95.95,pry,2003
94.56,pry,2004
94.93,pry,2005
94.1,pry,2006
94.68,pry,2007
94.32,pry,2008
93.53,pry,2009
90.88,pry,2010
65.21,per,1970
66.01,per,1973
69.16,per,1974
70.58,per,1975
76.93,per,1976
83.68,per,1977
82.7,per,1978
82.82,per,1979
81.3,per,1980
79.71,per,1981
83.66,per,1985
90.15,per,1995
99.49,per,1998
104.5,per,1999
103.1,per,2000
98.21,per,2001
97.59,per,2002
101.7,per,2006
103.5,per,2007
101.9,per,2008
98.44,per,2009
99.64,per,2010
96.79,per,2011
86.56,phl,1981
90.88,phl,1983
91.6,phl,1984
89.98,phl,1985
87.66,phl,1986
86.64,phl,1987
85.64,phl,1988
86.82,phl,1989
88.62,phl,1990
85.03,phl,1998
87.04,phl,1999
101.4,phl,2001
95.32,phl,2002
95.87,phl,2003
94.58,phl,2004
94.42,phl,2005
92.01,phl,2006
91.75,phl,2007
92.31,phl,2008
91.57,phl,2009
97.88,pol,1971
96.28,pol,1972
94.51,pol,1973
96.86,pol,1974
97.32,pol,1975
99.58,pol,1976
99.41,pol,1977
98.18,pol,1978
97.03,pol,1979
96.78,pol,1980
95.38,pol,1981
94.68,pol,1982
94.96,pol,1983
93.65,pol,1984
95.56,pol,1985
96.99,pol,1986
98.63,pol,1987
100.1,pol,1988
101.0,pol,1989
98.08,pol,1990
96.49,pol,1991
97.53,pol,1992
99.49,pol,1993
95.85,pol,1994
99.2,pol,1997
97.46,pol,1998
96.58,pol,1999
95.44,pol,2000
97.11,pol,2001
97.19,pol,2002
98.79,pol,2003
99.6,pol,2004
96.95,pol,2005
96.24,pol,2006
95.76,pol,2007
94.76,pol,2009
95.36,pol,2010
56.0,prt,1972
59.66,prt,1973
65.75,prt,1974
72.13,prt,1975
66.36,prt,1976
62.45,qat,1971
65.42,qat,1972
66.07,qat,1973
63.82,qat,1974
69.07,qat,1975
76.44,qat,1976
75.67,qat,1977
91.67,qat,1978
90.33,qat,1979
88.69,qat,1980
83.62,qat,1981
91.64,qat,1982
87.73,qat,1984
86.25,qat,1985
82.12,qat,1986
70.46,qat,1987
75.51,qat,1988
74.98,qat,1989
74.09,qat,1990
74.72,qat,1991
68.59,qat,1992
68.72,qat,1993
69.88,qat,1994
65.58,qat,1995
56.59,qat,1996
91.6,qat,1998
92.51,qat,1999
100.5,qat,2003
92.3,qat,2005
88.56,qat,2006
101.9,qat,2007
103.6,qat,2008
99.7,qat,2009
95.85,qat,2011
92.11,rou,1990
82.62,rou,1993
91.19,rou,1995
91.23,rou,1996
95.2,rou,1997
94.21,rou,1999
95.16,rou,2000
94.93,rou,2001
91.89,rou,2002
97.2,rou,2003
102.7,rou,2004
106.1,rou,2005
100.3,rou,2006
115.4,rou,2007
90.81,rou,2008
91.19,rou,2009
92.47,rou,2010
93.59,rus,1994
91.88,rus,1995
90.62,rus,1999
90.77,rus,2000
92.54,rus,2001
92.58,rus,2007
94.38,rus,2008
97.93,rus,2009
22.47,rwa,1971
24.07,rwa,1972
26.3,rwa,1973
27.14,rwa,1974
28.5,rwa,1975
29.81,rwa,1977
27.22,rwa,1978
36.43,rwa,1980
47.09,rwa,1981
46.41,rwa,1982
45.02,rwa,1983
46.33,rwa,1984
47.71,rwa,1985
44.42,rwa,1986
44.03,rwa,1987
44.85,rwa,1988
45.36,rwa,1989
44.85,rwa,1990
45.76,rwa,1991
49.57,rwa,1992
29.86,rwa,1999
22.85,rwa,2000
24.01,rwa,2001
29.63,rwa,2002
39.78,rwa,2003
40.0,rwa,2004
51.17,rwa,2008
68.05,rwa,2009
69.63,rwa,2010
117.5,kna,1992
100.7,kna,2000
102.9,kna,2001
109.5,kna,2002
99.66,kna,2003
110.4,kna,2004
109.1,kna,2005
93.21,kna,2007
84.74,kna,2008
93.72,kna,2009
88.68,kna,2010
92.86,kna,2011
106.5,lca,1983
101.8,lca,1984
120.3,lca,1990
113.5,lca,1991
117.8,lca,1993
102.9,lca,2001
104.5,lca,2002
103.8,lca,2003
103.0,lca,2004
98.79,lca,2005
106.4,lca,2006
107.3,lca,2007
97.56,lca,2008
96.29,lca,2009
89.65,lca,2010
93.15,lca,2011
92.62,vct,2002
93.03,vct,2003
102.1,vct,2004
102.1,vct,2005
109.4,vct,2008
94.2,vct,2010
101.4,wsm,1995
96.6,wsm,1996
99.84,wsm,1997
96.5,wsm,1998
93.9,wsm,1999
94.45,wsm,2000
93.73,wsm,2001
98.7,wsm,2002
101.8,wsm,2003
99.68,wsm,2004
108.1,wsm,2007
100.6,wsm,2009
101.3,wsm,2010
98.45,wsm,2011
91.62,smr,2009
101.2,smr,2010
54.03,stp,1977
60.79,stp,1980
89.58,stp,1981
113.1,stp,1982
111.8,stp,1983
107.8,stp,1984
99.15,stp,1985
58.91,stp,1987
75.09,stp,1988
79.02,stp,1990
46.29,stp,1999
61.58,stp,2002
59.75,stp,2003
73.11,stp,2004
74.34,stp,2005
71.63,stp,2007
75.2,stp,2008
84.04,stp,2009
85.31,stp,2010
114.7,stp,2011
39.75,sau,1979
90.42,sau,2005
93.41,sau,2007
96.5,sau,2008
92.24,sau,2009
93.31,sau,2010
28.52,sen,1971
28.36,sen,1972
28.23,sen,1973
31.31,sen,1978
32.67,sen,1979
30.4,sen,1980
31.95,sen,1981
32.4,sen,1982
33.74,sen,1983
34.71,sen,1984
34.91,sen,1985
37.6,sen,1986
42.84,sen,1988
43.76,sen,1989
43.24,sen,1990
40.67,sen,1992
40.21,sen,1994
42.07,sen,1996
42.29,sen,1997
44.55,sen,1998
43.97,sen,1999
40.26,sen,2000
44.7,sen,2001
47.22,sen,2002
47.2,sen,2003
49.17,sen,2004
54.03,sen,2005
50.73,sen,2006
52.14,sen,2007
59.37,sen,2008
59.9,sen,2009
59.24,sen,2010
62.81,sen,2011
100.5,srb,2007
104.4,srb,2008
96.42,srb,2009
96.45,srb,2010
99.31,srb,2011
82.02,syc,1970
92.91,syc,1971
102.0,syc,1972
99.31,syc,1974
98.4,syc,1975
102.2,syc,1976
97.8,syc,1977
103.5,syc,1978
100.5,syc,1980
94.14,syc,1981
96.37,syc,1982
107.1,syc,1983
101.4,syc,1984
99.28,syc,1985
115.8,syc,1986
107.5,syc,1987
95.13,syc,1988
100.8,syc,1989
113.9,syc,1991
107.9,syc,1992
106.1,syc,1993
103.7,syc,1994
106.2,syc,1998
113.5,syc,1999
106.6,syc,2000
112.7,syc,2001
113.8,syc,2002
117.3,syc,2003
116.1,syc,2004
127.5,syc,2005
119.7,syc,2007
124.8,syc,2008
125.1,syc,2009
133.1,syc,2010
24.1,sle,1978
28.19,sle,1982
28.35,sle,1983
74.4,sle,2011
95.66,svk,1993
97.38,svk,1994
97.07,svk,1995
95.21,svk,1996
93.9,svk,1997
95.93,svk,1998
95.3,svk,1999
93.98,svk,2000
97.68,svk,2001
95.1,svk,2002
95.99,svk,2003
94.58,svk,2004
90.37,svk,2005
90.8,svk,2006
92.98,svk,2007
95.91,svk,2008
98.21,svk,2009
98.54,svk,2010
96.01,svn,1993
94.96,svn,1994
95.99,svn,1995
95.19,svn,1996
95.93,svn,1997
99.55,svn,1998
99.11,svn,1999
95.76,svn,2000
95.85,svn,2001
95.94,svn,2002
100.7,svn,2003
112.2,svn,2004
94.95,svn,2008
94.62,svn,2009
96.4,svn,2010
45.11,slb,1975
66.48,slb,1980
61.68,slb,1981
55.59,slb,1982
53.47,slb,1983
49.77,slb,1984
53.59,slb,1986
60.11,slb,1990
71.94,slb,1991
69.26,slb,1992
70.61,slb,1993
73.05,slb,1994
75.9,zaf,1991
89.87,zaf,1998
84.96,zaf,1999
86.38,zaf,2000
91.46,zaf,2002
95.01,zaf,2003
99.35,zaf,2004
98.44,esp,1981
98.3,esp,1982
99.35,esp,1983
103.0,esp,1984
104.4,esp,1985
104.5,esp,1986
102.3,esp,1987
106.2,esp,1988
103.8,esp,1989
101.3,esp,1990
101.8,esp,1993
102.7,esp,1994
103.7,esp,2004
97.74,esp,2006
98.71,esp,2007
100.1,esp,2008
102.4,esp,2009
103.4,esp,2010
64.21,lka,1970
80.81,lka,1972
73.96,lka,1974
71.75,lka,1975
42.84,lka,1976
58.63,lka,1977
64.71,lka,1978
70.14,lka,1979
75.95,lka,1980
80.47,lka,1981
87.45,lka,1982
82.99,lka,1983
81.59,lka,1984
83.69,lka,1985
83.79,lka,1986
88.67,lka,1987
94.6,lka,1989
96.99,lka,1990
99.6,lka,1991
99.65,lka,1992
98.22,lka,1998
107.1,lka,2001
105.0,lka,2005
103.6,lka,2006
101.6,lka,2007
96.44,lka,2008
95.38,lka,2009
100.8,lka,2010
10.88,sdn,1971
26.29,sdn,1972
36.7,sdn,1999
36.69,sdn,2000
38.51,sdn,2001
40.44,sdn,2002
43.42,sdn,2003
51.05,sdn,2008
57.87,sdn,2009
72.7,sur,1976
82.08,sur,1977
75.22,sur,1978
79.13,sur,1979
80.93,sur,1981
87.85,sur,1982
93.38,sur,1983
91.58,sur,1984
88.17,sur,1985
84.24,sur,1987
82.03,sur,1988
88.21,sur,1989
97.52,sur,2001
83.89,sur,2005
91.63,sur,2006
76.42,sur,2007
86.41,sur,2008
85.99,sur,2009
42.27,swz,1970
40.54,swz,1971
41.54,swz,1972
49.53,swz,1973
54.32,swz,1974
56.46,swz,1975
57.55,swz,1976
57.27,swz,1977
56.14,swz,1978
55.4,swz,1979
55.55,swz,1980
58.61,swz,1981
59.87,swz,1982
61.93,swz,1983
61.78,swz,1984
62.34,swz,1985
63.55,swz,1986
62.77,swz,1987
64.98,swz,1988
62.18,swz,1989
62.87,swz,1990
60.81,swz,1991
60.53,swz,1992
60.75,swz,1993
61.79,swz,1994
63.35,swz,1995
60.81,swz,1996
61.43,swz,1997
62.9,swz,1998
59.72,swz,1999
60.67,swz,2000
58.18,swz,2001
61.27,swz,2002
59.49,swz,2003
62.25,swz,2004
65.45,swz,2005
66.25,swz,2006
73.26,swz,2007
72.33,swz,2009
76.92,swz,2010
94.75,swe,1971
94.35,swe,1972
90.92,swe,1973
91.33,swe,1974
92.83,swe,1975
96.82,swe,1976
104.1,swe,1977
104.4,swe,1978
104.9,swe,1979
103.2,swe,1980
96.51,swe,1981
92.03,swe,1982
93.48,swe,1983
98.09,swe,1984
100.7,swe,1987
98.31,swe,1988
96.25,swe,1989
96.52,swe,1990
96.33,swe,1991
100.5,swe,1992
106.1,swe,1993
104.3,swe,1994
100.5,swe,1999
99.73,swe,2000
102.5,swe,2001
102.6,swe,2002
106.3,swe,2003
104.0,swe,2004
100.3,swe,2005
95.96,swe,2006
95.67,swe,2007
94.88,swe,2008
93.71,swe,2009
96.95,swe,2010
52.71,che,1977
59.78,che,1978
57.56,che,1979
56.15,che,1980
52.0,che,1981
51.7,che,1982
52.05,che,1983
51.22,che,1984
50.71,che,1985
49.87,che,1986
49.43,che,1987
48.48,che,1988
49.88,che,1989
51.26,che,1990
53.63,che,1991
55.18,che,1992
61.22,che,1993
62.29,che,1994
72.97,che,1996
95.38,che,1999
96.42,che,2000
97.76,che,2001
97.93,che,2002
98.08,che,2003
99.02,che,2004
96.6,che,2005
93.72,che,2006
92.63,che,2007
93.45,che,2008
95.19,che,2009
95.66,che,2010
56.21,syr,1971
59.88,syr,1972
59.82,syr,1973
63.99,syr,1974
67.8,syr,1975
71.75,syr,1976
75.11,syr,1977
77.37,syr,1978
74.4,syr,1979
72.82,syr,1980
74.35,syr,1981
78.97,syr,1982
81.15,syr,1983
82.64,syr,1984
85.43,syr,1985
87.43,syr,1986
88.08,syr,1987
88.23,syr,1988
91.31,syr,1989
91.69,syr,1990
93.34,syr,1991
97.77,syr,1992
89.75,syr,1993
91.94,syr,1994
91.34,syr,1995
93.1,syr,1996
93.17,syr,1997
93.24,syr,1998
93.93,syr,1999
93.24,syr,2000
94.18,syr,2001
95.26,syr,2002
107.0,syr,2003
107.8,syr,2004
107.9,syr,2005
106.4,syr,2006
103.6,syr,2007
