geo,male_family_workers_percent_of_male_labour_force,time
gbr,0.2,2007
usa,0.3,1980
usa,0.2,1981
usa,0.3,1982
usa,0.2,1983
usa,0.2,1984
usa,0.2,1985
usa,0.1,1986
usa,0.2,1987
usa,0.1,1988
usa,0.1,1989
usa,0.1,1990
usa,0.1,1991
usa,0.1,1992
usa,0.1,1993
usa,0.1,1994
usa,0.1,1995
usa,0.1,1996
usa,0.1,1997
usa,0.1,1998
usa,0.1,1999
usa,0.1,2000
usa,0.1,2001
usa,0.1,2002
usa,0.1,2003
usa,0.1,2004
usa,0.1,2005
usa,0.0,2006
usa,0.1,2007
ury,0.7,1998
ury,0.8,1999
ury,0.8,2000
ury,0.6,2001
ury,0.9,2002
ury,0.9,2003
ury,0.7,2005
ury,1.0,2006
ury,0.9,2007
ven,1.7,1994
ven,1.1,1995
ven,1.4,1996
ven,0.7,1997
ven,1.3,1998
ven,1.9,1999
ven,1.4,2000
ven,1.8,2001
ven,1.9,2002
ven,2.0,2003
ven,0.8,2006
ven,0.6,2007
vnm,29.5,1996
vnm,22.9,1997
vnm,22.2,1998
vnm,22.5,1999
vnm,21.2,2000
vnm,21.9,2001
vnm,23.6,2002
vnm,21.9,2003
vnm,18.9,2004
pse,9.4,1996
pse,6.8,1997
pse,5.0,1998
pse,4.5,1999
pse,5.2,2000
pse,6.0,2001
pse,6.6,2002
pse,7.0,2003
pse,6.4,2004
pse,6.0,2005
pse,6.6,2006
yem,0.3,1999
zmb,2.4,1980
zmb,27.8,1990
zmb,17.0,1991
zmb,12.9,1996
zmb,15.7,1998
zmb,25.4,2000
zwe,16.4,1994
zwe,13.3,1997
zwe,13.7,1999
zwe,10.4,2002
