geo,lung_cancer_number_of_male_deaths,time
afg,675,2002
alb,639,2002
dza,1510,2002
ago,207,2002
arg,7182,2002
arm,905,2002
aus,4936,2002
aut,2390,2002
aze,891,2002
bhs,22,2002
bhr,57,2002
bgd,8021,2002
brb,18,2002
blr,3482,2002
bel,6235,2002
blz,14,2002
ben,37,2002
btn,73,2002
bol,293,2002
bih,1268,2002
bwa,25,2002
bra,12730,2002
brn,26,2002
bgr,2337,2002
bfa,100,2002
bdi,50,2002
khm,542,2002
cmr,125,2002
can,11030,2002
cpv,2,2002
caf,48,2002
tcd,93,2002
chl,1452,2002
chn,231300,2002
col,2781,2002
com,7,2002
cod,565,2002
cog,29,2002
cri,199,2002
civ,284,2002
hrv,2199,2002
cub,2699,2002
cyp,130,2002
cze,4588,2002
dnk,2045,2002
dji,6,2002
dom,527,2002
ecu,463,2002
egy,1837,2002
slv,120,2002
gnq,6,2002
eri,37,2002
est,548,2002
eth,530,2002
fji,1,2002
fin,1438,2002
fra,21760,2002
pyf,35,2002
gab,45,2002
gmb,17,2002
geo,1015,2002
deu,29910,2002
gha,131,2002
grc,4878,2002
gum,28,2002
gtm,441,2002
gin,199,2002
gnb,8,2002
guy,18,2002
hti,213,2002
hnd,238,2002
hun,5773,2002
isl,62,2002
ind,30710,2002
idn,14300,2002
irn,1386,2002
irq,1200,2002
irl,963,2002
isr,894,2002
ita,26990,2002
jam,234,2002
jpn,41110,2002
jor,195,2002
kaz,4095,2002
ken,288,2002
prk,4236,2002
kor,9421,2002
kwt,119,2002
kgz,436,2002
lao,247,2002
lva,903,2002
lbn,369,2002
lso,70,2002
lbr,11,2002
lby,186,2002
ltu,1280,2002
lux,170,2002
mkd,514,2002
mdg,152,2002
mwi,62,2002
mys,2099,2002
mli,81,2002
mlt,107,2002
mrt,17,2002
mus,76,2002
mex,5477,2002
mda,708,2002
mng,180,2002
mar,1797,2002
moz,80,2002
mmr,4280,2002
nam,26,2002
npl,800,2002
nzl,911,2002
nic,138,2002
ner,87,2002
nga,350,2002
nor,1194,2002
omn,73,2002
pak,8151,2002
pan,172,2002
png,27,2002
pry,287,2002
per,1050,2002
phl,10060,2002
pol,16350,2002
prt,2314,2002
pri,449,2002
qat,47,2002
rou,7044,2002
rus,50660,2002
rwa,33,2002
wsm,7,2002
sau,642,2002
sen,38,2002
scg,3516,2002
sle,29,2002
sgp,952,2002
svk,1914,2002
svn,762,2002
slb,16,2002
som,73,2002
zaf,2788,2002
esp,16250,2002
lka,863,2002
sdn,82,2002
sur,18,2002
swz,24,2002
swe,1896,2002
che,2225,2002
syr,1148,2002
tjk,143,2002
tza,164,2002
tha,6070,2002
nld,7079,2002
tgo,29,2002
tto,78,2002
tun,1023,2002
tur,11880,2002
tkm,254,2002
uga,173,2002
ukr,15800,2002
are,189,2002
gbr,21960,2002
usa,94640,2002
ury,1017,2002
uzb,1093,2002
vut,7,2002
ven,1504,2002
vnm,7480,2002
yem,124,2002
zmb,161,2002
zwe,344,2002
