geo,prostate_cancer_number_of_new_male_cases,time
afg,249,2002
alb,194,2002
dza,480,2002
ago,327,2002
arg,7615,2002
arm,192,2002
aus,10810,2002
aut,4701,2002
aze,238,2002
bhs,71,2002
bhr,28,2002
bgd,115,2002
brb,133,2002
blr,1165,2002
bel,6928,2002
blz,53,2002
ben,255,2002
btn,28,2002
bol,842,2002
bih,470,2002
bwa,81,2002
bra,31960,2002
brn,7,2002
bgr,1027,2002
bfa,305,2002
bdi,147,2002
khm,169,2002
cmr,954,2002
can,17900,2002
cpv,14,2002
caf,233,2002
tcd,416,2002
chl,2786,2002
chn,10120,2002
col,6457,2002
com,18,2002
cod,2879,2002
cog,45,2002
cri,515,2002
civ,847,2002
hrv,881,2002
cub,2105,2002
cyp,253,2002
cze,2927,2002
dnk,1842,2002
dji,19,2002
dom,2318,2002
ecu,1502,2002
egy,867,2002
slv,546,2002
gnq,29,2002
eri,114,2002
est,335,2002
eth,608,2002
fji,30,2002
fin,3556,2002
fra,29430,2002
pyf,40,2002
gab,82,2002
gmb,14,2002
geo,277,2002
deu,44380,2002
gha,921,2002
grc,2920,2002
gum,14,2002
gtm,892,2002
gin,168,2002
gnb,61,2002
guy,116,2002
hti,767,2002
hnd,473,2002
hun,2523,2002
isl,159,2002
ind,16790,2002
idn,5074,2002
irn,1066,2002
irq,299,2002
irl,1442,2002
isr,1584,2002
ita,23520,2002
jam,473,2002
jpn,16810,2002
jor,129,2002
kaz,575,2002
ken,1007,2002
prk,708,2002
kor,1594,2002
kwt,59,2002
kgz,125,2002
lao,30,2002
lva,315,2002
lbn,131,2002
lso,157,2002
lbr,99,2002
lby,93,2002
ltu,791,2002
lux,200,2002
mkd,348,2002
mdg,486,2002
mwi,243,2002
mys,597,2002
mli,204,2002
mlt,110,2002
mrt,117,2002
mus,70,2002
mex,9635,2002
mda,224,2002
mng,33,2002
mar,548,2002
moz,107,2002
mmr,304,2002
nam,92,2002
npl,293,2002
nzl,2678,2002
nic,365,2002
ner,176,2002
nga,6236,2002
nor,3071,2002
omn,66,2002
pak,2308,2002
pan,532,2002
png,28,2002
pry,389,2002
per,4022,2002
phl,3552,2002
pol,6016,2002
prt,3995,2002
pri,2428,2002
qat,18,2002
rou,2865,2002
rus,10400,2002
rwa,84,2002
wsm,8,2002
sau,488,2002
sen,131,2002
scg,1047,2002
sle,197,2002
sgp,286,2002
svk,1003,2002
svn,456,2002
slb,8,2002
som,223,2002
zaf,4401,2002
esp,13250,2002
lka,289,2002
sdn,599,2002
sur,34,2002
swz,47,2002
swe,7848,2002
che,5126,2002
syr,733,2002
tjk,45,2002
tza,1248,2002
tha,1037,2002
nld,7112,2002
tgo,200,2002
tto,349,2002
tun,315,2002
tur,2099,2002
tkm,31,2002
uga,1547,2002
ukr,4646,2002
are,136,2002
gbr,27460,2002
usa,239900,2002
ury,1071,2002
uzb,171,2002
vut,1,2002
ven,3263,2002
vnm,756,2002
yem,46,2002
zmb,355,2002
zwe,735,2002
