geo,all_causes_deaths_in_children_1_59_months_total_deaths,time
afg,247600,2008
alb,485,2008
dza,12920,2008
ago,129000,2008
arg,4347,2008
arm,465,2008
aus,606,2008
aut,147,2008
aze,3060,2008
bhs,44,2008
bhr,89,2008
bgd,69050,2008
brb,12,2008
blr,618,2008
bel,295,2008
blz,82,2008
ben,28120,2008
btn,676,2008
bol,7663,2008
bih,227,2008
bwa,706,2008
bra,33510,2008
brn,25,2008
bgr,463,2008
bfa,91370,2008
bdi,33120,2008
khm,21090,2008
cmr,67520,2008
can,892,2008
cpv,149,2008
caf,18680,2008
tcd,76540,2008
chl,1063,2008
chn,163600,2008
col,7057,2008
com,1377,2008
cog,11230,2008
cri,281,2008
civ,49900,2008
hrv,88,2008
cub,366,2008
cyp,21,2008
cze,210,2008
prk,8873,2008
cod,390800,2008
dnk,111,2008
dji,1380,2008
dom,3190,2008
ecu,3832,2008
egy,17630,2008
slv,1319,2008
gnq,2482,2008
eri,7205,2008
est,46,2008
eth,199800,2008
fji,164,2008
fin,89,2008
fra,1410,2008
gab,1930,2008
gmb,4172,2008
geo,620,2008
deu,1257,2008
gha,32050,2008
grc,183,2008
grd,4,2008
gtm,10650,2008
gin,37290,2008
gnb,9254,2008
guy,511,2008
hti,12430,2008
hnd,3030,2008
hun,304,2008
isl,8,2008
ind,826100,2008
idn,92900,2008
irn,19420,2008
irq,18470,2008
irl,156,2008
isr,337,2008
ita,1084,2008
jam,1197,2008
jpn,2359,2008
jor,1077,2008
kaz,4595,2008
ken,138900,2008
kwt,262,2008
kgz,2538,2008
lao,6768,2008
lva,94,2008
lbn,361,2008
lso,2358,2008
lbr,13900,2008
lby,1071,2008
ltu,120,2008
lux,9,2008
mdg,47120,2008
mwi,39160,2008
mys,1771,2008
mdv,73,2008
mli,71940,2008
mlt,18,2008
mrt,7514,2008
mus,123,2008
mex,21630,2008
fsm,67,2008
mng,1352,2008
mne,26,2008
mar,8505,2008
moz,72860,2008
mmr,74440,2008
nam,1391,2008
npl,14240,2008
nld,329,2008
nzl,116,2008
nic,2084,2008
ner,94060,2008
nga,778500,2008
nor,110,2008
omn,268,2008
pak,180700,2008
pan,919,2008
png,8665,2008
pry,1979,2008
per,7121,2008
phl,39970,2008
pol,1084,2008
prt,190,2008
qat,65,2008
kor,1422,2008
mda,445,2008
rou,1399,2008
rus,7570,2008
rwa,27040,2008
lca,12,2008
vct,7,2008
wsm,61,2008
stp,326,2008
sau,5527,2008
sen,32900,2008
srb,324,2008
sle,32710,2008
sgp,63,2008
svk,231,2008
svn,20,2008
slb,327,2008
som,51960,2008
zaf,51240,2008
esp,1097,2008
lka,3073,2008
sdn,85820,2008
sur,143,2008
swz,2235,2008
swe,165,2008
che,120,2008
syr,4932,2008
tjk,7714,2008
tha,4064,2008
mkd,101,2008
tgo,12960,2008
ton,31,2008
tto,213,2008
tun,1527,2008
tur,10550,2008
tkm,3014,2008
uga,145000,2008
ukr,3465,2008
are,166,2008
gbr,1925,2008
tza,115700,2008
usa,15980,2008
ury,396,2008
uzb,10310,2008
vut,134,2008
ven,4883,2008
vnm,7854,2008
yem,29550,2008
zmb,57260,2008
zwe,24820,2008
