body_mass_index_bmi_men_kgperm2,geo,time
21.49,afg,1980
21.47,afg,1981
21.45,afg,1982
21.44,afg,1983
21.43,afg,1984
21.41,afg,1985
21.4,afg,1986
21.38,afg,1987
21.34,afg,1988
21.3,afg,1989
21.25,afg,1990
21.2,afg,1991
21.14,afg,1992
21.06,afg,1993
20.98,afg,1994
20.91,afg,1995
20.85,afg,1996
20.81,afg,1997
20.79,afg,1998
20.75,afg,1999
20.7,afg,2000
20.63,afg,2001
20.6,afg,2002
20.59,afg,2003
20.58,afg,2004
20.58,afg,2005
20.59,afg,2006
20.6,afg,2007
20.62,afg,2008
25.23,alb,1980
25.24,alb,1981
25.26,alb,1982
25.27,alb,1983
25.28,alb,1984
25.29,alb,1985
25.29,alb,1986
25.3,alb,1987
25.3,alb,1988
25.32,alb,1989
25.32,alb,1990
25.28,alb,1991
25.23,alb,1992
25.21,alb,1993
25.22,alb,1994
25.26,alb,1995
25.31,alb,1996
25.34,alb,1997
25.39,alb,1998
25.47,alb,1999
25.56,alb,2000
25.67,alb,2001
25.77,alb,2002
25.87,alb,2003
25.98,alb,2004
26.09,alb,2005
26.21,alb,2006
26.33,alb,2007
26.45,alb,2008
22.26,dza,1980
22.35,dza,1981
22.44,dza,1982
22.52,dza,1983
22.61,dza,1984
22.7,dza,1985
22.77,dza,1986
22.84,dza,1987
22.91,dza,1988
22.98,dza,1989
23.05,dza,1990
23.11,dza,1991
23.19,dza,1992
23.26,dza,1993
23.32,dza,1994
23.4,dza,1995
23.47,dza,1996
23.54,dza,1997
23.62,dza,1998
23.69,dza,1999
23.78,dza,2000
23.86,dza,2001
23.95,dza,2002
24.05,dza,2003
24.16,dza,2004
24.27,dza,2005
24.38,dza,2006
24.49,dza,2007
24.6,dza,2008
25.67,and,1980
25.71,and,1981
25.75,and,1982
25.78,and,1983
25.82,and,1984
25.85,and,1985
25.89,and,1986
25.93,and,1987
25.98,and,1988
26.04,and,1989
26.11,and,1990
26.18,and,1991
26.24,and,1992
26.3,and,1993
26.37,and,1994
26.44,and,1995
26.51,and,1996
26.58,and,1997
26.66,and,1998
26.75,and,1999
26.83,and,2000
26.92,and,2001
27.03,and,2002
27.12,and,2003
27.23,and,2004
27.33,and,2005
27.44,and,2006
27.53,and,2007
27.63,and,2008
20.95,ago,1980
20.94,ago,1981
20.94,ago,1982
20.93,ago,1983
20.94,ago,1984
20.95,ago,1985
20.96,ago,1986
20.98,ago,1987
21.01,ago,1988
21.05,ago,1989
21.09,ago,1990
21.12,ago,1991
21.15,ago,1992
21.14,ago,1993
21.14,ago,1994
21.16,ago,1995
21.19,ago,1996
21.23,ago,1997
21.27,ago,1998
21.32,ago,1999
21.37,ago,2000
21.44,ago,2001
21.52,ago,2002
21.6,ago,2003
21.69,ago,2004
21.81,ago,2005
21.94,ago,2006
22.09,ago,2007
22.25,ago,2008
23.31,atg,1980
23.39,atg,1981
23.46,atg,1982
23.54,atg,1983
23.64,atg,1984
23.73,atg,1985
23.83,atg,1986
23.94,atg,1987
24.05,atg,1988
24.16,atg,1989
24.27,atg,1990
24.37,atg,1991
24.46,atg,1992
24.54,atg,1993
24.61,atg,1994
24.66,atg,1995
24.73,atg,1996
24.79,atg,1997
24.85,atg,1998
24.92,atg,1999
24.99,atg,2000
25.06,atg,2001
25.13,atg,2002
25.21,atg,2003
25.3,atg,2004
25.4,atg,2005
25.51,atg,2006
25.64,atg,2007
25.77,atg,2008
25.38,arg,1980
25.45,arg,1981
25.5,arg,1982
25.56,arg,1983
25.61,arg,1984
25.67,arg,1985
25.72,arg,1986
25.79,arg,1987
25.84,arg,1988
25.89,arg,1989
25.92,arg,1990
25.99,arg,1991
26.08,arg,1992
26.17,arg,1993
26.28,arg,1994
26.38,arg,1995
26.47,arg,1996
26.58,arg,1997
26.69,arg,1998
26.79,arg,1999
26.88,arg,2000
26.96,arg,2001
27.0,arg,2002
27.05,arg,2003
27.11,arg,2004
27.19,arg,2005
27.28,arg,2006
27.39,arg,2007
27.5,arg,2008
23.82,arm,1980
23.86,arm,1981
23.91,arm,1982
23.96,arm,1983
24.0,arm,1984
24.04,arm,1985
24.09,arm,1986
24.13,arm,1987
24.17,arm,1988
24.2,arm,1989
24.21,arm,1990
24.2,arm,1991
24.13,arm,1992
24.06,arm,1993
24.02,arm,1994
24.02,arm,1995
24.03,arm,1996
24.04,arm,1997
24.07,arm,1998
24.12,arm,1999
24.18,arm,2000
24.27,arm,2001
24.38,arm,2002
24.5,arm,2003
24.64,arm,2004
24.81,arm,2005
24.99,arm,2006
25.18,arm,2007
25.36,arm,2008
24.93,aus,1980
25.0,aus,1981
25.08,aus,1982
25.15,aus,1983
25.23,aus,1984
25.32,aus,1985
25.41,aus,1986
25.51,aus,1987
25.6,aus,1988
25.7,aus,1989
25.81,aus,1990
25.9,aus,1991
26.01,aus,1992
26.11,aus,1993
26.2,aus,1994
26.29,aus,1995
26.38,aus,1996
26.47,aus,1997
26.56,aus,1998
26.66,aus,1999
26.74,aus,2000
26.84,aus,2001
26.94,aus,2002
27.04,aus,2003
27.14,aus,2004
27.25,aus,2005
27.35,aus,2006
27.46,aus,2007
27.56,aus,2008
24.84,aut,1980
24.88,aut,1981
24.93,aut,1982
24.98,aut,1983
25.02,aut,1984
25.06,aut,1985
25.11,aut,1986
25.15,aut,1987
25.19,aut,1988
25.25,aut,1989
25.31,aut,1990
25.37,aut,1991
25.44,aut,1992
25.51,aut,1993
25.57,aut,1994
25.62,aut,1995
25.66,aut,1996
25.72,aut,1997
25.76,aut,1998
25.82,aut,1999
25.87,aut,2000
25.94,aut,2001
26.0,aut,2002
26.06,aut,2003
26.14,aut,2004
26.21,aut,2005
26.29,aut,2006
26.38,aut,2007
26.47,aut,2008
24.49,aze,1980
24.53,aze,1981
24.56,aze,1982
24.6,aze,1983
24.64,aze,1984
24.68,aze,1985
24.72,aze,1986
24.76,aze,1987
24.79,aze,1988
24.82,aze,1989
24.83,aze,1990
24.84,aze,1991
24.82,aze,1992
24.76,aze,1993
24.69,aze,1994
24.62,aze,1995
24.56,aze,1996
24.5,aze,1997
24.47,aze,1998
24.48,aze,1999
24.51,aze,2000
24.57,aze,2001
24.66,aze,2002
24.77,aze,2003
24.89,aze,2004
25.06,aze,2005
25.26,aze,2006
25.46,aze,2007
25.65,aze,2008
24.21,bhs,1980
24.31,bhs,1981
24.43,bhs,1982
24.54,bhs,1983
24.67,bhs,1984
24.78,bhs,1985
24.91,bhs,1986
25.03,bhs,1987
25.15,bhs,1988
25.26,bhs,1989
25.36,bhs,1990
25.44,bhs,1991
25.51,bhs,1992
25.58,bhs,1993
25.66,bhs,1994
25.72,bhs,1995
25.8,bhs,1996
25.89,bhs,1997
25.99,bhs,1998
26.12,bhs,1999
26.26,bhs,2000
26.39,bhs,2001
26.51,bhs,2002
26.63,bhs,2003
26.76,bhs,2004
26.89,bhs,2005
27.01,bhs,2006
27.13,bhs,2007
27.25,bhs,2008
23.98,bhr,1980
24.09,bhr,1981
24.21,bhr,1982
24.32,bhr,1983
24.43,bhr,1984
24.54,bhr,1985
24.63,bhr,1986
24.75,bhr,1987
24.87,bhr,1988
24.99,bhr,1989
25.11,bhr,1990
25.25,bhr,1991
25.4,bhr,1992
25.56,bhr,1993
25.72,bhr,1994
25.88,bhr,1995
26.03,bhr,1996
26.19,bhr,1997
26.34,bhr,1998
26.5,bhr,1999
26.65,bhr,2000
26.8,bhr,2001
26.95,bhr,2002
27.09,bhr,2003
27.24,bhr,2004
27.39,bhr,2005
27.54,bhr,2006
27.69,bhr,2007
27.84,bhr,2008
20.52,bgd,1980
20.48,bgd,1981
20.44,bgd,1982
20.4,bgd,1983
20.37,bgd,1984
20.33,bgd,1985
20.3,bgd,1986
20.26,bgd,1987
20.23,bgd,1988
20.21,bgd,1989
20.18,bgd,1990
20.16,bgd,1991
20.14,bgd,1992
20.13,bgd,1993
20.12,bgd,1994
20.11,bgd,1995
20.1,bgd,1996
20.11,bgd,1997
20.13,bgd,1998
20.13,bgd,1999
20.15,bgd,2000
20.17,bgd,2001
20.19,bgd,2002
20.21,bgd,2003
20.24,bgd,2004
20.28,bgd,2005
20.32,bgd,2006
20.35,bgd,2007
20.4,bgd,2008
24.36,brb,1980
24.43,brb,1981
24.49,brb,1982
24.55,brb,1983
24.6,brb,1984
24.65,brb,1985
24.72,brb,1986
24.78,brb,1987
24.84,brb,1988
24.91,brb,1989
24.96,brb,1990
25.01,brb,1991
25.05,brb,1992
25.09,brb,1993
25.14,brb,1994
25.2,brb,1995
25.27,brb,1996
25.35,brb,1997
25.42,brb,1998
25.52,brb,1999
25.6,brb,2000
25.69,brb,2001
25.78,brb,2002
25.87,brb,2003
25.96,brb,2004
26.06,brb,2005
26.17,brb,2006
26.28,brb,2007
26.38,brb,2008
24.91,blr,1980
24.91,blr,1981
24.92,blr,1982
24.92,blr,1983
24.92,blr,1984
24.92,blr,1985
24.93,blr,1986
24.94,blr,1987
24.97,blr,1988
24.99,blr,1989
25.02,blr,1990
25.05,blr,1991
25.07,blr,1992
25.1,blr,1993
25.1,blr,1994
25.1,blr,1995
