geo,oil_proven_reserves_per_person,time
cog,58.02,1981
cog,57.98,1982
cog,55.09,1983
cog,57.82,1984
cog,53.12,1985
cog,49.05,1986
cog,45.93,1987
cog,48.05,1988
cog,44.1,1989
cog,45.44,1990
cog,40.77,1991
cog,41.05,1992
cog,35.67,1993
cog,75.01,1994
cog,69.51,1995
cog,79.95,1996
cog,78.65,1997
cog,80.56,1998
cog,78.05,1999
cog,72.54,2000
cog,66.13,2001
cog,62.08,2002
cog,71.35,2003
cog,69.5,2004
cog,72.13,2005
cog,71.47,2006
cog,69.62,2007
cog,67.79,2008
dnk,11.98,1980
dnk,9.881,1981
dnk,8.717,1982
dnk,8.22,1983
dnk,12.42,1984
dnk,11.91,1985
dnk,10.72,1986
dnk,10.71,1987
dnk,14.38,1988
dnk,16.72,1989
dnk,15.69,1990
dnk,16.31,1991
dnk,19.74,1992
dnk,18.52,1993
dnk,19.78,1994
dnk,23.77,1995
dnk,22.34,1996
dnk,24.36,1997
dnk,22.65,1998
dnk,23.22,1999
dnk,28.45,2000
dnk,34.28,2001
dnk,32.4,2002
dnk,32.29,2003
dnk,33.44,2004
dnk,32.06,2005
dnk,28.96,2006
dnk,27.77,2007
dnk,20.18,2008
ecu,16.77,1980
ecu,15.15,1981
ecu,14.9,1982
ecu,13.99,1983
ecu,17.57,1984
ecu,17.28,1985
ecu,18.11,1986
ecu,22.78,1987
ecu,21.1,1988
ecu,19.57,1989
ecu,17.92,1990
ecu,19.75,1991
ecu,41.12,1992
ecu,45.47,1993
ecu,42.49,1994
ecu,40.37,1995
ecu,40.35,1996
ecu,42.07,1997
ecu,46.09,1998
ecu,48.91,1999
ecu,49.8,2000
ecu,49.72,2001
ecu,53.41,2002
ecu,52.79,2003
ecu,52.24,2004
ecu,49.66,2005
ecu,44.95,2006
ecu,39.67,2007
ecu,37.39,2008
egy,9.331,1980
egy,10.9,1981
egy,11.05,1982
egy,11.47,1983
egy,11.31,1984
egy,10.36,1985
egy,11.9,1986
egy,12.1,1987
egy,10.78,1988
egy,10.61,1989
egy,8.322,1990
egy,8.294,1991
egy,7.887,1992
egy,7.699,1993
egy,8.673,1994
egy,8.194,1995
egy,8.102,1996
egy,7.67,1997
egy,7.58,1998
egy,7.439,1999
egy,7.018,2000
egy,6.958,2001
egy,6.558,2002
egy,6.435,2003
egy,6.487,2004
egy,6.547,2005
egy,6.432,2006
egy,6.916,2007
egy,7.251,2008
gnq,108.3,1991
gnq,105.5,1992
gnq,102.8,1993
gnq,100.3,1994
gnq,180.9,1995
gnq,176.4,1996
gnq,172.1,1997
gnq,167.9,1998
gnq,163.8,1999
gnq,230.6,2000
gnq,312.5,2001
gnq,301.4,2002
gnq,344.5,2003
gnq,464.8,2004
gnq,465.4,2005
gnq,443.2,2006
gnq,421.9,2007
gnq,413.6,2008
gab,90.03,1980
gab,86.54,1981
gab,87.17,1982
gab,95.88,1983
gab,105.6,1984
gab,107.6,1985
gab,102.6,1986
gab,148.7,1987
gab,141.1,1988
gab,142.4,1989
