geo,males_aged_25_54_labour_force_participation_rate_percent,time
afg,97.3,1980
afg,97.4,1981
afg,97.4,1982
afg,97.4,1983
afg,97.4,1984
afg,97.5,1985
afg,97.5,1986
afg,97.5,1987
afg,97.5,1988
afg,97.5,1989
afg,97.5,1990
afg,97.6,1991
afg,97.6,1992
afg,97.6,1993
afg,97.6,1994
afg,97.6,1995
afg,97.6,1996
afg,97.6,1997
afg,97.7,1998
afg,97.7,1999
afg,97.7,2000
afg,97.7,2001
afg,97.7,2002
afg,97.7,2003
afg,97.7,2004
afg,97.7,2005
afg,97.8,2006
afg,97.8,2007
alb,97.0,1980
alb,96.9,1981
alb,96.8,1982
alb,96.7,1983
alb,96.6,1984
alb,96.7,1985
alb,96.5,1986
alb,96.7,1987
alb,96.8,1988
alb,96.5,1989
alb,96.9,1990
alb,85.6,1991
alb,85.2,1992
alb,86.0,1993
alb,86.7,1994
alb,87.3,1995
alb,88.0,1996
alb,87.5,1997
alb,88.3,1998
alb,88.8,1999
alb,89.2,2000
alb,89.4,2001
alb,89.6,2002
alb,89.8,2003
alb,89.9,2004
alb,90.1,2005
alb,90.1,2006
alb,90.3,2007
dza,95.4,1980
dza,95.4,1981
dza,95.3,1982
dza,95.2,1983
dza,95.1,1984
dza,95.1,1985
dza,95.1,1986
dza,95.1,1987
dza,95.1,1988
dza,95.1,1989
dza,95.2,1990
dza,95.2,1991
dza,95.2,1992
dza,95.2,1993
dza,95.2,1994
dza,95.2,1995
dza,95.2,1996
dza,95.3,1997
dza,95.2,1998
dza,95.1,1999
dza,95.0,2000
dza,95.1,2001
dza,94.9,2002
dza,94.7,2003
dza,94.5,2004
dza,94.3,2005
dza,94.2,2006
dza,94.1,2007
ago,96.6,1980
ago,96.6,1981
ago,96.6,1982
ago,96.5,1983
ago,96.5,1984
ago,96.4,1985
ago,96.4,1986
ago,96.4,1987
ago,96.1,1988
ago,96.1,1989
ago,96.1,1990
ago,96.2,1991
ago,95.8,1992
ago,96.5,1993
ago,96.0,1994
ago,96.7,1995
ago,96.7,1996
ago,96.7,1997
ago,96.6,1998
ago,96.5,1999
ago,96.6,2000
ago,96.6,2001
ago,96.4,2002
ago,96.5,2003
ago,96.3,2004
ago,96.1,2005
ago,95.8,2006
ago,96.0,2007
arg,96.3,1980
arg,96.3,1981
arg,96.2,1982
arg,96.1,1983
arg,96.1,1984
arg,96.1,1985
arg,96.3,1986
arg,96.3,1987
arg,96.2,1988
arg,96.0,1989
arg,96.0,1990
arg,93.6,1991
arg,93.7,1992
arg,93.7,1993
arg,93.8,1994
arg,93.8,1995
arg,94.0,1996
arg,94.1,1997
arg,94.2,1998
arg,94.3,1999
arg,94.4,2000
arg,94.5,2001
arg,94.5,2002
arg,94.6,2003
arg,94.7,2004
arg,94.7,2005
arg,94.8,2006
arg,94.8,2007
arm,96.1,1980
arm,96.1,1981
arm,96.2,1982
arm,96.2,1983
arm,96.3,1984
arm,96.3,1985
arm,96.4,1986
arm,96.5,1987
arm,96.4,1988
arm,96.5,1989
arm,96.7,1990
arm,89.8,1991
arm,87.6,1992
arm,86.1,1993
arm,86.1,1994
arm,87.1,1995
arm,87.5,1996
arm,87.6,1997
arm,88.4,1998
arm,88.6,1999
arm,89.0,2000
arm,89.5,2001
arm,90.1,2002
arm,90.6,2003
arm,90.9,2004
arm,91.1,2005
arm,91.3,2006
arm,91.9,2007
aus,94.6,1980
aus,94.3,1981
aus,94.1,1982
aus,94.1,1983
aus,94.0,1984
aus,93.4,1985
aus,93.6,1986
aus,93.3,1987
aus,93.1,1988
aus,93.0,1989
aus,93.3,1990
aus,93.1,1991
aus,92.5,1992
aus,92.3,1993
aus,91.6,1994
aus,91.8,1995
aus,91.6,1996
aus,91.0,1997
aus,90.8,1998
aus,90.4,1999
aus,90.4,2000
aus,90.2,2001
aus,90.2,2002
aus,89.9,2003
aus,89.9,2004
aus,90.3,2005
aus,90.4,2006
aus,89.9,2007
aut,96.1,1980
aut,96.2,1981
aut,95.9,1982
aut,95.2,1983
aut,94.9,1984
aut,95.0,1985
aut,95.0,1986
aut,94.8,1987
aut,94.3,1988
aut,94.3,1989
aut,94.3,1990
aut,94.3,1991
aut,94.2,1992
aut,94.2,1993
aut,92.5,1994
aut,93.0,1995
aut,92.7,1996
aut,93.2,1997
aut,93.4,1998
aut,93.2,1999
aut,93.3,2000
aut,93.1,2001
aut,93.6,2002
aut,93.9,2003
aut,92.9,2004
aut,92.8,2005
aut,93.2,2006
aut,93.1,2007
aze,96.0,1980
aze,95.9,1981
aze,95.9,1982
aze,95.9,1983
aze,95.8,1984
aze,95.8,1985
aze,95.9,1986
aze,96.0,1987
aze,95.9,1988
aze,96.0,1989
aze,96.2,1990
aze,90.8,1991
aze,90.1,1992
aze,89.5,1993
aze,88.0,1994
aze,86.9,1995
aze,87.1,1996
aze,87.4,1997
aze,88.2,1998
aze,88.7,1999
aze,89.7,2000
aze,90.1,2001
aze,90.5,2002
aze,90.8,2003
aze,91.2,2004
aze,91.6,2005
aze,91.7,2006
aze,92.7,2007
bhs,93.8,1980
bhs,93.7,1981
bhs,93.6,1982
bhs,93.5,1983
bhs,93.4,1984
bhs,93.3,1985
bhs,93.1,1986
bhs,93.0,1987
bhs,92.8,1988
bhs,92.7,1989
bhs,92.5,1990
bhs,92.6,1991
bhs,92.9,1992
bhs,92.9,1993
bhs,93.1,1994
bhs,93.2,1995
bhs,93.1,1996
bhs,93.0,1997
bhs,93.0,1998
bhs,92.9,1999
bhs,92.8,2000
bhs,92.9,2001
bhs,93.0,2002
bhs,92.9,2003
bhs,92.9,2004
bhs,92.8,2005
bhs,92.7,2006
bhs,92.7,2007
bhr,98.3,1980
bhr,98.4,1981
bhr,98.5,1982
bhr,98.6,1983
bhr,98.6,1984
bhr,98.7,1985
bhr,98.7,1986
bhr,98.7,1987
bhr,98.7,1988
bhr,98.7,1989
bhr,98.7,1990
bhr,98.8,1991
