geo,lung_cancer_number_of_new_male_cases,time
afg,732,2002
alb,811,2002
dza,1552,2002
ago,212,2002
arg,8384,2002
arm,1056,2002
aus,5565,2002
aut,2660,2002
aze,1049,2002
bhs,23,2002
bhr,60,2002
bgd,8691,2002
brb,19,2002
blr,3825,2002
bel,6518,2002
blz,15,2002
ben,38,2002
btn,79,2002
bol,320,2002
bih,1529,2002
bwa,26,2002
bra,13640,2002
brn,28,2002
bgr,2695,2002
bfa,103,2002
bdi,51,2002
khm,588,2002
cmr,127,2002
can,12550,2002
cpv,2,2002
caf,49,2002
tcd,97,2002
chl,1813,2002
chn,269600,2002
col,2801,2002
com,7,2002
cod,579,2002
cog,29,2002
cri,189,2002
civ,291,2002
hrv,2567,2002
cub,2826,2002
cyp,139,2002
cze,4891,2002
dnk,2011,2002
dji,6,2002
dom,526,2002
ecu,455,2002
egy,1886,2002
slv,125,2002
gnq,6,2002
eri,38,2002
est,596,2002
eth,550,2002
fji,1,2002
fin,1378,2002
fra,23040,2002
pyf,38,2002
gab,46,2002
gmb,17,2002
geo,1178,2002
deu,32310,2002
gha,137,2002
grc,5474,2002
gum,31,2002
gtm,483,2002
gin,208,2002
gnb,8,2002
guy,18,2002
hti,232,2002
hnd,259,2002
hun,6461,2002
isl,57,2002
ind,35500,2002
idn,15430,2002
irn,1502,2002
irq,1295,2002
irl,1001,2002
isr,901,2002
ita,30380,2002
jam,254,2002
jpn,47560,2002
jor,212,2002
kaz,4794,2002
ken,296,2002
prk,5278,2002
kor,11720,2002
kwt,129,2002
kgz,511,2002
lao,268,2002
lva,920,2002
lbn,397,2002
lso,72,2002
lbr,12,2002
lby,190,2002
ltu,1318,2002
lux,206,2002
mkd,621,2002
mdg,157,2002
mwi,64,2002
mys,2262,2002
mli,82,2002
mlt,116,2002
mrt,18,2002
mus,74,2002
mex,5622,2002
mda,840,2002
mng,209,2002
mar,1847,2002
moz,83,2002
mmr,4642,2002
nam,27,2002
npl,867,2002
nzl,974,2002
nic,141,2002
ner,89,2002
nga,366,2002
nor,1297,2002
omn,79,2002
pak,8806,2002
pan,177,2002
png,30,2002
pry,291,2002
per,1049,2002
phl,10820,2002
pol,19480,2002
prt,2572,2002
pri,449,2002
qat,53,2002
rou,7430,2002
rus,53650,2002
rwa,35,2002
wsm,7,2002
sau,694,2002
sen,41,2002
scg,4330,2002
sle,31,2002
sgp,1001,2002
svk,2153,2002
svn,816,2002
slb,18,2002
som,77,2002
zaf,3043,2002
esp,17980,2002
lka,935,2002
sdn,86,2002
sur,19,2002
swz,24,2002
swe,1736,2002
che,2754,2002
syr,1239,2002
tjk,170,2002
tza,168,2002
tha,6429,2002
nld,7253,2002
tgo,29,2002
tto,86,2002
tun,1049,2002
tur,12860,2002
tkm,315,2002
uga,179,2002
ukr,17640,2002
are,205,2002
gbr,24300,2002
usa,118900,2002
ury,1202,2002
uzb,1314,2002
vut,7,2002
ven,1565,2002
vnm,8089,2002
yem,136,2002
zmb,166,2002
zwe,353,2002
