geo,literacy_rate_youth_female_percent_of_females_ages_15_24,time
pak,43.11,1998
pak,53.09,2005
pak,58.37,2006
pak,61.25,2008
pak,61.46,2009
plw,94.36,1980
pan,96.28,1980
pan,94.78,1990
pan,95.62,2000
pan,97.34,2010
png,64.06,2000
png,74.81,2011
pry,89.0,1982
pry,95.36,1992
pry,98.78,2007
pry,98.23,2008
pry,98.99,2009
pry,98.73,2010
per,89.76,1981
per,93.79,1993
per,95.66,2004
per,96.29,2005
per,96.96,2006
per,96.71,2007
phl,92.47,1980
phl,96.88,1990
phl,95.72,2000
phl,96.58,2003
phl,98.49,2008
pol,99.82,1978
pol,100.0,1994
pol,100.0,2004
pol,100.0,2011
prt,98.22,1981
prt,99.26,1991
prt,99.78,2011
pri,94.4,1980
pri,94.11,1990
pri,89.31,2004
pri,87.02,2011
qat,91.23,1986
qat,95.81,1997
qat,97.54,2004
qat,98.97,2007
qat,96.88,2008
qat,97.95,2009
qat,98.26,2010
rou,99.03,1992
rou,97.78,2002
rou,97.36,2011
rus,99.75,1989
rus,99.77,2002
rus,99.76,2010
rwa,44.69,1978
rwa,76.86,2000
rwa,77.97,2010
wsm,98.95,1991
wsm,99.44,2004
wsm,99.6,2011
stp,74.06,1981
stp,91.85,1991
stp,94.85,2001
stp,77.34,2008
sau,81.07,1992
sau,93.71,2000
sau,94.68,2004
sau,97.01,2011
sen,28.03,1988
sen,40.97,2002
sen,44.54,2006
sen,56.19,2009
srb,99.25,2011
syc,98.46,1987
syc,99.14,1994
syc,99.37,2002
syc,99.37,2011
sle,37.36,2004
sle,52.06,2011
sgp,96.16,1980
sgp,99.08,1990
sgp,99.6,2000
sgp,99.77,2010
svn,99.78,1991
svn,99.87,2004
svn,99.9,2011
zaf,84.97,1980
zaf,94.29,1996
zaf,98.09,2007
zaf,99.16,2011
esp,98.64,1981
esp,99.57,1991
esp,99.5,2005
esp,99.56,2007
esp,99.6,2008
esp,99.56,2009
esp,99.69,2010
lka,90.19,1981
lka,96.12,2001
lka,97.94,2006
lka,98.59,2008
lka,98.59,2010
sdn,72.33,2000
sdn,84.55,2011
sur,94.14,2004
sur,99.46,2008
sur,98.8,2010
swz,74.98,1976
swz,84.3,1986
swz,92.94,2000
swz,95.31,2011
syr,59.02,1981
syr,92.96,2002
syr,90.22,2004
syr,94.11,2011
tjk,99.67,1989
tjk,99.85,2000
tjk,99.88,2011
tza,77.87,1988
tza,76.2,2002
tza,72.77,2010
tha,96.17,1980
tha,97.85,2000
tha,97.88,2005
tls,78.57,2010
tgo,63.55,2000
tgo,67.92,2006
tgo,74.56,2009
tgo,72.71,2011
ton,99.8,1976
ton,99.35,1996
ton,99.56,2006
tto,99.24,1980
tto,99.3,1990
tto,99.5,2004
tto,99.58,2011
tun,62.52,1984
tun,75.08,1994
tun,92.24,2004
tun,94.72,2007
tun,95.79,2008
tun,96.09,2010
tur,68.25,1975
tur,75.24,1980
tur,85.96,1985
tur,88.39,1990
tur,93.3,2004
tur,93.96,2005
tur,94.12,2006
tur,94.29,2007
tur,96.57,2009
tur,97.2,2010
tur,97.94,2011
tkm,99.81,1995
tkm,99.89,2011
uga,63.12,1991
uga,76.18,2002
uga,81.13,2006
uga,85.47,2010
ukr,99.83,2001
ukr,99.82,2011
are,56.28,1975
are,84.51,1985
are,97.0,2005
ury,98.84,1975
ury,99.0,1985
ury,99.02,1996
ury,99.11,2006
ury,99.02,2007
ury,99.32,2008
ury,99.61,2009
ury,99.23,2010
uzb,99.89,2000
uzb,99.99,2011
vut,67.64,1979
vut,85.17,1994
vut,91.87,2004
vut,94.79,2011
ven,93.89,1981
ven,96.36,1990
ven,98.07,2001
ven,98.84,2007
ven,98.8,2009
pse,97.19,1997
pse,98.85,2004
pse,99.15,2006
pse,98.99,2007
pse,99.03,2008
pse,99.23,2009
pse,99.27,2010
pse,99.37,2011
vnm,94.02,1979
vnm,93.4,1989
vnm,93.59,1999
vnm,94.06,2000
vnm,96.65,2011
yem,35.38,1994
yem,60.46,2004
yem,76.02,2011
zmb,65.52,1990
zmb,66.23,1999
zmb,66.31,2002
zmb,58.48,2007
zwe,84.81,1982
zwe,94.35,1992
zwe,92.12,2011
