geo,aged_55plus_unemployment_rate_percent,time
aus,5.0,1986
aus,5.2,1987
aus,5.3,1988
aus,4.8,1989
aus,4.9,1990
aus,7.1,1991
aus,8.3,1992
aus,9.2,1993
aus,8.1,1994
aus,6.4,1995
aus,6.3,1996
aus,5.8,1997
aus,5.4,1998
aus,4.7,1999
aus,3.8,2000
aus,4.2,2001
aus,3.7,2002
aus,3.4,2003
aus,3.2,2004
aus,2.9,2005
can,4.2,1981
can,6.5,1982
can,7.6,1983
can,7.3,1984
can,7.6,1985
can,6.9,1986
can,6.5,1987
can,5.8,1988
can,5.7,1989
can,5.5,1990
can,7.6,1991
can,8.6,1992
can,9.3,1993
can,8.6,1994
can,7.7,1995
can,7.3,1996
can,6.9,1997
can,6.3,1998
can,5.5,1999
can,5.1,2000
can,5.5,2001
can,5.8,2002
can,5.9,2003
can,5.6,2004
can,5.1,2005
cze,4.0,1993
cze,3.6,1994
cze,2.8,1995
cze,3.7,1996
cze,3.6,1997
cze,3.9,1998
cze,4.8,1999
cze,5.3,2000
cze,5.0,2001
cze,3.9,2002
cze,4.5,2003
cze,5.4,2004
cze,4.9,2005
est,8.5,2000
est,8.3,2001
est,6.7,2002
est,5.7,2003
est,4.8,2004
est,4.6,2005
fin,4.7,1981
fin,5.3,1982
fin,5.4,1983
fin,6.5,1984
fin,6.2,1985
fin,5.8,1986
fin,4.1,1987
fin,4.2,1988
fin,2.9,1989
fin,2.5,1990
fin,4.6,1991
fin,10.1,1992
fin,14.2,1993
fin,17.7,1994
fin,18.6,1995
fin,19.8,1996
fin,14.0,1997
fin,12.3,1998
fin,9.6,1999
fin,8.8,2000
fin,8.7,2001
fin,7.7,2002
fin,7.4,2003
fin,6.9,2004
fin,6.5,2005
fra,5.1,1981
fra,5.4,1982
fra,5.7,1983
fra,6.4,1984
fra,7.0,1985
fra,7.1,1986
fra,7.8,1987
fra,7.5,1988
fra,7.1,1989
fra,6.6,1990
fra,7.0,1991
fra,8.0,1992
fra,8.2,1993
fra,8.1,1994
fra,8.0,1995
fra,8.6,1996
fra,9.0,1997
fra,8.8,1998
fra,8.4,1999
fra,7.3,2000
fra,6.3,2001
fra,6.7,2002
fra,7.4,2003
fra,7.2,2004
fra,6.9,2005
deu,6.9,1991
deu,8.4,1992
deu,10.1,1993
deu,10.8,1994
deu,11.0,1995
deu,13.1,1996
deu,14.4,1997
deu,13.8,1998
deu,13.4,1999
deu,12.0,2000
deu,11.8,2001
deu,10.9,2002
deu,11.9,2003
deu,12.4,2004
deu,11.6,2005
hkg,2.4,1985
hkg,2.0,1986
hkg,1.0,1987
hkg,0.6,1988
hkg,0.5,1989
hkg,0.6,1990
hkg,0.9,1991
hkg,1.2,1992
hkg,1.5,1993
hkg,1.4,1994
hkg,2.4,1995
hkg,1.8,1996
hkg,1.3,1997
hkg,3.3,1998
hkg,5.1,1999
hkg,4.4,2000
hkg,4.2,2001
hkg,7.2,2002
hkg,8.0,2003
hkg,8.2,2004
hkg,6.1,2005
irl,5.7,1983
irl,7.5,1984
irl,7.9,1985
irl,7.3,1986
irl,8.9,1987
irl,8.6,1988
irl,7.9,1989
irl,7.0,1990
irl,7.1,1991
irl,7.0,1992
irl,7.0,1993
irl,7.6,1994
irl,6.6,1995
irl,6.5,1996
irl,5.3,1997
irl,4.2,1998
irl,3.6,1999
irl,2.1,2000
irl,2.2,2001
irl,2.1,2002
irl,2.1,2003
irl,2.2,2004
irl,2.5,2005
jpn,2.8,1981
jpn,2.9,1982
