underweight_children,geo,time
32.9,afg,2004
17.0,alb,2000
6.6,alb,2005
11.3,dza,1995
5.4,dza,2000
11.1,dza,2002
37.0,ago,1996
27.5,ago,2001
2.3,arg,2005
2.7,arm,1998
2.6,arm,2001
4.2,arm,2005
14.0,aze,2000
8.4,aze,2006
64.3,bgd,1991
63.7,bgd,1992
59.0,bgd,1993
61.0,bgd,1994
58.0,bgd,1995
56.7,bgd,1996
52.5,bgd,1997
53.3,bgd,1998
52.0,bgd,1999
48.2,bgd,2000
45.4,bgd,2001
43.1,bgd,2002
40.9,bgd,2003
42.7,bgd,2004
39.2,bgd,2005
39.8,bgd,2006
41.3,bgd,2007
5.3,brb,1981
1.3,blr,2005
4.9,blz,2006
26.8,ben,1996
21.5,ben,2001
20.2,ben,2006
14.1,btn,1999
8.9,bol,1989
12.6,bol,1994
5.9,bol,1998
5.9,bol,2004
4.2,bih,2000
1.6,bih,2006
10.7,bwa,2000
4.5,bra,1996
3.7,bra,2003
2.2,bra,2007
1.6,bgr,2004
29.6,bfa,1993
33.7,bfa,1999
35.2,bfa,2003
37.4,bfa,2006
30.2,bdi,1987
38.9,bdi,2000
42.6,khm,1996
39.5,khm,2000
28.4,khm,2006
28.8,khm,2008
18.0,cmr,1991
17.8,cmr,1998
15.1,cmr,2004
16.6,cmr,2006
23.3,caf,1995
21.8,caf,2000
34.3,tcd,1997
29.4,tcd,2000
33.9,tcd,2004
0.6,chl,2007
0.5,chl,2008
6.8,chn,2002
8.6,col,1986
6.3,col,1995
4.9,col,2000
5.1,col,2005
22.3,com,1996
25.0,com,2000
33.6,cod,2001
28.2,cod,2007
11.8,cog,2005
20.9,civ,1994
18.2,civ,1999
16.7,civ,2006
2.1,cze,2002
25.4,dji,2002
9.3,dom,1986
8.4,dom,1991
4.7,dom,1996
3.5,dom,2000
4.2,dom,2002
3.4,dom,2007
6.2,ecu,2004
11.6,egy,1988
8.2,egy,1993
10.8,egy,1996
4.3,egy,2000
8.7,egy,2003
5.4,egy,2005
6.8,egy,2008
11.1,slv,1988
