underweight_children,geo,time
7.2,slv,1993
6.1,slv,2003
15.7,gnq,2000
10.6,gnq,2004
38.3,eri,1996
34.5,eri,2002
42.0,eth,2000
34.6,eth,2005
8.8,gab,2001
15.4,gmb,2000
15.8,gmb,2006
2.3,geo,2005
1.1,deu,2006
24.1,gha,1988
25.1,gha,1994
20.3,gha,1999
18.8,gha,2003
13.9,gha,2006
27.8,gtm,1987
21.7,gtm,1995
20.3,gtm,1999
17.7,gtm,2002
21.2,gin,1999
22.5,gin,2005
21.9,gnb,2000
17.4,gnb,2006
11.9,guy,2000
10.8,guy,2007
24.0,hti,1995
13.9,hti,2000
18.9,hti,2006
19.2,hnd,1996
12.5,hnd,2001
8.6,hnd,2006
2.3,hun,1988
44.4,ind,1999
43.5,ind,2006
31.0,idn,1989
29.8,idn,1992
27.4,idn,1995
25.8,idn,1998
22.8,idn,1999
24.8,idn,2000
23.4,idn,2001
23.0,idn,2002
23.1,idn,2003
19.7,idn,2004
24.4,idn,2005
19.6,idn,2007
12.9,irq,2000
7.1,irq,2006
4.5,jam,1994
4.0,jam,1995
5.6,jam,1996
3.5,jam,1997
3.4,jam,1998
2.3,jam,1999
3.8,jam,2000
4.1,jam,2001
2.6,jam,2002
3.1,jam,2004
5.3,jam,2006
2.2,jam,2007
4.8,jor,1990
3.8,jor,1997
3.6,jor,2002
6.7,kaz,1995
3.8,kaz,1999
4.9,kaz,2006
20.1,ken,1993
17.6,ken,1998
17.5,ken,2000
16.5,ken,2003
17.8,prk,2002
8.2,kgz,1997
2.7,kgz,2006
36.4,lao,2000
31.6,lao,2006
4.2,lbn,2004
15.0,lso,2000
16.6,lso,2005
22.8,lbr,2000
20.4,lbr,2007
4.3,lby,1995
5.6,lby,2007
1.9,mkd,1999
1.2,mkd,2004
1.8,mkd,2005
35.5,mdg,1992
35.5,mdg,1997
36.8,mdg,2004
24.4,mwi,1992
21.5,mwi,2000
18.4,mwi,2005
15.5,mwi,2006
32.5,mdv,1994
41.5,mdv,1998
25.7,mdv,2001
29.0,mli,1987
38.2,mli,1996
30.1,mli,2001
27.9,mli,2006
30.4,mrt,2001
23.2,mrt,2007
13.9,mex,1989
6.0,mex,1999
3.4,mex,2006
3.2,mda,2005
10.8,mng,1999
11.6,mng,2000
4.8,mng,2004
5.3,mng,2005
2.2,mne,2006
12.7,mar,1987
8.1,mar,1992
9.9,mar,2004
28.1,moz,1997
21.2,moz,2003
30.1,mmr,2000
29.6,mmr,2003
21.5,nam,1992
20.3,nam,2000
17.5,nam,2007
60.8,npl,1975
42.9,npl,1996
38.2,npl,1998
43.0,npl,2001
38.8,npl,2006
1.6,nld,1980
9.6,nic,1993
10.3,nic,1998
7.8,nic,2001
4.3,nic,2005
41.0,ner,1992
45.0,ner,1998
43.6,ner,2000
39.9,ner,2006
35.1,nga,1990
27.2,nga,2003
10.0,omn,1995
11.3,omn,1999
39.0,pak,1991
31.3,pak,2001
6.3,pan,1997
24.6,png,1983
18.1,png,2005
2.8,pry,1990
8.8,per,1992
5.7,per,1996
5.2,per,2000
5.4,per,2005
20.7,phl,2003
26.2,phl,2008
3.4,rou,1999
3.7,rou,2000
3.8,rou,2001
3.5,rou,2002
24.3,rwa,1992
20.3,rwa,2000
18.0,rwa,2005
10.1,stp,2000
5.3,sau,2005
17.3,sen,1986
21.9,sen,1993
20.3,sen,2000
14.5,sen,2005
1.8,srb,2006
24.7,sle,2000
28.3,sle,2005
12.2,sgp,1977
3.3,sgp,2000
17.7,slb,1970
16.3,slb,1989
32.8,som,2006
29.3,lka,1987
22.8,lka,2000
21.1,lka,2007
38.4,sdn,2000
31.7,sdn,2006
11.4,sur,2000
9.1,swz,2000
6.1,swz,2007
11.1,syr,2001
10.0,syr,2006
14.9,tjk,2005
25.1,tza,1992
26.9,tza,1996
25.3,tza,1999
16.7,tza,2005
17.4,tha,1987
7.0,tha,2006
40.6,tls,2002
21.2,tgo,1988
23.2,tgo,1998
22.3,tgo,2006
4.7,tto,1987
4.4,tto,2000
17.2,tun,1975
8.5,tun,1988
8.1,tun,1995
3.3,tun,2006
8.7,tur,1993
7.0,tur,1998
3.5,tur,2004
19.7,uga,1989
21.5,uga,1995
19.0,uga,2001
16.4,uga,2006
4.1,ukr,2000
0.9,usa,1994
1.1,usa,2002
1.3,usa,2004
5.4,ury,2002
6.0,ury,2004
15.3,uzb,1996
7.1,uzb,2002
4.4,uzb,2006
36.9,vnm,1993
26.7,vnm,2000
20.2,vnm,2006
2.2,pse,2007
47.6,yem,1997
43.1,yem,2003
21.2,zmb,1992
19.6,zmb,1997
19.6,zmb,1999
23.3,zmb,2002
14.9,zmb,2007
8.0,zwe,1988
11.7,zwe,1994
11.5,zwe,1999
14.0,zwe,2006
