geo,natural_gas_proven_reserves_per_person,time
dza,178.1,1980
dza,170.6,1981
dza,162.3,1982
dza,153.7,1983
dza,145.2,1984
dza,137.0,1985
dza,129.5,1986
dza,122.4,1987
dza,121.9,1988
dza,119.4,1989
dza,118.4,1990
dza,127.0,1991
dza,124.9,1992
dza,123.7,1993
dza,96.91,1994
dza,118.3,1995
dza,116.5,1996
dza,126.2,1997
dza,124.3,1998
dza,135.8,1999
dza,133.9,2000
dza,131.9,2001
dza,130.1,2002
dza,129.0,2003
dza,127.3,2004
dza,124.6,2005
dza,123.1,2006
dza,121.6,2007
dza,120.1,2008
arg,20.34,1980
arg,20.21,1981
arg,21.23,1982
arg,20.51,1983
arg,19.88,1984
arg,19.98,1985
arg,19.39,1986
arg,19.72,1987
arg,21.68,1988
arg,18.55,1989
arg,17.99,1990
arg,17.28,1991
arg,14.34,1992
arg,13.52,1993
arg,13.81,1994
arg,15.78,1995
arg,16.16,1996
arg,17.0,1997
arg,16.87,1998
arg,17.7,1999
arg,18.67,2000
arg,18.13,2001
arg,15.59,2002
arg,14.22,2003
arg,12.46,2004
arg,9.993,2005
arg,10.05,2006
arg,9.87,2007
arg,9.779,2008
aus,11.16,1980
aus,27.55,1981
aus,27.6,1982
aus,29.65,1983
aus,43.52,1984
aus,43.72,1985
aus,49.83,1986
aus,59.18,1987
aus,60.32,1988
aus,53.87,1989
aus,49.8,1990
aus,50.46,1991
aus,49.36,1992
aus,52.1,1993
aus,65.47,1994
aus,58.38,1995
aus,62.37,1996
aus,66.89,1997
aus,79.35,1998
aus,95.04,1999
aus,98.67,2000
aus,119.3,2001
aus,111.7,2002
aus,113.7,2003
aus,104.0,2004
aus,104.2,2005
aus,106.0,2006
aus,106.4,2007
aus,109.6,2008
aze,95.26,1997
aze,95.03,1998
aze,144.4,1999
aze,144.0,2000
aze,143.6,2001
aze,143.1,2002
aze,142.5,2003
aze,141.8,2004
aze,139.0,2005
aze,138.1,2006
aze,130.5,2007
aze,133.6,2008
bhr,603.3,1980
bhr,557.2,1981
bhr,528.6,1982
bhr,499.2,1983
bhr,471.7,1984
bhr,443.7,1985
bhr,417.7,1986
bhr,392.0,1987
bhr,364.2,1988
bhr,339.7,1989
bhr,318.3,1990
bhr,302.2,1991
bhr,283.9,1992
bhr,263.1,1993
bhr,246.6,1994
bhr,231.0,1995
bhr,218.1,1996
bhr,213.5,1997
bhr,209.2,1998
bhr,170.6,1999
bhr,156.1,2000
bhr,153.4,2001
bhr,150.8,2002
bhr,124.1,2003
bhr,119.5,2004
bhr,117.7,2005
bhr,115.9,2006
bhr,108.0,2007
bhr,106.5,2008
bgd,2.922,1980
bgd,3.147,1981
bgd,3.278,1982
bgd,2.934,1983
bgd,3.255,1984
bgd,3.185,1985
bgd,3.131,1986
bgd,3.07,1987
bgd,2.978,1988
bgd,6.053,1989
bgd,5.937,1990
bgd,5.789,1991
bgd,2.398,1992
bgd,2.315,1993
bgd,2.31,1994
bgd,2.054,1995
bgd,2.228,1996
bgd,2.168,1997
bgd,2.129,1998
bgd,2.272,1999
bgd,2.112,2000
bgd,2.301,2001
bgd,2.256,2002
bgd,2.815,2003
bgd,2.687,2004
bgd,2.538,2005
bgd,2.339,2006
bgd,2.237,2007
bgd,2.169,2008
bol,20.18,1980
bol,24.99,1981
bol,23.29,1982
bol,21.02,1983
bol,19.28,1984
bol,19.56,1985
bol,20.41,1986
bol,20.76,1987
bol,21.06,1988
bol,16.25,1989
bol,15.47,1990
bol,15.51,1991
bol,15.67,1992
bol,15.05,1993
bol,13.47,1994
bol,15.49,1995
bol,12.9,1996
bol,13.8,1997
bol,17.2,1998
bol,58.26,1999
bol,74.52,2000
bol,84.03,2001
bol,86.64,2002
bol,81.97,2003
bol,78.09,2004
bol,75.19,2005
bol,74.09,2006
bol,70.07,2007
bol,69.1,2008
bra,0.3821,1980
bra,0.4224,1981
bra,0.4949,1982
bra,0.5512,1983
bra,0.5531,1984
bra,0.6005,1985
bra,0.6074,1986
bra,0.6512,1987
bra,0.6628,1988
bra,0.6922,1989
bra,0.6748,1990
bra,0.7161,1991
bra,0.7559,1992
bra,0.7664,1993
bra,0.8039,1994
bra,0.8348,1995
bra,0.8434,1996
bra,1.199,1997
bra,1.172,1998
bra,1.182,1999
bra,1.116,2000
bra,1.096,2001
bra,1.205,2002
bra,1.195,2003
bra,1.57,2004
bra,1.459,2005
bra,1.64,2006
bra,1.285,2007
bra,1.532,2008
brn,1006.0,1980
brn,989.5,1981
brn,997.2,1982
brn,951.7,1983
brn,1006.0,1984
brn,972.7,1985
brn,1344.0,1986
brn,1266.0,1987
brn,1193.0,1988
brn,1139.0,1989
brn,1154.0,1990
brn,1340.0,1991
brn,1315.0,1992
brn,1278.0,1993
brn,1243.0,1994
brn,1210.0,1995
brn,1178.0,1996
brn,1122.0,1997
brn,1070.0,1998
brn,1023.0,1999
brn,979.3,2000
brn,932.3,2001
brn,897.7,2002
brn,867.1,2003
brn,845.2,2004
brn,821.8,2005
brn,785.1,2006
brn,798.7,2007
brn,800.4,2008
can,91.2,1980
can,92.64,1981
can,92.53,1982
can,92.38,1983
can,98.36,1984
can,96.59,1985
can,94.31,1986
can,91.29,1987
can,89.38,1988
can,89.81,1989
can,88.25,1990
can,86.77,1991
can,84.31,1992
can,69.46,1993
can,58.38,1994
can,58.61,1995
can,58.29,1996
can,53.72,1997
can,51.36,1998
can,49.98,1999
can,48.43,2000
can,48.26,2001
can,46.94,2002
can,44.79,2003
can,44.3,2004
can,44.79,2005
can,44.59,2006
can,44.04,2007
can,43.66,2008
chn,0.6446,1980
chn,0.6333,1981
chn,0.773,1982
chn,0.7679,1983
chn,0.7724,1984
chn,0.7467,1985
chn,0.7298,1986
chn,0.7422,1987
chn,0.7533,1988
chn,0.8229,1989
chn,0.792,1990
chn,0.7835,1991
chn,1.081,1992
chn,1.276,1993
chn,1.261,1994
chn,1.247,1995
chn,0.8651,1996
chn,0.8489,1997
chn,0.9906,1998
chn,0.982,1999
chn,0.9743,2000
chn,0.9678,2001
chn,0.8913,2002
chn,0.9333,2003
chn,1.006,2004
chn,1.06,2005
chn,1.156,2006
chn,1.539,2007
chn,1.665,2008
col,4.13,1980
col,4.043,1981
col,3.89,1982
col,3.582,1983
col,3.38,1984
col,3.245,1985
col,3.353,1986
col,2.819,1987
col,3.618,1988
col,3.045,1989
col,2.766,1990
col,2.658,1991
col,4.868,1992
col,5.442,1993
col,5.412,1994
col,5.383,1995
col,5.283,1996
col,4.684,1997
col,4.601,1998
col,4.337,1999
col,2.925,2000
col,2.855,2001
col,2.634,2002
col,2.463,2003
col,2.531,2004
col,2.368,2005
col,2.539,2006
col,2.543,2007
col,2.247,2008
dnk,14.41,1980
dnk,14.41,1981
dnk,14.42,1982
dnk,17.25,1983
dnk,18.14,1984
dnk,16.02,1985
dnk,12.48,1986
dnk,12.29,1987
dnk,13.86,1988
dnk,18.94,1989
dnk,17.33,1990
dnk,17.64,1991
dnk,22.45,1992
dnk,21.86,1993
dnk,21.44,1994
dnk,20.64,1995
dnk,19.5,1996
dnk,18.91,1997
dnk,17.65,1998
dnk,24.02,1999
dnk,24.28,2000
dnk,23.69,2001
dnk,21.6,2002
dnk,22.69,2003
dnk,21.95,2004
dnk,20.21,2005
dnk,19.81,2006
dnk,11.36,2007
dnk,9.025,2008
egy,1.773,1980
egy,1.69,1981
egy,3.999,1982
egy,3.822,1983
egy,4.356,1984
egy,4.585,1985
egy,5.059,1986
egy,5.233,1987
egy,5.481,1988
egy,5.716,1989
egy,6.016,1990
egy,6.13,1991
egy,6.606,1992
egy,8.825,1993
egy,9.162,1994
egy,9.167,1995
egy,11.81,1996
egy,12.62,1997
egy,13.58,1998
egy,15.94,1999
egy,18.3,2000
egy,19.49,2001
egy,20.34,2002
egy,20.78,2003
egy,22.11,2004
egy,22.0,2005
egy,23.35,2006
egy,23.21,2007
egy,23.92,2008
deu,3.046,1980
deu,2.847,1981
deu,2.769,1982
deu,3.687,1983
deu,3.537,1984
deu,3.429,1985
deu,4.424,1986
deu,4.354,1987
deu,4.187,1988
deu,4.017,1989
deu,2.46,1990
deu,2.194,1991
deu,2.211,1992
deu,2.196,1993
deu,2.454,1994
deu,2.425,1995
deu,2.451,1996
deu,2.886,1997
deu,2.853,1998
deu,2.961,1999
deu,2.891,2000
deu,2.592,2001
deu,2.448,2002
deu,2.261,2003
deu,2.086,2004
deu,1.943,2005
deu,1.693,2006
deu,1.504,2007
deu,1.307,2008
ind,0.4546,1980
ind,0.5345,1981
ind,0.5339,1982
ind,0.5751,1983
ind,0.5821,1984
ind,0.5722,1985
ind,0.6315,1986
ind,0.6305,1987
ind,0.6708,1988
ind,0.7511,1989
ind,0.7509,1990
ind,0.7675,1991
ind,0.7586,1992
ind,0.7253,1993
ind,0.6958,1994
ind,0.6564,1995
ind,0.6121,1996
ind,0.6497,1997
ind,0.6229,1998
ind,0.5881,1999
ind,0.6786,2000
ind,0.6708,2001
ind,0.6533,2002
ind,0.7322,2003
ind,0.7799,2004
ind,0.9173,2005
ind,0.8833,2006
ind,0.8551,2007
ind,0.8717,2008
idn,5.033,1980
idn,5.177,1981
idn,5.634,1982
idn,6.834,1983
idn,9.558,1984
idn,10.92,1985
idn,12.26,1986
idn,12.58,1987
idn,13.38,1988
idn,13.1,1989
idn,14.44,1990
idn,9.118,1991
idn,8.863,1992
idn,8.71,1993
idn,8.559,1994
idn,9.011,1995
idn,9.365,1996
idn,9.719,1997
idn,9.738,1998
idn,11.56,1999
idn,11.7,2000
idn,11.23,2001
idn,10.9,2002
idn,10.73,2003
idn,11.54,2004
idn,10.21,2005
idn,10.72,2006
idn,12.09,2007
idn,12.68,2008
irn,320.6,1980
irn,306.8,1981
irn,294.0,1982
irn,281.9,1983
irn,270.6,1984
irn,259.9,1985
irn,249.8,1986
irn,241.5,1987
irn,239.7,1988
irn,278.9,1989
irn,268.3,1990
irn,301.5,1991
irn,308.5,1992
irn,306.9,1993
irn,307.0,1994
irn,282.6,1995
irn,331.5,1996
irn,326.9,1997
irn,338.0,1998
irn,346.6,1999
irn,356.4,2000
irn,353.6,2001
irn,359.0,2002
irn,369.5,2003
irn,366.6,2004
irn,364.9,2005
irn,351.8,2006
irn,364.5,2007
irn,379.4,2008
irq,52.87,1980
irq,50.78,1981
irq,51.79,1982
irq,50.44,1983
irq,48.56,1984
irq,47.09,1985
irq,45.49,1986
irq,54.4,1987
irq,142.1,1988
irq,159.6,1989
irq,154.2,1990
irq,159.7,1991
irq,156.2,1992
irq,151.6,1993
irq,147.8,1994
irq,154.6,1995
irq,150.0,1996
irq,138.1,1997
irq,134.1,1998
irq,134.2,1999
irq,123.4,2000
irq,119.9,2001
irq,119.6,2002
irq,115.6,2003
irq,112.4,2004
irq,109.4,2005
irq,106.5,2006
irq,103.7,2007
irq,101.1,2008
ita,2.551,1980
ita,2.851,1981
ita,2.865,1982
ita,3.751,1983
ita,3.968,1984
ita,4.125,1985
ita,4.204,1986
ita,4.759,1987
ita,5.187,1988
ita,5.219,1989
ita,5.107,1990
ita,5.836,1991
ita,4.766,1992
ita,4.608,1993
ita,4.69,1994
ita,4.667,1995
ita,4.361,1996
ita,4.29,1997
ita,4.144,1998
ita,3.25,1999
ita,3.103,2000
ita,2.847,2001
ita,2.672,2002
ita,2.095,2003
ita,1.938,2004
ita,1.812,2005
ita,1.455,2006
ita,1.985,2007
ita,1.843,2008
kaz,105.2,1997
kaz,106.8,1998
kaz,99.35,1999
kaz,99.7,2000
kaz,99.56,2001
kaz,102.6,2002
kaz,102.4,2003
kaz,102.2,2004
kaz,109.4,2005
kaz,109.1,2006
kaz,108.7,2007
kaz,106.9,2008
kwt,692.5,1980
kwt,657.3,1981
kwt,625.0,1982
kwt,595.5,1983
kwt,570.5,1984
kwt,538.3,1985
kwt,579.8,1986
kwt,573.4,1987
kwt,628.5,1988
kwt,612.6,1989
kwt,637.8,1990
kwt,1425.0,1991
kwt,948.8,1992
kwt,905.0,1993
kwt,869.8,1994
kwt,829.6,1995
kwt,791.6,1996
kwt,759.6,1997
kwt,726.5,1998
kwt,700.1,1999
kwt,710.0,2000
kwt,686.3,2001
kwt,663.6,2002
kwt,648.1,2003
kwt,626.7,2004
kwt,605.7,2005
kwt,662.4,2006
kwt,639.4,2007
kwt,616.9,2008
lby,201.1,1980
lby,186.8,1981
lby,175.7,1982
lby,165.3,1983
lby,155.9,1984
lby,153.3,1985
lby,177.1,1986
lby,172.2,1987
lby,190.2,1988
lby,272.2,1989
lby,262.6,1990
lby,277.0,1991
lby,267.9,1992
lby,259.2,1993
lby,257.1,1994
lby,253.9,1995
lby,251.8,1996
lby,248.5,1997
lby,242.8,1998
lby,237.0,1999
lby,231.2,2000
lby,225.7,2001
lby,252.0,2002
lby,244.0,2003
lby,238.3,2004
lby,205.4,2005
lby,216.6,2006
lby,229.6,2007
lby,224.5,2008
mys,55.58,1980
mys,87.47,1981
mys,86.31,1982
mys,85.17,1983
mys,82.53,1984
mys,86.5,1985
mys,84.74,1986
mys,81.94,1987
mys,80.0,1988
mys,84.86,1989
mys,84.33,1990
mys,84.14,1991
mys,85.34,1992
mys,87.61,1993
mys,90.37,1994
mys,104.2,1995
mys,107.8,1996
mys,108.3,1997
mys,103.7,1998
mys,104.4,1999
mys,96.51,2000
mys,100.4,2001
mys,100.1,2002
mys,96.03,2003
mys,94.28,2004
mys,93.18,2005
mys,91.53,2006
mys,86.56,2007
mys,85.06,2008
mex,24.06,1980
mex,27.45,1981
mex,26.81,1982
mex,26.76,1983
mex,26.04,1984
mex,25.41,1985
mex,24.62,1986
mex,23.8,1987
mex,22.87,1988
mex,22.24,1989
mex,21.46,1990
mex,20.91,1991
mex,20.26,1992
mex,19.79,1993
mex,19.09,1994
mex,18.57,1995
mex,17.26,1996
mex,16.87,1997
mex,7.87,1998
mex,7.858,1999
mex,7.521,2000
mex,7.085,2001
mex,3.724,2002
mex,3.653,2003
mex,3.593,2004
mex,3.458,2005
mex,3.25,2006
mex,4.238,2007
mex,4.091,2008
mmr,2.508,1980
mmr,3.862,1981
mmr,3.789,1982
mmr,6.235,1983
mmr,6.489,1984
mmr,6.565,1985
mmr,6.45,1986
mmr,6.343,1987
mmr,6.225,1988
mmr,6.118,1989
mmr,6.014,1990
mmr,6.231,1991
mmr,6.171,1992
mmr,5.885,1993
mmr,5.801,1994
mmr,5.719,1995
mmr,5.94,1996
mmr,5.889,1997
mmr,5.863,1998
mmr,5.839,1999
mmr,5.778,2000
mmr,6.877,2001
mmr,8.783,2002
mmr,7.919,2003
mmr,9.383,2004
mmr,10.3,2005
mmr,10.22,2006
mmr,9.316,2007
mmr,9.245,2008
nld,100.4,1980
nld,97.92,1981
nld,95.28,1982
nld,121.6,1983
nld,118.6,1984
nld,115.2,1985
nld,112.1,1986
nld,108.6,1987
nld,105.5,1988
nld,104.6,1989
nld,118.6,1990
nld,116.5,1991
nld,114.5,1992
