geo,prematurity_deaths_in_newborn_total_deaths,time
afg,13960,2008
alb,63,2008
dza,6488,2008
ago,10220,2008
arg,2622,2008
arm,271,2008
aus,259,2008
aut,73,2008
aze,1302,2008
bhs,7,2008
bhr,30,2008
bgd,29940,2008
brb,10,2008
blr,98,2008
bel,65,2008
blz,22,2008
ben,3901,2008
btn,164,2008
bol,2202,2008
bih,103,2008
bwa,312,2008
bra,10720,2008
brn,6,2008
bgr,102,2008
bfa,7434,2008
bdi,3011,2008
khm,3485,2008
cmr,7372,2008
can,485,2008
cpv,82,2008
caf,2189,2008
tcd,5585,2008
chl,434,2008
chn,53350,2008
col,3370,2008
com,361,2008
cog,1692,2008
cri,164,2008
civ,9342,2008
hrv,37,2008
cub,62,2008
cyp,8,2008
cze,37,2008
prk,3777,2008
cod,53580,2008
dnk,84,2008
dji,247,2008
dom,1795,2008
ecu,1287,2008
egy,14350,2008
slv,388,2008
gnq,349,2008
eri,1075,2008
est,9,2008
eth,27870,2008
fji,64,2008
fin,32,2008
fra,299,2008
gab,446,2008
gmb,692,2008
geo,420,2008
deu,798,2008
gha,6493,2008
grc,124,2008
grd,11,2008
gtm,2673,2008
gin,4240,2008
gnb,923,2008
guy,119,2008
hti,2066,2008
hnd,1231,2008
hun,129,2008
isl,1,2008
ind,240900,2008
idn,32590,2008
irn,11710,2008
irq,9343,2008
irl,44,2008
isr,97,2008
ita,441,2008
jam,188,2008
jpn,225,2008
jor,1043,2008
kaz,0,2008
ken,14130,2008
kwt,117,2008
kgz,842,2008
lao,861,2008
lva,12,2008
lbn,249,2008
lso,722,2008
lbr,2021,2008
lby,685,2008
ltu,20,2008
lux,2,2008
mdg,7901,2008
mwi,5536,2008
mys,690,2008
mdv,40,2008
mli,8248,2008
mlt,3,2008
mrt,1534,2008
mus,56,2008
mex,5255,2008
fsm,18,2008
mng,275,2008
mne,15,2008
mar,4756,2008
moz,10850,2008
mmr,16940,2008
nam,430,2008
npl,6045,2008
nld,125,2008
nzl,80,2008
nic,754,2008
ner,8372,2008
nga,82480,2008
nor,21,2008
omn,213,2008
pak,75840,2008
pan,197,2008
png,1556,2008
pry,961,2008
per,3209,2008
phl,13340,2008
pol,661,2008
prt,71,2008
qat,27,2008
kor,445,2008
mda,32,2008
rou,321,2008
rus,1730,2008
rwa,3671,2008
lca,21,2008
vct,8,2008
wsm,20,2008
stp,60,2008
sau,3726,2008
sen,4946,2008
srb,311,2008
sle,3204,2008
sgp,21,2008
svk,90,2008
svn,12,2008
slb,96,2008
som,6046,2008
zaf,8693,2008
esp,271,2008
lka,1286,2008
sdn,24500,2008
sur,49,2008
swz,238,2008
swe,33,2008
che,73,2008
syr,2328,2008
tjk,1753,2008
tha,4027,2008
mkd,90,2008
tgo,2212,2008
ton,10,2008
tto,148,2008
tun,1012,2008
tur,8498,2008
tkm,931,2008
uga,13460,2008
ukr,676,2008
are,138,2008
gbr,1262,2008
tza,16720,2008
usa,8421,2008
ury,124,2008
uzb,4567,2008
vut,43,2008
ven,2362,2008
vnm,5382,2008
yem,9338,2008
zmb,5585,2008
zwe,4012,2008
