geo,male_salaried_workers_percent_of_male_labour_force,time
usa,89.2,1991
usa,89.4,1992
usa,89.1,1993
usa,89.7,1994
usa,90.1,1995
usa,90.2,1996
usa,90.5,1997
usa,90.8,1998
usa,91.1,1999
usa,91.4,2000
usa,91.5,2001
usa,91.6,2002
usa,91.2,2003
usa,91.1,2004
usa,91.2,2005
usa,91.4,2006
usa,91.6,2007
ury,69.7,1998
ury,69.4,1999
ury,69.5,2000
ury,67.8,2001
ury,65.6,2002
ury,65.5,2003
ury,67.6,2005
ury,67.6,2006
ury,67.7,2007
ven,57.6,1994
ven,59.3,1995
ven,59.4,1996
ven,62.9,1997
ven,60.9,1998
ven,59.4,1999
ven,58.0,2000
ven,60.3,2001
ven,55.1,2002
ven,53.5,2003
ven,56.7,2006
ven,58.5,2007
vnm,20.1,1996
vnm,22.0,1997
vnm,24.6,1998
vnm,21.2,1999
vnm,21.7,2000
vnm,24.2,2001
vnm,23.8,2002
vnm,25.7,2003
vnm,29.8,2004
pse,55.4,1996
pse,62.7,1997
pse,66.3,1998
pse,69.7,1999
pse,68.1,2000
pse,61.7,2001
pse,58.8,2002
pse,57.7,2003
pse,58.6,2004
pse,60.0,2005
pse,60.2,2006
yem,50.7,1999
zmb,61.5,1980
zmb,39.0,1990
zmb,33.8,1991
zmb,30.7,1996
zmb,25.6,1998
zmb,25.7,2000
zwe,54.0,1994
zwe,56.0,1997
zwe,54.9,1999
zwe,51.0,2002
