armed_forces_personnel_percent_of_labor_force,geo,time
0.1498,hti,2000
0.2281,hti,2001
0.1416,hti,2002
0.1378,hti,2003
0.0,hti,2004
0.0,hti,2005
0.1298,hti,2006
0.0,hti,2007
0.0,hti,2008
1.142,hnd,1985
1.141,hnd,1989
1.048,hnd,1990
0.9576,hnd,1991
0.9199,hnd,1992
0.8895,hnd,1993
0.8632,hnd,1994
1.194,hnd,1995
1.143,hnd,1996
1.104,hnd,1997
0.6306,hnd,1998
0.6103,hnd,1999
0.6058,hnd,2000
0.6006,hnd,2001
0.5899,hnd,2002
0.7305,hnd,2003
0.7971,hnd,2004
0.7789,hnd,2005
0.7621,hnd,2006
0.736,hnd,2007
0.7108,hnd,2008
2.212,hun,1985
2.382,hun,1989
2.069,hun,1990
1.923,hun,1991
1.703,hun,1992
1.475,hun,1993
1.408,hun,1994
1.748,hun,1995
1.909,hun,1996
1.843,hun,1997
1.741,hun,1998
1.569,hun,1999
1.389,hun,2000
1.152,hun,2001
1.142,hun,2002
1.123,hun,2003
1.094,hun,2004
1.031,hun,2005
1.022,hun,2006
0.8602,hun,2007
0.8669,hun,2008
0.0623,isl,1995
0.0628,isl,1996
0.0753,isl,1997
0.0734,isl,1998
0.0591,isl,1999
0.05756,isl,2000
0.0569,isl,2001
0.05691,isl,2002
0.056,isl,2003
0.0,isl,2004
0.0,isl,2005
0.0696,isl,2006
0.0672,isl,2007
0.0661,isl,2008
0.4452,ind,1985
0.4058,ind,1989
0.3965,ind,1990
0.3912,ind,1991
0.3827,ind,1992
0.3749,ind,1993
0.3668,ind,1994
0.6103,ind,1995
0.6193,ind,1996
0.6113,ind,1997
0.6083,ind,1998
0.5973,ind,1999
0.6154,ind,2000
0.5983,ind,2001
0.5965,ind,2002
0.5918,ind,2003
0.6307,ind,2004
0.7198,ind,2005
0.5992,ind,2006
0.5843,ind,2007
0.5739,ind,2008
0.4495,idn,1985
0.3889,idn,1989
0.3777,idn,1990
0.3637,idn,1991
0.363,idn,1992
0.34,idn,1993
0.3437,idn,1994
0.5466,idn,1995
0.5578,idn,1996
0.5449,idn,1997
0.5563,idn,1998
0.5246,idn,1999
0.5074,idn,2000
0.4989,idn,2001
0.4909,idn,2002
0.4847,idn,2003
0.555,idn,2004
0.5437,idn,2005
0.5335,idn,2006
0.5246,idn,2007
0.5159,idn,2008
4.605,irn,1985
3.992,irn,1989
2.831,irn,1990
2.922,irn,1991
3.234,irn,1992
3.14,irn,1993
3.039,irn,1994
4.231,irn,1995
4.603,irn,1996
4.43,irn,1997
3.996,irn,1998
3.656,irn,1999
3.362,irn,2000
2.372,irn,2001
2.309,irn,2002
2.31,irn,2003
1.77,irn,2004
2.175,irn,2005
2.142,irn,2006
2.032,irn,2007
2.026,irn,2008
27.03,irq,1985
23.87,irq,1989
32.2,irq,1990
10.69,irq,1991
8.895,irq,1992
8.608,irq,1993
8.701,irq,1994
8.097,irq,1995
8.304,irq,1996
8.218,irq,1997
8.593,irq,1998
8.288,irq,1999
8.032,irq,2000
7.606,irq,2001
6.834,irq,2002
6.637,irq,2003
2.678,irq,2004
3.301,irq,2005
7.001,irq,2006
4.981,irq,2007
7.738,irq,2008
1.032,irl,1985
0.9823,irl,1989
0.9683,irl,1990
0.9514,irl,1991
0.9553,irl,1992
0.9327,irl,1993
1.189,irl,1994
0.8806,irl,1995
0.8393,irl,1996
0.8188,irl,1997
0.7068,irl,1998
0.6766,irl,1999
0.6527,irl,2000
0.5818,irl,2001
0.566,irl,2002
0.548,irl,2003
0.5121,irl,2004
0.4859,irl,2005
0.4674,irl,2006
0.4537,irl,2007
0.45,irl,2008
9.715,isr,1985
11.58,isr,1989
11.24,isr,1990
10.48,isr,1991
9.527,isr,1992
9.098,isr,1993
8.91,isr,1994
8.312,isr,1995
8.202,isr,1996
7.987,isr,1997
7.73,isr,1998
7.404,isr,1999
7.185,isr,2000
6.658,isr,2001
6.464,isr,2002
6.513,isr,2003
6.385,isr,2004
6.247,isr,2005
6.403,isr,2006
6.189,isr,2007
5.873,isr,2008
1.69,ita,1985
2.132,ita,1989
2.08,ita,1990
1.98,ita,1991
2.035,ita,1992
1.957,ita,1993
1.91,ita,1994
2.578,ita,1995
2.549,ita,1996
2.543,ita,1997
2.406,ita,1998
2.246,ita,1999
2.166,ita,2000
2.066,ita,2001
1.989,ita,2002
1.888,ita,2003
1.805,ita,2004
1.81,ita,2005
1.775,ita,2006
1.757,ita,2007
1.729,ita,2008
0.196,jam,1985
0.2694,jam,1989
0.2673,jam,1990
0.264,jam,1991
0.2604,jam,1992
0.2572,jam,1993
0.2544,jam,1994
0.2967,jam,1995
0.2963,jam,1996
0.2949,jam,1997
0.2955,jam,1998
0.2564,jam,1999
0.2546,jam,2000
0.2544,jam,2001
0.2553,jam,2002
0.2558,jam,2003
0.1697,jam,2004
0.2516,jam,2005
0.2488,jam,2006
0.2463,jam,2007
0.2437,jam,2008
0.4077,jpn,1985
0.3942,jpn,1989
0.3914,jpn,1990
0.3845,jpn,1991
0.3673,jpn,1992
0.3655,jpn,1993
0.3501,jpn,1994
0.376,jpn,1995
0.3675,jpn,1996
0.3642,jpn,1997
0.3741,jpn,1998
0.3758,jpn,1999
0.3679,jpn,2000
0.3736,jpn,2001
0.3756,jpn,2002
0.3765,jpn,2003
0.3772,jpn,2004
0.4081,jpn,2005
0.3783,jpn,2006
0.3615,jpn,2007
0.3619,jpn,2008
11.7,jor,1985
27.04,jor,1989
13.36,jor,1990
11.34,jor,1991
10.39,jor,1992
9.453,jor,1993
8.75,jor,1994
10.63,jor,1995
10.11,jor,1996
10.13,jor,1997
9.759,jor,1998
9.578,jor,1999
10.35,jor,2000
7.445,jor,2001
7.281,jor,2002
7.088,jor,2003
6.847,jor,2004
6.679,jor,2005
6.441,jor,2006
6.169,jor,2007
5.91,jor,2008
0.1902,kaz,1993
0.2303,kaz,1994
0.9647,kaz,1995
0.9744,kaz,1996
0.9176,kaz,1997
1.194,kaz,1998
1.337,kaz,1999
1.305,kaz,2000
1.293,kaz,2001
1.228,kaz,2002
1.293,kaz,2003
1.269,kaz,2004
1.269,kaz,2005
0.9965,kaz,2006
0.9756,kaz,2007
0.9563,kaz,2008
0.1694,ken,1985
0.2114,ken,1989
0.2031,ken,1990
0.195,ken,1991
0.2244,ken,1992
0.215,ken,1993
0.1894,ken,1994
0.2419,ken,1995
0.2333,ken,1996
0.2253,ken,1997
0.218,ken,1998
0.211,ken,1999
0.1899,ken,2000
0.1987,ken,2001
0.1921,ken,2002
0.1843,ken,2003
0.1782,ken,2004
0.1731,ken,2005
0.1639,ken,2007
0.1596,ken,2008
9.583,prk,1985
10.6,prk,1989
11.99,prk,1990
11.8,prk,1991
11.64,prk,1992
10.55,prk,1993
10.43,prk,1994
11.68,prk,1995
10.87,prk,1996
11.47,prk,1997
11.39,prk,1998
11.29,prk,1999
11.18,prk,2000
11.31,prk,2001
11.18,prk,2002
11.05,prk,2003
11.11,prk,2004
11.0,prk,2005
10.86,prk,2006
10.76,prk,2007
10.64,prk,2008
3.657,kor,1985
3.48,kor,1989
3.392,kor,1990
3.824,kor,1991
3.749,kor,1992
3.697,kor,1993
3.594,kor,1994
2.991,kor,1995
3.054,kor,1996
3.022,kor,1997
3.078,kor,1998
3.045,kor,1999
3.034,kor,2000
2.994,kor,2001
2.959,kor,2002
2.956,kor,2003
2.926,kor,2004
2.897,kor,2005
2.87,kor,2006
2.84,kor,2007
2.834,kor,2008
1.825,kwt,1985
2.456,kwt,1989
0.8159,kwt,1990
1.773,kwt,1991
2.441,kwt,1995
2.176,kwt,1996
2.001,kwt,1997
1.94,kwt,1998
1.858,kwt,1999
1.779,kwt,2000
1.717,kwt,2001
1.791,kwt,2002
1.733,kwt,2003
1.609,kwt,2004
1.714,kwt,2005
1.678,kwt,2006
1.64,kwt,2007
1.61,kwt,2008
0.6437,kgz,1992
0.6445,kgz,1993
0.6991,kgz,1994
0.3718,kgz,1995
0.6258,kgz,1996
0.726,kgz,1997
0.7112,kgz,1998
0.5987,kgz,1999
0.675,kgz,2000
0.6653,kgz,2001
0.7445,kgz,2002
0.7349,kgz,2003
0.7736,kgz,2004
0.7881,kgz,2005
0.8907,kgz,2006
0.8626,kgz,2007
0.8378,kgz,2008
3.207,lao,1985
2.973,lao,1989
2.844,lao,1990
2.661,lao,1991
1.81,lao,1992
1.762,lao,1993
2.093,lao,1994
6.226,lao,1995
6.076,lao,1996
5.593,lao,1997
5.465,lao,1998
5.341,lao,1999
5.219,lao,2000
5.099,lao,2001
4.986,lao,2002
4.873,lao,2003
4.751,lao,2004
4.638,lao,2005
4.524,lao,2006
4.412,lao,2007
4.302,lao,2008
0.3654,lva,1992
0.3805,lva,1993
0.4747,lva,1994
0.9273,lva,1995
1.046,lva,1996
0.6983,lva,1997
0.7577,lva,1998
0.8437,lva,1999
0.7786,lva,2000
0.9049,lva,2001
0.7657,lva,2002
0.7219,lva,2003
0.4416,lva,2004
0.4413,lva,2005
1.459,lva,2006
1.431,lva,2007
1.316,lva,2008
2.383,lbn,1985
2.117,lbn,1989
4.222,lbn,1990
4.189,lbn,1991
4.072,lbn,1992
3.841,lbn,1993
4.939,lbn,1994
5.965,lbn,1995
6.214,lbn,1996
6.663,lbn,1997
6.064,lbn,1998
7.038,lbn,1999
6.521,lbn,2000
7.039,lbn,2001
6.833,lbn,2002
6.668,lbn,2003
6.499,lbn,2004
6.345,lbn,2005
5.568,lbn,2006
5.464,lbn,2007
5.407,lbn,2008
0.3288,lso,1985
0.3097,lso,1989
0.306,lso,1990
0.3018,lso,1991
0.298,lso,1992
0.2931,lso,1993
0.2884,lso,1994
0.2823,lso,1995
0.2754,lso,1996
0.2681,lso,1997
0.26,lso,1998
0.2529,lso,1999
0.247,lso,2000
0.2419,lso,2001
0.2375,lso,2002
0.2336,lso,2003
0.2304,lso,2004
0.2266,lso,2005
0.2236,lso,2006
0.2207,lso,2007
0.2177,lso,2008
0.7773,lbr,1985
0.8103,lbr,1989
0.9469,lbr,1990
0.611,lbr,1991
0.2539,lbr,1992
2.745,lbr,1995
2.718,lbr,1996
2.499,lbr,1997
1.449,lbr,1998
0.5044,lbr,1999
1.336,lbr,2000
1.275,lbr,2001
1.229,lbr,2002
1.196,lbr,2003
0.0,lbr,2004
1.119,lbr,2005
0.143,lbr,2006
0.1364,lbr,2007
0.13,lbr,2008
7.782,lby,1985
7.795,lby,1989
7.323,lby,1990
7.121,lby,1991
6.716,lby,1992
6.41,lby,1993
5.78,lby,1994
5.49,lby,1995
4.275,lby,1996
4.083,lby,1997
3.896,lby,1998
3.727,lby,1999
4.177,lby,2000
4.029,lby,2001
3.89,lby,2002
3.742,lby,2003
3.616,lby,2004
3.522,lby,2005
3.439,lby,2006
3.374,lby,2007
3.312,lby,2008
0.5344,ltu,1992
0.5409,ltu,1993
0.5494,ltu,1994
0.4973,ltu,1995
0.5627,ltu,1996
0.5805,ltu,1997
0.8775,ltu,1998
0.9342,ltu,1999
0.9861,ltu,2000
1.042,ltu,2001
1.664,ltu,2002
1.597,ltu,2003
1.713,ltu,2004
1.806,ltu,2005
1.51,ltu,2006
1.498,ltu,2007
1.488,ltu,2008
0.4505,lux,1985
0.6299,lux,1989
0.625,lux,1990
0.6033,lux,1991
0.5862,lux,1992
0.5872,lux,1993
0.5826,lux,1994
0.8331,lux,1995
0.8154,lux,1996
0.7808,lux,1997
0.7695,lux,1998
0.7706,lux,1999
0.7424,lux,2000
0.7907,lux,2001
0.7677,lux,2002
0.7636,lux,2003
0.7441,lux,2004
0.7211,lux,2005
0.7046,lux,2006
0.6974,lux,2007
0.7313,lux,2008
1.226,mkd,1992
1.228,mkd,1993
1.229,mkd,1994
2.198,mkd,1995
2.191,mkd,1996
2.802,mkd,1997
3.359,mkd,1998
2.849,mkd,1999
2.836,mkd,2000
3.067,mkd,2001
2.345,mkd,2002
2.37,mkd,2003
2.04,mkd,2004
2.203,mkd,2005
2.142,mkd,2006
2.107,mkd,2007
2.101,mkd,2008
0.4568,mdg,1985
0.4039,mdg,1989
0.3917,mdg,1990
0.3787,mdg,1991
0.3669,mdg,1992
0.3555,mdg,1993
0.3443,mdg,1994
0.4536,mdg,1995
0.4399,mdg,1996
0.4274,mdg,1997
0.4154,mdg,1998
0.4039,mdg,1999
0.3919,mdg,2000
0.2885,mdg,2001
0.2786,mdg,2002
0.2705,mdg,2003
0.2549,mdg,2004
0.2588,mdg,2005
0.2428,mdg,2007
0.2352,mdg,2008
0.1674,mwi,1985
0.1866,mwi,1989
0.1787,mwi,1990
0.1982,mwi,1991
0.2429,mwi,1992
0.2397,mwi,1993
0.2366,mwi,1994
0.2207,mwi,1995
0.245,mwi,1996
0.1322,mwi,1997
0.1283,mwi,1998
0.1246,mwi,1999
0.1211,mwi,2000
0.1335,mwi,2001
0.1299,mwi,2002
0.1269,mwi,2003
0.1093,mwi,2004
0.1241,mwi,2005
0.1211,mwi,2006
0.1178,mwi,2007
0.1146,mwi,2008
1.92,mys,1985
1.718,mys,1989
1.856,mys,1990
1.77,mys,1991
1.716,mys,1992
1.498,mys,1993
1.454,mys,1994
1.72,mys,1995
1.665,mys,1996
1.512,mys,1997
1.445,mys,1998
1.348,mys,1999
1.194,mys,2000
1.206,mys,2001
1.172,mys,2002
1.183,mys,2003
1.211,mys,2004
1.229,mys,2005
1.195,mys,2006
1.168,mys,2007
1.142,mys,2008
6.212,mdv,1998
5.894,mdv,1999
5.586,mdv,2000
0.2099,mli,1985
0.326,mli,1989
0.5212,mli,1990
0.5127,mli,1991
0.4672,mli,1992
0.4594,mli,1993
0.4516,mli,1994
0.563,mli,1995
0.5539,mli,1996
0.5439,mli,1997
0.5343,mli,1998
0.5257,mli,1999
0.5136,mli,2000
0.5028,mli,2001
0.4885,mli,2002
0.3813,mli,2003
0.3338,mli,2004
0.3544,mli,2005
0.3446,mli,2006
0.3353,mli,2007
0.327,mli,2008
0.6413,mlt,1985
1.555,mlt,1989
1.535,mlt,1990
1.529,mlt,1991
1.517,mlt,1992
1.487,mlt,1993
1.479,mlt,1994
1.355,mlt,1995
1.386,mlt,1996
1.337,mlt,1997
1.292,mlt,1998
1.254,mlt,1999
1.346,mlt,2000
1.309,mlt,2001
1.296,mlt,2002
1.286,mlt,2003
1.234,mlt,2004
1.212,mlt,2005
1.194,mlt,2006
1.163,mlt,2007
1.144,mlt,2008
1.318,mrt,1985
2.233,mrt,1989
2.302,mrt,1990
2.234,mrt,1991
2.039,mrt,1992
1.979,mrt,1993
1.314,mrt,1994
2.4,mrt,1995
2.322,mrt,1996
2.23,mrt,1997
2.152,mrt,1998
2.08,mrt,1999
2.008,mrt,2000
1.927,mrt,2001
1.865,mrt,2002
1.799,mrt,2003
1.68,mrt,2004
1.704,mrt,2005
1.656,mrt,2006
1.601,mrt,2007
1.551,mrt,2008
0.2483,mus,1985
0.2287,mus,1989
0.2246,mus,1990
0.2206,mus,1991
0.2164,mus,1992
0.2121,mus,1993
0.208,mus,1994
0.3692,mus,1995
0.3634,mus,1996
0.3568,mus,1997
0.3516,mus,1998
0.3452,mus,1999
0.3406,mus,2000
0.298,mus,2001
0.372,mus,2002
0.3708,mus,2003
0.0,mus,2004
0.3634,mus,2005
0.3574,mus,2007
0.3495,mus,2008
0.5156,mex,1985
0.5313,mex,1989
0.5847,mex,1990
0.567,mex,1991
0.5448,mex,1992
0.5241,mex,1993
0.5122,mex,1994
0.539,mex,1995
0.5291,mex,1996
0.5046,mex,1997
0.4954,mex,1998
0.5002,mex,1999
0.5258,mex,2000
0.5119,mex,2001
0.5024,mex,2002
0.4972,mex,2003
0.4764,mex,2004
0.4712,mex,2005
0.6255,mex,2006
0.6265,mex,2007
0.6123,mex,2008
0.4303,mda,1992
0.6254,mda,1993
0.534,mda,1994
0.7507,mda,1995
0.7614,mda,1996
0.7306,mda,1997
0.7454,mda,1998
0.7403,mda,1999
0.6947,mda,2000
0.6409,mda,2001
0.6013,mda,2002
0.6179,mda,2003
0.5712,mda,2004
0.6717,mda,2005
0.5396,mda,2006
0.6082,mda,2007
0.5415,mda,2008
4.179,mng,1985
3.76,mng,1989
3.547,mng,1990
3.335,mng,1991
2.197,mng,1992
1.847,mng,1993
1.82,mng,1994
3.103,mng,1995
3.273,mng,1996
1.424,mng,1997
1.586,mng,1998
1.48,mng,1999
1.437,mng,2000
1.396,mng,2001
1.354,mng,2002
1.272,mng,2003
1.171,mng,2004
1.214,mng,2005
1.187,mng,2006
1.163,mng,2007
1.212,mng,2008
2.187,mar,1985
2.558,mar,1989
2.487,mar,1990
2.434,mar,1991
2.349,mar,1992
2.276,mar,1993
2.238,mar,1994
2.62,mar,1995
2.553,mar,1996
2.489,mar,1997
2.427,mar,1998
2.35,mar,1999
2.354,mar,2000
2.441,mar,2001
2.405,mar,2002
2.31,mar,2003
2.276,mar,2004
2.257,mar,2005
2.174,mar,2006
2.125,mar,2007
2.086,mar,2008
0.2446,moz,1985
1.051,moz,1989
1.038,moz,1990
1.01,moz,1991
0.7423,moz,1992
0.706,moz,1993
0.1481,moz,1994
0.1548,moz,1995
0.1371,moz,1996
0.0739,moz,1997
0.072,moz,1998
0.0703,moz,1999
0.0684,moz,2000
0.1206,moz,2001
0.1177,moz,2002
0.0855,moz,2003
0.1121,moz,2004
0.1095,moz,2005
0.1072,moz,2006
0.1047,moz,2007
0.1023,moz,2008
1.037,mmr,1985
0.9907,mmr,1989
1.113,mmr,1990
1.348,mmr,1991
1.323,mmr,1992
1.46,mmr,1993
1.43,mmr,1994
1.617,mmr,1995
1.731,mmr,1996
1.789,mmr,1997
1.775,mmr,1998
1.723,mmr,1999
1.703,mmr,2000
1.747,mmr,2001
2.125,mmr,2002
2.31,mmr,2003
1.863,mmr,2004
1.853,mmr,2005
1.955,mmr,2006
1.938,mmr,2007
1.913,mmr,2008
1.723,nam,1991
1.666,nam,1992
1.611,nam,1993
1.565,nam,1994
1.563,nam,1995
1.556,nam,1996
1.097,nam,1997
1.63,nam,1998
1.569,nam,1999
1.515,nam,2000
2.418,nam,2001
2.353,nam,2002
2.29,nam,2003
2.235,nam,2004
2.173,nam,2005
2.11,nam,2006
2.04,nam,2007
1.973,nam,2008
0.3797,npl,1985
0.477,npl,1989
0.4638,npl,1990
0.4508,npl,1991
0.4386,npl,1992
0.4265,npl,1993
0.414,npl,1994
0.7233,npl,1995
0.7908,npl,1996
0.929,npl,1997
0.9428,npl,1998
0.9142,npl,1999
0.8864,npl,2000
0.8212,npl,2001
0.8449,npl,2002
0.9284,npl,2003
1.146,npl,2004
1.113,npl,2005
1.078,npl,2006
1.046,npl,2007
1.013,npl,2008
1.643,nld,1985
1.581,nld,1989
1.508,nld,1990
1.485,nld,1991
1.267,nld,1992
1.199,nld,1993
1.054,nld,1994
1.058,nld,1995
0.8929,nld,1996
0.7923,nld,1997
0.7789,nld,1998
0.7541,nld,1999
0.701,nld,2000
0.67,nld,2001
0.6274,nld,2002
0.7067,nld,2003
0.6207,nld,2004
0.6992,nld,2005
0.532,nld,2006
0.4658,nld,2007
0.5261,nld,2008
0.7465,nzl,1985
0.7246,nzl,1989
0.6511,nzl,1990
0.6425,nzl,1991
0.6405,nzl,1992
0.6332,nzl,1993
0.561,nzl,1994
0.5541,nzl,1995
0.5257,nzl,1996
0.5035,nzl,1997
0.5019,nzl,1998
0.497,nzl,1999
0.4754,nzl,2000
0.4658,nzl,2001
0.4278,nzl,2002
0.4151,nzl,2003
0.3757,nzl,2004
0.4115,nzl,2005
0.4015,nzl,2006
0.3942,nzl,2007
0.3892,nzl,2008
5.461,nic,1985
4.903,nic,1989
2.034,nic,1990
1.412,nic,1991
1.033,nic,1992
1.009,nic,1993
0.9203,nic,1994
0.7712,nic,1995
1.069,nic,1996
1.029,nic,1997
0.9893,nic,1998
0.8981,nic,1999
0.8645,nic,2000
0.8416,nic,2001
0.7177,nic,2002
0.7001,nic,2003
0.683,nic,2004
0.6674,nic,2005
0.651,nic,2006
0.6319,nic,2007
0.5266,nic,2008
0.1114,ner,1985
0.1801,ner,1989
0.2164,ner,1990
0.2081,ner,1991
0.1999,ner,1992
0.1918,ner,1993
0.184,ner,1994
0.377,ner,1995
0.3603,ner,1996
0.3443,ner,1997
0.3291,ner,1998
0.3148,ner,1999
0.3013,ner,2000
0.2896,ner,2001
0.2802,ner,2002
0.2716,ner,2003
0.2453,ner,2004
0.2381,ner,2005
0.231,ner,2006
0.2241,ner,2007
0.2177,ner,2008
0.3593,nga,1985
0.3734,nga,1989
0.3202,nga,1990
0.312,nga,1991
0.2452,nga,1992
0.2383,nga,1993
0.2434,nga,1994
0.2634,nga,1995
0.256,nga,1996
0.2982,nga,1997
0.2894,nga,1998
0.3254,nga,1999
0.2713,nga,2000
0.3971,nga,2001
0.3858,nga,2002
0.3762,nga,2003
0.3659,nga,2004
0.3586,nga,2005
0.3515,nga,2006
0.3425,nga,2007
0.3332,nga,2008
1.713,nor,1985
1.938,nor,1989
2.3,nor,1990
1.878,nor,1991
1.649,nor,1992
1.467,nor,1993
1.5,nor,1994
1.375,nor,1995
1.343,nor,1996
1.462,nor,1997
1.208,nor,1998
1.294,nor,1999
1.117,nor,2000
1.097,nor,2001
1.083,nor,2002
1.092,nor,2003
1.022,nor,2004
1.914,nor,2005
0.6422,nor,2006
0.7431,nor,2007
0.7205,nor,2008
6.642,omn,1985
5.418,omn,1989
5.61,omn,1990
4.775,omn,1991
5.395,omn,1992
5.046,omn,1993
4.757,omn,1994
6.216,omn,1995
5.98,omn,1996
5.819,omn,1997
5.688,omn,1998
5.543,omn,1999
5.446,omn,2000
5.338,omn,2001
5.036,omn,2002
4.929,omn,2003
4.713,omn,2004
4.705,omn,2005
4.695,omn,2006
4.58,omn,2007
4.466,omn,2008
1.773,pak,1985
1.724,pak,1989
1.776,pak,1990
1.78,pak,1991
1.783,pak,1992
1.76,pak,1993
1.701,pak,1994
2.467,pak,1995
2.337,pak,1996
2.238,pak,1997
2.169,pak,1998
2.088,pak,1999
2.164,pak,2000
2.12,pak,2001
2.056,pak,2002
1.969,pak,2003
1.915,pak,2004
1.819,pak,2005
1.735,pak,2006
1.692,pak,2007
1.649,pak,2008
1.521,pan,1985
1.546,pan,1989
1.186,pan,1990
1.263,pan,1991
1.109,pan,1992
1.061,pan,1993
1.029,pan,1994
1.054,pan,1995
1.026,pan,1996
1.002,pan,1997
0.964,pan,1998
0.9459,pan,1999
0.9225,pan,2000
0.9,pan,2001
0.8796,pan,2002
0.8572,pan,2003
0.0,pan,2004
0.8241,pan,2005
0.8183,pan,2006
0.7953,pan,2007
0.7502,pan,2008
0.2147,png,1985
0.1775,png,1989
0.2282,png,1990
0.223,png,1991
0.2188,png,1992
0.2102,png,1994
0.193,png,1995
0.1835,png,1996
0.2061,png,1997
0.1992,png,1998
0.1936,png,1999
0.1919,png,2000
0.186,png,2001
0.1273,png,2002
0.1237,png,2003
0.1165,png,2004
0.1135,png,2005
0.1104,png,2006
0.1078,png,2007
0.1051,png,2008
1.005,pry,1985
0.9828,pry,1989
0.9517,pry,1990
0.9215,pry,1991
0.8938,pry,1992
0.8668,pry,1993
0.8416,pry,1994
1.445,pry,1995
1.739,pry,1996
1.696,pry,1997
1.65,pry,1998
1.589,pry,1999
1.536,pry,2000
1.421,pry,2001
1.376,pry,2002
1.334,pry,2003
0.9304,pry,2004
0.9399,pry,2005
0.9484,pry,2006
0.9206,pry,2007
0.8854,pry,2008
1.768,per,1985
1.376,per,1989
1.505,per,1990
1.433,per,1991
1.258,per,1992
1.22,per,1993
1.19,per,1994
1.835,per,1995
1.944,per,1996
1.985,per,1997
1.922,per,1998
1.776,per,1999
1.727,per,2000
1.539,per,2001
1.586,per,2002
1.464,per,2003
1.27,per,2004
1.244,per,2005
1.539,per,2006
1.512,per,2007
1.436,per,2008
0.5538,phl,1985
0.4779,phl,1989
0.4523,phl,1990
0.4319,phl,1991
0.4172,phl,1992
0.4086,phl,1993
0.3867,phl,1994
0.5305,phl,1995
0.5208,phl,1996
0.5182,phl,1997
0.524,phl,1998
0.4877,phl,1999
0.4717,phl,2000
0.4567,phl,2001
0.4432,phl,2002
0.4331,phl,2003
0.4139,phl,2004
0.4137,phl,2005
0.4078,phl,2006
0.399,phl,2007
0.3881,phl,2008
1.747,pol,1985
1.921,pol,1989
1.732,pol,1990
1.702,pol,1991
1.516,pol,1992
1.459,pol,1993
1.444,pol,1994
1.733,pol,1995
1.568,pol,1996
1.535,pol,1997
1.527,pol,1998
1.535,pol,1999
1.369,pol,2000
1.296,pol,2001
1.061,pol,2002
1.064,pol,2003
0.9377,pol,2004
0.9224,pol,2005
0.8528,pol,2006
0.8166,pol,2007
0.8102,pol,2008
1.566,prt,1985
2.194,prt,1989
1.834,prt,1990
1.757,prt,1991
1.676,prt,1992
1.421,prt,1993
2.528,prt,1994
2.152,prt,1995
2.128,prt,1996
2.013,prt,1997
1.846,prt,1998
1.757,prt,1999
1.735,prt,2000
1.692,prt,2001
1.663,prt,2002
1.698,prt,2003
1.665,prt,2004
1.682,prt,2005
1.631,prt,2006
1.621,prt,2007
1.617,prt,2008
2.918,qat,1985
2.71,qat,1989
4.069,qat,1990
3.934,qat,1991
2.789,qat,1992
2.716,qat,1993
3.325,qat,1994
3.633,qat,1995
3.826,qat,1996
3.829,qat,1997
3.763,qat,1998
3.62,qat,1999
3.555,qat,2000
3.269,qat,2001
2.998,qat,2002
2.683,qat,2003
2.303,qat,2004
2.009,qat,2005
1.744,qat,2006
1.513,qat,2007
1.334,qat,2008
1.667,rou,1985
1.777,rou,1989
1.071,rou,1990
1.695,rou,1991
1.461,rou,1992
1.692,rou,1993
1.684,rou,1994
2.495,rou,1995
2.584,rou,1996
2.553,rou,1997
2.494,rou,1998
2.381,rou,1999
2.392,rou,2000
1.557,rou,2001
1.724,rou,2002
1.748,rou,2003
1.74,rou,2004
1.797,rou,2005
1.533,rou,2006
1.529,rou,2007
1.537,rou,2008
2.559,rus,1992
2.039,rus,1993
1.92,rus,1994
2.492,rus,1995
2.27,rus,1996
2.556,rus,1997
2.385,rus,1998
2.082,rus,1999
1.974,rus,2000
1.899,rus,2001
1.9,rus,2002
1.857,rus,2003
1.965,rus,2004
1.952,rus,2005
1.925,rus,2006
1.939,rus,2007
1.941,rus,2008
0.1869,rwa,1985
0.1867,rwa,1989
0.1881,rwa,1990
0.9817,rwa,1991
1.059,rwa,1992
1.154,rwa,1993
1.221,rwa,1994
1.953,rwa,1995
1.585,rwa,1996
2.235,rwa,1997
1.741,rwa,1998
1.573,rwa,1999
2.049,rwa,2000
2.019,rwa,2001
1.97,rwa,2002
1.461,rwa,2003
1.238,rwa,2004
1.205,rwa,2005
0.7496,rwa,2007
0.7269,rwa,2008
2.88,stp,1989
2.821,stp,1990
2.772,stp,1991
2.702,stp,1992
2.637,stp,1993
2.572,stp,1994
2.506,stp,1995
2.436,stp,1996
2.362,stp,1997
2.292,stp,1998
2.224,stp,1999
1.625,sau,1985
1.685,sau,1989
2.894,sau,1990
3.717,sau,1991
3.281,sau,1992
3.182,sau,1993
2.936,sau,1994
3.076,sau,1995
2.996,sau,1996
2.881,sau,1997
2.779,sau,1998
2.67,sau,1999
3.145,sau,2000
3.026,sau,2001
2.876,sau,2002
2.778,sau,2003
2.673,sau,2004
2.604,sau,2005
2.8,sau,2006
2.691,sau,2007
2.618,sau,2008
0.3853,sen,1985
0.5087,sen,1989
0.5923,sen,1990
0.5751,sen,1991
0.5585,sen,1992
0.5424,sen,1993
0.4097,sen,1994
0.4951,sen,1995
0.4799,sen,1996
0.4644,sen,1997
0.4416,sen,1998
0.429,sen,1999
0.3766,sen,2000
0.3702,sen,2001
0.3491,sen,2002
0.4145,sen,2003
0.3892,sen,2004
0.3981,sen,2005
0.3858,sen,2006
