armed_forces_personnel_percent_of_labor_force,geo,time
3.744,blr,2005
3.737,blr,2006
3.724,blr,2007
3.712,blr,2008
2.303,bel,1985
2.795,bel,1989
2.687,bel,1990
2.502,bel,1991
1.94,bel,1992
1.708,bel,1993
1.274,bel,1994
1.127,bel,1995
1.103,bel,1996
1.053,bel,1997
1.028,bel,1998
0.956,bel,1999
0.8915,bel,2000
0.9144,bel,2001
0.8994,bel,2002
0.9277,bel,2003
0.8032,bel,2004
0.7987,bel,2005
0.8602,bel,2006
0.8226,bel,2007
0.8156,bel,2008
1.105,blz,1985
1.639,blz,1989
1.584,blz,1990
1.54,blz,1991
1.503,blz,1992
1.455,blz,1993
1.406,blz,1994
1.494,blz,1995
1.443,blz,1996
1.313,blz,1997
1.251,blz,1998
1.21,blz,1999
1.217,blz,2000
1.163,blz,2001
1.112,blz,2002
1.059,blz,2003
0.9178,blz,2004
0.8746,blz,2005
0.8342,blz,2006
0.795,blz,2007
0.7584,blz,2008
0.2767,ben,1985
0.2733,ben,1989
0.3168,ben,1990
0.3558,ben,1991
0.3411,ben,1992
0.374,ben,1993
0.3594,ben,1994
0.3165,ben,1995
0.3065,ben,1996
0.298,ben,1997
0.2899,ben,1998
0.2817,ben,1999
0.2735,ben,2000
0.2648,ben,2001
0.2489,ben,2002
0.239,ben,2003
0.1942,ben,2004
0.2489,ben,2005
0.2315,ben,2007
0.2234,ben,2008
1.887,btn,1985
2.971,btn,1992
3.098,btn,1993
3.215,btn,1994
2.62,btn,1995
3.26,btn,1996
3.829,btn,1997
4.296,btn,1998
4.07,btn,1999
3.28,btn,2000
1.144,bol,1985
1.115,bol,1989
1.088,bol,1990
1.167,bol,1991
1.101,bol,1992
1.075,bol,1993
0.917,bol,1994
2.046,bol,1995
1.992,bol,1996
2.138,bol,1997
2.084,bol,1998
2.005,bol,1999
1.959,bol,2000
1.876,bol,2001
1.828,bol,2002
1.779,bol,2003
1.718,bol,2004
1.725,bol,2005
1.991,bol,2006
1.933,bol,2007
1.882,bol,2008
3.499,bih,1992
4.62,bih,1994
5.989,bih,1995
13.9,bih,1996
5.127,bih,1997
4.946,bih,1998
4.776,bih,1999
4.109,bih,2000
1.273,bih,2001
1.039,bih,2002
0.9798,bih,2003
1.246,bih,2004
0.6199,bih,2005
0.4633,bih,2006
0.4628,bih,2007
0.4628,bih,2008
0.8907,bwa,1985
1.155,bwa,1989
1.11,bwa,1990
1.242,bwa,1991
1.19,bwa,1992
1.139,bwa,1993
1.093,bwa,1994
1.273,bwa,1995
1.224,bwa,1996
1.178,bwa,1997
1.269,bwa,1998
1.291,bwa,1999
1.252,bwa,2000
1.217,bwa,2001
1.248,bwa,2002
1.218,bwa,2003
1.135,bwa,2004
1.219,bwa,2005
1.189,bwa,2006
1.162,bwa,2007
1.132,bwa,2008
0.5098,bra,1985
0.5233,bra,1989
0.4711,bra,1990
0.4474,bra,1991
0.4261,bra,1992
0.4166,bra,1993
0.4055,bra,1994
0.909,bra,1995
0.9099,bra,1996
0.9045,bra,1997
0.8816,bra,1998
0.8257,bra,1999
0.8074,bra,2000
0.7931,bra,2001
0.7685,bra,2002
0.753,bra,2003
0.7471,bra,2004
0.7121,bra,2005
0.777,bra,2006
0.7366,bra,2007
0.7214,bra,2008
4.788,brn,1985
3.821,brn,1989
3.649,brn,1990
3.498,brn,1991
3.375,brn,1992
3.26,brn,1993
3.944,brn,1994
6.865,brn,1995
6.713,brn,1996
6.45,brn,1997
6.234,brn,1998
5.837,brn,1999
5.687,brn,2000
6.085,brn,2001
6.528,brn,2002
6.35,brn,2003
5.775,brn,2004
6.182,brn,2005
4.924,brn,2006
4.801,brn,2007
4.684,brn,2008
3.255,bgr,1985
3.559,bgr,1989
3.148,bgr,1990
2.66,bgr,1991
2.504,bgr,1992
1.333,bgr,1993
2.072,bgr,1994
3.557,bgr,1995
3.636,bgr,1996
3.622,bgr,1997
3.669,bgr,1998
3.146,bgr,1999
3.196,bgr,2000
3.218,bgr,2001
2.983,bgr,2002
2.523,bgr,2003
2.481,bgr,2004
2.521,bgr,2005
2.142,bgr,2006
2.091,bgr,2007
2.043,bgr,2008
0.1171,bfa,1985
0.2111,bfa,1989
0.257,bfa,1990
0.25,bfa,1991
0.2185,bfa,1992
0.2124,bfa,1993
0.2062,bfa,1994
0.2296,bfa,1995
0.2234,bfa,1996
0.2107,bfa,1997
0.2097,bfa,1998
0.2046,bfa,1999
0.2166,bfa,2000
0.2627,bfa,2001
0.2564,bfa,2002
0.257,bfa,2003
0.1693,bfa,2004
0.1792,bfa,2005
0.1679,bfa,2007
0.1629,bfa,2008
0.2119,bdi,1985
0.3995,bdi,1989
0.4273,bdi,1990
0.4199,bdi,1991
0.4486,bdi,1992
0.443,bdi,1993
0.5733,bdi,1994
0.4881,bdi,1995
0.7314,bdi,1996
0.7289,bdi,1997
1.434,bdi,1998
1.481,bdi,1999
1.45,bdi,2000
1.573,bdi,2001
1.514,bdi,2002
1.588,bdi,2003
2.195,bdi,2004
2.122,bdi,2005
1.207,bdi,2007
1.158,bdi,2008
0.9401,khm,1985
2.357,khm,1989
2.584,khm,1990
2.52,khm,1991
2.963,khm,1992
2.181,khm,1993
1.461,khm,1994
6.259,khm,1995
6.053,khm,1996
6.844,khm,1997
6.567,khm,1998
6.317,khm,1999
6.099,khm,2000
3.377,khm,2001
3.019,khm,2002
2.913,khm,2003
2.813,khm,2004
2.738,khm,2005
2.672,khm,2006
2.609,khm,2007
2.536,khm,2008
0.1968,cmr,1985
0.4997,cmr,1989
0.5283,cmr,1990
0.5331,cmr,1991
0.2578,cmr,1992
0.2493,cmr,1993
0.2411,cmr,1994
0.4599,cmr,1995
0.4171,cmr,1996
0.4045,cmr,1997
0.3923,cmr,1998
0.3802,cmr,1999
0.3686,cmr,2000
0.5041,cmr,2001
0.5053,cmr,2002
0.4909,cmr,2003
0.3423,cmr,2004
0.3323,cmr,2005
0.3143,cmr,2007
0.3058,cmr,2008
0.6244,can,1985
0.6063,can,1989
0.5909,can,1990
0.5803,can,1991
0.5547,can,1992
0.5106,can,1993
0.5002,can,1994
0.503,can,1995
0.5249,can,1996
0.4703,can,1997
0.445,can,1998
0.437,can,1999
0.4213,can,2000
0.4004,can,2001
0.3629,can,2002
0.3543,can,2003
0.4035,can,2004
0.3999,can,2005
0.3555,can,2006
0.3486,can,2007
0.343,can,2008
7.333,cpv,1985
2.684,cpv,1989
0.8753,cpv,1990
0.8539,cpv,1991
0.8302,cpv,1992
0.8052,cpv,1993
0.7801,cpv,1994
0.8692,cpv,1995
0.8409,cpv,1996
0.8136,cpv,1997
0.7884,cpv,1998
0.7957,cpv,1999
0.7693,cpv,2000
0.8031,cpv,2001
0.7752,cpv,2002
0.7473,cpv,2003
0.5536,cpv,2004
0.5344,cpv,2005
0.4994,cpv,2007
0.4833,cpv,2008
0.1948,caf,1985
0.3931,caf,1989
0.3073,caf,1990
0.2995,caf,1991
0.2901,caf,1992
0.2814,caf,1993
0.2735,caf,1994
0.3324,caf,1995
0.323,caf,1996
0.3146,caf,1997
0.304,caf,1998
0.2999,caf,1999
0.3171,caf,2000
0.2413,caf,2001
0.2001,caf,2002
0.1986,caf,2003
0.1081,caf,2004
0.1589,caf,2005
0.1521,caf,2007
0.1487,caf,2008
0.5882,tcd,1985
1.425,tcd,1989
2.093,tcd,1990
2.037,tcd,1991
1.508,tcd,1992
1.144,tcd,1993
1.485,tcd,1994
1.254,tcd,1995
1.215,tcd,1996
1.178,tcd,1997
1.143,tcd,1998
1.104,tcd,1999
1.056,tcd,2000
1.032,tcd,2001
0.9975,tcd,2002
0.9632,tcd,2003
0.9202,tcd,2004
0.919,tcd,2005
0.8612,tcd,2007
0.8358,tcd,2008
2.311,chl,1985
1.932,chl,1989
1.899,chl,1990
1.769,chl,1991
1.737,chl,1992
1.666,chl,1993
1.813,chl,1994
2.31,chl,1995
2.113,chl,1996
2.145,chl,1997
2.069,chl,1998
2.005,chl,1999
1.916,chl,2000
1.975,chl,2001
1.873,chl,2002
1.778,chl,2003
1.73,chl,2004
1.713,chl,2005
1.478,chl,2006
1.417,chl,2007
1.341,chl,2008
0.6768,chn,1985
0.6176,chn,1989
0.5435,chn,1990
0.4889,chn,1991
0.4765,chn,1992
0.4515,chn,1993
0.4314,chn,1994
0.6007,chn,1995
0.5948,chn,1996
0.5175,chn,1997
0.5374,chn,1998
0.5316,chn,1999
0.5386,chn,2000
0.519,chn,2001
0.5083,chn,2002
0.5011,chn,2003
0.4977,chn,2004
0.4937,chn,2005
0.4703,chn,2006
0.3742,chn,2007
0.3714,chn,2008
0.6996,col,1985
0.8402,col,1989
0.9855,col,1990
0.9528,col,1991
1.169,col,1992
1.132,col,1993
1.157,col,1994
1.799,col,1995
1.743,col,1996
1.696,col,1997
1.645,col,1998
1.572,col,1999
1.634,col,2000
1.686,col,2001
1.638,col,2002
1.849,col,2003
1.989,col,2004
1.941,col,2005
2.247,col,2006
2.273,col,2007
2.216,col,2008
0.4144,cod,1985
0.3933,cod,1989
0.4092,cod,1990
0.4294,cod,1991
0.3089,cod,1992
0.2629,cod,1993
0.2532,cod,1994
0.3994,cod,1995
0.3888,cod,1996
0.4479,cod,1997
0.4941,cod,1998
0.5147,cod,1999
0.4993,cod,2000
0.4244,cod,2001
0.4115,cod,2002
0.4785,cod,2003
0.3034,cod,2004
0.2982,cod,2005
0.6147,cod,2007
0.6284,cod,2008
1.051,cog,1985
1.582,cog,1989
0.9182,cog,1990
0.8882,cog,1991
0.9561,cog,1992
0.9249,cog,1993
0.8971,cog,1994
1.462,cog,1995
1.288,cog,1996
1.265,cog,1997
1.244,cog,1998
1.219,cog,1999
1.194,cog,2000
0.9312,cog,2001
0.9036,cog,2002
0.8744,cog,2003
0.8484,cog,2004
0.8275,cog,2005
0.7879,cog,2007
0.7717,cog,2008
1.384,cri,1985
0.7112,cri,1989
0.6869,cri,1990
0.6731,cri,1991
0.6637,cri,1992
0.6372,cri,1993
0.6122,cri,1994
1.186,cri,1995
