geo,males_aged_55plus_unemployment_rate_percent,time
aus,5.6,1986
aus,6.1,1987
aus,6.1,1988
aus,5.5,1989
aus,5.8,1990
aus,8.6,1991
aus,10.2,1992
aus,11.4,1993
aus,9.7,1994
aus,7.8,1995
aus,7.5,1996
aus,6.8,1997
aus,6.1,1998
aus,5.5,1999
aus,4.4,2000
aus,4.9,2001
aus,4.4,2002
aus,3.7,2003
aus,3.6,2004
aus,3.2,2005
can,4.3,1981
can,6.7,1982
can,7.7,1983
can,7.6,1984
can,7.9,1985
can,6.9,1986
can,6.2,1987
can,5.8,1988
can,5.9,1989
can,5.6,1990
can,7.6,1991
can,8.9,1992
can,9.5,1993
can,8.8,1994
can,7.7,1995
can,7.3,1996
can,6.9,1997
can,6.3,1998
can,5.8,1999
can,5.0,2000
can,5.5,2001
can,6.0,2002
can,6.3,2003
can,5.6,2004
can,5.1,2005
cze,3.1,1993
cze,3.5,1994
cze,2.5,1995
cze,3.5,1996
cze,3.1,1997
cze,3.4,1998
cze,4.7,1999
cze,5.0,2000
cze,4.4,2001
cze,3.5,2002
cze,4.1,2003
cze,5.0,2004
cze,4.5,2005
est,10.0,2000
est,8.3,2001
est,8.0,2002
est,7.7,2003
est,6.0,2004
est,6.0,2005
fin,4.2,1981
fin,4.1,1982
fin,4.4,1983
fin,5.8,1984
fin,5.2,1985
fin,5.2,1986
fin,3.9,1987
fin,4.1,1988
fin,1.6,1989
fin,2.3,1990
fin,4.9,1991
fin,11.1,1992
fin,14.7,1993
fin,18.6,1994
fin,19.8,1995
fin,19.0,1996
fin,13.7,1997
fin,12.1,1998
fin,10.1,1999
fin,8.5,2000
fin,8.8,2001
fin,8.1,2002
fin,7.3,2003
fin,7.0,2004
fin,6.6,2005
fra,4.4,1981
fra,4.9,1982
fra,5.1,1983
fra,5.8,1984
fra,6.7,1985
fra,6.9,1986
fra,7.2,1987
fra,7.0,1988
fra,6.3,1989
fra,5.7,1990
fra,6.1,1991
fra,7.3,1992
fra,7.8,1993
fra,8.0,1994
fra,7.8,1995
fra,8.5,1996
fra,8.7,1997
fra,8.4,1998
fra,8.0,1999
fra,6.6,2000
fra,5.6,2001
fra,6.3,2002
fra,7.0,2003
fra,6.8,2004
fra,6.7,2005
deu,6.1,1991
deu,7.5,1992
deu,9.2,1993
deu,9.9,1994
deu,10.0,1995
deu,12.0,1996
deu,13.2,1997
deu,12.7,1998
deu,12.7,1999
deu,11.1,2000
deu,11.2,2001
deu,10.4,2002
deu,11.7,2003
deu,12.3,2004
deu,11.3,2005
hkg,3.0,1985
hkg,2.3,1986
hkg,1.2,1987
hkg,0.7,1988
hkg,0.6,1989
hkg,0.8,1990
hkg,1.1,1991
hkg,1.4,1992
hkg,1.6,1993
hkg,1.6,1994
hkg,2.6,1995
hkg,2.0,1996
hkg,1.5,1997
hkg,3.6,1998
hkg,5.7,1999
hkg,5.2,2000
hkg,4.8,2001
hkg,8.0,2002
hkg,8.9,2003
hkg,9.0,2004
