geo,aged_15plus_labour_force_participation_rate_percent,time
aus,60.9,1982
aus,60.6,1983
aus,60.8,1984
aus,61.1,1985
aus,62.2,1986
aus,62.3,1987
aus,62.7,1988
aus,63.4,1989
aus,63.9,1990
aus,63.3,1991
aus,63.0,1992
aus,62.7,1993
aus,63.1,1994
aus,63.8,1995
aus,63.6,1996
aus,63.3,1997
aus,63.2,1998
aus,63.0,1999
aus,63.4,2000
aus,63.5,2001
aus,63.6,2002
aus,63.7,2003
aus,63.6,2004
aus,64.5,2005
aus,64.7,2006
aus,64.3,2007
aut,54.0,1980
aut,54.2,1981
aut,54.1,1982
aut,53.8,1983
aut,54.7,1984
aut,54.4,1985
aut,54.7,1986
aut,55.2,1987
aut,55.1,1988
aut,55.2,1989
aut,55.7,1990
aut,56.1,1991
aut,56.9,1992
aut,57.1,1993
aut,58.5,1994
aut,58.8,1995
aut,58.2,1996
aut,58.2,1997
aut,58.1,1998
aut,58.2,1999
aut,58.1,2000
aut,58.2,2001
aut,58.8,2002
aut,59.2,2003
aut,58.6,2004
aut,59.2,2005
aut,59.9,2006
aut,59.7,2007
aze,70.6,1980
aze,70.2,1981
aze,70.4,1982
aze,70.3,1983
aze,70.1,1984
aze,70.0,1985
aze,70.7,1986
aze,71.1,1987
aze,70.6,1988
aze,71.1,1989
aze,71.7,1990
aze,64.5,1991
aze,64.5,1992
aze,64.4,1993
aze,63.5,1994
aze,62.8,1995
aze,63.0,1996
aze,63.2,1997
aze,63.7,1998
aze,64.0,1999
aze,64.6,2000
aze,64.8,2001
aze,64.9,2002
aze,64.9,2003
aze,64.8,2004
aze,64.5,2005
aze,63.7,2006
aze,65.2,2007
bhs,67.8,1980
bhs,68.1,1981
bhs,68.5,1982
bhs,68.9,1983
bhs,69.4,1984
bhs,69.8,1985
