geo,colonandrectum_cancer_new_cases_per_100000_men,time
afg,5.2,2002
alb,28.1,2002
dza,5.5,2002
ago,4.3,2002
arg,30.1,2002
arm,8.5,2002
aus,47.4,2002
aut,42.1,2002
aze,5.7,2002
bhs,15.2,2002
bhr,12.3,2002
bgd,1.0,2002
brb,24.1,2002
blr,25.8,2002
bel,37.0,2002
blz,4.9,2002
ben,5.1,2002
btn,4.7,2002
bol,15.9,2002
bih,33.9,2002
bwa,6.2,2002
bra,14.4,2002
brn,15.7,2002
bgr,25.6,2002
bfa,4.0,2002
bdi,6.7,2002
khm,11.3,2002
cmr,4.3,2002
can,42.19,1983
can,42.71,1984
can,44.14,1985
can,43.35,1986
can,43.48,1987
can,43.32,1988
can,42.28,1989
can,42.07,1990
can,42.41,1991
can,43.34,1992
can,41.59,1993
can,42.38,1994
can,41.46,1995
can,41.36,1996
can,40.63,1997
can,42.2,2002
cpv,5.1,2002
caf,2.3,2002
tcd,2.3,2002
chl,15.8,2002
chn,13.6,2002
col,11.7,2002
com,6.7,2002
cod,1.0,2002
cog,4.2,2002
cri,9.81,1980
cri,6.83,1981
cri,8.58,1982
cri,6.46,1983
cri,7.92,1984
cri,8.81,1985
cri,7.06,1986
cri,7.59,1987
cri,7.73,1988
cri,7.44,1989
cri,8.69,1990
cri,8.86,1991
cri,9.04,1992
cri,8.97,1993
cri,10.37,1994
cri,10.54,1995
cri,12.39,1996
cri,11.01,1997
cri,11.6,2002
civ,3.7,2002
hrv,44.7,2002
cub,13.4,2002
cyp,23.1,2002
cze,37.66,1983
cze,37.57,1984
cze,41.29,1985
cze,42.69,1986
cze,42.82,1987
cze,47.03,1988
cze,46.69,1989
cze,45.71,1990
cze,51.19,1991
cze,50.26,1992
cze,52.0,1993
cze,53.3,1994
cze,54.09,1995
cze,55.33,1996
cze,59.81,1997
cze,58.5,2002
dnk,31.76,1953
dnk,31.36,1954
dnk,29.8,1955
dnk,29.34,1956
dnk,30.52,1957
dnk,31.54,1958
dnk,34.61,1959
dnk,31.82,1960
dnk,35.6,1961
dnk,32.18,1962
dnk,34.01,1963
dnk,32.28,1964
dnk,33.6,1965
dnk,32.02,1966
dnk,33.81,1967
dnk,34.83,1968
dnk,35.39,1969
dnk,34.41,1970
dnk,33.99,1971
dnk,35.19,1972
dnk,36.0,1973
dnk,36.41,1974
dnk,37.09,1975
dnk,38.36,1976
dnk,37.35,1977
dnk,38.13,1978
dnk,36.94,1979
dnk,35.96,1980
dnk,37.95,1981
dnk,36.34,1982
dnk,37.85,1983
dnk,37.58,1984
dnk,37.81,1985
dnk,37.69,1986
dnk,37.02,1987
dnk,39.11,1988
dnk,36.68,1989
dnk,36.32,1990
dnk,36.99,1991
dnk,38.87,1992
dnk,39.6,1993
dnk,38.55,1994
dnk,35.89,1995
dnk,37.95,1996
dnk,38.58,1997
dnk,41.0,2002
dji,6.7,2002
dom,11.6,2002
ecu,7.6,2002
egy,4.3,2002
slv,4.4,2002
gnq,2.3,2002
eri,6.7,2002
est,14.34,1968
est,14.3,1969
est,12.48,1970
est,12.13,1971
est,13.88,1972
est,15.97,1973
est,16.38,1974
est,20.68,1975
est,16.78,1976
est,16.76,1977
est,19.48,1978
est,18.42,1979
est,18.12,1980
est,19.88,1981
est,19.6,1982
est,21.46,1983
est,22.7,1984
est,25.24,1985
est,24.17,1986
est,24.76,1987
est,26.21,1988
est,24.0,1989
est,21.32,1990
est,28.17,1991
est,29.2,1992
est,27.43,1993
est,27.83,1994
est,32.08,1995
est,35.56,1996
est,29.09,1997
est,31.7,2002
eth,7.7,2002
fji,3.7,2002
fin,11.49,1953
fin,10.21,1954
fin,9.9,1955
fin,10.36,1956
fin,10.59,1957
fin,11.27,1958
fin,12.33,1959
fin,12.08,1960
fin,11.56,1961
fin,12.16,1962
fin,14.93,1963
fin,14.92,1964
fin,15.06,1965
fin,14.81,1966
fin,14.67,1967
fin,14.82,1968
fin,16.88,1969
fin,17.12,1970
fin,16.42,1971
fin,18.23,1972
fin,16.03,1973
fin,16.92,1974
fin,18.67,1975
fin,18.13,1976
fin,19.81,1977
fin,20.07,1978
fin,20.34,1979
fin,20.2,1980
fin,20.16,1981
fin,22.13,1982
fin,23.11,1983
fin,21.47,1984
fin,22.28,1985
fin,22.18,1986
fin,22.92,1987
fin,22.83,1988
fin,21.53,1989
fin,23.68,1990
fin,23.65,1991
fin,23.53,1992
