geo,family_workers_percent_of_labour_force,time
twn,8.6,1994
twn,8.5,1995
twn,8.4,1996
twn,8.0,1997
twn,7.7,1998
twn,7.7,1999
twn,7.5,2000
twn,7.3,2001
twn,7.4,2002
twn,7.3,2003
twn,7.0,2004
twn,6.7,2005
twn,6.4,2006
twn,6.2,2007
tza,3.8,2001
tza,11.4,2006
tha,39.6,1987
tha,42.6,1988
tha,42.7,1989
tha,40.6,1990
tha,37.8,1991
tha,38.4,1992
tha,34.3,1993
tha,34.0,1994
tha,31.2,1995
tha,28.9,1996
tha,30.3,1997
tha,29.8,1998
tha,27.1,1999
tha,26.9,2000
tha,24.7,2001
tha,25.6,2002
tha,24.6,2003
tha,22.2,2004
tha,21.6,2005
tha,21.5,2006
tha,21.4,2007
mkd,8.3,1998
mkd,10.3,1999
mkd,10.9,2000
mkd,14.4,2001
mkd,12.2,2002
mkd,11.4,2003
mkd,8.5,2004
mkd,10.4,2005
mkd,10.9,2006
mkd,10.1,2007
ton,31.1,1996
tto,5.0,1987
tto,5.0,1988
tto,4.8,1989
tto,3.8,1990
tto,3.4,1991
tto,3.6,1992
tto,3.8,1993
tto,3.7,1994
tto,3.2,1995
tto,2.3,1996
tto,2.2,1997
tto,1.9,1998
tto,1.8,1999
tto,1.4,2000
tto,1.1,2001
tto,1.0,2002
tto,1.0,2003
tto,0.9,2004
tto,0.9,2005
tun,8.9,1989
tun,0.9,1994
tun,7.8,1999
tun,7.4,2000
tun,7.9,2001
tun,7.1,2002
tun,8.7,2003
tur,30.2,1988
tur,31.3,1989
tur,30.1,1990
tur,32.2,1991
tur,29.8,1992
tur,27.2,1993
tur,28.8,1994
tur,28.5,1995
tur,28.4,1996
tur,25.6,1997
tur,25.0,1998
tur,26.5,1999
tur,21.6,2000
tur,22.6,2001
tur,20.9,2002
tur,19.6,2003
tur,19.7,2004
tur,16.0,2005
tur,14.6,2006
tur,14.1,2007
tuv,0.1,2002
uga,31.5,2002
uga,26.1,2003
ukr,0.2,1995
ukr,0.1,1996
ukr,0.3,1997
ukr,0.2,1998
ukr,1.0,1999
ukr,1.1,2000
ukr,1.3,2001
ukr,1.9,2002
ukr,1.6,2003
ukr,0.6,2004
ukr,0.5,2005
ukr,0.4,2006
ukr,0.4,2007
gbr,0.1,1983
gbr,1.4,1984
gbr,1.6,1985
gbr,1.7,1986
gbr,2.1,1987
gbr,2.1,1988
gbr,1.9,1989
gbr,1.8,1990
gbr,1.7,1991
gbr,0.7,1992
gbr,0.6,1993
gbr,0.6,1994
gbr,0.5,1995
gbr,0.5,1996
gbr,0.4,1997
gbr,0.4,1998
gbr,0.4,1999
gbr,0.4,2000
gbr,0.3,2001
gbr,0.3,2002
gbr,0.3,2003
gbr,0.4,2004
gbr,0.3,2005
gbr,0.3,2006
gbr,0.3,2007
usa,0.7,1980
usa,0.7,1981
usa,0.7,1982
usa,0.6,1983
usa,0.5,1984
usa,0.4,1985
usa,0.4,1986
usa,0.4,1987
usa,0.4,1988
usa,0.3,1989
usa,0.3,1990
usa,0.3,1991
usa,0.3,1992
usa,0.3,1993
usa,0.1,1994
usa,0.1,1995
usa,0.1,1996
usa,0.1,1997
usa,0.1,1998
usa,0.1,1999
usa,0.1,2000
usa,0.1,2001
usa,0.1,2002
usa,0.1,2003
usa,0.1,2004
usa,0.1,2005
usa,0.1,2006
usa,0.1,2007
ury,1.5,1998
ury,1.5,1999
ury,1.5,2000
ury,1.4,2001
ury,1.1,2002
ury,1.4,2003
ury,1.3,2005
ury,2.0,2006
ury,1.8,2007
ven,1.5,1994
ven,1.2,1995
ven,1.3,1996
ven,0.8,1997
ven,1.4,1998
ven,2.1,1999
ven,1.7,2000
ven,2.3,2001
ven,2.6,2002
ven,2.7,2003
ven,1.2,2006
ven,1.0,2007
vnm,45.8,1996
vnm,39.5,1997
vnm,37.8,1998
vnm,38.3,1999
vnm,37.0,2000
vnm,37.2,2001
vnm,37.9,2002
vnm,35.9,2003
vnm,32.7,2004
pse,12.1,1996
pse,9.9,1997
pse,8.0,1998
pse,7.9,1999
pse,9.6,2000
pse,9.2,2001
pse,10.3,2002
pse,11.4,2003
pse,11.1,2004
pse,10.1,2005
pse,11.1,2006
yem,0.3,1999
zmb,6.2,1980
zmb,37.4,1990
zmb,29.6,1991
zmb,27.0,1996
zmb,26.7,1998
zmb,41.6,2000
zmb,19.6,2003
zwe,18.4,1994
zwe,14.6,1997
zwe,14.9,1999
zwe,11.9,2002
