geo,infectious_tb_treatment_dots_completed_percent,time
gmb,76,1995
gmb,80,1996
gmb,70,1997
gmb,71,2001
gmb,74,2002
gmb,75,2003
gmb,86,2004
gmb,87,2005
gmb,58,2006
geo,58,1995
geo,65,1997
geo,78,1998
geo,61,1999
geo,63,2000
geo,67,2001
geo,65,2002
geo,66,2003
geo,68,2004
geo,73,2005
geo,75,2006
deu,54,1997
deu,54,1998
deu,58,1999
deu,77,2000
deu,67,2001
deu,69,2002
deu,71,2003
deu,68,2004
deu,71,2005
gha,54,1995
gha,51,1996
gha,48,1997
gha,59,1998
gha,55,1999
gha,50,2000
gha,56,2001
gha,60,2002
gha,66,2003
gha,72,2004
gha,73,2005
gha,76,2006
gum,94,1999
gum,93,2000
gum,71,2001
gum,68,2002
gum,96,2003
gum,100,2004
gum,85,2005
gum,90,2006
gtm,62,1994
gtm,61,1995
gtm,81,1996
gtm,73,1997
gtm,79,1998
gtm,81,1999
gtm,86,2000
gtm,85,2001
gtm,84,2002
gtm,91,2003
gtm,85,2004
gtm,47,2006
gin,78,1994
gin,78,1995
gin,75,1996
gin,74,1997
gin,73,1998
gin,74,1999
gin,68,2000
gin,74,2001
gin,72,2002
gin,75,2003
gin,72,2004
gin,72,2005
gin,75,2006
gnb,35,1999
gnb,51,2001
gnb,48,2002
gnb,80,2003
gnb,75,2004
gnb,69,2005
guy,91,1999
guy,91,2000
guy,90,2001
guy,85,2002
guy,57,2003
guy,72,2004
guy,67,2005
guy,68,2006
hti,73,1997
hti,79,1998
hti,70,1999
hti,73,2000
hti,75,2001
hti,78,2002
hti,78,2003
hti,80,2004
hti,81,2005
hti,82,2006
hnd,93,1998
hnd,88,1999
hnd,89,2000
hnd,86,2001
hnd,87,2002
hnd,87,2003
hnd,85,2004
hnd,88,2005
hnd,86,2006
hun,80,1998
hun,64,2000
hun,46,2001
hun,55,2002
hun,48,2003
hun,54,2004
hun,45,2005
hun,46,2006
isl,67,2001
isl,100,2002
isl,100,2003
isl,50,2004
isl,100,2005
ind,83,1994
ind,79,1995
ind,79,1996
ind,82,1997
ind,84,1998
ind,82,1999
ind,84,2000
ind,85,2001
ind,87,2002
ind,86,2003
ind,86,2004
ind,86,2005
ind,86,2006
idn,94,1994
idn,91,1995
idn,81,1996
idn,54,1997
idn,58,1998
idn,50,1999
idn,87,2000
idn,86,2001
idn,86,2002
idn,87,2003
idn,90,2004
idn,91,2005
idn,91,2006
irn,87,1996
irn,84,1997
irn,83,1998
irn,82,1999
irn,85,2000
irn,85,2001
irn,85,2002
irn,84,2003
irn,84,2004
irn,83,2005
irn,83,2006
irq,83,1998
irq,85,1999
irq,92,2000
irq,89,2001
irq,91,2002
irq,85,2003
irq,85,2004
irq,86,2005
irq,84,2006
isr,78,2000
isr,79,2001
isr,81,2002
isr,80,2003
isr,80,2004
isr,77,2005
isr,74,2006
ita,80,1995
ita,82,1996
ita,69,1997
ita,72,1998
ita,71,1999
ita,74,2000
ita,40,2001
ita,79,2002
ita,95,2003
ita,67,2005
jam,67,1995
jam,72,1996
jam,79,1997
jam,89,1998
jam,74,1999
jam,45,2000
jam,78,2001
jam,49,2002
jam,53,2003
jam,46,2004
jam,57,2005
jam,41,2006
jpn,76,1999
jpn,70,2000
jpn,75,2001
jpn,76,2002
jpn,76,2003
jpn,57,2004
jpn,60,2005
jpn,53,2006
jor,90,1994
jor,92,1998
jor,88,1999
jor,90,2000
jor,86,2001
jor,89,2002
jor,87,2003
jor,85,2004
jor,83,2005
jor,71,2006
kaz,79,1998
kaz,79,1999
kaz,79,2000
kaz,78,2001
kaz,78,2002
kaz,75,2003
kaz,72,2004
kaz,71,2005
kaz,72,2006
ken,73,1994
ken,75,1995
ken,77,1996
ken,65,1997
ken,77,1998
ken,78,1999
ken,80,2000
ken,80,2001
ken,79,2002
ken,80,2003
ken,80,2004
ken,82,2005
ken,85,2006
kir,83,1998
kir,88,1999
kir,91,2000
kir,86,2001
kir,94,2002
kir,88,2003
kir,94,2004
kir,93,2005
kir,90,2006
kwt,66,1999
kwt,69,2000
kwt,73,2001
kwt,55,2002
kwt,62,2003
kwt,63,2004
kwt,63,2005
kwt,78,2006
kgz,88,1996
kgz,76,1997
kgz,82,1998
kgz,83,1999
kgz,82,2000
kgz,81,2001
kgz,82,2002
kgz,84,2003
kgz,85,2004
kgz,85,2005
kgz,82,2006
lao,70,1995
lao,55,1996
lao,65,1997
lao,80,1998
lao,79,1999
lao,77,2000
lao,76,2001
lao,75,2002
lao,79,2003
lao,86,2004
lao,90,2005
lao,92,2006
lva,61,1995
lva,64,1996
lva,65,1997
lva,71,1998
lva,74,1999
lva,72,2000
lva,73,2001
lva,76,2002
lva,74,2003
lva,73,2004
lva,74,2005
lva,73,2006
lbn,89,1994
lbn,73,1998
lbn,96,1999
lbn,92,2000
lbn,91,2001
lbn,91,2002
lbn,92,2003
lbn,90,2004
lbn,92,2005
lbn,90,2006
lso,56,1994
lso,47,1995
lso,71,1996
lso,63,1997
lso,69,1999
lso,71,2001
lso,52,2002
lso,70,2003
lso,69,2004
lso,73,2005
lso,66,2006
lbr,79,1995
lbr,75,1997
lbr,74,1999
lbr,80,2000
lbr,76,2001
lbr,76,2002
lbr,73,2003
lbr,70,2004
lbr,76,2005
lby,68,1998
lby,67,1999
lby,61,2002
lby,62,2003
lby,64,2004
lby,69,2005
lby,77,2006
ltu,79,1998
ltu,84,1999
ltu,92,2000
ltu,75,2001
ltu,72,2002
ltu,74,2003
ltu,72,2004
ltu,70,2005
ltu,74,2006
mdg,51,1994
mdg,55,1995
mdg,64,1997
mdg,70,2000
mdg,69,2001
mdg,74,2002
mdg,71,2003
mdg,71,2004
mdg,74,2005
mdg,78,2006
mwi,22,1994
mwi,71,1995
mwi,68,1996
mwi,71,1997
mwi,69,1998
mwi,71,1999
mwi,73,2000
mwi,70,2001
mwi,72,2002
mwi,73,2003
mwi,71,2004
mwi,73,2005
mwi,78,2006
mys,69,1995
mys,90,1999
mys,78,2000
mys,79,2001
mys,76,2002
mys,72,2003
mys,56,2004
mys,70,2005
mys,48,2006
mdv,95,1994
mdv,97,1995
mdv,93,1996
mdv,94,1997
mdv,94,1998
mdv,94,1999
mdv,97,2000
mdv,97,2001
mdv,95,2002
mdv,91,2003
mdv,95,2004
mdv,86,2005
mdv,91,2006
mli,68,1994
mli,59,1995
mli,65,1996
mli,62,1997
mli,70,1998
mli,68,1999
mli,50,2001
mli,50,2002
mli,65,2003
mli,71,2004
mli,75,2005
mli,76,2006
mlt,100,1995
mlt,100,1996
mlt,100,1997
mlt,100,1998
mlt,75,1999
mlt,100,2000
mlt,100,2001
mlt,60,2002
mlt,100,2003
mlt,100,2004
mlt,100,2005
mlt,100,2006
mrt,58,2003
mrt,22,2004
mrt,55,2005
mrt,41,2006
mus,96,1994
mus,91,1998
mus,87,1999
mus,93,2000
mus,93,2001
mus,92,2002
mus,87,2003
mus,89,2004
mus,86,2005
mus,92,2006
mex,75,1996
mex,65,1997
mex,78,1998
mex,80,1999
mex,76,2000
mex,83,2001
mex,84,2002
mex,83,2003
mex,82,2004
mex,77,2005
mex,80,2006
fsm,64,1994
fsm,80,1995
fsm,95,1999
fsm,93,2000
fsm,100,2001
fsm,91,2002
fsm,92,2003
fsm,80,2004
fsm,50,2005
fsm,90,2006
mng,78,1996
mng,86,1997
mng,84,1998
mng,86,1999
mng,87,2000
mng,87,2001
mng,87,2002
mng,87,2003
mng,88,2004
mng,88,2005
mng,88,2006
msr,0,2002
msr,0,2003
msr,0,2004
mar,86,1994
mar,90,1995
mar,88,1996
mar,89,1997
mar,88,1998
mar,88,1999
mar,89,2000
mar,87,2001
mar,89,2002
mar,86,2003
mar,87,2004
mar,81,2005
mar,87,2006
moz,67,1994
moz,39,1995
moz,54,1996
moz,67,1997
moz,71,1999
moz,75,2000
moz,78,2001
moz,78,2002
moz,76,2003
moz,77,2004
moz,79,2005
moz,83,2006
mmr,66,1995
mmr,79,1996
mmr,82,1997
mmr,82,1998
mmr,81,1999
mmr,82,2000
mmr,81,2001
mmr,81,2002
mmr,81,2003
mmr,84,2004
mmr,84,2005
mmr,84,2006
nam,66,1996
nam,58,1997
nam,61,1998
nam,51,1999
nam,56,2000
nam,63,2001
nam,66,2002
nam,63,2003
nam,68,2004
nam,75,2005
nam,76,2006
nru,50,1999
nru,25,2000
nru,100,2001
nru,50,2002
nru,67,2005
nru,100,2006
npl,85,1996
npl,87,1997
npl,89,1998
npl,87,1999
npl,86,2000
npl,88,2001
npl,86,2002
npl,87,2003
npl,87,2004
npl,88,2005
npl,88,2006
nld,81,1994
nld,72,1995
nld,81,1996
nld,80,1997
nld,65,1998
nld,79,1999
nld,76,2000
nld,68,2002
nld,86,2003
nld,83,2004
nld,84,2005
ncl,62,1994
ncl,75,1995
ncl,70,1998
ncl,77,1999
ncl,89,2000
ncl,84,2001
ncl,85,2002
ncl,75,2003
ncl,94,2004
ncl,94,2005
ncl,89,2006
nzl,30,2000
nzl,9,2001
nzl,60,2002
nzl,36,2003
nzl,68,2004
nzl,60,2005
nzl,70,2006
nic,81,1994
nic,80,1995
nic,79,1996
nic,81,1997
nic,82,1998
nic,81,1999
nic,82,2000
nic,83,2001
nic,82,2002
nic,84,2003
nic,87,2004
nic,85,2005
nic,89,2006
ner,57,1996
ner,66,1997
ner,60,1999
ner,65,2000
ner,64,2001
ner,58,2002
ner,70,2003
ner,61,2004
ner,74,2005
ner,77,2006
nga,65,1994
nga,49,1995
nga,32,1996
nga,73,1997
nga,73,1998
nga,75,1999
nga,79,2000
nga,79,2001
nga,79,2002
nga,78,2003
nga,73,2004
nga,75,2005
nga,76,2006
niu,100,2002
niu,0,2004
mnp,80,1999
mnp,81,2000
mnp,74,2001
mnp,71,2002
mnp,75,2003
mnp,88,2004
mnp,73,2005
mnp,85,2006
nor,77,1995
nor,80,1996
nor,44,1997
nor,69,1998
nor,77,1999
nor,70,2000
nor,87,2001
nor,80,2002
nor,97,2003
nor,89,2004
nor,91,2005
nor,93,2006
omn,84,1995
omn,87,1996
omn,91,1997
omn,86,1998
omn,95,1999
omn,93,2000
omn,90,2001
omn,92,2002
omn,90,2003
omn,90,2004
omn,90,2005
omn,86,2006
pak,74,1994
pak,70,1995
pak,67,1997
pak,66,1998
pak,70,1999
pak,74,2000
pak,77,2001
pak,78,2002
pak,79,2003
pak,82,2004
pak,83,2005
pak,88,2006
plw,64,1994
plw,67,1995
plw,75,1996
plw,100,2001
plw,38,2002
plw,80,2003
plw,100,2004
plw,100,2005
plw,60,2006
pan,51,1997
pan,51,1998
pan,80,1999
pan,67,2000
pan,65,2001
pan,73,2002
pan,74,2003
pan,78,2004
pan,80,2005
pan,79,2006
png,93,1997
png,72,1998
png,66,1999
png,63,2000
png,67,2001
png,53,2002
png,58,2003
png,65,2004
png,71,2005
png,73,2006
pry,46,1994
pry,51,1995
pry,77,2000
pry,86,2001
pry,92,2002
pry,85,2003
pry,83,2004
pry,83,2005
pry,83,2006
per,81,1994
per,83,1995
per,89,1996
per,90,1997
per,92,1998
per,93,1999
per,90,2000
per,90,2001
per,92,2002
per,89,2003
per,90,2004
per,91,2005
per,78,2006
phl,80,1994
phl,82,1996
phl,83,1997
phl,84,1998
phl,87,1999
phl,88,2000
phl,88,2001
phl,88,2002
phl,88,2003
phl,87,2004
phl,89,2005
phl,88,2006
pol,75,1998
pol,69,1999
pol,72,2000
pol,77,2001
pol,86,2002
pol,78,2003
pol,79,2004
pol,77,2005
pol,75,2006
prt,48,1994
prt,69,1995
prt,74,1996
prt,78,1997
prt,74,1998
prt,85,1999
prt,79,2000
prt,78,2001
prt,82,2002
prt,84,2003
prt,84,2004
prt,89,2005
prt,87,2006
pri,68,1995
pri,69,1996
pri,69,1997
pri,72,1998
pri,70,1999
pri,64,2000
pri,76,2001
pri,60,2002
pri,66,2003
pri,71,2004
pri,75,2005
pri,80,2006
qat,83,1994
qat,81,1995
qat,72,1996
qat,79,1997
qat,84,1998
qat,74,1999
qat,66,2000
qat,60,2001
qat,75,2002
qat,73,2003
qat,78,2004
qat,83,2005
qat,69,2006
kor,71,1994
kor,76,1995
kor,71,1996
kor,82,1997
kor,83,2002
kor,82,2003
kor,80,2004
kor,83,2005
kor,81,2006
mda,83,2000
mda,66,2001
mda,61,2002
mda,65,2003
mda,62,2004
mda,62,2005
mda,62,2006
rou,72,1997
rou,85,1998
rou,78,1999
rou,80,2000
rou,78,2001
rou,76,2002
rou,80,2003
rou,82,2004
rou,82,2005
rou,83,2006
rus,65,1995
rus,62,1996
rus,67,1997
rus,68,1998
rus,65,1999
rus,68,2000
rus,67,2001
rus,67,2002
rus,61,2003
rus,59,2004
rus,58,2005
rus,58,2006
rwa,61,1996
rwa,68,1997
rwa,72,1998
rwa,67,1999
rwa,61,2000
rwa,58,2002
rwa,67,2003
rwa,77,2004
rwa,83,2005
rwa,86,2006
kna,25,1998
kna,50,1999
kna,0,2002
kna,100,2006
lca,67,1997
lca,82,1998
lca,89,1999
lca,100,2000
lca,50,2001
lca,25,2002
lca,89,2003
lca,64,2004
lca,69,2005
lca,80,2006
vct,86,1997
vct,100,1999
vct,100,2000
vct,80,2001
vct,86,2004
wsm,50,1994
wsm,80,1995
wsm,100,1996
wsm,86,1998
wsm,94,1999
wsm,92,2000
wsm,77,2001
wsm,84,2002
wsm,100,2004
wsm,91,2005
smr,100,1997
smr,0,2000
sau,57,1998
sau,66,1999
sau,73,2000
sau,77,2001
sau,76,2002
sau,79,2003
sau,82,2004
sau,65,2005
sau,69,2006
sen,38,1994
sen,44,1995
sen,44,1996
sen,55,1997
sen,48,1998
sen,58,1999
sen,52,2000
sen,53,2001
sen,66,2002
sen,70,2003
sen,74,2004
sen,76,2005
sen,76,2006
syc,89,1995
syc,100,1996
syc,100,1997
syc,90,1999
syc,82,2000
syc,67,2001
syc,45,2002
syc,100,2003
syc,92,2004
sle,75,1994
sle,69,1995
sle,74,1996
sle,79,1997
sle,75,1999
sle,77,2000
sle,80,2001
sle,81,2002
sle,83,2003
sle,82,2004
sle,86,2005
sle,87,2006
sgp,88,1994
sgp,86,1995
sgp,95,1999
sgp,85,2000
sgp,88,2001
sgp,87,2002
sgp,77,2003
sgp,81,2004
sgp,83,2005
sgp,84,2006
svk,96,1994
svk,64,1995
svk,73,1996
svk,67,1997
svk,85,1998
svk,79,1999
svk,82,2000
svk,87,2001
svk,85,2002
svk,87,2003
svk,88,2004
svk,92,2005
svk,81,2006
svn,90,1995
svn,87,1996
svn,82,1997
svn,78,1998
svn,88,1999
svn,84,2000
svn,82,2001
svn,85,2002
svn,85,2003
svn,90,2004
svn,84,2005
svn,92,2006
slb,65,1995
slb,73,1996
slb,92,1997
slb,92,1998
slb,81,2000
slb,89,2001
slb,90,2002
slb,87,2003
slb,87,2004
slb,85,2005
slb,90,2006
som,86,1995
som,84,1996
som,90,1997
som,88,1998
som,88,1999
som,83,2000
som,86,2001
som,89,2002
som,90,2003
som,91,2004
som,89,2005
som,89,2006
zaf,69,1996
zaf,73,1997
zaf,74,1998
zaf,60,1999
zaf,66,2000
zaf,65,2001
zaf,68,2002
zaf,67,2003
zaf,70,2004
zaf,71,2005
zaf,74,2006
lka,77,1994
lka,79,1995
lka,80,1996
lka,76,1997
lka,76,1998
lka,84,1999
lka,77,2000
lka,80,2001
lka,81,2002
lka,81,2003
lka,85,2004
lka,86,2005
lka,87,2006
sdn,70,1997
sdn,65,1998
sdn,81,1999
sdn,79,2000
sdn,80,2001
sdn,78,2002
sdn,82,2003
sdn,77,2004
sdn,82,2005
sdn,82,2006
swz,36,2001
swz,47,2002
swz,42,2003
swz,50,2004
swz,42,2005
swz,43,2006
swe,79,2000
swe,62,2001
swe,87,2002
swe,91,2003
swe,61,2004
swe,63,2006
syr,92,1996
syr,88,1997
syr,88,1998
syr,84,1999
syr,79,2000
syr,81,2001
syr,87,2002
syr,88,2003
syr,86,2004
syr,89,2005
syr,86,2006
tjk,79,2002
tjk,86,2003
tjk,84,2004
tjk,86,2005
tjk,84,2006
tha,78,1996
tha,62,1997
tha,68,1998
tha,77,1999
tha,69,2000
tha,75,2001
tha,74,2002
tha,73,2003
tha,74,2004
tha,75,2005
tha,77,2006
mkd,86,2000
mkd,88,2001
mkd,79,2002
mkd,84,2003
mkd,84,2004
mkd,84,2005
mkd,87,2006
tls,73,2001
tls,81,2002
tls,81,2003
tls,80,2004
tls,82,2005
tls,79,2006
tgo,45,1994
tgo,60,1995
tgo,65,1996
tgo,66,1997
tgo,69,1998
tgo,76,1999
tgo,55,2001
tgo,68,2002
tgo,63,2003
tgo,67,2004
tgo,71,2005
tgo,67,2006
ton,89,1994
ton,75,1995
ton,82,1996
ton,75,1997
ton,94,1998
ton,80,1999
ton,93,2000
ton,92,2001
ton,83,2002
ton,73,2005
ton,100,2006
tun,91,1998
tun,91,1999
tun,91,2000
tun,90,2001
tun,92,2002
tun,91,2003
tun,90,2004
tun,90,2005
tun,91,2006
tur,0,2002
tur,93,2003
tur,91,2004
tur,89,2005
tur,91,2006
tkm,69,2000
tkm,75,2001
tkm,77,2002
tkm,82,2003
tkm,86,2004
tkm,81,2005
tkm,84,2006
tca,71,1998
tca,67,2005
tuv,100,2004
tuv,100,2005
tuv,75,2006
uga,33,1996
uga,40,1997
uga,62,1998
uga,61,1999
uga,63,2000
uga,56,2001
uga,60,2002
uga,68,2003
uga,70,2004
uga,73,2005
uga,70,2006
ukr,59,2006
are,74,2000
are,62,2001
are,79,2002
are,64,2003
are,70,2004
are,73,2005
are,79,2006
tza,80,1994
tza,73,1995
tza,76,1996
tza,77,1997
tza,76,1998
tza,78,1999
tza,78,2000
tza,81,2001
tza,80,2002
tza,81,2003
tza,81,2004
tza,82,2005
tza,85,2006
vir,50,1995
usa,72,1994
usa,76,1995
usa,79,1996
usa,79,1997
usa,81,1998
usa,82,1999
usa,83,2000
usa,83,2001
usa,83,2002
usa,83,2003
usa,82,2004
usa,64,2005
usa,64,2006
ury,83,1994
ury,68,1995
ury,80,1996
ury,77,1997
ury,84,1998
ury,83,1999
ury,85,2000
ury,85,2001
ury,82,2002
ury,86,2003
ury,84,2005
ury,87,2006
uzb,78,1998
uzb,79,1999
uzb,80,2000
uzb,76,2001
uzb,80,2002
uzb,81,2003
uzb,78,2004
uzb,81,2005
uzb,81,2006
vut,88,1999
vut,88,2000
vut,88,2001
vut,79,2002
vut,75,2003
vut,90,2004
vut,81,2005
