mean_years_in_school_women_percent_men_25_to_34_years,geo,time
11.11,afg,1970
11.11,afg,1971
10.0,afg,1972
9.091,afg,1973
9.091,afg,1974
8.333,afg,1975
8.333,afg,1976
7.692,afg,1977
7.692,afg,1978
7.143,afg,1979
6.667,afg,1980
13.33,afg,1981
12.5,afg,1982
11.76,afg,1983
11.76,afg,1984
11.11,afg,1985
10.53,afg,1986
10.53,afg,1987
10.0,afg,1988
10.0,afg,1989
9.524,afg,1990
14.29,afg,1991
13.64,afg,1992
13.64,afg,1993
13.04,afg,1994
12.5,afg,1995
12.5,afg,1996
12.0,afg,1997
15.38,afg,1998
15.38,afg,1999
14.81,afg,2000
14.81,afg,2001
14.29,afg,2002
13.79,afg,2003
17.24,afg,2004
16.67,afg,2005
16.13,afg,2006
16.13,afg,2007
18.75,afg,2008
18.75,afg,2009
101.7,alb,1970
101.6,alb,1971
100.0,alb,1972
100.0,alb,1973
100.0,alb,1974
100.0,alb,1975
98.57,alb,1976
98.61,alb,1977
98.63,alb,1978
98.67,alb,1979
98.68,alb,1980
98.72,alb,1981
97.5,alb,1982
98.77,alb,1983
98.8,alb,1984
97.65,alb,1985
98.84,alb,1986
98.85,alb,1987
98.88,alb,1988
98.89,alb,1989
98.9,alb,1990
98.92,alb,1991
98.94,alb,1992
98.95,alb,1993
98.96,alb,1994
100.0,alb,1995
100.0,alb,1996
100.0,alb,1997
100.0,alb,1998
100.0,alb,1999
100.0,alb,2000
100.0,alb,2001
100.0,alb,2002
101.0,alb,2003
101.0,alb,2004
100.0,alb,2005
100.9,alb,2006
100.9,alb,2007
101.9,alb,2008
101.9,alb,2009
77.78,dza,1970
78.95,dza,1971
80.0,dza,1972
80.95,dza,1973
81.82,dza,1974
82.61,dza,1975
83.33,dza,1976
80.77,dza,1977
85.19,dza,1978
85.71,dza,1979
86.67,dza,1980
84.38,dza,1981
87.88,dza,1982
88.57,dza,1983
89.19,dza,1984
89.47,dza,1985
90.0,dza,1986
90.48,dza,1987
88.64,dza,1988
89.13,dza,1989
91.49,dza,1990
89.8,dza,1991
92.0,dza,1992
90.38,dza,1993
92.45,dza,1994
92.73,dza,1995
92.86,dza,1996
93.1,dza,1997
93.22,dza,1998
95.0,dza,1999
93.55,dza,2000
95.24,dza,2001
95.31,dza,2002
95.38,dza,2003
96.97,dza,2004
97.01,dza,2005
97.06,dza,2006
97.1,dza,2007
97.14,dza,2008
98.57,dza,2009
47.62,ago,1970
50.0,ago,1971
47.83,ago,1972
50.0,ago,1973
48.0,ago,1974
50.0,ago,1975
48.15,ago,1976
50.0,ago,1977
50.0,ago,1978
48.39,ago,1979
50.0,ago,1980
51.52,ago,1981
51.43,ago,1982
52.78,ago,1983
52.63,ago,1984
53.85,ago,1985
53.66,ago,1986
54.76,ago,1987
53.49,ago,1988
54.55,ago,1989
55.56,ago,1990
56.52,ago,1991
57.45,ago,1992
58.33,ago,1993
59.18,ago,1994
60.0,ago,1995
64.0,ago,1996
64.71,ago,1997
65.38,ago,1998
66.04,ago,1999
66.67,ago,2000
67.27,ago,2001
67.86,ago,2002
69.64,ago,2003
70.18,ago,2004
70.69,ago,2005
72.41,ago,2006
72.88,ago,2007
73.33,ago,2008
75.0,ago,2009
103.8,atg,1970
105.1,atg,1971
104.9,atg,1972
104.8,atg,1973
106.0,atg,1974
105.8,atg,1975
105.7,atg,1976
106.7,atg,1977
106.6,atg,1978
107.6,atg,1979
107.4,atg,1980
107.4,atg,1981
107.2,atg,1982
108.1,atg,1983
109.0,atg,1984
107.8,atg,1985
108.7,atg,1986
108.6,atg,1987
108.5,atg,1988
109.3,atg,1989
109.3,atg,1990
108.2,atg,1991
109.0,atg,1992
108.9,atg,1993
108.8,atg,1994
108.8,atg,1995
109.6,atg,1996
109.5,atg,1997
109.4,atg,1998
109.3,atg,1999
109.2,atg,2000
109.2,atg,2001
109.1,atg,2002
108.2,atg,2003
108.1,atg,2004
108.1,atg,2005
108.9,atg,2006
108.0,atg,2007
107.9,atg,2008
107.9,atg,2009
101.5,arg,1970
102.9,arg,1971
101.4,arg,1972
102.8,arg,1973
102.7,arg,1974
102.7,arg,1975
102.6,arg,1976
102.6,arg,1977
103.8,arg,1978
103.8,arg,1979
103.7,arg,1980
103.6,arg,1981
103.6,arg,1982
103.5,arg,1983
104.7,arg,1984
104.6,arg,1985
105.7,arg,1986
105.6,arg,1987
105.6,arg,1988
105.5,arg,1989
106.5,arg,1990
106.5,arg,1991
106.4,arg,1992
106.3,arg,1993
106.2,arg,1994
107.2,arg,1995
107.1,arg,1996
107.1,arg,1997
107.0,arg,1998
106.9,arg,1999
107.9,arg,2000
107.8,arg,2001
108.7,arg,2002
108.7,arg,2003
109.6,arg,2004
109.5,arg,2005
109.4,arg,2006
110.4,arg,2007
110.3,arg,2008
111.2,arg,2009
102.7,arm,1970
104.1,arm,1971
102.6,arm,1972
102.6,arm,1973
102.5,arm,1974
102.5,arm,1975
102.4,arm,1976
102.4,arm,1977
102.3,arm,1978
102.3,arm,1979
102.2,arm,1980
101.1,arm,1981
102.2,arm,1982
102.2,arm,1983
102.1,arm,1984
102.1,arm,1985
102.1,arm,1986
102.0,arm,1987
102.0,arm,1988
102.0,arm,1989
102.0,arm,1990
102.0,arm,1991
101.9,arm,1992
101.9,arm,1993
101.9,arm,1994
102.9,arm,1995
102.8,arm,1996
102.8,arm,1997
102.8,arm,1998
102.8,arm,1999
102.8,arm,2000
103.7,arm,2001
103.6,arm,2002
104.5,arm,2003
103.6,arm,2004
104.5,arm,2005
105.4,arm,2006
104.5,arm,2007
105.4,arm,2008
106.2,arm,2009
98.96,aus,1970
