geo,males_aged_15plus_labour_force_participation_rate_percent,time
afg,86.7,1980
afg,86.7,1981
afg,86.8,1982
afg,86.8,1983
afg,86.9,1984
afg,86.9,1985
afg,86.9,1986
afg,87.0,1987
afg,87.0,1988
afg,87.1,1989
afg,87.1,1990
afg,87.2,1991
afg,87.2,1992
afg,87.3,1993
afg,87.3,1994
afg,87.4,1995
afg,87.4,1996
afg,87.4,1997
afg,87.5,1998
afg,87.5,1999
afg,87.5,2000
afg,87.5,2001
afg,87.6,2002
afg,87.6,2003
afg,87.6,2004
afg,87.6,2005
afg,87.6,2006
afg,88.6,2007
alb,83.7,1980
alb,83.4,1981
alb,83.3,1982
alb,83.1,1983
alb,82.8,1984
alb,83.0,1985
alb,82.8,1986
alb,83.4,1987
alb,83.9,1988
alb,83.3,1989
alb,84.3,1990
alb,72.9,1991
alb,72.6,1992
alb,73.0,1993
alb,73.3,1994
alb,73.4,1995
alb,73.4,1996
alb,72.9,1997
alb,72.8,1998
alb,72.6,1999
alb,72.4,2000
alb,72.1,2001
alb,71.9,2002
alb,71.8,2003
alb,71.6,2004
alb,71.3,2005
alb,71.1,2006
alb,71.0,2007
dza,70.9,1980
dza,71.0,1981
dza,70.8,1982
dza,70.7,1983
dza,70.5,1984
dza,70.6,1985
dza,71.5,1986
dza,72.4,1987
dza,73.3,1988
dza,74.1,1989
dza,75.0,1990
dza,75.8,1991
dza,76.5,1992
dza,77.3,1993
dza,78.0,1994
dza,78.6,1995
dza,79.1,1996
dza,79.3,1997
dza,79.0,1998
dza,78.8,1999
dza,78.8,2000
dza,79.1,2001
dza,78.9,2002
dza,78.5,2003
dza,78.4,2004
dza,78.2,2005
dza,78.2,2006
dza,77.5,2007
ago,90.8,1980
ago,90.8,1981
ago,90.7,1982
ago,90.6,1983
ago,90.6,1984
ago,90.5,1985
ago,90.6,1986
ago,90.5,1987
ago,90.0,1988
ago,90.1,1989
ago,90.1,1990
ago,90.4,1991
ago,89.6,1992
ago,91.0,1993
ago,90.0,1994
ago,91.4,1995
ago,91.3,1996
