geo,literacy_rate_youth_total_percent_of_people_ages_15_24,time
afg,30.07,1979
alb,99.44,2001
alb,98.83,2008
alb,98.79,2011
dza,74.33,1987
dza,90.14,2002
dza,91.78,2006
ago,72.19,2001
ago,73.04,2011
aia,99.11,1984
arg,96.88,1980
arg,98.3,1991
arg,98.92,2001
arg,99.22,2011
arm,99.91,1989
arm,99.81,2001
arm,99.76,2011
abw,99.03,2000
abw,99.14,2010
aze,99.89,1999
aze,100.0,2007
aze,99.95,2009
bhr,86.29,1981
bhr,96.94,1991
bhr,97.02,2001
bhr,98.16,2010
bgd,35.65,1981
bgd,44.68,1991
bgd,63.62,2001
bgd,78.71,2011
blr,99.77,1989
blr,99.79,1999
blr,99.82,2009
blz,76.42,1991
ben,29.79,1979
ben,39.88,1992
ben,45.31,2002
ben,42.36,2006
btn,74.41,2005
bol,83.55,1976
bol,93.9,1992
bol,97.32,2001
bol,99.44,2007
bol,99.12,2008
bol,99.38,2009
bih,99.79,2000
bih,99.7,2011
bwa,89.26,1991
bwa,93.96,2003
bwa,95.21,2011
bra,83.91,1980
bra,94.18,2000
bra,96.84,2004
bra,97.58,2006
bra,97.8,2007
bra,97.84,2008
bra,98.07,2009
bra,97.51,2010
brn,93.68,1981
brn,98.1,1991
brn,98.89,2001
brn,99.75,2011
bgr,98.21,2001
bgr,97.87,2011
bfa,14.38,1975
bfa,20.18,1991
bfa,19.41,1996
bfa,31.23,2003
bfa,32.97,2005
bfa,39.26,2007
bdi,30.98,1979
bdi,53.56,1990
bdi,73.33,2000
bdi,88.89,2008
khm,76.32,1998
khm,83.38,2004
khm,87.47,2008
khm,87.13,2009
cmr,68.82,1976
cmr,83.1,2000
cmr,83.14,2007
cmr,80.57,2010
cpv,88.17,1990
cpv,97.12,2004
cpv,98.44,2011
cym,98.91,2007
caf,34.51,1975
caf,48.2,1988
caf,60.81,2000
caf,65.63,2011
tcd,17.35,1993
tcd,37.56,2000
tcd,41.67,2004
tcd,47.89,2011
chl,96.65,1982
chl,98.43,1992
chl,98.99,2002
chl,99.15,2008
chl,98.87,2009
chn,88.77,1982
chn,94.28,1990
chn,98.86,2000
chn,99.64,2010
col,90.52,1993
col,97.0,1996
col,97.99,2004
col,97.96,2005
col,97.88,2006
col,97.97,2007
col,97.99,2008
col,97.94,2009
col,98.1,2010
col,98.24,2011
com,61.71,1980
com,80.19,2000
com,86.04,2011
cod,70.42,2001
cod,65.78,2007
cri,97.15,1984
cri,97.61,2000
cri,98.29,2011
civ,48.51,1988
civ,47.06,1998
civ,60.72,2000
civ,67.53,2011
hrv,99.64,1991
hrv,99.65,2001
hrv,99.65,2011
cub,99.57,1981
cub,99.96,2002
cub,99.99,2011
cyp,99.62,1992
cyp,99.77,2001
cyp,99.82,2011
dom,82.62,1981
dom,94.22,2002
dom,95.79,2007
dom,96.81,2010
dom,97.04,2011
ecu,93.4,1982
ecu,96.19,1990
ecu,96.44,2001
ecu,95.43,2007
ecu,96.83,2009
ecu,98.65,2010
ecu,98.69,2011
egy,51.03,1976
egy,63.33,1986
egy,73.22,1996
egy,84.93,2005
egy,84.88,2006
egy,87.51,2010
egy,88.4,2011
slv,84.95,1992
slv,88.96,2004
slv,94.95,2006
slv,93.56,2007
slv,95.96,2008
slv,95.02,2009
slv,96.03,2010
gnq,97.13,2000
gnq,98.06,2011
eri,77.95,2002
eri,90.13,2011
est,99.87,1989
est,99.77,2000
est,99.8,2011
eth,33.59,1994
eth,49.9,2004
eth,44.61,2005
eth,54.98,2007
gab,93.21,1993
gab,96.69,2004
gab,97.88,2011
gmb,52.56,2000
gmb,68.07,2011
geo,99.83,2002
geo,99.8,2011
gha,70.66,2000
gha,85.72,2010
grc,98.97,1981
grc,98.98,1991
grc,98.94,2001
grc,99.35,2011
gtm,75.99,1994
gtm,82.22,2002
gtm,87.43,2011
gin,27.72,1996
gin,47.09,2003
gin,31.41,2010
gnb,36.4,1979
gnb,59.49,2000
gnb,73.17,2011
guy,93.1,2009
hti,51.15,1982
hti,81.62,2003
hti,72.35,2006
hnd,88.94,2001
hnd,93.92,2007
hnd,95.15,2010
hnd,95.93,2011
hun,99.37,1980
hun,99.15,1994
hun,99.0,2004
hun,98.9,2011
ind,53.78,1981
ind,61.9,1991
ind,76.43,2001
ind,81.13,2006
idn,85.44,1980
idn,96.21,1990
idn,98.71,2004
idn,96.65,2006
idn,99.46,2008
idn,99.47,2009
idn,98.78,2011
irn,56.45,1976
irn,75.2,1986
irn,86.97,1991
irn,93.03,1996
irn,97.43,2005
irn,96.64,2006
irn,98.66,2008
irq,84.8,2000
irq,82.36,2011
isr,98.56,1983
ita,99.64,1981
ita,99.81,2001
ita,99.91,2011
jam,91.6,1999
jam,95.64,2011
jor,90.51,1979
jor,99.13,2003
jor,98.98,2005
jor,98.95,2007
jor,98.76,2010
jor,99.15,2011
kaz,99.73,1989
kaz,99.85,1999
kaz,99.83,2009
ken,92.53,2000
ken,82.39,2007
prk,100.0,2008
kwt,72.22,1975
kwt,78.98,1980
kwt,87.46,1985
kwt,92.04,1995
kwt,99.73,2005
kwt,98.51,2006
kwt,98.45,2007
kwt,98.64,2008
kgz,99.7,1999
kgz,99.75,2009
lao,71.13,1995
lao,80.6,2000
lao,78.46,2001
lao,83.93,2005
lva,99.78,1989
lva,99.75,2000
lva,99.69,2011
lbn,98.71,2007
lso,90.93,2000
lso,83.19,2009
lbr,47.63,1984
lbr,60.0,1994
lbr,71.21,2004
lbr,49.07,2007
lby,89.34,1984
lby,97.9,1994
lby,99.64,2004
lby,99.9,2011
ltu,99.67,1989
ltu,99.7,2001
ltu,99.78,2011
mac,94.7,1981
mac,99.63,2001
mac,99.64,2006
mac,99.67,2011
mkd,98.86,1994
mkd,98.74,2002
mkd,98.67,2011
mdg,70.24,2000
mdg,64.94,2009
mwi,59.02,1987
mwi,76.01,1998
mwi,72.14,2010
mys,87.97,1980
mys,95.56,1991
mys,97.24,2000
mys,98.42,2010
mdv,85.61,1977
mdv,95.54,1985
mdv,98.2,1990
mdv,98.17,1995
mdv,98.17,2000
mdv,99.3,2006
mli,19.65,1976
mli,24.19,1998
mli,38.82,2006
mli,44.3,2010
mli,46.89,2011
mlt,98.21,1985
mlt,96.03,1995
mlt,98.27,2005
mrt,61.34,2000
mrt,68.95,2011
mus,91.19,1990
mus,94.54,2000
mus,96.8,2011
mex,91.95,1980
mex,95.42,1990
mex,96.61,2000
mex,97.6,2002
mex,97.56,2004
mex,97.64,2005
mex,97.9,2006
mex,98.16,2007
mex,98.38,2008
mex,98.52,2009
mex,98.43,2010
mex,98.46,2011
mda,99.73,1989
mda,99.53,2000
mda,100.0,2011
mng,97.71,2000
mng,95.67,2011
mne,99.32,2011
mar,44.14,1982
mar,58.43,1994
mar,70.46,2004
mar,77.86,2008
mar,79.47,2009
mar,81.51,2011
moz,43.64,1980
moz,46.97,1997
moz,61.89,2003
moz,67.15,2009
mmr,84.9,1983
mmr,94.59,2000
mmr,96.1,2011
nam,88.11,1991
nam,92.34,2001
nam,87.1,2007
npl,30.04,1981
npl,49.6,1991
npl,70.05,2001
npl,82.35,2011
ant,96.98,1992
ant,98.47,2011
nic,86.22,2001
nic,87.01,2005
ner,14.0,2001
ner,36.55,2005
nga,71.19,1991
nga,68.99,2003
nga,66.38,2008
omn,97.28,2003
omn,97.63,2008
omn,97.74,2010
pak,34.78,1981
pak,55.33,1998
pak,65.09,2005
pak,69.17,2006
pak,71.11,2008
pak,70.68,2009
plw,94.28,1980
pan,96.11,1980
pan,95.09,1990
pan,96.08,2000
pan,97.64,2010
png,66.68,2000
png,70.8,2011
pry,89.59,1982
pry,95.61,1992
pry,98.79,2007
pry,97.96,2008
pry,98.5,2009
pry,98.61,2010
per,93.12,1981
per,95.37,1993
per,96.76,2004
per,97.12,2005
per,97.76,2006
per,97.36,2007
phl,91.79,1980
phl,96.58,1990
phl,95.09,2000
phl,95.06,2003
phl,97.75,2008
pol,99.8,1978
pol,100.0,1994
pol,100.0,2004
pol,100.0,2011
prt,97.94,1981
prt,99.2,1991
prt,99.75,2011
pri,93.75,1980
pri,93.17,1990
pri,88.7,2004
pri,86.57,2011
qat,89.54,1986
qat,94.79,1997
qat,95.92,2004
qat,99.06,2007
qat,95.69,2008
qat,97.76,2009
qat,96.82,2010
rou,99.11,1992
rou,97.76,2002
rou,97.2,2011
rus,99.72,1989
rus,99.72,2002
rus,99.71,2010
rwa,52.26,1978
rwa,74.9,1991
rwa,77.62,2000
rwa,77.34,2010
wsm,99.04,1991
wsm,99.38,2004
wsm,99.51,2011
stp,82.4,1981
stp,93.85,1991
stp,95.42,2001
stp,80.2,2008
sau,87.86,1992
sau,95.91,2000
sau,95.85,2004
sau,98.02,2011
sen,37.87,1988
sen,49.12,2002
sen,50.85,2006
sen,65.01,2009
srb,99.27,2011
syc,97.65,1987
syc,98.81,1994
syc,99.06,2002
syc,99.06,2011
sle,47.93,2004
sle,61.04,2011
