geo,income_share_of_poorest_20percent,time
ukr,9.54,1992
ukr,7.16,1996
ukr,8.8,1999
ukr,8.92,2002
ukr,8.97,2005
gbr,6.141,1999
usa,5.436,2000
ury,5.17,1992
ury,4.8,1996
ury,4.42,1998
ury,4.78,2000
ury,4.53,2001
ury,4.64,2005
ury,4.45,2006
uzb,10.88,1988
uzb,3.91,1998
uzb,7.91,2002
uzb,7.14,2003
ven,3.1,1981
ven,3.38,1987
ven,4.76,1989
ven,5.49,1993
ven,3.7,1996
ven,2.87,1998
ven,3.27,2003
ven,3.71,2005
ven,4.85,2006
vnm,7.82,1993
vnm,8.02,1998
vnm,7.46,2002
vnm,7.12,2004
vnm,7.07,2006
yem,6.12,1992
yem,7.43,1998
yem,7.18,2005
zmb,0.66,1991
zmb,3.04,1993
zmb,4.2,1996
zmb,3.37,1998
zmb,6.16,2003
zmb,3.63,2004
zwe,4.632,1995
