geo,government_share_of_total_health_spending_percent,time
afg,5.619,2002
afg,6.826,2003
afg,7.811,2004
afg,11.55,2005
afg,11.81,2006
afg,12.16,2007
afg,11.77,2008
afg,11.6,2009
afg,11.66,2010
alb,49.95,1995
alb,39.64,1996
alb,39.2,1997
alb,39.54,1998
alb,43.28,1999
alb,36.1,2000
alb,38.2,2001
alb,36.06,2002
alb,35.94,2003
alb,39.73,2004
alb,40.17,2005
alb,39.4,2006
alb,38.23,2007
alb,39.64,2008
alb,41.18,2009
alb,39.04,2010
dza,75.37,1995
dza,77.64,1996
dza,74.35,1997
dza,73.76,1998
dza,72.85,1999
dza,73.33,2000
dza,77.43,2001
dza,77.34,2002
dza,78.67,2003
dza,71.06,2004
dza,72.07,2005
dza,74.36,2006
dza,77.32,2007
dza,79.54,2008
dza,79.29,2009
dza,77.89,2010
and,64.44,1995
and,65.23,1996
and,66.19,1997
and,72.04,1998
and,66.15,1999
and,64.82,2000
and,68.75,2001
and,68.81,2002
and,68.6,2003
and,69.17,2004
and,69.14,2005
and,70.43,2006
and,69.79,2007
and,69.87,2008
and,70.08,2009
and,70.09,2010
ago,86.82,1995
ago,76.9,1996
ago,77.88,1997
ago,73.05,1998
ago,74.2,1999
ago,79.24,2000
ago,85.51,2001
ago,78.85,2002
ago,81.06,2003
ago,76.04,2004
ago,74.49,2005
ago,79.3,2006
ago,80.18,2007
ago,84.33,2008
ago,89.89,2009
ago,82.46,2010
atg,66.46,1995
atg,64.19,1996
atg,66.02,1997
atg,67.95,1998
atg,69.26,1999
atg,69.01,2000
atg,65.51,2001
atg,65.18,2002
atg,64.18,2003
atg,63.35,2004
atg,63.14,2005
atg,65.72,2006
atg,66.36,2007
atg,67.88,2008
atg,67.1,2009
atg,70.97,2010
arg,59.76,1995
arg,57.72,1996
arg,54.46,1997
arg,54.17,1998
arg,55.06,1999
arg,53.88,2000
arg,54.19,2001
arg,53.57,2002
arg,52.27,2003
arg,52.28,2004
arg,54.21,2005
arg,55.76,2006
arg,59.36,2007
arg,62.57,2008
arg,66.44,2009
arg,54.6,2010
arm,30.96,1995
arm,27.89,1996
arm,24.29,1997
arm,28.47,1998
arm,28.29,1999
arm,18.14,2000
arm,26.73,2001
arm,25.17,2002
arm,27.25,2003
arm,25.38,2004
arm,30.42,2005
arm,37.98,2006
arm,41.57,2007
arm,44.52,2008
arm,43.45,2009
arm,40.64,2010
aus,65.78,1995
aus,65.25,1996
aus,66.89,1997
aus,66.36,1998
aus,68.39,1999
aus,66.82,2000
aus,66.28,2001
aus,66.91,2002
aus,66.11,2003
aus,66.68,2004
aus,66.89,2005
aus,66.59,2006
aus,67.51,2007
aus,67.99,2008
aus,67.99,2009
aus,67.99,2010
aut,73.95,1995
aut,73.54,1996
aut,75.68,1997
aut,76.01,1998
aut,76.75,1999
aut,76.83,2000
aut,76.09,2001
aut,75.8,2002
aut,75.52,2003
aut,75.7,2004
aut,76.14,2005
aut,75.99,2006
aut,76.39,2007
aut,77.16,2008
aut,77.66,2009
aut,77.51,2010
aze,23.75,1995
aze,23.95,1996
aze,22.39,1997
aze,16.47,1998
aze,18.26,1999
aze,18.54,2000
aze,18.9,2001
aze,17.73,2002
aze,12.66,2003
aze,13.02,2004
aze,11.3,2005
aze,14.2,2006
aze,19.6,2007
aze,19.26,2008
