geo,government_share_of_total_health_spending_percent,time
aze,23.14,2009
aze,20.29,2010
bhs,39.85,1995
bhs,40.1,1996
bhs,41.81,1997
bhs,44.92,1998
bhs,46.75,1999
bhs,47.61,2000
bhs,47.5,2001
bhs,47.09,2002
bhs,46.67,2003
bhs,47.18,2004
bhs,44.27,2005
bhs,47.21,2006
bhs,44.96,2007
bhs,45.23,2008
bhs,46.83,2009
bhs,45.6,2010
bhr,69.64,1995
bhr,69.21,1996
bhr,70.09,1997
bhr,68.82,1998
bhr,69.24,1999
bhr,67.54,2000
bhr,66.99,2001
bhr,66.56,2002
bhr,66.93,2003
bhr,67.21,2004
bhr,69.04,2005
bhr,69.98,2006
bhr,70.7,2007
bhr,71.22,2008
bhr,70.09,2009
bhr,73.32,2010
bgd,36.14,1995
bgd,36.17,1996
bgd,42.3,1997
bgd,40.82,1998
bgd,39.87,1999
bgd,39.02,2000
bgd,39.94,2001
bgd,39.68,2002
bgd,37.65,2003
bgd,38.78,2004
bgd,34.9,2005
bgd,36.49,2006
bgd,34.39,2007
bgd,31.66,2008
bgd,32.95,2009
bgd,34.3,2010
brb,67.95,1995
brb,68.34,1996
brb,65.21,1997
brb,65.39,1998
brb,65.41,1999
brb,65.8,2000
brb,67.56,2001
brb,68.4,2002
brb,65.59,2003
brb,64.55,2004
brb,64.39,2005
brb,64.76,2006
brb,64.0,2007
brb,65.49,2008
brb,58.58,2009
brb,65.01,2010
blr,71.12,1995
blr,75.32,1996
blr,82.32,1997
blr,77.04,1998
blr,76.51,1999
blr,75.49,2000
blr,71.55,2001
blr,70.49,2002
blr,73.84,2003
blr,74.74,2004
blr,72.94,2005
blr,70.23,2006
blr,69.15,2007
blr,65.08,2008
blr,64.02,2009
blr,77.69,2010
bel,76.8,1995
bel,78.18,1996
bel,75.38,1997
bel,74.8,1998
bel,74.58,1999
bel,74.61,2000
bel,75.41,2001
bel,73.8,2002
bel,74.78,2003
bel,76.02,2004
bel,75.93,2005
bel,73.87,2006
bel,73.51,2007
bel,74.96,2008
bel,75.1,2009
bel,74.74,2010
blz,62.22,1995
blz,56.64,1996
blz,57.98,1997
blz,57.03,1998
blz,55.75,1999
blz,52.81,2000
blz,57.72,2001
blz,56.31,2002
blz,57.36,2003
blz,57.31,2004
blz,59.7,2005
blz,60.98,2006
blz,63.77,2007
blz,62.96,2008
blz,63.76,2009
blz,62.69,2010
ben,45.0,1995
ben,44.29,1996
ben,42.08,1997
ben,44.23,1998
ben,46.0,1999
ben,44.2,2000
ben,49.25,2001
ben,44.19,2002
ben,47.75,2003
ben,47.68,2004
ben,49.69,2005
ben,50.22,2006
ben,51.0,2007
ben,51.7,2008
ben,53.8,2009
ben,49.5,2010
btn,68.37,1995
btn,70.11,1996
btn,69.21,1997
btn,67.22,1998
btn,75.65,1999
btn,79.26,2000
btn,78.41,2001
btn,83.8,2002
btn,74.11,2003
btn,72.46,2004
btn,76.0,2005
btn,81.13,2006
btn,84.79,2007
btn,86.03,2008
btn,86.47,2009
btn,86.83,2010
bol,63.82,1995
bol,64.35,1996
bol,66.02,1997
bol,61.22,1998
bol,58.14,1999
bol,60.1,2000
bol,59.32,2001
bol,62.82,2002
bol,60.09,2003
bol,62.56,2004
bol,66.19,2005
bol,69.89,2006
bol,68.16,2007
bol,65.15,2008
bol,64.56,2009
bol,62.84,2010
bih,47.07,1995
bih,44.14,1996
bih,44.48,1997
bih,43.0,1998
bih,54.45,1999
bih,57.64,2000
bih,60.68,2001
bih,63.28,2002
bih,69.19,2003
bih,57.2,2004
bih,54.97,2005
bih,55.48,2006
bih,56.55,2007
bih,58.19,2008
bih,61.35,2009
bih,61.4,2010
bwa,52.36,1995
bwa,52.5,1996
bwa,56.5,1997
bwa,56.45,1998
bwa,57.76,1999
bwa,62.17,2000
bwa,70.02,2001
bwa,71.14,2002
bwa,68.51,2003
bwa,76.64,2004
bwa,74.28,2005
bwa,72.94,2006
bwa,76.47,2007
bwa,75.98,2008
bwa,76.02,2009
bwa,72.53,2010
bra,43.01,1995
bra,40.54,1996
bra,42.95,1997
bra,42.64,1998
bra,42.73,1999
bra,40.3,2000
bra,42.29,2001
bra,44.64,2002
bra,44.37,2003
bra,47.02,2004
bra,40.14,2005
bra,41.69,2006
bra,41.82,2007
bra,42.76,2008
bra,43.57,2009
bra,47.02,2010
brn,77.85,1995
brn,81.41,1996
brn,81.17,1997
brn,83.83,1998
brn,77.76,1999
brn,86.49,2000
brn,81.06,2001
brn,82.36,2002
brn,83.66,2003
brn,83.66,2004
brn,84.18,2005
brn,84.0,2006
brn,84.5,2007
brn,86.0,2008
brn,85.16,2009
brn,84.89,2010
bgr,73.96,1995
bgr,69.6,1996
bgr,71.66,1997
bgr,69.88,1998
bgr,66.33,1999
bgr,60.93,2000
bgr,58.39,2001
bgr,61.26,2002
bgr,62.12,2003
bgr,60.74,2004
bgr,60.93,2005
bgr,56.95,2006
bgr,58.21,2007
bgr,58.54,2008
bgr,55.35,2009
bgr,54.49,2010
bfa,38.74,1995
bfa,38.37,1996
bfa,41.06,1997
bfa,39.92,1998
bfa,41.19,1999
bfa,39.65,2000
bfa,37.38,2001
bfa,43.91,2002
bfa,46.43,2003
bfa,53.68,2004
bfa,59.54,2005
bfa,56.86,2006
bfa,60.27,2007
bfa,59.05,2008
bfa,49.73,2009
bfa,50.97,2010
bdi,32.23,1995
bdi,34.71,1996
bdi,28.81,1997
bdi,28.26,1998
bdi,28.78,1999
bdi,28.6,2000
bdi,33.29,2001
bdi,30.55,2002
bdi,26.15,2003
bdi,35.88,2004
bdi,34.78,2005
bdi,35.21,2006
bdi,37.7,2007
bdi,37.16,2008
bdi,36.05,2009
bdi,38.17,2010
khm,15.99,1995
khm,25.6,1996
khm,23.73,1997
khm,18.15,1998
khm,18.19,1999
khm,20.44,2000
khm,23.5,2001
khm,26.29,2002
khm,28.08,2003
khm,28.69,2004
khm,20.53,2005
khm,25.04,2006
khm,32.32,2007
khm,32.58,2008
khm,36.64,2009
khm,37.23,2010
cmr,23.32,1995
cmr,17.32,1996
cmr,21.1,1997
cmr,17.76,1998
cmr,18.82,1999
cmr,20.84,2000
cmr,24.04,2001
cmr,26.56,2002
cmr,26.8,2003
cmr,23.9,2004
cmr,23.6,2005
cmr,22.99,2006
cmr,22.44,2007
cmr,20.44,2008
cmr,25.9,2009
cmr,29.62,2010
can,71.25,1995
can,70.78,1996
can,70.12,1997
can,70.56,1998
can,69.97,1999
can,70.36,2000
can,69.98,2001
can,69.53,2002
can,70.17,2003
can,70.22,2004
can,70.22,2005
can,69.77,2006
can,70.22,2007
can,70.49,2008
can,70.62,2009
can,70.5,2010
cpv,80.73,1995
cpv,82.14,1996
cpv,82.12,1997
cpv,75.26,1998
cpv,73.89,1999
cpv,73.5,2000
cpv,75.77,2001
cpv,75.62,2002
cpv,73.93,2003
cpv,77.91,2004
cpv,77.27,2005
cpv,78.01,2006
cpv,75.07,2007
cpv,73.18,2008
cpv,74.05,2009
cpv,75.04,2010
caf,39.7,1995
caf,30.7,1996
caf,37.4,1997
caf,33.26,1998
caf,38.39,1999
caf,41.42,2000
caf,38.77,2001
caf,41.16,2002
caf,39.82,2003
caf,37.97,2004
caf,35.31,2005
caf,35.43,2006
caf,34.21,2007
caf,33.28,2008
caf,34.19,2009
caf,35.38,2010
tcd,34.69,1995
tcd,37.18,1996
tcd,35.18,1997
tcd,30.66,1998
tcd,33.92,1999
tcd,42.5,2000
tcd,39.78,2001
tcd,30.99,2002
tcd,46.84,2003
tcd,35.56,2004
tcd,41.1,2005
tcd,32.14,2006
tcd,23.27,2007
tcd,21.56,2008
tcd,19.72,2009
tcd,24.97,2010
chl,38.27,1995
chl,36.63,1996
chl,37.34,1997
chl,38.28,1998
chl,39.9,1999
chl,41.64,2000
chl,42.95,2001
chl,43.76,2002
chl,38.8,2003
chl,39.85,2004
chl,40.03,2005
chl,42.13,2006
chl,43.2,2007
chl,44.05,2008
chl,47.64,2009
chl,48.18,2010
chn,50.5,1995
chn,46.59,1996
chn,44.24,1997
chn,41.81,1998
chn,40.89,1999
chn,38.28,2000
chn,35.57,2001
chn,35.83,2002
chn,36.23,2003
chn,37.97,2004
chn,38.77,2005
chn,40.65,2006
chn,46.93,2007
chn,49.95,2008
chn,52.5,2009
chn,53.6,2010
col,58.64,1995
col,64.8,1996
col,64.88,1997
col,71.85,1998
col,76.3,1999
col,70.75,2000
col,70.31,2001
col,70.44,2002
col,70.05,2003
col,70.59,2004
col,70.05,2005
col,70.84,2006
col,71.06,2007
col,70.6,2008
col,71.06,2009
col,72.7,2010
com,71.23,1995
com,69.61,1996
com,66.89,1997
com,63.66,1998
com,60.6,1999
com,52.75,2000
com,47.51,2001
com,57.28,2002
com,58.17,2003
com,60.44,2004
com,61.02,2005
com,63.73,2006
com,65.28,2007
com,67.4,2008
com,53.21,2009
com,67.22,2010
cod,4.041,1995
cod,3.265,1996
cod,4.948,1997
cod,3.698,1998
cod,5.732,1999
cod,4.084,2000
cod,5.185,2001
cod,5.858,2002
cod,21.18,2003
cod,21.83,2004
cod,29.97,2005
cod,31.06,2006
cod,36.18,2007
cod,47.11,2008
cod,44.71,2009
cod,42.52,2010
cog,59.63,1995
cog,60.51,1996
cog,59.82,1997
cog,58.78,1998
cog,57.48,1999
cog,57.72,2000
cog,55.0,2001
cog,52.67,2002
cog,49.92,2003
cog,53.84,2004
cog,59.48,2005
cog,63.29,2006
cog,57.6,2007
cog,48.14,2008
cog,47.49,2009
cog,46.74,2010
cok,91.34,1995
cok,91.8,1996
cok,89.78,1997
cok,90.53,1998
cok,89.47,1999
cok,90.5,2000
cok,93.3,2001
cok,91.3,2002
cok,91.32,2003
cok,90.43,2004
cok,94.29,2005
cok,93.44,2006
cok,93.5,2007
cok,93.62,2008
cok,93.77,2009
cok,93.85,2010
cri,76.5,1995
cri,76.16,1996
cri,75.43,1997
cri,76.11,1998
cri,76.28,1999
cri,76.83,2000
cri,75.31,2001
cri,74.63,2002
cri,74.11,2003
cri,72.11,2004
cri,70.27,2005
cri,68.99,2006
cri,67.27,2007
cri,66.88,2008
cri,67.41,2009
cri,68.1,2010
civ,22.56,1995
civ,23.66,1996
civ,23.52,1997
civ,20.44,1998
civ,23.06,1999
civ,26.27,2000
civ,24.21,2001
civ,29.96,2002
civ,25.84,2003
civ,25.37,2004
civ,19.84,2005
civ,19.22,2006
civ,22.27,2007
civ,23.74,2008
civ,20.85,2009
civ,21.59,2010
hrv,86.46,1995
hrv,87.58,1996
hrv,84.48,1997
hrv,87.04,1998
hrv,87.34,1999
hrv,86.14,2000
hrv,83.28,2001
hrv,80.05,2002
hrv,82.61,2003
hrv,81.06,2004
hrv,86.02,2005
hrv,86.07,2006
hrv,87.03,2007
hrv,84.87,2008
hrv,84.87,2009
hrv,84.87,2010
cub,89.57,1995
cub,89.85,1996
cub,90.04,1997
cub,89.85,1998
cub,90.5,1999
cub,90.1,2000
cub,89.62,2001
cub,88.14,2002
cub,89.45,2003
cub,90.25,2004
cub,93.46,2005
cub,92.77,2006
cub,95.0,2007
cub,95.28,2008
cub,92.72,2009
cub,91.47,2010
cyp,35.84,1995
cyp,34.1,1996
cyp,35.23,1997
cyp,41.88,1998
cyp,42.66,1999
cyp,41.65,2000
cyp,42.36,2001
cyp,44.98,2002
cyp,45.13,2003
cyp,43.84,2004
cyp,41.81,2005
cyp,42.43,2006
cyp,42.59,2007
cyp,41.51,2008
cyp,41.52,2009
cyp,41.51,2010
cze,90.89,1995
cze,90.67,1996
cze,90.29,1997
cze,90.43,1998
cze,90.48,1999
cze,90.32,2000
cze,89.77,2001
cze,90.47,2002
cze,89.8,2003
cze,89.15,2004
cze,87.31,2005
cze,86.73,2006
cze,85.19,2007
cze,82.55,2008
cze,83.96,2009
cze,83.68,2010
dnk,82.52,1995
dnk,82.42,1996
dnk,82.28,1997
dnk,82.08,1998
dnk,83.95,1999
dnk,83.86,2000
dnk,84.18,2001
dnk,84.49,2002
dnk,84.55,2003
dnk,84.27,2004
dnk,84.48,2005
dnk,84.64,2006
dnk,84.73,2007
dnk,84.95,2008
dnk,85.04,2009
dnk,85.11,2010
dji,60.02,1995
dji,58.28,1996
dji,61.51,1997
dji,66.06,1998
dji,70.78,1999
dji,67.77,2000
dji,64.87,2001
dji,64.54,2002
dji,67.02,2003
dji,61.71,2004
dji,68.43,2005
dji,66.74,2006
dji,69.19,2007
dji,68.0,2008
dji,69.32,2009
dji,65.29,2010
dma,70.36,1995
dma,70.44,1996
dma,71.25,1997
dma,70.56,1998
dma,69.93,1999
dma,68.97,2000
dma,67.72,2001
dma,67.26,2002
dma,66.08,2003
dma,65.14,2004
dma,62.13,2005
dma,64.24,2006
dma,62.48,2007
dma,62.24,2008
dma,65.24,2009
dma,69.64,2010
dom,20.9,1995
dom,23.2,1996
dom,26.33,1997
dom,30.83,1998
dom,33.77,1999
dom,34.54,2000
dom,31.08,2001
dom,32.27,2002
dom,33.06,2003
dom,28.68,2004
dom,31.58,2005
dom,36.97,2006
dom,35.95,2007
dom,37.05,2008
dom,41.4,2009
dom,43.35,2010
ecu,55.36,1995
ecu,58.62,1996
ecu,53.25,1997
ecu,38.96,1998
ecu,39.39,1999
ecu,31.25,2000
ecu,34.49,2001
ecu,33.72,2002
ecu,22.15,2003
ecu,22.99,2004
ecu,22.32,2005
ecu,23.81,2006
ecu,24.27,2007
ecu,26.53,2008
ecu,34.88,2009
ecu,37.21,2010
egy,46.5,1995
egy,41.56,1996
egy,38.7,1997
egy,39.95,1998
egy,40.37,1999
egy,40.47,2000
egy,40.47,2001
egy,40.26,2002
egy,40.37,2003
egy,40.46,2004
egy,40.64,2005
egy,44.18,2006
egy,41.21,2007
egy,42.19,2008
egy,39.49,2009
egy,37.41,2010
slv,38.52,1995
slv,41.0,1996
slv,38.56,1997
slv,42.51,1998
slv,43.38,1999
slv,45.22,2000
slv,45.45,2001
slv,46.64,2002
slv,47.26,2003
slv,49.32,2004
slv,52.64,2005
slv,62.02,2006
slv,59.08,2007
slv,59.41,2008
slv,60.28,2009
slv,61.7,2010
gnq,57.03,1995
gnq,52.41,1996
gnq,47.99,1997
gnq,47.39,1998
gnq,45.71,1999
gnq,46.32,2000
gnq,59.92,2001
gnq,78.36,2002
gnq,66.21,2003
gnq,57.25,2004
gnq,58.8,2005
gnq,66.34,2006
gnq,69.91,2007
gnq,55.72,2008
gnq,76.03,2009
gnq,75.93,2010
eri,47.9,1995
eri,37.27,1996
eri,42.18,1997
eri,43.13,1998
eri,42.78,1999
eri,47.63,2000
eri,52.68,2001
eri,49.27,2002
eri,47.19,2003
eri,46.21,2004
eri,45.95,2005
eri,45.57,2006
eri,45.28,2007
eri,50.55,2008
eri,47.7,2009
eri,48.24,2010
est,89.77,1995
est,88.37,1996
est,89.17,1997
est,86.35,1998
est,72.39,1999
est,67.77,2000
est,69.11,2001
est,67.33,2002
est,68.24,2003
est,66.77,2004
est,76.96,2005
est,73.66,2006
est,76.45,2007
est,79.03,2008
est,78.36,2009
est,78.68,2010
eth,40.03,1995
eth,38.15,1996
eth,40.87,1997
eth,43.76,1998
eth,46.58,1999
eth,53.56,2000
eth,57.12,2001
eth,54.02,2002
eth,57.91,2003
eth,57.19,2004
eth,60.91,2005
eth,55.29,2006
eth,56.74,2007
eth,51.89,2008
eth,53.55,2009
eth,53.54,2010
fji,79.88,1995
fji,81.62,1996
fji,82.68,1997
fji,82.28,1998
fji,80.39,1999
fji,84.07,2000
fji,80.7,2001
fji,82.54,2002
fji,81.2,2003
fji,80.73,2004
fji,81.38,2005
fji,78.52,2006
fji,74.55,2007
fji,75.49,2008
fji,69.8,2009
fji,70.13,2010
fin,71.68,1995
fin,71.62,1996
fin,72.11,1997
fin,72.47,1998
fin,71.46,1999
fin,71.26,2000
fin,71.97,2001
fin,72.46,2002
fin,74.56,2003
fin,74.97,2004
fin,75.39,2005
fin,74.84,2006
fin,74.36,2007
fin,74.45,2008
fin,74.71,2009
fin,75.05,2010
fra,79.69,1995
fra,79.56,1996
fra,79.64,1997
fra,79.52,1998
fra,79.45,1999
fra,79.38,2000
fra,79.38,2001
fra,79.66,2002
fra,78.92,2003
fra,78.82,2004
fra,78.84,2005
fra,78.74,2006
fra,78.34,2007
fra,77.7,2008
fra,77.93,2009
fra,77.85,2010
gab,37.85,1995
gab,40.27,1996
gab,40.0,1997
gab,40.35,1998
gab,35.62,1999
gab,41.97,2000
gab,42.03,2001
gab,36.31,2002
gab,43.77,2003
gab,45.72,2004
gab,42.28,2005
gab,42.67,2006
gab,43.88,2007
gab,43.7,2008
gab,47.92,2009
gab,52.93,2010
gmb,29.14,1995
gmb,29.66,1996
gmb,29.7,1997
gmb,34.0,1998
gmb,34.89,1999
gmb,33.77,2000
gmb,37.44,2001
gmb,37.52,2002
gmb,50.34,2003
gmb,57.79,2004
gmb,55.05,2005
gmb,56.84,2006
gmb,48.2,2007
gmb,47.99,2008
gmb,53.45,2009
gmb,50.85,2010
geo,5.215,1995
geo,11.67,1996
geo,18.66,1997
geo,18.26,1998
geo,18.12,1999
geo,17.01,2000
geo,17.76,2001
geo,16.05,2002
geo,14.82,2003
geo,15.32,2004
geo,19.17,2005
geo,21.11,2006
geo,17.75,2007
geo,19.79,2008
geo,22.27,2009
geo,23.64,2010
deu,81.36,1995
deu,81.93,1996
deu,80.63,1997
deu,79.87,1998
deu,79.79,1999
deu,79.5,2000
deu,79.28,2001
deu,79.01,2002
deu,78.44,2003
deu,76.72,2004
deu,76.61,2005
deu,76.43,2006
deu,76.42,2007
deu,76.55,2008
deu,76.86,2009
deu,77.08,2010
gha,57.45,1995
gha,57.32,1996
gha,54.63,1997
gha,55.6,1998
gha,50.32,1999
gha,48.7,2000
gha,57.02,2001
gha,49.67,2002
gha,51.3,2003
gha,61.9,2004
gha,66.35,2005
gha,56.51,2006
gha,62.36,2007
gha,58.04,2008
gha,56.71,2009
gha,59.49,2010
grc,52.04,1995
grc,52.95,1996
grc,52.84,1997
grc,52.06,1998
grc,53.42,1999
grc,60.01,2000
grc,60.76,2001
grc,57.99,2002
grc,59.79,2003
grc,59.12,2004
grc,60.11,2005
grc,62.03,2006
grc,60.35,2007
grc,59.94,2008
grc,61.66,2009
grc,59.4,2010
grd,43.53,1995
grd,43.39,1996
grd,43.53,1997
grd,42.91,1998
grd,47.63,1999
grd,52.03,2000
grd,58.85,2001
grd,52.81,2002
grd,49.12,2003
grd,46.93,2004
grd,47.75,2005
grd,49.78,2006
grd,47.33,2007
grd,45.12,2008
grd,49.18,2009
grd,44.97,2010
gtm,35.96,1995
gtm,34.09,1996
gtm,37.06,1997
gtm,47.53,1998
gtm,48.87,1999
gtm,39.69,2000
gtm,37.44,2001
gtm,35.42,2002
gtm,36.85,2003
gtm,34.25,2004
gtm,33.78,2005
gtm,33.14,2006
gtm,33.38,2007
gtm,34.53,2008
gtm,36.26,2009
gtm,34.87,2010
gin,20.46,1995
gin,18.86,1996
gin,20.26,1997
gin,16.8,1998
gin,18.39,1999
gin,18.66,2000
gin,21.48,2001
gin,21.29,2002
gin,24.17,2003
gin,16.89,2004
gin,11.3,2005
gin,12.79,2006
gin,8.024,2007
gin,13.87,2008
gin,8.187,2009
gin,11.29,2010
gnb,24.75,1995
gnb,30.32,1996
gnb,33.47,1997
gnb,31.25,1998
gnb,25.34,1999
gnb,16.19,2000
gnb,16.15,2001
gnb,36.1,2002
gnb,23.06,2003
gnb,15.66,2004
gnb,15.93,2005
gnb,15.38,2006
gnb,16.16,2007
gnb,15.3,2008
gnb,10.59,2009
gnb,10.03,2010
guy,79.24,1995
guy,79.6,1996
guy,80.14,1997
guy,79.76,1998
guy,79.22,1999
guy,82.44,2000
guy,81.27,2001
guy,81.86,2002
guy,79.39,2003
guy,73.33,2004
guy,65.44,2005
guy,65.74,2006
guy,56.98,2007
guy,90.81,2008
guy,86.63,2009
guy,85.4,2010
hti,40.89,1995
hti,38.11,1996
hti,39.41,1997
hti,33.91,1998
hti,30.02,1999
hti,27.72,2000
hti,26.15,2001
hti,22.74,2002
hti,20.62,2003
hti,22.62,2004
hti,21.29,2005
hti,23.78,2006
hti,23.87,2007
hti,25.26,2008
hti,21.78,2009
hti,21.45,2010
hnd,53.7,1995
hnd,49.59,1996
hnd,48.58,1997
hnd,51.92,1998
hnd,50.97,1999
hnd,66.81,2000
hnd,66.35,2001
hnd,64.33,2002
hnd,73.99,2003
hnd,65.04,2004
hnd,64.82,2005
hnd,60.97,2006
hnd,61.48,2007
hnd,61.21,2008
hnd,66.32,2009
hun,83.96,1995
hun,81.6,1996
hun,81.28,1997
hun,74.78,1998
hun,72.37,1999
hun,70.74,2000
hun,68.98,2001
hun,70.21,2002
hun,72.83,2003
hun,72.39,2004
hun,72.3,2005
hun,72.54,2006
hun,70.32,2007
hun,70.98,2008
hun,69.71,2009
hun,69.38,2010
isl,84.36,1995
isl,83.56,1996
isl,84.93,1997
isl,80.89,1998
isl,83.09,1999
isl,81.5,2000
isl,81.38,2001
isl,82.33,2002
isl,81.99,2003
isl,81.46,2004
isl,81.68,2005
isl,82.25,2006
isl,82.93,2007
isl,83.53,2008
isl,82.18,2009
isl,80.69,2010
ind,26.04,1995
ind,25.7,1996
ind,25.12,1997
ind,25.59,1998
ind,27.97,1999
ind,25.97,2000
ind,23.87,2001
ind,23.18,2002
ind,22.79,2003
ind,22.72,2004
ind,23.9,2005
ind,24.82,2006
ind,25.8,2007
ind,27.64,2008
ind,30.27,2009
ind,29.17,2010
idn,35.72,1995
idn,36.38,1996
idn,35.02,1997
idn,34.11,1998
idn,34.62,1999
idn,36.15,2000
idn,43.17,2001
idn,38.1,2002
idn,40.07,2003
idn,39.48,2004
idn,38.06,2005
idn,41.42,2006
idn,45.77,2007
idn,46.48,2008
idn,46.1,2009
idn,49.08,2010
irn,44.76,1995
irn,47.41,1996
irn,48.54,1997
irn,48.54,1998
irn,42.4,1999
irn,41.64,2000
irn,43.69,2001
irn,44.03,2002
irn,45.82,2003
irn,43.47,2004
irn,44.21,2005
irn,46.37,2006
irn,44.61,2007
irn,46.31,2008
irn,41.12,2009
irn,40.13,2010
irq,0.41,1996
irq,0.39,1997
irq,3.264,1998
irq,3.179,1999
irq,1.137,2000
irq,1.741,2001
irq,2.858,2002
irq,45.37,2003
irq,72.18,2004
irq,67.35,2005
irq,63.81,2006
irq,69.48,2007
irq,74.63,2008
irq,78.07,2009
irq,81.18,2010
irl,72.52,1995
irl,71.54,1996
irl,74.93,1997
irl,74.68,1998
irl,75.26,1999
irl,75.07,2000
irl,75.73,2001
irl,76.28,2002
irl,76.48,2003
irl,77.36,2004
irl,76.96,2005
irl,76.79,2006
irl,76.88,2007
irl,76.7,2008
irl,74.91,2009
irl,69.16,2010
isr,69.22,1995
isr,70.88,1996
isr,69.58,1997
isr,65.67,1998
isr,66.02,1999
isr,63.99,2000
isr,63.23,2001
isr,64.62,2002
isr,62.92,2003
isr,62.26,2004
isr,60.49,2005
isr,60.26,2006
isr,59.42,2007
isr,60.35,2008
isr,60.32,2009
isr,60.32,2010
ita,70.78,1995
ita,70.58,1996
ita,70.85,1997
ita,70.35,1998
ita,70.75,1999
ita,72.51,2000
ita,74.65,2001
ita,74.5,2002
ita,74.49,2003
ita,75.96,2004
ita,76.2,2005
ita,76.58,2006
ita,76.55,2007
ita,77.51,2008
ita,77.88,2009
ita,77.62,2010
jam,52.59,1995
jam,60.05,1996
jam,56.19,1997
jam,58.61,1998
jam,50.26,1999
jam,52.63,2000
jam,43.38,2001
jam,57.4,2002
jam,50.55,2003
jam,56.69,2004
jam,48.81,2005
jam,54.73,2006
jam,52.03,2007
jam,53.54,2008
jam,55.37,2009
jam,53.51,2010
jpn,82.27,1995
jpn,82.31,1996
jpn,81.23,1997
jpn,80.39,1998
jpn,80.73,1999
jpn,80.81,2000
jpn,81.4,2001
jpn,81.26,2002
jpn,80.42,2003
jpn,80.75,2004
jpn,81.58,2005
jpn,79.45,2006
jpn,80.38,2007
jpn,80.78,2008
jpn,82.32,2009
jpn,82.53,2010
jor,62.07,1995
jor,59.72,1996
jor,58.39,1997
jor,56.95,1998
jor,53.33,1999
jor,48.01,2000
jor,48.33,2001
jor,49.87,2002
jor,49.39,2003
jor,52.87,2004
jor,52.75,2005
jor,54.85,2006
jor,59.84,2007
jor,61.88,2008
jor,70.3,2009
jor,67.66,2010
kaz,63.81,1995
kaz,63.4,1996
kaz,64.12,1997
kaz,63.87,1998
