geo,male_self_employed_percent_of_male_labour_force,time
dza,28.9,2001
dza,27.9,2003
dza,30.7,2004
asm,2.9,1990
aia,18.0,1999
aia,15.2,2001
atg,20.0,1991
arg,30.9,1990
arg,29.8,1991
arg,30.5,1992
arg,32.0,1993
arg,29.9,1994
arg,31.0,1995
arg,30.4,1996
arg,29.3,1997
arg,29.3,1998
arg,29.0,1999
arg,29.6,2000
arg,30.5,2001
arg,32.2,2002
arg,28.9,2003
arg,28.4,2004
arg,28.1,2005
arg,26.7,2006
abw,9.9,1991
aus,18.1,1980
aus,17.3,1981
aus,17.7,1982
aus,17.7,1983
aus,18.2,1984
aus,17.5,1985
aus,17.2,1986
aus,17.2,1987
aus,17.1,1988
aus,16.7,1989
aus,16.7,1990
aus,17.2,1991
aus,17.8,1992
aus,18.2,1993
aus,17.6,1994
aus,17.2,1995
aus,16.9,1996
aus,16.8,1997
aus,16.6,1998
aus,16.6,1999
aus,16.1,2000
aus,16.1,2001
aus,16.3,2002
aus,15.9,2003
aus,15.6,2004
aus,15.3,2005
aus,14.9,2006
aus,14.3,2007
aut,11.9,1994
aut,12.3,1995
aut,12.1,1996
aut,12.1,1997
aut,12.3,1998
aut,12.2,1999
aut,12.1,2000
aut,12.5,2001
aut,12.6,2002
aut,12.4,2003
aut,14.2,2004
aut,14.2,2005
aut,14.3,2006
aut,14.1,2007
aze,28.0,2003
aze,48.2,2004
aze,49.4,2005
aze,52.6,2006
aze,49.3,2007
bhs,15.6,1993
bhs,16.9,1994
bhs,16.1,1995
bhs,19.2,1996
bhs,18.7,1997
bhs,18.4,1998
bhs,19.9,1999
bhs,18.3,2001
bhs,19.9,2002
bhs,17.7,2003
bhs,17.8,2004
bgd,43.0,1996
bgd,49.8,2000
bgd,73.9,2003
bgd,75.1,2005
brb,14.4,1990
brb,15.3,1991
brb,16.2,1992
brb,16.8,1993
brb,15.7,1994
brb,15.6,1995
brb,15.4,1996
brb,15.4,1997
brb,15.7,1998
brb,17.9,1999
brb,16.8,2000
brb,18.4,2001
brb,18.2,2002
brb,19.4,2003
brb,19.8,2004
bel,15.2,1980
bel,15.7,1981
bel,16.1,1982
bel,16.6,1983
bel,16.9,1984
bel,17.0,1985
bel,17.1,1986
bel,17.4,1987
bel,17.5,1988
bel,17.5,1989
bel,17.6,1990
bel,17.8,1991
bel,18.0,1992
bel,18.5,1993
bel,18.5,1994
bel,18.5,1995
bel,18.8,1996
bel,18.8,1997
bel,18.7,1998
bel,18.5,1999
bel,17.1,2005
bel,17.2,2006
blz,28.8,1993
blz,28.8,1994
blz,30.7,1995
blz,33.9,1996
blz,33.6,1997
blz,32.0,1998
blz,34.5,1999
blz,29.3,2005
btn,19.3,2005
bol,35.4,1989
bol,33.7,1990
bol,32.6,1991
bol,34.1,1992
bol,32.9,1993
bol,33.2,1994
bol,34.0,1995
bol,36.3,1996
bol,41.2,1997
bol,38.4,1999
bol,40.3,2000
bol,46.0,2001
bol,48.9,2002
bih,25.0,2006
bwa,45.1,1984
bwa,8.6,1994
bwa,9.4,1998
bwa,11.9,2000
bwa,15.3,2001
bwa,8.1,2003
bra,31.0,1990
bra,33.6,1992
bra,33.3,1993
bra,34.8,1995
bra,34.3,1996
bra,22.1,1997
bra,22.6,1998
bra,23.1,1999
bra,34.2,2001
bra,34.0,2002
bra,34.4,2003
bra,33.6,2004
bra,30.9,2005
bra,30.6,2006
vgb,14.2,1991
brn,5.2,1991
bgr,20.2,2001
bgr,16.8,2003
bgr,16.8,2004
bgr,15.7,2005
bgr,15.1,2006
bgr,14.3,2007
bfa,50.0,1985
bfa,40.7,1994
khm,54.6,2000
khm,49.3,2001
cmr,65.9,1996
cmr,57.0,2001
can,9.6,1980
can,9.6,1981
can,10.4,1982
can,10.7,1983
can,10.8,1984
can,11.5,1985
can,10.8,1986
can,16.9,1987
can,17.2,1988
can,16.8,1989
can,17.6,1990
can,18.5,1991
can,18.6,1992
can,19.3,1993
can,19.2,1994
can,19.0,1995
can,19.7,1996
can,20.1,1997
can,20.1,1998
can,20.1,1999
can,19.1,2000
can,18.6,2001
can,18.2,2002
can,18.7,2003
can,18.9,2004
can,19.0,2005
can,18.5,2006
can,19.1,2007
cpv,32.6,2000
cym,13.6,2006
cym,10.3,2007
tcd,76.7,1993
chl,27.7,1990
chl,27.3,1992
chl,27.0,1994
chl,30.4,1996
chl,30.0,1997
chl,30.9,1998
chl,31.6,1999
chl,31.7,2000
chl,32.5,2001
chl,32.5,2002
chl,32.9,2003
chl,32.3,2004
chl,30.8,2005
chl,29.1,2006
chl,28.2,2007
col,35.5,1991
col,34.2,1992
col,34.1,1993
col,32.8,1994
col,36.8,1995
col,36.6,1996
col,38.1,1997
col,37.8,1998
col,40.8,1999
col,42.2,2000
col,47.5,2001
col,47.6,2002
col,46.9,2003
col,48.6,2004
col,46.1,2005
col,43.7,2006
col,43.6,2007
cri,27.0,1987
cri,27.5,1988
cri,27.5,1989
cri,28.3,1990
cri,28.4,1991
cri,27.3,1992
cri,26.6,1993
cri,26.7,1994
cri,27.3,1995
cri,28.6,1996
cri,29.4,1997
cri,28.3,1998
cri,28.4,1999
cri,29.7,2000
cri,29.9,2001
cri,29.3,2003
cri,30.4,2004
cri,27.9,2005
cri,29.3,2006
cri,27.4,2007
hrv,25.1,1996
hrv,22.6,1997
hrv,23.0,1998
hrv,23.3,1999
hrv,23.2,2000
hrv,24.5,2001
hrv,23.3,2002
hrv,23.4,2003
hrv,23.0,2004
hrv,24.3,2005
hrv,23.3,2006
hrv,21.6,2007
cub,20.4,1995
cub,20.1,1996
cub,21.1,1997
cub,22.3,1998
cub,23.9,1999
cub,24.8,2000
cub,26.1,2001
cub,26.2,2002
cub,26.7,2003
cub,27.0,2004
cub,26.2,2005
cub,23.9,2006
cub,23.3,2007
cyp,27.0,1999
cyp,27.6,2000
cyp,28.4,2001
cyp,27.7,2002
cyp,29.0,2003
cyp,28.4,2004
cyp,27.5,2005
cyp,25.6,2006
cyp,25.2,2007
cze,15.4,1993
cze,16.0,1994
cze,16.7,1995
cze,17.1,1996
cze,17.1,1997
cze,18.3,1998
cze,19.2,1999
cze,19.7,2000
cze,19.7,2001
cze,20.8,2002
cze,21.8,2003
cze,21.6,2004
cze,20.5,2005
cze,20.4,2006
cze,20.5,2007
dnk,18.8,1983
dnk,11.9,1995
dnk,11.9,1996
dnk,11.5,1997
dnk,12.0,1998
dnk,12.1,1999
dnk,11.2,2000
dnk,12.0,2001
dnk,12.0,2002
dnk,11.4,2003
dnk,11.5,2004
dnk,11.2,2005
dnk,11.3,2006
dnk,11.6,2007
dji,19.1,1991
dma,37.9,1991
dma,36.7,1997
dma,43.8,1999
dma,34.3,2001
dom,41.0,1991
dom,41.6,1992
dom,40.3,1993
dom,39.3,1994
dom,42.4,1995
dom,40.3,1996
dom,47.2,1997
dom,49.8,1998
dom,51.8,1999
dom,48.3,2000
dom,50.1,2001
dom,51.5,2002
dom,52.0,2003
dom,50.3,2004
dom,51.5,2005
ecu,35.3,1988
ecu,36.5,1989
ecu,35.8,1990
ecu,35.1,1991
ecu,37.9,1992
ecu,36.8,1993
ecu,37.0,1994
