high_technology_exports_percent_of_manufactured_exports,geo,time
8.26,mda,2010
1.117,mng,1996
3.65,mng,1997
1.571,mng,1998
3.922,mng,1999
0.4686,mng,2000
0.08347,mng,2001
0.4462,mng,2002
0.2055,mng,2003
0.1369,mng,2004
0.0606,mng,2005
1.66,mng,2006
7.428,mng,2007
2.526,mar,1993
2.12,mar,1994
0.5506,mar,1995
0.3599,mar,1996
0.4117,mar,1997
9.566,mar,1998
12.33,mar,1999
11.29,mar,2000
9.509,mar,2001
11.11,mar,2002
11.35,mar,2003
10.18,mar,2004
9.641,mar,2005
9.791,mar,2006
8.818,mar,2007
5.95,mar,2008
7.325,mar,2009
7.692,mar,2010
1.033,moz,1994
3.836,moz,1995
5.929,moz,1996
11.07,moz,1997
2.196,moz,1999
9.021,moz,2000
2.007,moz,2001
3.522,moz,2002
6.891,moz,2003
11.28,moz,2004
8.367,moz,2005
2.308,moz,2006
10.57,moz,2007
3.792,moz,2008
9.516,moz,2009
1.268,moz,2010
0.08307,mmr,1992
1.82,nam,2000
0.8418,nam,2001
1.363,nam,2002
2.629,nam,2003
5.417,nam,2004
11.95,nam,2005
6.499,nam,2006
5.187,nam,2007
0.9171,nam,2008
2.922,npl,1994
0.002832,npl,1998
0.0002599,npl,1999
0.01103,npl,2000
0.1222,npl,2003
0.4134,npl,2009
0.6488,npl,2010
14.59,nld,1988
15.87,nld,1989
16.46,nld,1990
17.62,nld,1991
19.38,nld,1992
23.39,nld,1993
22.43,nld,1994
24.14,nld,1995
26.78,nld,1996
27.38,nld,1997
30.25,nld,1998
33.28,nld,1999
35.81,nld,2000
32.71,nld,2001
28.01,nld,2002
31.35,nld,2003
30.47,nld,2004
30.89,nld,2005
28.99,nld,2006
23.31,nld,2007
19.25,nld,2008
20.9,nld,2009
21.29,nld,2010
1.713,ncl,1999
0.5944,ncl,2000
0.9824,ncl,2001
0.679,ncl,2002
0.7526,ncl,2003
2.219,ncl,2004
0.5079,ncl,2005
1.48,ncl,2006
0.5611,ncl,2007
0.5459,ncl,2008
6.966,ncl,2009
0.8493,ncl,2010
3.912,nzl,1988
4.422,nzl,1989
4.429,nzl,1990
4.762,nzl,1991
5.251,nzl,1992
5.398,nzl,1993
6.29,nzl,1994
7.293,nzl,1995
7.456,nzl,1996
9.166,nzl,1997
12.28,nzl,1998
15.16,nzl,1999
9.665,nzl,2000
9.353,nzl,2001
9.381,nzl,2002
9.553,nzl,2003
9.572,nzl,2004
10.19,nzl,2005
10.32,nzl,2006
9.083,nzl,2007
8.469,nzl,2008
8.938,nzl,2009
9.003,nzl,2010
6.464,nic,1993
3.608,nic,1994
0.9708,nic,1995
0.4414,nic,1996
0.6492,nic,1997
4.193,nic,1998
2.347,nic,1999
4.885,nic,2000
3.226,nic,2001
5.165,nic,2002
4.308,nic,2003
6.561,nic,2004
5.173,nic,2005
7.159,nic,2006
4.352,nic,2007
0.8733,nic,2008
5.349,nic,2009
4.813,nic,2010
9.366,ner,1995
19.75,ner,1996
8.823,ner,1997
4.574,ner,1998
15.5,ner,1999
5.63,ner,2000
3.601,ner,2001
2.949,ner,2002
3.454,ner,2003
3.594,ner,2004
11.16,ner,2005
11.93,ner,2006
12.71,ner,2007
7.113,ner,2008
14.47,ner,2009
6.563,ner,2010
1.676,nga,1996
0.1116,nga,1997
0.0181,nga,1998
13.39,nga,1999
0.5907,nga,2000
0.367,nga,2001
0.1423,nga,2002
1.731,nga,2003
7.787,nga,2006
0.9955,nga,2007
0.4085,nga,2008
2.528,nga,2009
1.089,nga,2010
12.04,nor,1988
10.64,nor,1989
11.44,nor,1990
10.92,nor,1991
12.41,nor,1992
14.7,nor,1993
14.58,nor,1994
13.54,nor,1995
14.1,nor,1996
14.56,nor,1997
15.68,nor,1998
15.68,nor,1999
16.76,nor,2000
18.19,nor,2001
20.64,nor,2002
16.83,nor,2003
17.44,nor,2004
16.09,nor,2005
17.22,nor,2006
14.73,nor,2007
14.85,nor,2008
15.8,nor,2009
16.08,nor,2010
3.561,omn,1988
14.15,omn,1989
14.74,omn,1990
12.23,omn,1991
4.457,omn,1992
6.756,omn,1993
6.271,omn,1994
4.494,omn,1995
5.466,omn,1996
8.504,omn,1997
8.543,omn,1998
9.644,omn,1999
3.117,omn,2000
3.1,omn,2001
2.167,omn,2002
5.743,omn,2003
0.6783,omn,2004
0.2754,omn,2005
0.3055,omn,2006
0.456,omn,2007
0.7353,omn,2008
0.2951,omn,2009
0.5843,omn,2010
0.07165,pak,1990
0.02456,pak,1991
0.03388,pak,1992
0.07095,pak,1993
0.04115,pak,1995
0.03251,pak,1996
0.08787,pak,1997
0.1142,pak,1998
0.3136,pak,1999
0.3879,pak,2000
0.2972,pak,2001
0.6745,pak,2002
1.212,pak,2003
1.093,pak,2004
1.38,pak,2005
1.447,pak,2006
1.383,pak,2007
1.851,pak,2008
1.715,pak,2009
1.685,pak,2010
2.766,pan,1995
2.604,pan,1996
3.016,pan,1997
1.896,pan,1998
1.364,pan,1999
1.229,pan,2000
2.181,pan,2001
1.902,pan,2002
1.353,pan,2003
2.317,pan,2004
0.9831,pan,2005
1.343,pan,2006
2.558,pan,2007
1.234,pan,2008
1.374,pan,2009
0.826,pan,2010
41.56,png,1998
19.03,png,2000
46.27,png,2001
16.95,png,2002
40.17,png,2003
60.86,png,2004
0.1018,pry,1989
0.1955,pry,1990
0.8458,pry,1991
1.063,pry,1992
0.8485,pry,1993
1.073,pry,1994
2.096,pry,1995
1.27,pry,1996
2.177,pry,1997
3.549,pry,1998
2.847,pry,1999
2.941,pry,2000
4.131,pry,2001
3.232,pry,2002
5.662,pry,2003
6.746,pry,2004
7.156,pry,2005
8.291,pry,2006
6.438,pry,2007
6.538,pry,2008
10.97,pry,2009
6.612,pry,2010
1.347,per,1992
1.433,per,1993
2.488,per,1994
2.411,per,1995
5.824,per,1996
4.549,per,1997
4.045,per,1998
4.492,per,1999
4.377,per,2000
4.286,per,2001
2.605,per,2002
2.639,per,2003
2.894,per,2004
3.232,per,2005
2.717,per,2006
2.509,per,2007
2.747,per,2008
3.465,per,2009
6.587,per,2010
32.46,phl,1991
27.49,phl,1992
30.29,phl,1993
31.54,phl,1994
35.03,phl,1995
58.46,phl,1996
66.51,phl,1997
71.97,phl,1998
74.99,phl,1999
72.63,phl,2000
71.9,phl,2001
74.18,phl,2002
73.64,phl,2003
72.63,phl,2004
70.79,phl,2005
67.71,phl,2006
68.9,phl,2007
66.31,phl,2008
65.53,phl,2009
67.82,phl,2010
3.484,pol,1992
2.775,pol,1993
2.441,pol,1994
2.576,pol,1995
2.916,pol,1996
2.618,pol,1997
2.949,pol,1998
2.649,pol,1999
3.361,pol,2000
3.172,pol,2001
2.879,pol,2002
3.074,pol,2003
3.337,pol,2004
3.79,pol,2005
3.741,pol,2006
3.036,pol,2007
4.316,pol,2008
6.101,pol,2009
6.744,pol,2010
3.968,prt,1988
4.475,prt,1989
4.124,prt,1990
3.664,prt,1991
3.53,prt,1992
2.642,prt,1993
3.627,prt,1994
5.127,prt,1995
4.1,prt,1996
4.058,prt,1997
3.934,prt,1998
4.797,prt,1999
6.229,prt,2000
7.801,prt,2001
7.204,prt,2002
8.5,prt,2003
8.684,prt,2004
8.88,prt,2005
9.276,prt,2006
8.354,prt,2007
8.144,prt,2008
3.768,prt,2009
3.391,prt,2010
0.003521,qat,1991
0.003449,qat,1992
0.0009742,qat,1993
0.0,qat,1994
0.004188,qat,1995
0.002421,qat,1996
0.0,qat,1998
0.01122,qat,1999
7.361e-05,qat,2000
0.009626,qat,2001
0.0001947,qat,2002
0.002467,qat,2003
0.02032,qat,2004
0.007111,qat,2005
0.01322,qat,2006
0.07534,qat,2007
0.0125,qat,2008
0.03348,qat,2009
2.851,rou,1989
3.286,rou,1990
1.53,rou,1991
1.448,rou,1992
1.066,rou,1993
1.619,rou,1994
1.289,rou,1995
1.237,rou,1996
1.206,rou,1997
1.806,rou,1998
3.545,rou,1999
5.87,rou,2000
6.143,rou,2001
3.801,rou,2002
3.968,rou,2003
3.725,rou,2004
3.842,rou,2005
4.827,rou,2006
3.48,rou,2007
6.687,rou,2008
9.109,rou,2009
10.95,rou,2010
9.665,rus,1996
9.344,rus,1997
11.98,rus,1998
12.34,rus,1999
16.07,rus,2000
14.04,rus,2001
19.16,rus,2002
18.98,rus,2003
12.92,rus,2004
8.438,rus,2005
7.777,rus,2006
6.878,rus,2007
6.475,rus,2008
9.229,rus,2009
8.848,rus,2010
0.5989,rwa,1996
3.097,rwa,1997
2.167,rwa,1998
0.602,rwa,1999
1.523,rwa,2001
83.64,rwa,2002
27.0,rwa,2003
19.89,rwa,2004
25.97,rwa,2005
16.32,rwa,2006
16.36,rwa,2007
6.888,rwa,2008
11.64,rwa,2009
5.944,rwa,2010
5.328,kna,1993
6.194,kna,1994
0.2999,kna,1995
0.7483,kna,1996
1.33,kna,1997
0.1766,kna,1999
0.6405,kna,2000
0.218,kna,2001
0.06597,kna,2002
0.7039,kna,2003
0.07572,kna,2004
0.6814,kna,2005
0.3325,kna,2006
1.024,kna,2007
0.4518,kna,2008
1.301,lca,1991
3.701,lca,1992
3.199,lca,1993
6.804,lca,1994
4.912,lca,1995
7.288,lca,1996
3.614,lca,1997
5.181,lca,1998
5.064,lca,1999
5.524,lca,2000
5.199,lca,2001
7.804,lca,2002
8.409,lca,2003
7.319,lca,2004
8.5,lca,2005
11.23,lca,2006
14.82,lca,2007
16.88,lca,2008
0.01404,vct,1993
17.31,vct,1994
0.02615,vct,1996
0.0,vct,1997
0.0,vct,1998
0.0,vct,1999
0.008552,vct,2000
0.004238,vct,2001
0.003063,vct,2002
0.0,vct,2003
0.0,vct,2004
0.05359,vct,2005
0.02743,vct,2006
0.2088,vct,2007
0.007073,vct,2008
0.773,vct,2009
0.1559,vct,2010
0.5081,wsm,2001
0.1517,wsm,2002
0.1459,wsm,2003
0.08313,wsm,2004
8.737,wsm,2005
0.04974,wsm,2006
0.07253,wsm,2007
0.5772,wsm,2008
0.314,wsm,2009
0.2012,wsm,2010
1.079,stp,2002
7.682,stp,2005
1.278,stp,2006
0.2557,stp,2007
0.04498,stp,2008
15.56,stp,2009
14.03,stp,2010
0.3732,sau,1991
0.3516,sau,1992
0.1693,sau,1993
0.09637,sau,1994
0.1973,sau,1995
0.7496,sau,1996
0.3576,sau,1998
0.9873,sau,1999
0.4256,sau,2000
0.4699,sau,2001
0.3754,sau,2002
1.371,sau,2003
0.3603,sau,2004
0.6689,sau,2005
0.9386,sau,2006
0.6566,sau,2007
0.4612,sau,2008
0.2648,sau,2009
0.7329,sau,2010
1.463,sen,1996
1.712,sen,1997
5.766,sen,1998
12.29,sen,1999
7.286,sen,2000
4.46,sen,2001
4.261,sen,2002
4.902,sen,2003
5.817,sen,2004
8.271,sen,2005
5.847,sen,2006
4.473,sen,2007
5.262,sen,2008
11.86,sen,2009
1.189,sen,2010
1.04,syc,1992
0.0,syc,1993
0.02598,syc,1994
0.0,syc,1995
0.0,syc,1996
0.0,syc,1997
0.0,syc,1998
0.0,syc,1999
2.089,syc,2000
0.8246,syc,2001
22.53,syc,2002
0.0,syc,2003
0.0,syc,2004
19.18,syc,2005
3.145,syc,2006
0.0,syc,2007
3.351,syc,2008
27.65,sle,2000
31.08,sle,2002
36.44,sgp,1989
39.89,sgp,1990
40.54,sgp,1991
44.8,sgp,1992
47.5,sgp,1993
50.66,sgp,1994
54.15,sgp,1995
55.71,sgp,1996
57.02,sgp,1997
59.07,sgp,1998
60.9,sgp,1999
62.79,sgp,2000
60.95,sgp,2001
60.63,sgp,2002
56.54,sgp,2003
56.88,sgp,2004
56.89,sgp,2005
58.07,sgp,2006
45.21,sgp,2007
49.38,sgp,2008
48.14,sgp,2009
49.91,sgp,2010
4.061,svk,1994
3.121,svk,1995
3.173,svk,1996
3.614,svk,1997
3.561,svk,1998
4.284,svk,1999
3.633,svk,2000
3.862,svk,2001
3.213,svk,2002
3.802,svk,2003
5.479,svk,2004
7.438,svk,2005
6.72,svk,2006
5.354,svk,2007
5.264,svk,2008
5.704,svk,2009
7.094,svk,2010
3.335,svn,1992
3.433,svn,1993
3.619,svn,1995
4.507,svn,1996
4.323,svn,1997
4.512,svn,1998
4.131,svn,1999
4.905,svn,2000
5.336,svn,2001
5.422,svn,2002
6.422,svn,2003
5.732,svn,2004
4.929,svn,2005
5.507,svn,2006
5.013,svn,2007
5.821,svn,2008
6.399,svn,2009
5.487,svn,2010
6.968,zaf,1992
4.728,zaf,1993
4.877,zaf,1994
5.711,zaf,1995
5.651,zaf,1996
7.531,zaf,1997
8.749,zaf,1998
7.147,zaf,1999
7.001,zaf,2000
6.46,zaf,2001
5.164,zaf,2002
4.829,zaf,2003
5.538,zaf,2004
6.656,zaf,2005
6.459,zaf,2006
5.581,zaf,2007
5.123,zaf,2008
5.355,zaf,2009
4.281,zaf,2010
6.803,esp,1988
6.907,esp,1989
6.718,esp,1990
7.81,esp,1991
7.445,esp,1992
8.31,esp,1993
8.402,esp,1994
7.271,esp,1995
7.604,esp,1996
7.009,esp,1997
6.957,esp,1998
7.866,esp,1999
7.987,esp,2000
7.765,esp,2001
7.217,esp,2002
7.489,esp,2003
7.259,esp,2004
7.261,esp,2005
6.382,esp,2006
5.107,esp,2007
5.306,esp,2008
6.231,esp,2009
6.357,esp,2010
0.5977,lka,1990
0.6671,lka,1991
1.052,lka,1992
1.127,lka,1993
1.205,lka,1994
3.239,lka,1999
2.171,lka,2001
0.5548,lka,2002
0.6848,lka,2003
1.529,lka,2004
2.308,lka,2005
1.495,lka,2006
2.084,lka,2007
1.863,lka,2008
0.9493,lka,2009
1.026,lka,2010
0.5001,sdn,1996
9.537e-05,sdn,1997
0.08909,sdn,1998
8.647,sdn,1999
3.801,sdn,2000
2.542,sdn,2001
8.842,sdn,2002
0.04183,sdn,2003
0.0,sdn,2004
0.5783,sdn,2005
0.6057,sdn,2006
0.1024,sdn,2008
29.37,sdn,2009
0.0383,sur,1994
0.02534,sur,1995
0.4264,sur,1996
0.2211,sur,1997
0.5852,sur,1998
0.205,sur,1999
8.166,sur,2000
6.346,sur,2001
10.69,sur,2002
10.94,sur,2003
8.014,sur,2004
13.7,sur,2005
6.219,sur,2006
8.698,sur,2007
5.458,sur,2008
13.92,sur,2009
12.14,sur,2010
0.4029,swz,2000
0.7861,swz,2001
0.4852,swz,2002
0.299,swz,2003
0.1037,swz,2004
0.07649,swz,2005
0.1342,swz,2006
0.1156,swz,2007
12.34,swe,1988
12.71,swe,1989
12.9,swe,1990
13.29,swe,1991
13.31,swe,1992
12.97,swe,1993
12.83,swe,1994
16.41,swe,1995
17.94,swe,1996
19.44,swe,1997
19.82,swe,1998
21.54,swe,1999
22.77,swe,2000
17.39,swe,2001
18.17,swe,2002
16.26,swe,2003
17.41,swe,2004
16.94,swe,2005
16.1,swe,2006
11.53,swe,2007
11.2,swe,2008
12.91,swe,2009
13.93,swe,2010
16.06,che,1988
15.77,che,1989
15.58,che,1990
15.55,che,1991
15.93,che,1992
15.61,che,1993
15.77,che,1994
17.14,che,1995
17.78,che,1996
18.01,che,1997
19.29,che,1998
21.83,che,1999
21.86,che,2000
22.74,che,2001
23.58,che,2002
24.1,che,2003
23.74,che,2004
23.59,che,2005
23.34,che,2006
22.75,che,2007
23.89,che,2008
25.54,che,2009
24.84,che,2010
0.5317,syr,2000
0.406,syr,2001
0.6143,syr,2002
0.7971,syr,2003
1.024,syr,2004
2.082,syr,2005
0.8048,syr,2006
1.271,syr,2007
1.807,syr,2008
41.75,tjk,2000
0.1804,tza,1997
3.452,tza,1998
5.923,tza,1999
1.168,tza,2000
1.591,tza,2001
0.7413,tza,2002
1.409,tza,2003
0.821,tza,2004
1.105,tza,2005
0.5635,tza,2006
1.502,tza,2007
1.535,tza,2008
3.042,tza,2009
3.478,tza,2010
18.95,tha,1989
20.87,tha,1990
20.84,tha,1991
22.04,tha,1992
20.65,tha,1993
23.72,tha,1994
24.54,tha,1995
29.15,tha,1996
30.76,tha,1997
34.42,tha,1998
32.4,tha,1999
33.36,tha,2000
31.51,tha,2001
30.78,tha,2002
30.31,tha,2003
28.13,tha,2004
26.67,tha,2005
27.39,tha,2006
25.96,tha,2007
24.55,tha,2008
25.34,tha,2009
24.02,tha,2010
0.0,tls,2004
0.0,tls,2005
1.81,tgo,1988
0.5898,tgo,1991
1.799,tgo,1994
4.993,tgo,1995
5.288,tgo,1996
2.019,tgo,1997
0.592,tgo,1998
0.6655,tgo,1999
0.6016,tgo,2000
0.6232,tgo,2001
0.6576,tgo,2002
1.014,tgo,2003
0.02654,tgo,2004
0.09347,tgo,2005
0.058,tgo,2007
0.0,ton,2000
0.0,ton,2001
0.0,ton,2008
0.1063,ton,2009
0.03876,ton,2010
0.1465,tto,1991
0.2485,tto,1992
3.93,tto,1993
1.206,tto,1994
3.197,tto,1995
0.3102,tto,1996
0.2414,tto,1997
1.362,tto,1998
1.97,tto,1999
0.9133,tto,2000
3.226,tto,2001
1.993,tto,2002
0.2447,tto,2003
1.149,tto,2004
1.347,tto,2005
1.03,tto,2006
1.563,tto,2007
0.7486,tto,2008
0.2433,tto,2009
2.121,tun,1990
1.849,tun,1991
1.644,tun,1992
2.841,tun,1993
1.544,tun,1994
1.609,tun,1995
1.639,tun,1996
1.653,tun,1997
2.058,tun,1998
2.701,tun,1999
3.427,tun,2000
3.314,tun,2001
3.709,tun,2002
3.805,tun,2003
5.023,tun,2004
4.511,tun,2005
6.681,tun,2006
5.417,tun,2007
4.544,tun,2008
4.098,tun,2009
4.894,tun,2010
1.749,tur,1989
1.214,tur,1990
1.0,tur,1991
1.175,tur,1992
1.339,tur,1993
1.655,tur,1994
1.206,tur,1995
1.607,tur,1996
2.145,tur,1997
2.183,tur,1998
4.141,tur,1999
4.826,tur,2000
3.871,tur,2001
1.79,tur,2002
1.932,tur,2003
1.897,tur,2004
1.474,tur,2005
1.854,tur,2006
1.893,tur,2007
1.616,tur,2008
1.738,tur,2009
1.934,tur,2010
0.001237,tkm,1998
11.66,tkm,1999
4.952,tkm,2000
14.9,tca,1999
19.57,tca,2000
7.698,tca,2001
3.331,tca,2002
5.818,tca,2003
9.207,tca,2004
27.82,tuv,2002
17.69,tuv,2003
4.25,tuv,2004
14.98,tuv,2005
10.99,uga,1994
2.107,uga,1995
0.2499,uga,1996
1.292,uga,1997
4.588,uga,1998
10.71,uga,1999
4.357,uga,2000
12.87,uga,2001
15.32,uga,2002
6.301,uga,2003
3.282,uga,2004
12.5,uga,2005
33.76,uga,2006
10.49,uga,2007
1.256,uga,2008
1.082,uga,2009
2.371,uga,2010
3.891,ukr,1996
4.37,ukr,1997
5.101,ukr,1998
4.379,ukr,1999
5.227,ukr,2000
4.658,ukr,2001
4.861,ukr,2002
6.918,ukr,2003
6.297,ukr,2004
3.725,ukr,2005
3.398,ukr,2006
3.654,ukr,2007
3.287,ukr,2008
5.551,ukr,2009
4.336,ukr,2010
0.02648,are,1991
0.152,are,1992
0.03165,are,1993
1.121,are,1999
0.7084,are,2000
1.965,are,2001
1.871,are,2005
1.07,are,2007
3.203,are,2008
24.74,gbr,1988
25.2,gbr,1989
23.61,gbr,1990
24.65,gbr,1991
23.59,gbr,1992
25.97,gbr,1993
25.7,gbr,1994
27.03,gbr,1995
26.69,gbr,1996
27.09,gbr,1997
28.68,gbr,1998
29.92,gbr,1999
32.33,gbr,2000
34.08,gbr,2001
31.74,gbr,2002
26.28,gbr,2003
24.49,gbr,2004
28.31,gbr,2005
33.88,gbr,2006
18.92,gbr,2007
18.5,gbr,2008
21.79,gbr,2009
20.9,gbr,2010
32.16,usa,1989
32.53,usa,1990
32.4,usa,1991
32.56,usa,1992
31.47,usa,1993
31.0,usa,1994
30.3,usa,1995
30.76,usa,1996
31.73,usa,1997
33.22,usa,1998
34.26,usa,1999
33.79,usa,2000
32.59,usa,2001
31.76,usa,2002
30.82,usa,2003
30.28,usa,2004
29.9,usa,2005
30.06,usa,2006
27.22,usa,2007
25.92,usa,2008
21.49,usa,2009
19.93,usa,2010
2.713,ury,1993
1.92,ury,1994
2.626,ury,1995
2.656,ury,1996
2.189,ury,1997
2.106,ury,1998
2.429,ury,1999
2.223,ury,2000
2.197,ury,2001
3.108,ury,2002
2.644,ury,2003
2.923,ury,2004
2.715,ury,2005
3.404,ury,2006
3.415,ury,2007
4.594,ury,2008
5.8,ury,2009
19.83,vut,1990
12.7,vut,1991
4.945,vut,1994
0.3557,vut,2000
7.657,vut,2006
2.017,vut,2007
3.939,ven,1990
1.491,ven,1991
2.201,ven,1992
2.567,ven,1993
2.391,ven,1994
2.723,ven,1995
2.522,ven,1996
2.547,ven,1997
2.603,ven,1998
3.018,ven,1999
2.891,ven,2000
3.378,ven,2001
3.429,ven,2002
4.22,ven,2003
2.438,ven,2004
2.302,ven,2005
2.414,ven,2006
3.471,ven,2008
4.178,ven,2009
5.052,ven,2010
0.1358,vnm,1997
0.1021,vnm,1998
0.1739,vnm,1999
11.07,vnm,2000
8.508,vnm,2001
5.858,vnm,2002
5.567,vnm,2003
4.48,vnm,2004
5.363,vnm,2005
6.218,vnm,2006
8.949,vnm,2007
4.79,vnm,2008
6.212,vnm,2009
0.00264,yem,2001
0.01091,yem,2002
0.5215,yem,2003
0.259,yem,2004
0.2392,yem,2005
0.51,yem,2006
0.3823,yem,2007
0.2753,yem,2008
0.3745,yem,2009
2.48,zmb,1993
2.163,zmb,1995
2.046,zmb,1996
25.09,zmb,1997
4.023,zmb,1998
1.113,zmb,1999
0.3162,zmb,2000
0.1368,zmb,2001
0.4007,zmb,2002
0.5051,zmb,2003
0.7565,zmb,2004
1.091,zmb,2005
1.869,zmb,2006
2.946,zmb,2007
2.544,zmb,2008
1.499,zmb,2009
0.955,zmb,2010
1.488,zwe,1990
0.8795,zwe,1991
0.8942,zwe,1992
0.671,zwe,1993
1.133,zwe,1994
1.163,zwe,1995
2.108,zwe,1996
2.026,zwe,1997
1.945,zwe,1999
1.684,zwe,2000
0.5444,zwe,2001
2.686,zwe,2002
0.9029,zwe,2004
1.549,zwe,2005
13.49,zwe,2006
3.092,zwe,2007
12.21,zwe,2008
0.9844,zwe,2009
0.8434,zwe,2010
