geo,production_sector_aid_given_percent_of_aid,time
aus,40.83,1967
aus,47.53,1968
aus,30.62,1969
aus,19.01,1970
aus,10.59,1971
aus,18.44,1972
aus,32.33,1973
aus,20.93,1974
aus,18.39,1975
aus,18.27,1976
aus,34.22,1977
aus,23.24,1978
aus,21.02,1979
aus,20.88,1980
aus,34.87,1981
aus,44.46,1982
aus,25.27,1983
aus,18.4,1984
aus,24.35,1985
aus,29.47,1986
aus,21.27,1987
aus,19.68,1988
aus,25.88,1989
aus,23.69,1990
aus,27.45,1991
aus,14.91,1992
aus,11.76,1993
aus,11.8,1994
aus,5.775,1995
aus,9.089,1996
aus,8.72,1997
aus,13.46,1998
aus,11.99,1999
aus,9.456,2000
aus,11.3,2001
aus,9.812,2002
aus,9.768,2003
aus,9.298,2004
aus,9.428,2005
aus,6.688,2006
aus,6.671,2007
aut,100.0,1968
aut,69.96,1969
aut,40.61,1970
aut,75.34,1971
aut,57.66,1972
aut,78.73,1973
aut,82.57,1974
aut,66.3,1975
aut,91.41,1976
aut,39.86,1977
aut,54.12,1978
aut,45.06,1979
aut,62.88,1980
aut,38.64,1981
aut,18.26,1982
aut,13.26,1983
aut,5.394,1984
aut,14.84,1985
aut,7.958,1986
aut,7.442,1987
aut,13.22,1988
aut,24.92,1989
aut,12.17,1990
aut,13.65,1991
aut,5.968,1992
aut,30.37,1993
aut,14.64,1994
aut,23.09,1995
aut,12.5,1996
aut,9.524,1997
aut,11.96,1998
aut,3.573,1999
aut,8.084,2000
aut,6.627,2001
aut,5.803,2002
aut,7.419,2003
aut,7.298,2004
aut,9.788,2005
aut,6.564,2006
aut,5.996,2007
bel,44.97,1967
bel,38.67,1968
bel,24.55,1969
bel,38.84,1970
bel,6.56,1971
bel,9.343,1972
bel,39.06,1973
bel,38.3,1974
bel,37.04,1975
bel,40.3,1976
bel,45.54,1977
bel,43.51,1978
bel,32.74,1979
bel,29.81,1980
bel,81.08,1981
bel,82.52,1982
bel,29.82,1983
bel,22.01,1984
bel,24.04,1985
bel,21.99,1986
bel,30.49,1987
bel,22.35,1988
bel,36.61,1989
bel,15.51,1990
bel,20.88,1991
bel,18.62,1992
bel,23.79,1993
bel,25.65,1994
bel,27.53,1995
bel,26.37,1996
bel,20.63,1997
bel,22.72,1998
bel,18.54,1999
bel,16.76,2000
bel,14.27,2001
bel,12.23,2002
bel,11.96,2003
bel,11.79,2004
bel,10.1,2005
bel,10.36,2006
bel,9.325,2007
can,36.7,1967
can,29.52,1968
can,13.78,1969
can,15.72,1970
can,8.6,1971
can,5.686,1972
can,18.1,1973
can,14.01,1974
can,30.73,1975
can,46.25,1976
can,38.71,1977
can,34.92,1978
can,30.47,1979
can,57.48,1980
can,52.32,1981
can,48.3,1982
can,56.63,1983
can,25.29,1984
can,48.15,1985
can,40.4,1986
can,31.59,1987
can,30.66,1988
can,33.18,1989
can,26.75,1990
can,33.87,1991
can,26.62,1992
can,33.93,1993
can,21.79,1994
can,6.045,1995
can,20.08,1996
can,23.11,1997
can,15.0,1998
can,9.603,1999
can,12.84,2000
can,11.53,2001
can,7.813,2002
can,15.38,2003
can,18.35,2004
can,9.923,2005
can,10.98,2006
can,5.133,2007
dnk,47.48,1973
dnk,51.28,1974
dnk,72.15,1975
dnk,67.4,1976
dnk,59.04,1977
dnk,66.33,1978
dnk,53.48,1979
dnk,48.62,1980
dnk,51.4,1981
dnk,59.55,1982
dnk,48.11,1983
dnk,46.29,1984
dnk,42.53,1985
dnk,34.84,1986
dnk,43.09,1987
dnk,49.35,1988
dnk,50.87,1989
dnk,21.29,1990
dnk,21.54,1991
dnk,14.55,1992
dnk,14.5,1993
dnk,18.99,1994
dnk,8.528,1995
dnk,15.61,1996
dnk,15.31,1997
dnk,12.2,1998
dnk,16.89,1999
dnk,21.52,2000
dnk,17.49,2001
dnk,14.52,2002
dnk,6.949,2003
dnk,17.26,2004
dnk,23.19,2005
dnk,13.75,2006
dnk,12.44,2007
fin,20.98,1973
fin,48.52,1974
fin,42.22,1975
fin,42.39,1976
fin,40.14,1977
fin,48.83,1978
fin,74.86,1979
fin,71.25,1980
fin,58.55,1981
fin,56.76,1982
fin,60.53,1983
fin,57.09,1984
fin,34.48,1985
fin,32.19,1986
fin,30.75,1988
fin,30.1,1989
fin,55.69,1990
fin,14.52,1991
fin,51.15,1992
fin,29.28,1993
fin,48.64,1994
fin,8.098,1995
fin,20.64,1996
