geo,natural_gas_production_total,time
dza,2280000,1970
dza,2403000,1971
dza,3045000,1972
dza,4041000,1973
dza,4672000,1974
dza,5753000,1975
dza,7246000,1976
dza,6935000,1977
dza,10760000,1978
dza,17630000,1979
dza,12760000,1980
dza,15190000,1981
dza,19740000,1982
dza,28460000,1983
dza,28320000,1984
dza,30840000,1985
dza,32830000,1986
dza,37050000,1987
dza,38730000,1988
dza,41760000,1989
dza,44340000,1990
dza,47880000,1991
dza,49810000,1992
dza,50490000,1993
dza,46460000,1994
dza,52830000,1995
dza,56110000,1996
dza,64630000,1997
dza,68930000,1998
dza,77410000,1999
dza,75970000,2000
dza,70420000,2001
dza,72330000,2002
dza,74550000,2003
dza,73810000,2004
dza,79400000,2005
dza,76020000,2006
dza,76340000,2007
dza,77850000,2008
arg,5418000,1970
arg,5855000,1971
arg,5566000,1972
arg,6061000,1973
arg,6523000,1974
arg,6923000,1975
arg,6601000,1976
arg,6813000,1977
arg,7029000,1978
arg,6507000,1979
arg,7556000,1980
arg,7862000,1981
arg,8811000,1982
arg,11830000,1983
arg,12130000,1984
arg,12500000,1985
arg,13960000,1986
arg,13640000,1987
arg,16160000,1988
arg,17090000,1989
arg,16060000,1990
arg,17940000,1991
arg,18080000,1992
arg,19370000,1993
arg,20040000,1994
arg,22510000,1995
arg,26040000,1996
arg,24640000,1997
arg,26630000,1998
arg,31110000,1999
arg,33670000,2000
arg,33430000,2001
arg,32500000,2002
arg,36940000,2003
arg,40390000,2004
arg,41070000,2005
arg,41490000,2006
arg,40320000,2007
arg,39650000,2008
aus,1566000,1970
aus,2337000,1971
aus,3355000,1972
aus,4260000,1973
aus,4860000,1974
aus,5219000,1975
aus,6161000,1976
aus,7038000,1977
aus,7577000,1978
aus,8722000,1979
aus,10020000,1980
aus,10860000,1981
aus,10590000,1982
aus,11500000,1983
aus,11340000,1984
aus,12120000,1985
aus,13240000,1986
aus,13520000,1987
aus,13850000,1988
aus,16020000,1989
aus,18650000,1990
aus,19530000,1991
aus,21120000,1992
aus,22070000,1993
aus,25330000,1994
aus,26780000,1995
aus,26820000,1996
aus,26820000,1997
aus,27320000,1998
aus,27680000,1999
aus,28050000,2000
aus,29230000,2001
aus,29350000,2002
aus,29860000,2003
aus,31730000,2004
aus,33420000,2005
aus,35000000,2006
aus,35960000,2007
aus,34430000,2008
aze,11460000,1985
aze,11080000,1986
aze,10180000,1987
aze,9692000,1988
aze,9041000,1989
aze,8063000,1990
aze,7005000,1991
aze,6434000,1992
aze,5538000,1993
aze,5213000,1994
aze,5376000,1995
aze,5131000,1996
aze,4887000,1997
aze,4561000,1998
aze,4887000,1999
aze,4607000,2000
aze,4517000,2001
aze,4189000,2002
aze,4176000,2003
aze,4069000,2004
aze,4669000,2005
aze,5509000,2006
aze,8823000,2007
aze,13270000,2008
bhr,559000,1970
bhr,815000,1971
bhr,1017000,1972
bhr,1442000,1973
bhr,1778000,1974
bhr,1871000,1975
bhr,1961000,1976
bhr,2127000,1977
bhr,2337000,1978
bhr,2591000,1979
bhr,2103000,1980
bhr,1950000,1981
bhr,3079000,1982
bhr,3227000,1983
bhr,3325000,1984
bhr,4059000,1985
bhr,4647000,1986
bhr,4515000,1987
bhr,4796000,1988
bhr,4989000,1989
bhr,5225000,1990
bhr,4981000,1991
bhr,5820000,1992
bhr,6234000,1993
bhr,6382000,1994
bhr,6488000,1995
bhr,6681000,1996
bhr,7173000,1997
bhr,7542000,1998
bhr,7804000,1999
bhr,7889000,2000
bhr,8215000,2001
bhr,8512000,2002
bhr,8665000,2003
bhr,8782000,2004
bhr,9639000,2005
bhr,10200000,2006
bhr,10610000,2007
bhr,12100000,2008
bgd,378000,1971
bgd,378000,1972
bgd,523000,1973
bgd,575000,1974
bgd,578000,1975
bgd,761000,1976
bgd,849000,1977
bgd,937000,1978
bgd,1078000,1979
bgd,1214000,1980
bgd,1462000,1981
bgd,1738000,1982
bgd,1964000,1983
bgd,2294000,1984
bgd,2554000,1985
bgd,2909000,1986
bgd,3446000,1987
bgd,3841000,1988
bgd,4244000,1989
bgd,4284000,1990
bgd,4761000,1991
bgd,5162000,1992
bgd,5533000,1993
bgd,5959000,1994
bgd,6643000,1995
bgd,6812000,1996
bgd,6821000,1997
bgd,6997000,1998
bgd,7457000,1999
bgd,8984000,2000
bgd,9656000,2001
bgd,10300000,2002
bgd,11090000,2003
bgd,11900000,2004
bgd,13060000,2005
bgd,13790000,2006
bgd,14650000,2007
bgd,15560000,2008
bol,960000,1972
bol,1480000,1973
bol,1549000,1974
bol,1527000,1975
bol,1574000,1976
bol,1661000,1977
bol,1637000,1978
bol,1790000,1979
bol,2195000,1980
bol,2341000,1981
bol,2428000,1982
bol,2331000,1983
bol,2242000,1984
bol,2222000,1985
bol,2263000,1986
bol,2367000,1987
bol,2502000,1988
bol,2639000,1989
bol,2697000,1990
bol,2681000,1991
bol,2640000,1992
bol,2634000,1993
bol,2841000,1994
bol,2838000,1995
bol,2866000,1996
bol,2416000,1997
bol,2537000,1998
bol,2031000,1999
bol,2907000,2000
bol,4241000,2001
bol,4417000,2002
bol,5728000,2003
bol,8786000,2004
bol,10710000,2005
bol,11610000,2006
bol,12430000,2007
bol,12530000,2008
bra,70920,1970
bra,112600,1971
bra,153400,1972
bra,175500,1973
bra,337800,1974
bra,367900,1975
bra,423700,1976
bra,527500,1977
bra,694100,1978
bra,760600,1979
bra,889200,1980
bra,797800,1981
bra,1140000,1982
bra,1542000,1983
bra,1794000,1984
bra,2251000,1985
bra,2621000,1986
bra,2928000,1987
bra,2947000,1988
bra,3021000,1989
bra,2751000,1990
bra,2860000,1991
bra,3239000,1992
bra,3795000,1993
bra,4144000,1994
bra,4574000,1995
bra,4998000,1996
bra,5441000,1997
bra,5699000,1998
bra,6692000,1999
bra,6742000,2000
bra,6885000,2001
bra,8319000,2002
bra,9037000,2003
bra,9939000,2004
bra,9944000,2005
bra,10210000,2006
bra,10160000,2007
bra,12470000,2008
brn,197000,1970
brn,195000,1971
brn,401000,1972
brn,1751000,1973
brn,3801000,1974
brn,4984000,1975
brn,6574000,1976
brn,7544000,1977
brn,7394000,1978
brn,7746000,1979
brn,7775000,1980
brn,7528000,1981
brn,7519000,1982
brn,7842000,1983
brn,7935000,1984
