geo,pneumonia_deaths_in_children_1_59_months_total_deaths,time
afg,72720,2008
alb,106,2008
dza,3704,2008
ago,29910,2008
arg,636,2008
arm,122,2008
aus,30,2008
aut,3,2008
aze,1073,2008
bhs,5,2008
bhr,2,2008
bgd,19900,2008
brb,1,2008
blr,10,2008
bel,5,2008
blz,15,2008
ben,5607,2008
btn,227,2008
bol,2268,2008
bih,49,2008
bwa,102,2008
bra,5183,2008
brn,1,2008
bgr,148,2008
bfa,19430,2008
bdi,6714,2008
khm,8537,2008
cmr,14360,2008
can,8,2008
cpv,32,2008
caf,4284,2008
tcd,16380,2008
chl,105,2008
chn,56360,2008
col,1758,2008
com,428,2008
cog,2175,2008
cri,26,2008
civ,9031,2008
hrv,5,2008
cub,42,2008
cyp,1,2008
cze,20,2008
prk,3017,2008
cod,88120,2008
dnk,3,2008
dji,347,2008
dom,916,2008
ecu,851,2008
egy,2958,2008
slv,230,2008
gnq,352,2008
eri,1730,2008
est,1,2008
eth,39490,2008
fji,28,2008
fin,5,2008
fra,49,2008
gab,240,2008
gmb,707,2008
geo,213,2008
deu,40,2008
gha,4109,2008
grc,27,2008
grd,1,2008
gtm,2679,2008
gin,6677,2008
gnb,1968,2008
guy,121,2008
hti,3505,2008
hnd,828,2008
hun,34,2008
isl,0,2008
ind,203600,2008
idn,30660,2008
irn,5130,2008
irq,5675,2008
irl,0,2008
isr,10,2008
ita,30,2008
jam,329,2008
jpn,216,2008
jor,185,2008
kaz,1300,2008
ken,28170,2008
kwt,18,2008
kgz,842,2008
lao,2636,2008
lva,7,2008
lbn,38,2008
lso,508,2008
lbr,2848,2008
lby,132,2008
ltu,9,2008
lux,0,2008
mdg,13310,2008
mwi,6243,2008
mys,98,2008
mdv,18,2008
mli,13630,2008
mlt,2,2008
mrt,1791,2008
mus,19,2008
mex,3896,2008
fsm,28,2008
mng,492,2008
mne,3,2008
mar,2208,2008
moz,14070,2008
mmr,14310,2008
nam,230,2008
npl,3827,2008
nld,12,2008
nzl,10,2008
nic,572,2008
ner,22510,2008
nga,161400,2008
nor,0,2008
omn,23,2008
pak,52220,2008
pan,192,2008
png,2782,2008
pry,530,2008
per,1472,2008
phl,13540,2008
pol,99,2008
prt,9,2008
qat,4,2008
kor,78,2008
mda,120,2008
rou,697,2008
rus,866,2008
rwa,5569,2008
lca,0,2008
vct,0,2008
wsm,16,2008
stp,114,2008
sau,743,2008
sen,6302,2008
srb,40,2008
sle,6979,2008
sgp,12,2008
svk,42,2008
svn,0,2008
slb,114,2008
som,13050,2008
zaf,4126,2008
esp,33,2008
lka,369,2008
sdn,13120,2008
sur,24,2008
swz,265,2008
swe,8,2008
che,3,2008
syr,784,2008
tjk,2336,2008
tha,478,2008
mkd,14,2008
tgo,1927,2008
ton,6,2008
tto,17,2008
tun,235,2008
tur,2497,2008
tkm,1092,2008
uga,23540,2008
ukr,56,2008
are,8,2008
gbr,114,2008
tza,22020,2008
usa,786,2008
ury,48,2008
uzb,3493,2008
vut,44,2008
ven,790,2008
vnm,980,2008
yem,7390,2008
zmb,10200,2008
zwe,4286,2008
