geo,literacy_rate_adult_female_percent_of_females_ages_15_above,time
afg,4.987,1979
afg,13.0,2011
alb,98.25,2001
alb,94.68,2008
alb,95.69,2011
dza,35.84,1987
dza,60.08,2002
dza,63.92,2006
ago,54.19,2001
ago,58.61,2011
aia,95.71,1984
atg,99.42,2001
atg,99.42,2011
arg,93.58,1980
arg,96.04,1991
arg,97.19,2001
arg,97.89,2011
arm,98.15,1989
arm,99.16,2001
arm,99.45,2011
abw,97.07,2000
abw,96.72,2010
aze,98.17,1999
aze,99.4,2007
aze,99.68,2009
bhr,58.59,1981
bhr,76.93,1991
bhr,83.56,2001
bhr,91.61,2010
bgd,17.97,1981
bgd,25.84,1991
bgd,40.82,2001
bgd,53.41,2011
blr,96.63,1989
blr,99.42,1999
blr,99.49,2009
blz,70.33,1991
ben,9.539,1979
ben,16.57,1992
ben,23.3,2002
ben,18.44,2006
btn,38.68,2005
bol,51.37,1976
bol,72.31,1992
bol,80.65,2001
bol,85.99,2007
bol,86.83,2008
bol,86.82,2009
bih,94.36,2000
bih,96.7,2011
bwa,71.3,1991
bwa,81.81,2003
bwa,85.56,2011
bra,72.85,1980
bra,86.5,2000
bra,88.81,2004
bra,89.86,2006
bra,90.23,2007
bra,90.22,2008
bra,90.41,2009
bra,90.68,2010
brn,68.98,1981
brn,82.46,1991
brn,90.16,2001
brn,93.92,2011
bgr,97.71,2001
bgr,97.98,2011
bfa,3.183,1975
bfa,8.225,1991
bfa,8.058,1996
bfa,15.19,2003
bfa,16.62,2005
bfa,21.58,2007
bdi,11.98,1979
bdi,27.53,1990
bdi,52.24,2000
bdi,84.59,2008
khm,56.99,1998
khm,64.05,2004
khm,70.86,2008
khm,65.93,2009
cmr,29.12,1976
cmr,58.72,2000
cmr,63.02,2007
cmr,64.8,2010
cpv,53.0,1990
cpv,74.07,2004
cpv,80.26,2011
cym,99.02,2007
caf,8.4,1975
caf,20.34,1988
caf,35.29,2000
caf,44.18,2011
tcd,4.592,1993
tcd,12.8,2000
tcd,17.98,2004
tcd,25.4,2011
chl,90.8,1982
chl,94.04,1992
chl,95.64,2002
chl,98.7,2008
chl,98.49,2009
chn,51.14,1982
chn,68.07,1990
chn,86.53,2000
chn,92.71,2010
col,81.24,1993
col,91.31,1996
col,92.71,2004
col,92.91,2005
col,92.22,2006
col,92.85,2007
col,93.44,2008
col,93.42,2009
col,93.49,2010
col,93.67,2011
com,40.32,1980
com,63.46,2000
com,70.57,2011
cod,54.06,2001
cod,46.1,2007
cri,92.58,1984
cri,95.08,2000
cri,96.48,2011
civ,23.43,1988
civ,28.48,1998
civ,38.61,2000
civ,47.58,2011
hrv,94.82,1991
hrv,97.08,2001
hrv,98.31,2011
cub,99.79,2002
cub,99.83,2011
cyp,91.0,1992
cyp,95.08,2001
cyp,98.12,2011
dom,72.54,1981
dom,87.18,2002
dom,88.28,2007
dom,89.7,2010
dom,90.23,2011
ecu,80.41,1982
ecu,86.19,1990
ecu,89.7,2001
