expenditure_per_student_primary_percent_of_gdp_per_person,geo,time
3.199,ecu,2000
8.575,slv,1998
8.553,slv,1999
8.519,slv,2000
10.2,slv,2002
9.329,slv,2003
8.065,slv,2005
8.56,slv,2006
8.043,slv,2007
8.768,slv,2008
1.066,gnq,2001
15.0,eri,2001
11.91,eri,2002
9.763,eri,2003
8.365,eri,2004
20.88,est,1999
17.94,est,2001
19.16,est,2002
18.8,est,2003
18.58,est,2004
19.43,est,2005
19.72,est,2007
25.94,est,2008
18.16,eth,2010
17.4,fji,2004
17.45,fin,1999
16.82,fin,2000
17.35,fin,2001
17.76,fin,2002
18.44,fin,2003
18.51,fin,2004
17.98,fin,2005
18.04,fin,2006
17.42,fin,2007
18.47,fin,2008
17.88,fra,1999
17.96,fra,2000
17.96,fra,2001
18.24,fra,2002
18.17,fra,2003
18.43,fra,2004
17.98,fra,2005
17.65,fra,2006
18.3,fra,2007
18.01,fra,2008
11.51,gmb,2002
7.829,gmb,2003
6.224,gmb,2004
18.77,gmb,2008
16.26,gmb,2009
24.58,gmb,2010
14.8,geo,2008
16.14,deu,2006
15.66,deu,2007
15.64,deu,2008
17.62,gha,2001
12.54,gha,2005
11.06,gha,2006
12.45,gha,2007
12.68,gha,2008
11.36,gha,2009
11.35,gha,2010
13.09,grc,1998
11.72,grc,1999
13.91,grc,2000
13.15,grc,2001
13.97,grc,2002
14.34,grc,2003
14.95,grc,2004
16.45,grc,2005
16.49,grd,2000
8.779,grd,2003
6.66,gtm,2000
8.386,gtm,2001
7.386,gtm,2002
5.4,gtm,2004
5.775,gtm,2005
10.86,gtm,2006
10.28,gtm,2007
10.42,gtm,2008
6.969,gin,2008
18.03,guy,2003
11.52,guy,2004
16.25,guy,2005
9.927,guy,2006
8.745,guy,2007
8.22,guy,2009
8.211,guy,2010
18.73,hnd,2010
12.37,hkg,2001
12.84,hkg,2002
14.08,hkg,2003
15.17,hkg,2004
14.64,hkg,2005
13.81,hkg,2006
12.51,hkg,2007
12.66,hkg,2008
13.77,hkg,2009
15.1,hkg,2010
18.32,hun,1998
17.88,hun,1999
19.28,hun,2000
19.94,hun,2001
20.3,hun,2002
21.83,hun,2003
23.37,hun,2004
25.69,hun,2005
25.68,hun,2006
25.39,hun,2007
21.94,hun,2008
21.97,isl,1999
22.19,isl,2000
21.56,isl,2001
25.31,isl,2002
24.22,isl,2003
24.47,isl,2004
25.64,isl,2005
26.11,isl,2006
26.14,isl,2007
26.73,isl,2008
11.88,ind,1999
14.55,ind,2000
13.44,ind,2001
11.06,ind,2003
9.662,ind,2004
8.677,ind,2005
8.604,ind,2006
16.05,idn,2007
11.39,idn,2008
9.317,irn,2001
11.29,irn,2002
11.16,irn,2003
11.59,irn,2004
11.76,irn,2005
16.68,irn,2006
19.07,irn,2007
16.64,irn,2008
15.22,irn,2009
11.44,irl,1998
11.02,irl,1999
11.14,irl,2000
11.86,irl,2001
12.27,irl,2002
13.34,irl,2003
14.21,irl,2004
14.62,irl,2005
14.82,irl,2006
15.75,irl,2007
18.56,irl,2008
20.5,isr,1999
19.58,isr,2000
21.23,isr,2001
21.94,isr,2002
21.15,isr,2003
20.58,isr,2004
20.25,isr,2005
19.94,isr,2006
19.42,isr,2007
19.46,isr,2008
24.03,ita,1999
23.19,ita,2000
23.71,ita,2001
24.44,ita,2002
25.23,ita,2003
24.81,ita,2004
23.02,ita,2005
25.04,ita,2006
22.64,ita,2007
24.45,ita,2008
13.35,jam,2001
13.45,jam,2002
12.53,jam,2003
10.15,jam,2004
12.82,jam,2005
17.31,jam,2007
15.83,jam,2008
17.04,jam,2009
19.89,jam,2010
20.13,jpn,1998
21.09,jpn,1999
21.64,jpn,2000
21.87,jpn,2001
22.49,jpn,2002
22.94,jpn,2003
22.73,jpn,2004
22.21,jpn,2005
21.94,jpn,2006
21.7,jpn,2007
21.48,jpn,2008
13.65,jor,1999
14.36,jor,2002
15.77,jor,2003
14.54,jor,2004
15.44,jor,2005
12.36,jor,2006
12.11,jor,2007
11.94,jor,2008
21.37,ken,2000
23.16,ken,2003
24.08,ken,2004
22.27,ken,2006
26.35,kir,1999
24.8,kir,2000
22.19,kir,2001
17.81,kor,1998
18.42,kor,1999
15.73,kor,2001
15.63,kor,2002
17.6,kor,2003
18.07,kor,2004
17.53,kor,2005
17.18,kor,2006
17.01,kor,2007
19.43,kor,2008
16.97,kwt,2001
16.62,kwt,2002
16.35,kwt,2003
14.0,kwt,2004
10.14,kwt,2005
8.543,kwt,2006
10.0,kwt,2008
2.237,lao,1999
7.88,lao,2002
9.812,lao,2005
19.5,lva,1999
19.69,lva,2000
19.78,lva,2001
22.1,lva,2002
20.55,lva,2003
20.66,lva,2004
37.33,lva,2006
23.29,lva,2007
29.49,lva,2008
31.36,lva,2009
37.04,lso,1999
30.3,lso,2000
28.35,lso,2001
30.51,lso,2005
27.47,lso,2006
24.8,lso,2008
5.479,lbr,2007
11.04,lie,2003
10.7,lie,2004
9.954,lie,2006
9.228,lie,2007
10.8,lie,2008
14.37,ltu,2003
15.0,ltu,2004
15.8,ltu,2005
16.43,ltu,2006
15.82,ltu,2007
18.07,ltu,2008
18.93,lux,2003
20.57,lux,2004
20.1,lux,2005
14.79,lux,2008
8.341,mac,2000
6.702,mac,2002
7.891,mac,2003
5.734,mdg,1998
7.828,mdg,2002
6.808,mdg,2003
8.652,mdg,2004
10.96,mdg,2005
9.593,mdg,2006
9.117,mdg,2007
7.595,mdg,2008
7.788,mdg,2009
13.4,mwi,1999
11.23,mwi,2000
8.046,mwi,2001
9.638,mwi,2003
6.81,mwi,2010
12.55,mys,2000
16.44,mys,2001
19.46,mys,2002
18.01,mys,2003
14.19,mys,2004
10.96,mys,2006
11.78,mys,2007
14.44,mys,2008
14.62,mys,2009
14.09,mdv,2003
13.44,mdv,2004
16.45,mdv,2005
15.7,mdv,2006
18.67,mdv,2008
14.61,mli,1998
15.27,mli,1999
11.81,mli,2008
14.98,mli,2009
13.25,mlt,2002
13.14,mlt,2004
20.19,mlt,2007
20.52,mlt,2008
23.44,mhl,2002
11.57,mrt,1999
9.916,mrt,2005
11.84,mrt,2008
13.42,mrt,2010
9.308,mus,2001
8.61,mus,2002
13.15,mus,2003
12.97,mus,2004
11.39,mus,2005
10.26,mus,2006
9.636,mus,2008
8.989,mus,2009
11.93,mex,1999
13.28,mex,2000
13.98,mex,2001
14.35,mex,2002
14.51,mex,2003
13.85,mex,2004
14.18,mex,2005
13.81,mex,2006
13.61,mex,2007
13.69,mex,2008
31.62,mda,2007
33.64,mda,2008
41.72,mda,2009
41.44,mda,2010
3.549,mco,1999
3.459,mco,2000
3.689,mco,2004
3.504,mco,2009
11.57,mng,2004
13.74,mng,2007
15.12,mng,2009
14.57,mng,2010
17.41,mar,1999
18.11,mar,2000
16.86,mar,2001
17.07,mar,2002
16.59,mar,2003
16.7,mar,2004
20.35,mar,2005
14.53,mar,2007
16.21,mar,2008
16.93,mar,2009
14.75,moz,2006
2.479,mmr,2003
22.16,nam,1999
22.39,nam,2000
19.78,nam,2001
19.78,nam,2002
18.82,nam,2003
13.87,nam,2005
18.91,nam,2006
16.14,nam,2008
17.79,nam,2010
9.057,npl,1999
10.32,npl,2000
13.83,npl,2001
12.1,npl,2002
11.44,npl,2003
15.24,npl,2008
17.75,npl,2009
15.15,nld,1999
15.44,nld,2000
16.41,nld,2001
17.58,nld,2002
18.66,nld,2003
18.22,nld,2004
18.14,nld,2005
17.57,nld,2006
16.81,nld,2007
17.2,nld,2008
19.96,nzl,1999
19.97,nzl,2000
20.14,nzl,2001
18.53,nzl,2002
18.54,nzl,2003
19.11,nzl,2004
19.03,nzl,2005
17.39,nzl,2006
17.36,nzl,2007
15.34,nzl,2008
17.85,nzl,2009
21.91,nzl,2010
8.838,nic,2004
9.906,nic,2005
9.903,nic,2006
24.65,ner,2003
30.43,ner,2004
27.7,ner,2006
31.83,ner,2007
26.58,ner,2008
28.37,ner,2009
21.08,ner,2010
21.82,nor,1998
20.39,nor,2002
21.19,nor,2003
20.02,nor,2004
18.91,nor,2005
18.22,nor,2006
18.48,nor,2007
18.26,nor,2008
10.73,omn,1999
10.7,omn,2001
14.79,omn,2002
12.79,omn,2009
45.03,plw,2001
13.71,pan,1999
14.0,pan,2000
10.72,pan,2001
10.41,pan,2002
9.683,pan,2004
12.44,pan,2007
7.468,pan,2008
13.59,pry,2000
13.48,pry,2001
13.17,pry,2002
13.2,pry,2003
11.52,pry,2004
10.74,pry,2007
7.57,per,1998
6.936,per,2001
6.277,per,2002
6.48,per,2003
6.952,per,2004
6.545,per,2005
7.131,per,2006
7.224,per,2007
8.147,per,2008
7.763,per,2009
11.97,phl,2000
11.26,phl,2001
10.72,phl,2002
11.37,phl,2003
8.949,phl,2004
8.297,phl,2005
8.659,phl,2007
8.984,phl,2008
22.46,pol,2002
22.87,pol,2003
22.78,pol,2004
23.71,pol,2005
25.05,pol,2006
24.34,pol,2007
25.33,pol,2008
18.8,prt,1999
19.71,prt,2000
21.03,prt,2001
22.31,prt,2002
22.28,prt,2003
22.34,prt,2004
22.47,prt,2005
21.66,prt,2006
19.85,prt,2008
10.34,qat,2009
12.02,rou,2003
9.908,rou,2004
10.7,rou,2005
19.99,rou,2007
11.16,rwa,2000
8.771,rwa,2005
9.059,rwa,2007
8.017,rwa,2008
8.228,rwa,2010
9.762,kna,2000
11.39,kna,2001
7.97,kna,2002
8.014,kna,2003
7.868,kna,2004
26.62,lca,1999
26.18,lca,2000
14.23,lca,2003
14.19,lca,2004
14.1,lca,2009
16.49,lca,2010
21.59,vct,2000
15.47,vct,2002
19.69,vct,2003
20.73,vct,2004
15.82,vct,2005
20.16,vct,2007
16.87,vct,2009
15.41,vct,2010
9.138,wsm,1999
8.156,wsm,2000
9.803,wsm,2001
12.01,wsm,2002
19.33,sau,2007
13.57,sen,1999
16.2,sen,2005
16.37,sen,2006
16.52,sen,2008
17.7,sen,2009
16.38,sen,2010
55.64,srb,2007
58.16,srb,2008
61.64,srb,2009
8.61,syc,1998
14.46,syc,2002
15.41,syc,2003
16.49,syc,2004
7.143,sle,2007
8.422,sgp,2008
10.74,sgp,2009
11.5,sgp,2010
10.17,svk,1999
10.69,svk,2000
10.65,svk,2001
11.18,svk,2002
12.81,svk,2003
11.86,svk,2004
14.66,svk,2005
15.32,svk,2006
15.65,svk,2007
15.62,svk,2008
26.12,svn,2001
27.93,svn,2002
28.92,svn,2003
14.21,zaf,1999
13.88,zaf,2000
13.85,zaf,2001
13.9,zaf,2002
12.86,zaf,2003
13.19,zaf,2004
14.22,zaf,2005
15.4,zaf,2006
14.4,zaf,2007
15.16,zaf,2009
17.59,zaf,2010
17.96,esp,1999
17.53,esp,2000
17.95,esp,2001
18.2,esp,2002
18.57,esp,2003
18.87,esp,2004
19.04,esp,2005
19.35,esp,2006
19.38,esp,2007
20.34,esp,2008
7.427,lka,2009
8.316,swz,1999
9.583,swz,2000
8.807,swz,2001
9.692,swz,2002
11.19,swz,2003
12.59,swz,2004
14.84,swz,2005
15.67,swz,2006
12.32,swz,2008
17.69,swz,2010
22.32,swe,1999
22.85,swe,2000
21.82,swe,2001
23.4,swe,2002
22.97,swe,2003
24.82,swe,2004
24.76,swe,2005
24.34,swe,2006
24.99,swe,2007
26.22,swe,2008
22.7,che,1999
21.82,che,2000
22.96,che,2001
24.21,che,2002
24.63,che,2003
24.65,che,2004
24.05,che,2005
23.12,che,2006
22.51,che,2007
20.53,che,2008
10.82,syr,1999
12.24,syr,2000
13.08,syr,2002
17.38,syr,2007
16.78,syr,2009
21.45,tza,2008
12.91,tha,1998
18.05,tha,2000
17.07,tha,2001
14.59,tha,2004
20.77,tha,2008
24.35,tha,2009
27.58,tls,2007
7.736,tgo,1999
11.18,tgo,2000
10.82,tgo,2001
10.43,tgo,2002
10.39,tgo,2003
7.822,tgo,2004
7.723,tgo,2005
6.477,tgo,2006
8.336,tgo,2007
8.281,tgo,2008
9.976,tgo,2009
10.77,tgo,2010
10.88,ton,2002
9.128,ton,2003
9.68,ton,2004
11.51,tto,1999
14.61,tto,2001
15.85,tto,2002
8.687,tto,2007
10.76,tto,2008
14.93,tto,2009
14.18,tun,1999
13.98,tun,2000
14.47,tun,2001
14.04,tun,2002
18.37,tun,2003
19.15,tun,2004
18.73,tun,2005
17.28,tun,2008
9.845,tur,2000
10.31,tur,2001
11.03,tur,2003
12.77,tur,2004
10.58,uga,2004
8.387,uga,2008
7.21,uga,2009
5.38,are,1999
4.999,are,2000
4.844,are,2001
4.311,are,2002
4.776,are,2003
4.24,are,2004
3.969,are,2005
3.982,are,2006
6.248,are,2009
14.53,gbr,1998
13.89,gbr,1999
14.13,gbr,2000
14.8,gbr,2001
15.93,gbr,2002
17.91,gbr,2003
17.41,gbr,2004
18.53,gbr,2005
21.79,gbr,2006
22.98,gbr,2007
23.28,gbr,2008
17.29,usa,1998
17.69,usa,1999
19.06,usa,2000
20.69,usa,2001
21.08,usa,2002
21.15,usa,2003
21.61,usa,2004
20.43,usa,2005
21.82,usa,2006
22.03,usa,2007
22.55,usa,2008
7.214,ury,2000
9.576,ury,2001
6.942,ury,2002
5.814,ury,2003
7.316,ury,2004
8.294,ury,2005
8.611,ury,2006
12.41,vut,1998
11.26,vut,1999
13.27,vut,2000
12.95,vut,2001
19.27,vut,2008
16.95,vut,2009
7.972,ven,2006
9.159,ven,2007
19.36,vnm,2008
6.994,zmb,2000
8.945,zmb,2004
5.363,zmb,2005
12.7,zwe,2000
14.04,zwe,2001
