geo,time,other_social_services_aid_given_percent_of_aid
irl,2003,5.201
irl,2004,3.606
irl,2005,2.496
irl,2006,8.234
irl,2007,5.809
ita,1970,96.34
ita,1971,37.24
ita,1975,1.035
ita,1977,1.772
ita,1978,2.946
ita,1979,2.546
ita,1980,0.3465
ita,1981,3.795
ita,1982,3.072
ita,1983,1.697
ita,1984,2.126
ita,1985,2.421
ita,1986,2.462
ita,1987,2.069
ita,1988,6.099
ita,1989,2.622
ita,1990,6.721
ita,1991,1.782
ita,1992,2.427
ita,1993,7.658
ita,1994,5.306
ita,1995,2.28
ita,1996,1.861
ita,1997,1.058
ita,1998,13.04
ita,1999,8.829
ita,2000,7.755
ita,2001,20.55
ita,2002,18.34
ita,2003,16.17
ita,2004,6.686
ita,2005,1.375
ita,2006,9.314
ita,2007,4.154
jpn,1967,3.334
jpn,1969,3.082
jpn,1970,1.47
jpn,1973,0.4817
jpn,1974,2.006
jpn,1975,0.2529
jpn,1976,0.8095
jpn,1977,0.3012
jpn,1978,3.223
jpn,1979,1.715
jpn,1980,2.05
jpn,1981,0.4428
jpn,1982,0.6747
jpn,1983,4.29
jpn,1984,5.415
jpn,1985,3.243
jpn,1986,4.32
jpn,1987,2.896
jpn,1988,3.973
jpn,1989,4.95
jpn,1990,9.155
jpn,1991,2.448
jpn,1992,5.62
jpn,1993,7.248
jpn,1994,3.065
jpn,1995,2.546
jpn,1996,1.229
jpn,1997,1.616
jpn,1998,1.162
jpn,1999,1.503
jpn,2000,1.582
jpn,2001,2.311
jpn,2002,2.883
jpn,2003,2.461
jpn,2004,2.2
jpn,2005,1.858
jpn,2006,1.965
jpn,2007,2.311
lux,1992,4.472
lux,1993,31.18
lux,1995,16.54
lux,1996,16.54
lux,1997,9.55
lux,1998,9.005
lux,1999,12.47
lux,2000,20.99
lux,2004,4.292
lux,2005,6.85
lux,2006,5.09
lux,2007,6.201
nld,1971,72.58
nld,1972,39.54
nld,1973,4.082
nld,1974,13.48
nld,1975,18.33
nld,1976,8.377
nld,1977,11.71
nld,1978,9.031
nld,1979,9.785
nld,1980,12.33
nld,1981,11.96
nld,1982,11.74
nld,1983,11.65
nld,1984,13.56
nld,1985,15.89
nld,1986,12.96
nld,1987,4.68
nld,1988,11.37
