geo,time,congenital_deaths_in_newborn_per_1000_births
afg,2008,3.995
alb,2008,1.02
dza,2008,2.791
ago,2008,3.331
arg,2008,2.198
arm,2008,2.739
aus,2008,0.7857
aut,2008,0.8568
aze,2008,2.323
bhs,2008,0.7085
bhr,2008,2.433
bgd,2008,1.732
brb,2008,0.6995
blr,2008,2.139
bel,2008,0.8996
blz,2008,1.479
ben,2008,2.999
btn,2008,2.713
bol,2008,2.165
bih,2008,2.008
bwa,2008,2.033
bra,2008,2.071
brn,2008,1.158
bgr,2008,0.9905
bfa,2008,2.378
bdi,2008,2.634
khm,2008,1.802
cmr,2008,2.738
can,2008,0.8071
cpv,2008,1.994
caf,2008,3.488
tcd,2008,2.249
chl,2008,1.624
chn,2008,0.8444
col,2008,2.724
com,2008,2.611
cog,2008,3.487
cri,2008,1.909
civ,2008,2.916
hrv,2008,1.138
cub,2008,0.7063
cyp,2008,0.7056
cze,2008,0.5133
prk,2008,3.087
cod,2008,4.565
dnk,2008,0.7541
dji,2008,5.872
dom,2008,2.297
ecu,2008,2.179
egy,2008,3.078
slv,2008,1.802
gnq,2008,4.109
eri,2008,1.615
est,2008,1.004
eth,2008,1.88
fji,2008,1.697
fin,2008,0.6609
fra,2008,0.6359
gab,2008,2.883
gmb,2008,2.455
geo,2008,2.722
deu,2008,0.6382
gha,2008,2.345
grc,2008,0.3937
grd,2008,2.485
gtm,2008,1.065
gin,2008,2.512
gnb,2008,2.724
guy,2008,2.276
hti,2008,1.472
hnd,2008,1.95
hun,2008,0.8519
isl,2008,0.2163
ind,2008,1.274
idn,2008,1.993
irn,2008,3.735
irq,2008,3.207
irl,2008,1.505
isr,2008,0.8149
ita,2008,0.6393
jam,2008,1.756
jpn,2008,0.5204
jor,2008,2.874
kaz,2008,2.836
ken,2008,2.454
kwt,2008,2.75
kgz,2008,2.262
lao,2008,1.914
lva,2008,1.297
lbn,2008,2.154
lso,2008,2.982
lbr,2008,2.75
lby,2008,2.467
ltu,2008,0.9549
lux,2008,0.0
mdg,2008,2.107
mwi,2008,2.324
mys,2008,0.8245
mdv,2008,1.747
mli,2008,3.347
mlt,2008,0.8152
mrt,2008,3.047
mus,2008,1.603
mex,2008,1.639
fsm,2008,1.793
mng,2008,2.357
mne,2008,1.451
mar,2008,3.188
moz,2008,2.989
mmr,2008,2.365
nam,2008,2.043
npl,2008,1.722
nld,2008,0.7781
nzl,2008,1.099
nic,2008,2.308
ner,2008,1.623
nga,2008,3.224
nor,2008,0.4822
omn,2008,2.037
pak,2008,5.196
pan,2008,2.894
png,2008,1.991
pry,2008,1.906
per,2008,2.338
phl,2008,2.001
pol,2008,1.33
prt,2008,0.5065
qat,2008,1.202
kor,2008,0.4583
mda,2008,2.916
rou,2008,1.624
rus,2008,1.391
rwa,2008,2.29
lca,2008,0.9885
vct,2008,0.5216
wsm,2008,1.662
stp,2008,3.304
sau,2008,2.731
sen,2008,2.699
srb,2008,0.847
sle,2008,2.106
sgp,2008,0.4572
svk,2008,1.001
svn,2008,0.3595
slb,2008,1.928
som,2008,4.778
zaf,2008,1.536
esp,2008,0.5598
lka,2008,2.041
sdn,2008,3.36
sur,2008,1.535
swz,2008,2.083
swe,2008,0.5872
che,2008,0.7304
syr,2008,2.175
tjk,2008,1.945
tha,2008,2.28
mkd,2008,1.529
tgo,2008,2.764
ton,2008,1.748
tto,2008,6.116
tun,2008,3.234
tur,2008,2.846
tkm,2008,2.639
uga,2008,2.25
ukr,2008,2.463
are,2008,1.518
gbr,2008,0.8708
tza,2008,2.671
usa,2008,0.9914
ury,2008,2.125
uzb,2008,2.53
vut,2008,1.981
ven,2008,1.534
vnm,2008,1.947
yem,2008,2.884
zmb,2008,2.684
zwe,2008,2.859
