geo,pneumonia_deaths_in_newborn_per_1000_births,time
afg,6.289,2008
alb,0.2387,2008
dza,3.022,2008
ago,4.095,2008
arg,0.1552,2008
arm,1.401,2008
aus,0.007483,2008
aut,0.0,2008
aze,1.666,2008
bhs,0.3542,2008
bhr,0.0,2008
bgd,1.772,2008
brb,0.0,2008
blr,0.4776,2008
bel,0.02522,2008
blz,0.269,2008
ben,5.878,2008
btn,4.34,2008
bol,1.195,2008
bih,0.5238,2008
bwa,1.588,2008
bra,0.2135,2008
brn,0.0,2008
bgr,0.3164,2008
bfa,6.856,2008
bdi,2.685,2008
khm,1.55,2008
cmr,2.495,2008
can,0.0623,2008
cpv,1.412,2008
caf,6.307,2008
tcd,5.283,2008
chl,0.07961,2008
chn,0.3237,2008
col,0.4987,2008
com,3.357,2008
cog,2.519,2008
cri,0.1856,2008
civ,5.806,2008
hrv,0.1186,2008
cub,0.3404,2008
cyp,0.1008,2008
cze,0.0275,2008
prk,1.935,2008
cod,8.502,2008
dnk,0.01604,2008
dji,2.895,2008
dom,1.949,2008
ecu,1.236,2008
egy,0.8883,2008
slv,0.6354,2008
gnq,2.314,2008
eri,1.357,2008
est,0.06276,2008
eth,3.039,2008
fji,0.7354,2008
fin,0.05084,2008
fra,0.00133,2008
gab,2.251,2008
gmb,4.828,2008
geo,1.744,2008
deu,0.006007,2008
gha,2.119,2008
grc,0.01875,2008
grd,1.491,2008
gtm,0.961,2008
gin,6.548,2008
gnb,3.432,2008
guy,1.468,2008
hti,1.303,2008
hnd,1.27,2008
hun,0.1217,2008
isl,0.0,2008
ind,6.243,2008
idn,1.817,2008
irn,1.573,2008
irq,3.067,2008
irl,0.0,2008
isr,0.0,2008
ita,0.009159,2008
jam,0.8588,2008
jpn,0.009672,2008
jor,0.9177,2008
kaz,1.226,2008
ken,1.487,2008
kwt,0.05811,2008
kgz,1.638,2008
lao,0.583,2008
lva,0.3459,2008
lbn,0.4246,2008
lso,1.297,2008
lbr,4.132,2008
lby,0.5587,2008
ltu,0.1273,2008
lux,0.0,2008
mdg,2.647,2008
mwi,1.893,2008
mys,0.2107,2008
mdv,1.397,2008
mli,9.531,2008
mlt,0.0,2008
mrt,5.752,2008
mus,0.1105,2008
mex,0.3197,2008
fsm,1.435,2008
mng,1.793,2008
mne,0.3956,2008
mar,2.87,2008
moz,6.131,2008
mmr,1.944,2008
nam,1.77,2008
npl,2.012,2008
nld,0.01081,2008
nzl,0.1201,2008
nic,1.322,2008
ner,4.817,2008
nga,2.627,2008
nor,0.01722,2008
omn,0.3748,2008
pak,5.994,2008
pan,0.3564,2008
png,1.711,2008
pry,1.262,2008
per,1.343,2008
phl,1.703,2008
pol,0.05373,2008
prt,0.1338,2008
qat,0.2003,2008
kor,0.01771,2008
mda,1.402,2008
rou,0.9223,2008
rus,0.2051,2008
rwa,1.744,2008
lca,0.0,2008
vct,0.0,2008
wsm,1.425,2008
stp,2.332,2008
sau,0.8195,2008
sen,5.172,2008
srb,0.1048,2008
sle,6.564,2008
sgp,0.05379,2008
svk,0.05459,2008
svn,0.05135,2008
slb,1.735,2008
som,3.463,2008
zaf,1.947,2008
esp,0.008142,2008
lka,0.7579,2008
sdn,6.491,2008
sur,0.2046,2008
swz,2.055,2008
swe,0.0,2008
che,0.0,2008
syr,0.4558,2008
tjk,0.8142,2008
tha,1.013,2008
mkd,0.0,2008
tgo,4.804,2008
ton,1.049,2008
tto,1.112,2008
tun,0.7824,2008
tur,1.228,2008
tkm,1.148,2008
uga,1.508,2008
ukr,0.5646,2008
are,0.2397,2008
gbr,0.04576,2008
tza,1.686,2008
usa,0.02364,2008
ury,0.1589,2008
uzb,1.918,2008
vut,1.274,2008
ven,0.548,2008
vnm,0.7357,2008
yem,3.382,2008
zmb,2.074,2008
zwe,1.17,2008
