battle_deaths_per_100_000,geo,time
36.08,afg,2002
9.451,afg,2004
0.1289,alb,2002
0.1304,alb,2004
18.31,dza,2002
3.407,dza,2004
0.0,and,2002
0.0,and,2004
18.96,ago,2002
2.598,ago,2004
0.0,atg,2002
0.0,atg,2004
0.0,arg,2002
0.0,arg,2004
0.1703,arm,2002
0.0,arm,2004
0.0,aus,2002
0.0,aus,2004
0.0,aut,2002
0.0,aut,2004
0.08199,aze,2002
0.0726,aze,2004
0.0,bhs,2002
0.0,bhs,2004
0.0,bhr,2002
0.0,bhr,2004
0.1804,bgd,2002
0.1651,bgd,2004
0.0,brb,2002
0.0,brb,2004
0.0,blr,2002
0.0,blr,2004
0.0,bel,2002
0.0,bel,2004
0.0,blz,2002
0.0,blz,2004
0.0,ben,2002
0.0,ben,2004
0.0,btn,2002
0.0,btn,2004
0.0,bol,2002
0.0,bol,2004
1.096,bih,2002
1.211,bih,2004
0.0,bwa,2002
0.0,bwa,2004
0.0,bra,2002
0.0,bra,2004
0.0,brn,2002
0.0,brn,2004
0.0,bgr,2002
0.02859,bgr,2004
0.0,bfa,2002
0.0,bfa,2004
193.6,bdi,2002
39.06,bdi,2004
1.605,khm,2002
1.127,khm,2004
0.0,cmr,2002
0.0,cmr,2004
0.01298,can,2002
0.003505,can,2004
0.0,cpv,2002
0.0,cpv,2004
16.38,caf,2002
29.85,caf,2004
2.033,tcd,2002
2.227,tcd,2004
0.0,chl,2002
0.0,chl,2004
0.0,chn,2002
0.0,chn,2004
20.33,col,2002
19.99,col,2004
0.0,com,2002
0.0,com,2004
52.6,cog,2002
0.0,cog,2004
0.0,cok,2002
0.0,cok,2004
0.0,cri,2002
0.0,cri,2004
0.2041,hrv,2002
0.2059,hrv,2004
0.0,cub,2002
0.0,cub,2004
0.0,cyp,2002
0.0,cyp,2004
0.0,cze,2002
0.0,cze,2004
32.25,civ,2002
24.19,civ,2004
0.0,prk,2002
0.0,prk,2004
130.2,cod,2002
41.54,cod,2004
0.0,dnk,2002
0.02337,dnk,2004
0.2024,dji,2002
0.1675,dji,2004
0.0,dma,2002
0.0,dma,2004
0.0,dom,2002
0.0,dom,2004
0.02477,ecu,2002
0.02472,ecu,2004
0.008196,egy,2002
0.0,egy,2004
0.2269,slv,2002
0.2233,slv,2004
0.0,gnq,2002
0.0,gnq,2004
2.306,eri,2002
1.649,eri,2004
0.2274,est,2002
0.2217,est,2004
0.5906,eth,2002
0.5288,eth,2004
0.0,fji,2002
0.0,fji,2004
0.0,fin,2002
0.0,fin,2004
0.0,fra,2002
0.001298,fra,2004
0.0,gab,2002
0.0,gab,2004
0.0,gmb,2002
0.0,gmb,2004
0.8989,geo,2002
1.002,geo,2004
0.0,deu,2002
0.0004333,deu,2004
0.0,gha,2002
0.0,gha,2004
0.05581,grc,2002
0.0,grc,2004
0.0,grd,2002
0.0,grd,2004
0.0,gtm,2002
0.0,gtm,2004
16.49,gin,2002
0.0,gin,2004
0.5956,gnb,2002
0.0,gnb,2004
0.0,guy,2002
0.0,guy,2004
0.0,hti,2002
23.1,hti,2004
0.0,hnd,2002
0.0,hnd,2004
0.007644,hun,2002
0.01098,hun,2004
0.0,isl,2002
0.0,isl,2004
0.5289,ind,2002
0.5059,ind,2004
3.98,idn,2002
1.267,idn,2004
0.1163,irn,2002
0.0,irn,2004
10.1,irq,2002
252.0,irq,2004
0.0,irl,2002
0.0,irl,2004
6.957,isr,2002
1.863,isr,2004
0.0,ita,2002
0.01505,ita,2004
0.0,jam,2002
0.0,jam,2004
0.0,jpn,2002
0.0,jpn,2004
0.07031,jor,2002
0.07056,jor,2004
0.0,kaz,2002
0.0,kaz,2004
5.474,ken,2002
1.455,ken,2004
0.0,kir,2002
0.0,kir,2004
1.41,kwt,2002
0.0,kwt,2004
0.03277,kgz,2002
0.04111,kgz,2004
1.359,lao,2002
1.356,lao,2004
0.06479,lva,2002
0.08522,lva,2004
5.963,lbn,2002
5.454,lbn,2004
0.0,lso,2002
0.0,lso,2004
91.81,lbr,2002
90.9,lbr,2004
0.0,lby,2002
0.0,lby,2004
0.0,ltu,2002
0.0,ltu,2004
0.0,lux,2002
0.0,lux,2004
0.0,mdg,2002
0.0,mdg,2004
0.07093,mwi,2002
0.06855,mwi,2004
0.0,mys,2002
0.0,mys,2004
0.0,mdv,2002
0.0,mdv,2004
0.0,mli,2002
0.0,mli,2004
0.0,mlt,2002
0.0,mlt,2004
0.0,mhl,2002
0.0,mhl,2004
0.09236,mrt,2002
0.0881,mrt,2004
0.0,mus,2002
0.0,mus,2004
0.0,mex,2002
0.0,mex,2004
0.0,fsm,2002
0.0,fsm,2004
0.0,mco,2002
0.0,mco,2004
0.0,mng,2002
0.0,mng,2004
0.0,mar,2002
0.0,mar,2004
7.25,moz,2002
0.09352,moz,2004
9.515,mmr,2002
9.335,mmr,2004
2.103,nam,2002
1.976,nam,2004
0.0,nru,2002
0.0,nru,2004
6.252,npl,2002
25.37,npl,2004
0.0,nld,2002
0.02232,nld,2004
0.0,nzl,2002
0.0,nzl,2004
0.1319,nic,2002
0.1195,nic,2004
0.06242,ner,2002
0.05134,ner,2004
3.723,nga,2002
5.07,nga,2004
0.0,niu,2002
0.0,niu,2004
0.0,nor,2002
0.0,nor,2004
0.0,omn,2002
0.0,omn,2004
4.297,pak,2002
3.984,pak,2004
0.0,plw,2002
0.0,plw,2004
0.0,pan,2002
0.0,pan,2004
0.0,png,2002
0.0,png,2004
0.0,pry,2002
0.0,pry,2004
0.03056,per,2002
0.0,per,2004
4.102,phl,2002
2.554,phl,2004
0.0,pol,2002
0.03756,pol,2004
0.0,prt,2002
0.0,prt,2004
0.0,qat,2002
0.0,qat,2004
0.1104,kor,2002
0.1125,kor,2004
0.0,mda,2002
0.0,mda,2004
0.0,rou,2002
0.0,rou,2004
11.76,rus,2002
5.434,rus,2004
9.035,rwa,2002
8.164,rwa,2004
0.0,kna,2002
0.0,kna,2004
0.0,lca,2002
0.0,lca,2004
0.0,vct,2002
0.0,vct,2004
0.0,wsm,2002
0.0,wsm,2004
0.0,smr,2002
0.0,smr,2004
0.0,stp,2002
0.0,stp,2004
0.02884,sau,2002
0.7797,sau,2004
10.88,sen,2002
7.862,sen,2004
0.6414,scg,2002
0.6487,scg,2004
0.0,syc,2002
0.0,syc,2004
9.935,sle,2002
0.0,sle,2004
0.0,sgp,2002
0.0,sgp,2004
0.0,svk,2002
0.05515,svk,2004
0.0,svn,2002
0.0,svn,2004
0.0,slb,2002
0.0,slb,2004
112.0,som,2002
81.33,som,2004
0.005012,zaf,2002
0.0107,zaf,2004
0.0,esp,2002
0.4407,esp,2004
4.884,lka,2002
4.951,lka,2004
57.91,sdn,2002
102.8,sdn,2004
0.0,sur,2002
0.0,sur,2004
0.0,swz,2002
0.0,swz,2004
0.0,swe,2002
0.0,swe,2004
0.0,che,2002
0.0,che,2004
0.0,syr,2002
0.0,syr,2004
11.63,tjk,2002
1.652,tjk,2004
0.9882,tha,2002
0.9923,tha,2004
38.5,mkd,2002
38.81,mkd,2004
0.0,tls,2002
0.0,tls,2004
0.0,tgo,2002
0.0,tgo,2004
0.0,ton,2002
0.0,ton,2004
0.0,tto,2002
0.0,tto,2004
0.0,tun,2002
0.0,tun,2004
0.1605,tur,2002
0.0,tur,2004
0.0,tkm,2002
0.0,tkm,2004
0.0,tuv,2002
0.0,tuv,2004
43.92,uga,2002
36.46,uga,2004
0.04015,ukr,2002
0.0412,ukr,2004
0.0,are,2002
0.0,are,2004
0.0,gbr,2002
0.07446,gbr,2004
0.4308,tza,2002
0.3992,tza,2004
0.01494,usa,2002
0.3377,usa,2004
0.0,ury,2002
0.0,ury,2004
0.1746,uzb,2002
0.1663,uzb,2004
0.0,vut,2002
0.0,vut,2004
0.0,ven,2002
0.0,ven,2004
0.04022,vnm,2002
0.03751,vnm,2004
0.07451,yem,2002
