geo,hepb3_immunized_percent_of_one_year_olds,time
afg,63,2007
afg,64,2008
afg,63,2009
afg,66,2010
afg,66,2011
alb,99,1994
alb,88,1995
alb,96,1996
alb,97,1997
alb,94,1998
alb,96,1999
alb,96,2000
alb,96,2001
alb,96,2002
alb,97,2003
alb,99,2004
alb,98,2005
alb,98,2006
alb,98,2007
alb,99,2008
alb,98,2009
alb,99,2010
alb,99,2011
dza,81,2004
dza,83,2005
dza,80,2006
dza,90,2007
dza,91,2008
dza,94,2009
dza,95,2010
dza,95,2011
and,75,1997
and,80,1998
and,75,1999
and,84,2000
and,84,2001
and,84,2002
and,81,2003
and,77,2004
and,79,2005
and,84,2006
and,91,2007
and,94,2008
and,96,2009
and,96,2010
and,99,2011
ago,83,2007
ago,81,2008
ago,73,2009
ago,91,2010
ago,86,2011
atg,96,2001
atg,99,2002
atg,99,2003
atg,97,2004
atg,99,2005
atg,99,2006
atg,97,2007
atg,98,2008
atg,98,2009
atg,98,2010
atg,99,2011
arg,85,2002
arg,88,2003
arg,89,2004
arg,85,2005
arg,90,2006
arg,92,2007
arg,89,2008
arg,92,2009
arg,94,2010
arg,93,2011
arm,55,2000
arm,69,2001
arm,91,2002
arm,93,2003
arm,91,2004
arm,91,2005
arm,78,2006
arm,85,2007
arm,89,2008
arm,93,2009
arm,94,2010
arm,95,2011
aus,94,2001
aus,94,2002
aus,95,2003
aus,95,2004
aus,95,2005
aus,95,2006
aus,94,2007
aus,94,2008
aus,92,2009
aus,92,2010
aus,92,2011
aut,33,2000
aut,44,2001
aut,81,2002
aut,83,2003
aut,83,2004
aut,86,2005
aut,83,2006
aut,85,2007
aut,83,2008
aut,83,2009
aut,83,2010
aut,83,2011
aze,49,2002
aze,50,2003
aze,49,2004
aze,48,2005
aze,45,2006
aze,49,2007
aze,49,2008
aze,49,2009
aze,49,2010
aze,48,2011
bhs,21,2001
bhs,89,2002
bhs,88,2003
bhs,93,2004
bhs,93,2005
bhs,96,2006
bhs,93,2007
bhs,90,2008
bhs,95,2009
bhs,98,2010
bhs,95,2011
bhr,57,1992
bhr,90,1993
bhr,93,1994
bhr,95,1995
bhr,96,1996
bhr,95,1997
bhr,95,1998
bhr,97,1999
bhr,97,2000
bhr,99,2001
bhr,98,2002
bhr,98,2003
bhr,98,2004
bhr,98,2005
bhr,98,2006
bhr,97,2007
bhr,98,2008
bhr,98,2009
bhr,99,2010
bhr,99,2011
bgd,5,2003
bgd,11,2004
bgd,45,2005
bgd,94,2006
bgd,95,2007
bgd,95,2008
bgd,96,2009
bgd,95,2010
bgd,96,2011
brb,18,2001
brb,66,2002
brb,91,2003
brb,93,2004
brb,92,2005
brb,84,2006
brb,93,2007
brb,85,2008
brb,93,2009
brb,86,2010
brb,91,2011
blr,70,2000
blr,93,2001
blr,99,2002
blr,56,2003
blr,99,2004
blr,99,2005
blr,98,2006
blr,91,2007
blr,98,2008
blr,98,2009
blr,96,2010
blr,98,2011
bel,2,1997
bel,31,1998
bel,46,1999
bel,60,2000
bel,60,2001
bel,60,2002
bel,65,2003
bel,65,2004
bel,77,2005
bel,94,2006
bel,94,2007
bel,98,2008
bel,97,2009
bel,97,2010
bel,97,2011
blz,76,2000
blz,96,2001
blz,97,2002
blz,96,2003
blz,97,2004
blz,96,2005
blz,98,2006
blz,96,2007
blz,94,2008
blz,97,2009
blz,96,2010
blz,95,2011
ben,15,2002
ben,73,2003
ben,75,2004
ben,70,2005
ben,74,2006
ben,82,2007
ben,78,2008
ben,83,2009
ben,83,2010
ben,85,2011
btn,16,1996
btn,84,1997
btn,81,1998
btn,90,1999
btn,98,2000
btn,89,2001
btn,83,2002
btn,95,2003
btn,89,2004
btn,95,2005
btn,95,2006
btn,95,2007
btn,96,2008
btn,93,2009
btn,91,2010
btn,95,2011
bol,77,2000
bol,77,2001
bol,77,2002
bol,80,2003
bol,84,2004
bol,85,2005
bol,83,2006
bol,82,2007
bol,83,2008
bol,85,2009
bol,80,2010
bol,82,2011
bih,36,2004
bih,93,2005
bih,90,2006
bih,94,2007
bih,88,2008
bih,90,2009
bih,89,2010
bih,88,2011
bwa,73,1995
bwa,62,1996
bwa,60,1997
bwa,77,1998
bwa,85,1999
bwa,86,2000
bwa,87,2001
bwa,88,2002
bwa,90,2003
bwa,91,2004
bwa,92,2005
bwa,93,2006
bwa,93,2007
bwa,93,2008
bwa,93,2009
bwa,93,2010
bwa,93,2011
bra,4,1994
bra,10,1995
bra,15,1996
bra,6,1997
bra,13,1998
bra,84,1999
bra,94,2000
bra,91,2001
bra,92,2002
bra,92,2003
bra,90,2004
bra,92,2005
bra,99,2006
bra,99,2007
bra,96,2008
bra,99,2009
bra,96,2010
bra,96,2011
brn,96,1990
brn,96,1991
brn,96,1992
brn,99,1993
brn,99,1994
brn,99,1995
brn,98,1996
brn,98,1997
brn,99,1998
brn,93,1999
brn,99,2000
brn,99,2001
brn,99,2002
brn,99,2003
brn,99,2004
brn,99,2005
brn,99,2006
brn,97,2007
brn,96,2008
brn,96,2009
brn,96,2010
brn,93,2011
bgr,71,1992
bgr,96,1993
bgr,94,1994
bgr,95,1995
bgr,94,1996
bgr,77,1997
bgr,97,1998
bgr,97,1999
bgr,94,2000
bgr,93,2001
bgr,88,2002
bgr,96,2003
bgr,94,2004
bgr,96,2005
bgr,96,2006
bgr,95,2007
bgr,96,2008
bgr,96,2009
bgr,95,2010
bgr,96,2011
bfa,76,2006
bfa,89,2007
bfa,93,2008
bfa,92,2009
bfa,91,2010
bfa,91,2011
bdi,83,2004
bdi,87,2005
bdi,92,2006
bdi,99,2007
bdi,92,2008
bdi,94,2009
bdi,96,2010
bdi,96,2011
khm,80,2006
khm,82,2007
khm,91,2008
khm,92,2009
khm,92,2010
khm,94,2011
cmr,66,2005
cmr,68,2006
cmr,69,2007
cmr,71,2008
cmr,67,2009
cmr,68,2010
cmr,66,2011
can,14,2003
can,14,2004
can,14,2005
can,14,2006
can,14,2007
can,28,2008
can,42,2009
can,56,2010
can,70,2011
cpv,40,2002
cpv,66,2003
cpv,91,2004
cpv,93,2005
cpv,95,2006
cpv,96,2007
cpv,98,2008
cpv,98,2009
cpv,98,2010
cpv,90,2011
caf,54,2009
caf,54,2010
caf,54,2011
tcd,17,2008
tcd,27,2009
tcd,35,2010
tcd,22,2011
chl,95,2006
chl,92,2007
chl,95,2008
chl,94,2009
chl,92,2010
chl,94,2011
chn,60,2000
chn,65,2001
chn,70,2002
chn,75,2003
chn,79,2004
chn,84,2005
chn,91,2006
chn,92,2007
chn,95,2008
chn,99,2009
chn,99,2010
chn,99,2011
col,71,1995
col,95,1996
col,85,1997
col,75,1998
col,77,1999
col,78,2000
col,80,2001
col,78,2002
col,92,2003
col,89,2004
col,93,2005
col,93,2006
col,93,2007
col,92,2008
col,92,2009
col,88,2010
col,85,2011
com,28,2003
com,77,2004
com,68,2005
com,69,2006
com,75,2007
com,81,2008
com,83,2009
com,74,2010
com,83,2011
cod,70,2007
cod,65,2008
cod,72,2009
cod,58,2010
cod,70,2011
cog,80,2007
cog,89,2008
cog,91,2009
cog,90,2010
cog,90,2011
cok,71,1990
cok,85,1991
cok,98,1992
cok,76,1993
cok,79,1994
cok,85,1995
cok,65,1996
cok,99,1997
cok,88,1998
cok,90,1999
cok,98,2000
cok,93,2001
cok,93,2002
cok,93,2003
cok,99,2004
cok,99,2005
cok,99,2006
cok,99,2007
cok,99,2008
cok,82,2009
cok,99,2010
cok,93,2011
cri,76,1997
cri,86,1998
cri,83,1999
cri,89,2000
cri,80,2001
cri,94,2002
cri,86,2003
cri,89,2004
cri,90,2005
cri,88,2006
cri,89,2007
cri,89,2008
cri,87,2009
cri,89,2010
cri,84,2011
civ,10,2001
civ,48,2002
civ,63,2003
civ,67,2004
civ,76,2005
civ,77,2006
civ,76,2007
civ,74,2008
civ,81,2009
civ,85,2010
civ,62,2011
hrv,95,2007
hrv,97,2008
hrv,97,2009
hrv,97,2010
hrv,97,2011
cub,84,1993
cub,98,1994
cub,99,1995
cub,99,1996
cub,98,1997
cub,98,1998
cub,99,1999
cub,98,2000
cub,98,2001
cub,98,2002
cub,99,2003
cub,99,2004
cub,95,2005
cub,89,2006
cub,93,2007
cub,95,2008
cub,96,2009
cub,96,2010
cub,96,2011
cyp,20,1991
cyp,27,1992
cyp,41,1993
cyp,54,1994
cyp,68,1995
cyp,88,1996
cyp,88,1997
cyp,88,1998
cyp,89,1999
cyp,89,2000
cyp,89,2001
cyp,88,2002
cyp,88,2003
cyp,88,2004
cyp,88,2005
cyp,93,2006
cyp,93,2007
cyp,93,2008
cyp,96,2009
cyp,96,2010
cyp,96,2011
cze,86,2002
cze,92,2003
cze,98,2004
cze,99,2005
cze,98,2006
cze,99,2007
cze,99,2008
cze,99,2009
cze,99,2010
cze,99,2011
dji,25,2007
dji,88,2008
dji,89,2009
dji,88,2010
dji,87,2011
dma,7,2006
dma,93,2007
dma,96,2008
dma,99,2009
dma,98,2010
dma,98,2011
dom,62,1998
dom,76,1999
dom,68,2000
dom,66,2001
dom,62,2002
dom,79,2003
dom,82,2004
dom,87,2005
dom,84,2006
dom,81,2007
dom,88,2008
dom,85,2009
dom,84,2010
dom,80,2011
ecu,38,2000
ecu,71,2001
ecu,77,2002
ecu,84,2003
ecu,90,2004
ecu,94,2005
ecu,98,2006
ecu,98,2007
ecu,98,2008
ecu,98,2009
ecu,98,2010
ecu,98,2011
egy,57,1994
egy,74,1995
egy,77,1996
egy,81,1997
egy,88,1998
egy,97,1999
egy,98,2000
egy,99,2001
egy,97,2002
egy,98,2003
egy,97,2004
egy,98,2005
egy,98,2006
egy,98,2007
egy,97,2008
egy,97,2009
egy,97,2010
egy,96,2011
slv,1,1999
slv,99,2000
