gnipercapita_ppp_current_international,geo,time
10830,bhr,1990
15070,bhr,1991
15470,bhr,1992
16660,bhr,1993
16450,bhr,1994
17660,bhr,1995
18300,bhr,1996
18030,bhr,1997
18800,bhr,1998
19110,bhr,1999
20460,bhr,2000
21460,bhr,2001
22460,bhr,2002
24680,bhr,2003
25800,bhr,2004
27210,bhr,2005
26940,bhr,2006
26550,bhr,2007
24700,bhr,2008
21180,bhr,2009
21240,bhr,2010
310,bgd,1980
360,bgd,1981
380,bgd,1982
410,bgd,1983
430,bgd,1984
440,bgd,1985
460,bgd,1986
480,bgd,1987
500,bgd,1988
520,bgd,1989
550,bgd,1990
580,bgd,1991
600,bgd,1992
630,bgd,1993
660,bgd,1994
700,bgd,1995
730,bgd,1996
770,bgd,1997
800,bgd,1998
840,bgd,1999
890,bgd,2000
940,bgd,2001
990,bgd,2002
1060,bgd,2003
1140,bgd,2004
1220,bgd,2005
1350,bgd,2006
1470,bgd,2007
1600,bgd,2008
1700,bgd,2009
1810,bgd,2010
1940,bgd,2011
8550,brb,1985
9270,brb,1986
9630,brb,1987
10550,brb,1988
11560,brb,1989
11550,brb,1990
11240,brb,1991
11020,brb,1992
11250,brb,1993
11960,brb,1994
12340,brb,1995
12760,brb,1996
13860,brb,1997
14560,brb,1998
15020,brb,1999
15610,brb,2000
15050,brb,2001
14640,brb,2002
15240,brb,2003
16220,brb,2004
17080,brb,2005
17180,brb,2006
17710,brb,2007
17950,brb,2008
18850,brb,2009
4640,blr,1990
4740,blr,1991
4370,blr,1992
4120,blr,1993
3710,blr,1994
3400,blr,1995
3580,blr,1996
4060,blr,1997
4490,blr,1998
4740,blr,1999
5140,blr,2000
5520,blr,2001
5930,blr,2002
6540,blr,2003
7520,blr,2004
8540,blr,2005
9710,blr,2006
10820,blr,2007
12280,blr,2008
12430,blr,2009
13590,blr,2010
14560,blr,2011
10200,bel,1980
11130,bel,1981
11830,bel,1982
12330,bel,1983
13130,bel,1984
13790,bel,1985
14370,bel,1986
15160,bel,1987
16370,bel,1988
17470,bel,1989
18680,bel,1990
19700,bel,1991
20380,bel,1992
20750,bel,1993
21970,bel,1994
22860,bel,1995
23270,bel,1996
24340,bel,1997
24820,bel,1998
25850,bel,1999
28290,bel,2000
28970,bel,2001
30450,bel,2002
30740,bel,2003
31520,bel,2004
32400,bel,2005
34530,bel,2006
36010,bel,2007
37560,bel,2008
36490,bel,2009
38350,bel,2010
39270,bel,2011
1580,blz,1980
1700,blz,1981
1730,blz,1982
1720,blz,1983
1730,blz,1984
1760,blz,1985
1880,blz,1986
2080,blz,1987
2290,blz,1988
2620,blz,1989
2970,blz,1990
3280,blz,1991
3630,blz,1992
3810,blz,1993
3780,blz,1994
3800,blz,1995
3820,blz,1996
3890,blz,1997
3920,blz,1998
4180,blz,1999
4650,blz,2000
4750,blz,2001
4950,blz,2002
5320,blz,2003
5420,blz,2004
5610,blz,2005
5870,blz,2006
5780,blz,2007
5930,blz,2008
6070,blz,2009
5890,blz,2010
6070,blz,2011
540,ben,1980
630,ben,1981
670,ben,1982
640,ben,1983
690,ben,1984
740,ben,1985
760,ben,1986
750,ben,1987
780,ben,1988
760,ben,1989
790,ben,1990
830,ben,1991
840,ben,1992
870,ben,1993
890,ben,1994
920,ben,1995
960,ben,1996
1020,ben,1997
1060,ben,1998
1100,ben,1999
1150,ben,2000
1200,ben,2001
1230,ben,2002
1260,ben,2003
1300,ben,2004
1340,ben,2005
1370,ben,2006
1440,ben,2007
1530,ben,2008
1570,ben,2009
1580,ben,2010
1630,ben,2011
420,btn,1981
460,btn,1982
490,btn,1983
550,btn,1984
570,btn,1985
660,btn,1986
830,btn,1987
940,btn,1988
1200,btn,1989
1280,btn,1990
1360,btn,1991
1410,btn,1992
1570,btn,1993
1780,btn,1994
1820,btn,1995
2020,btn,1996
2210,btn,1997
2140,btn,1998
2120,btn,1999
2350,btn,2000
2550,btn,2001
2720,btn,2002
2840,btn,2003
3100,btn,2004
3030,btn,2005
3810,btn,2006
4080,btn,2007
4000,btn,2008
4490,btn,2009
4970,btn,2010
5480,btn,2011
1810,bol,1980
2070,bol,1981
1800,bol,1982
1830,bol,1983
1780,bol,1984
1750,bol,1985
1700,bol,1986
1790,bol,1987
1870,bol,1988
1980,bol,1989
2110,bol,1990
2250,bol,1991
2310,bol,1992
2400,bol,1993
2520,bol,1994
2640,bol,1995
2770,bol,1996
2890,bol,1997
3030,bol,1998
3010,bol,1999
3080,bol,2000
3140,bol,2001
3210,bol,2002
3260,bol,2003
3400,bol,2004
3620,bol,2005
3870,bol,2006
4090,bol,2007
4380,bol,2008
4480,bol,2009
4620,bol,2010
4920,bol,2011
920,bih,1994
1180,bih,1995
2420,bih,1996
3310,bih,1997
4790,bih,1998
4970,bih,1999
5010,bih,2000
5200,bih,2001
5440,bih,2002
5700,bih,2003
6140,bih,2004
6610,bih,2005
7400,bih,2006
8150,bih,2007
9000,bih,2008
8900,bih,2009
8870,bih,2010
9200,bih,2011
1570,bwa,1980
1950,bwa,1981
2230,bwa,1982
2380,bwa,1983
2440,bwa,1984
2620,bwa,1985
2820,bwa,1986
3010,bwa,1987
3830,bwa,1988
4260,bwa,1989
4880,bwa,1990
5500,bwa,1991
5680,bwa,1992
6000,bwa,1993
5470,bwa,1994
5970,bwa,1995
5970,bwa,1996
6730,bwa,1997
7780,bwa,1998
7600,bwa,1999
7930,bwa,2000
8620,bwa,2001
8540,bwa,2002
9420,bwa,2003
10070,bwa,2004
10600,bwa,2005
11510,bwa,2006
12360,bwa,2007
13000,bwa,2008
12900,bwa,2009
13640,bwa,2010
14560,bwa,2011
3330,bra,1980
3490,bra,1981
3690,bra,1982
3570,bra,1983
3810,bra,1984
