geo,poverty_percent_people_below_2_a_day,time
ukr,0.13,2008
ukr,0.17,2009
ury,1.91,1981
ury,1.96,1989
ury,2.97,1992
ury,1.83,1995
ury,2.26,1996
ury,1.91,1997
ury,2.09,1998
ury,2.1,2000
ury,2.7,2001
ury,3.43,2002
ury,4.14,2003
ury,5.39,2004
ury,5.37,2005
ury,3.6,2006
ury,2.92,2007
ury,1.91,2008
ury,1.58,2009
ury,1.18,2010
ven,12.09,1981
ven,13.12,1987
ven,14.06,1989
ven,9.71,1992
ven,20.63,1995
ven,20.35,1998
ven,23.18,1999
ven,20.78,2001
ven,29.53,2002
ven,34.76,2003
ven,29.35,2004
ven,21.93,2005
ven,12.91,2006
pse,2.52,2007
pse,0.34,2009
vnm,85.7,1993
vnm,78.25,1998
vnm,68.71,2002
vnm,56.95,2004
vnm,48.06,2006
vnm,43.36,2008
yem,36.35,1998
yem,46.6,2005
zmb,75.63,1991
zmb,80.83,1993
zmb,80.79,1996
zmb,74.84,1998
zmb,85.15,2003
zmb,81.52,2004
zmb,82.55,2006
