geo,primary_forest_area_ha,time
ken,742000,1990
ken,716000,2000
ken,704000,2005
lso,1000,1990
lso,1000,2000
lso,1000,2005
mdg,10500000,1990
mdg,10380000,2000
mdg,10350000,2005
mwi,1727000,1990
mwi,1330000,2000
mwi,1132000,2005
reu,55000,1990
reu,55000,2000
reu,55000,2005
syc,2000,1990
syc,2000,2000
syc,2000,2005
tcd,209000,1990
tcd,196000,2000
tcd,190000,2005
ner,220000,1990
ner,220000,2000
ner,220000,2005
sdn,15280000,1990
sdn,14100000,2000
sdn,13510000,2005
cog,7548000,1990
cog,7492000,2000
cog,7464000,2005
civ,625000,1990
civ,625000,2000
civ,625000,2005
gha,353000,1990
gha,353000,2000
gha,353000,2005
gin,63000,1990
gin,63000,2000
gin,63000,2005
gnb,940000,1990
gnb,940000,2000
gnb,940000,2005
lbr,129000,1990
lbr,129000,2000
lbr,129000,2005
nga,1556000,1990
nga,736000,2000
nga,326000,2005
stp,12000,1990
stp,12000,2000
stp,12000,2005
sen,1759000,1990
sen,1653000,2000
sen,1598000,2005
chn,11630000,1990
chn,11630000,2000
chn,11630000,2005
prk,1129000,1990
prk,939000,2000
prk,852000,2005
jpn,3764000,1990
jpn,4054000,2000
jpn,4591000,2005
mng,5540000,1990
mng,4923000,2000
mng,4733000,2005
btn,413000,1990
btn,413000,2000
btn,413000,2005
brn,313000,1990
brn,288000,2000
brn,278000,2005
khm,766000,1990
khm,456000,2000
khm,322000,2005
idn,70420000,1990
idn,55940000,2000
idn,48700000,2005
lao,1490000,1990
lao,1490000,2000
lao,1490000,2005
mys,3820000,1990
mys,3820000,2000
mys,3820000,2005
npl,391000,1990
npl,384000,2000
npl,349000,2005
phl,829000,1990
phl,829000,2000
phl,829000,2005
sgp,2000,1990
sgp,2000,2000
sgp,2000,2005
lka,257000,1990
lka,197000,2000
lka,167000,2005
tha,6451000,1990
tha,6451000,2000
tha,6451000,2005
vnm,384000,1990
vnm,187000,2000
vnm,85000,2005
arm,17000,1990
arm,15000,2000
arm,14000,2005
aze,400000,1990
aze,400000,2000
aze,400000,2005
cyp,22000,1990
cyp,22000,2000
cyp,22000,2005
geo,500000,1990
geo,500000,2000
geo,500000,2005
irn,200000,1990
irn,200000,2000
irn,200000,2005
kgz,237000,1990
kgz,240000,2000
kgz,241000,2005
tjk,297000,1990
tjk,297000,2000
tjk,297000,2005
tur,739000,1990
tur,897000,2000
tur,975000,2005
tkm,104000,1990
tkm,104000,2000
tkm,104000,2005
uzb,57000,1990
uzb,57000,2000
uzb,57000,2005
alb,85000,1990
alb,85000,2000
alb,85000,2005
aut,117000,1990
aut,119000,2000
blr,400000,1990
blr,400000,2000
blr,400000,2005
bih,2000,2000
bih,2000,2005
bgr,267000,1990
bgr,396000,2000
hrv,10000,1990
hrv,10000,2000
hrv,10000,2005
est,137000,2000
est,142000,2005
fin,1491000,1990
fin,1418000,2000
fin,1419000,2005
fra,30000,1990
fra,30000,2000
fra,30000,2005
irl,1000,1990
ita,160000,1990
ita,160000,2000
lva,15000,2000
lva,14000,2005
lie,2000,1990
lie,2000,2000
lie,2000,2005
ltu,20000,1990
ltu,21000,2000
ltu,26000,2005
nor,250000,1990
nor,250000,2000
nor,250000,2005
pol,30000,1990
pol,51000,2000
pol,53000,2005
prt,55000,1990
prt,55000,2000
prt,55000,2005
rou,233000,1990
rou,233000,2000
rou,233000,2005
rus,241700000,1990
rus,258100000,2000
rus,255500000,2005
scg,4000,1990
scg,4000,2000
scg,4000,2005
svk,24000,1990
svk,24000,2000
svk,24000,2005
svn,63000,1990
svn,95000,2000
svn,119000,2005
esp,621000,1990
esp,748000,2000
esp,812000,2005
swe,4348000,1990
swe,4600000,2000
swe,4726000,2005
che,3000,1990
che,6000,2000
che,14000,2005
ukr,59000,1990
ukr,59000,2000
ukr,59000,2005
dma,28000,1990
dma,28000,2000
dma,27000,2005
grd,1000,1990
grd,1000,2000
grd,1000,2005
glp,19000,1990
glp,19000,2000
glp,19000,2005
tto,14000,1990
tto,14000,2000
tto,14000,2005
blz,612000,1990
blz,612000,2000
blz,612000,2005
cri,255000,1990
cri,180000,2000
cri,180000,2005
slv,6000,1990
slv,6000,2000
slv,6000,2005
gtm,2359000,1990
gtm,2091000,2000
gtm,1957000,2005
hnd,1512000,1990
hnd,1512000,2000
hnd,1512000,2005
nic,1849000,1990
nic,1849000,2000
nic,1849000,2005
pan,3706000,1990
pan,3239000,2000
pan,3023000,2005
can,165400000,1990
can,165400000,2000
can,165400000,2005
mex,38780000,1990
mex,34820000,2000
mex,32850000,2005
usa,105300000,1990
usa,105300000,2000
usa,104200000,2005
aus,5233000,2000
aus,5233000,2005
fji,895000,1990
fji,894000,2000
fji,894000,2005
ncl,431000,1990
ncl,431000,2000
ncl,431000,2005
nzl,3506000,1990
nzl,3506000,2000
nzl,3506000,2005
png,29210000,1990
png,26460000,2000
png,25210000,2005
bol,31390000,1990
bol,30040000,2000
bol,29360000,2005
bra,460500000,1990
bra,433200000,2000
bra,415900000,2005
chl,4152000,1990
chl,4145000,2000
chl,4142000,2005
col,53850000,1990
col,53340000,2000
col,53060000,2005
ecu,4794000,1990
ecu,4794000,2000
ecu,4794000,2005
guf,7909000,1990
guf,7761000,2000
guf,7701000,2005
guy,9314000,2000
guy,9314000,2005
pry,1850000,1990
pry,1850000,2000
pry,1850000,2005
per,62910000,1990
per,62190000,2000
per,61060000,2005
sur,14210000,1990
sur,14210000,2000
sur,14210000,2005
ury,239000,1990
ury,296000,2000
ury,296000,2005
