geo,males_aged_15plus_employment_rate_percent,time
afg,84.2,1991
afg,84.0,1992
afg,84.3,1993
afg,84.0,1994
afg,84.0,1995
afg,84.0,1996
afg,84.1,1997
afg,84.2,1998
afg,84.1,1999
afg,84.1,2000
afg,84.6,2001
afg,84.3,2002
afg,81.4,2003
afg,83.4,2004
afg,81.0,2005
afg,83.5,2006
afg,83.6,2007
alb,62.6,1991
alb,62.4,1992
alb,62.7,1993
alb,63.1,1994
alb,63.2,1995
alb,63.0,1996
alb,62.8,1997
alb,62.5,1998
alb,62.3,1999
alb,62.1,2000
alb,62.0,2001
alb,61.9,2002
alb,61.7,2003
alb,61.6,2004
alb,61.4,2005
alb,61.2,2006
alb,61.0,2007
dza,61.1,1991
dza,60.0,1992
dza,60.4,1993
dza,60.0,1994
dza,57.8,1995
dza,58.7,1996
dza,59.5,1997
dza,58.7,1998
dza,58.0,1999
dza,56.6,2000
dza,58.7,2001
dza,59.7,2002
dza,61.1,2003
dza,65.4,2004
dza,67.1,2005
dza,69.3,2006
dza,69.1,2007
ago,83.1,1991
ago,82.3,1992
ago,83.0,1993
ago,82.7,1994
ago,84.3,1995
ago,84.3,1996
ago,84.0,1997
ago,83.5,1998
ago,83.3,1999
ago,83.4,2000
ago,83.4,2001
ago,83.4,2002
ago,83.1,2003
ago,83.0,2004
ago,82.9,2005
ago,82.2,2006
ago,82.4,2007
arg,71.8,1991
arg,71.8,1992
arg,71.5,1993
arg,71.5,1994
arg,70.9,1995
arg,71.5,1996
arg,71.7,1997
arg,71.4,1998
arg,70.8,1999
arg,71.1,2000
arg,70.8,2001
arg,70.2,2002
arg,71.9,2003
arg,71.9,2004
arg,72.0,2005
arg,71.9,2006
arg,71.8,2007
arm,47.0,1991
arm,45.6,1992
arm,44.5,1993
arm,44.8,1994
arm,44.2,1995
arm,45.3,1996
arm,44.3,1997
arm,44.8,1998
arm,43.8,1999
arm,44.5,2000
arm,45.4,2001
arm,46.0,2002
arm,46.4,2003
arm,45.8,2004
arm,46.4,2005
arm,46.4,2006
arm,47.4,2007
aus,67.4,1991
aus,65.9,1992
aus,65.4,1993
aus,66.4,1994
aus,67.5,1995
aus,67.3,1996
aus,66.8,1997
aus,67.1,1998
aus,67.3,1999
aus,67.7,2000
aus,67.1,2001
aus,67.3,2002
aus,67.4,2003
aus,67.8,2004
aus,68.6,2005
aus,68.9,2006
aus,68.6,2007
aut,67.6,1991
aut,67.7,1992
aut,67.1,1993
aut,67.7,1994
aut,68.1,1995
aut,66.8,1996
aut,66.5,1997
aut,66.2,1998
aut,66.3,1999
aut,66.3,2000
aut,65.9,2001
aut,65.5,2002
aut,65.4,2003
aut,64.2,2004
aut,64.3,2005
aut,65.2,2006
aut,64.8,2007
aze,63.3,1991
aze,63.0,1992
aze,62.6,1993
aze,62.4,1994
aze,61.1,1995
aze,61.5,1996
aze,62.2,1997
aze,62.1,1998
aze,62.4,1999
aze,62.7,2000
aze,62.7,2001
aze,62.6,2002
aze,63.0,2003
aze,64.6,2004
aze,64.1,2005
aze,64.3,2006
aze,66.2,2007
bhs,69.7,1991
bhs,69.0,1992
bhs,70.3,1993
bhs,70.9,1994
bhs,72.9,1995
bhs,73.4,1996
bhs,73.1,1997
bhs,74.4,1998
bhs,74.4,1999
bhs,73.7,2000
bhs,73.6,2001
bhs,71.9,2002
bhs,70.9,2003
bhs,71.3,2004
bhs,71.3,2005
bhs,73.1,2006
bhs,72.8,2007
bhr,83.6,1991
bhr,83.6,1992
bhr,83.5,1993
bhr,83.5,1994
bhr,83.5,1995
bhr,83.3,1996
bhr,82.7,1997
bhr,82.6,1998
bhr,82.5,1999
bhr,82.4,2000
bhr,82.4,2001
bhr,82.2,2002
bhr,82.2,2003
bhr,82.1,2004
bhr,82.0,2005
bhr,81.6,2006
bhr,81.2,2007
bgd,87.3,1991
bgd,85.6,1992
